SA1_7DIGITCODE_2016,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85,F_Vis_from_within_Aus_Tot,F_OS_v_0_14_yr,F_OS_v_15_24_yr,F_OS_v_25_34_yr,F_OS_v_35_44_yr,F_OS_v_45_54_yr,F_OS_v_55_64_yr,F_OS_v_65_74_yr,F_OS_v_75_84_yr,F_OS_v_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Husb_a_r_mar_0_14,P_Husb_a_r_mar_15_24,P_Husb_a_r_mar_25_34,P_Husb_a_r_mar_35_44,P_Husb_a_r_mar_45_54,P_Husb_a_r_mar_55_64,P_Husb_a_r_mar_65_74,P_Husb_a_r_mar_75_84,P_Husb_a_r_mar_85,P_Husb_a_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85,P_Vis_from_within_Aus_Tot,P_OS_v_0_14_yr,P_OS_v_15_24_yr,P_OS_v_25_34_yr,P_OS_v_35_44_yr,P_OS_v_45_54_yr,P_OS_v_55_64_yr,P_OS_v_65_74_yr,P_OS_v_75_84_yr,P_OS_v_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5112736,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,3,0,0,7,4,5,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,42,30,41,33,10,18,12,8,0,189,..,3,36,48,24,19,5,3,0,140,..,0,4,0,0,0,0,0,0,3,..,0,5,9,3,7,0,0,0,17,84,..,..,..,..,..,..,..,..,84,..,20,..,..,..,..,..,..,..,20,..,3,9,0,0,0,0,0,0,11,..,10,9,0,0,0,0,0,0,23,..,16,3,0,0,0,0,0,0,27,..,9,9,4,0,0,0,0,0,20,..,3,3,11,7,7,4,8,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,0,9,84,71,76,73,34,31,13,10,0,403
5112737,..,3,5,0,0,0,0,0,0,13,..,0,0,3,0,5,0,0,0,14,..,0,0,0,0,0,7,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,10,44,24,64,33,10,18,12,8,0,221,..,8,58,57,17,12,5,8,3,169,..,3,14,0,4,0,0,0,0,24,..,0,3,3,3,3,0,0,0,11,98,..,..,..,..,..,..,..,..,98,..,14,..,..,..,..,..,..,..,14,..,3,9,0,0,0,0,0,0,13,..,3,11,0,0,6,0,0,0,20,..,8,10,3,0,3,0,0,0,30,..,10,12,8,4,3,0,0,0,32,..,0,7,9,4,0,8,3,0,32,0,3,8,0,0,0,0,0,0,11,0,0,0,0,4,3,3,0,0,10,102,52,129,76,38,31,24,14,3,464
5112738,..,5,10,0,0,0,0,0,0,15,..,7,3,3,3,0,0,0,0,17,..,0,4,0,0,3,3,3,3,16,3,0,9,0,0,0,0,0,0,9,0,0,3,0,3,3,0,0,0,15,81,56,117,45,46,28,15,6,3,404,..,6,91,61,44,25,8,3,3,254,..,3,32,15,8,3,0,0,0,59,..,0,4,6,14,3,4,6,3,37,148,..,..,..,..,..,..,..,..,148,..,22,..,..,..,..,..,..,..,22,..,24,18,4,4,0,0,0,0,51,..,13,20,0,0,0,0,3,0,35,..,8,28,0,5,3,0,0,0,41,..,7,8,4,7,3,3,0,0,36,..,0,9,3,5,6,5,4,3,42,4,3,6,0,0,0,0,0,0,14,0,4,3,0,0,3,0,0,0,13,158,101,218,101,83,52,24,18,10,756
5112739,..,4,9,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,9,..,0,3,4,0,4,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,6,50,42,47,53,32,30,9,6,0,262,..,6,43,70,43,20,8,3,0,195,..,10,17,3,6,3,0,0,0,37,..,0,3,3,5,0,0,3,0,17,131,..,..,..,..,..,..,..,..,131,..,32,..,..,..,..,..,..,..,32,..,11,3,0,0,0,0,0,0,16,..,9,5,0,4,4,5,0,0,23,..,3,14,3,0,0,0,0,0,19,..,6,13,0,0,0,0,0,0,26,..,0,9,4,3,5,6,0,0,31,0,4,4,0,0,0,0,0,0,9,0,3,0,0,0,10,4,0,0,20,131,82,107,92,66,40,17,11,0,550
5112740,..,6,5,0,0,0,0,0,0,15,..,12,7,0,0,0,0,0,0,18,..,3,3,4,0,3,0,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,12,53,47,93,35,21,24,14,4,3,286,..,8,94,51,26,17,12,6,0,215,..,9,18,3,0,4,0,0,0,36,..,0,3,0,3,3,0,0,0,16,97,..,..,..,..,..,..,..,..,97,..,15,..,..,..,..,..,..,..,15,..,10,12,4,0,0,0,0,0,27,..,13,7,0,0,4,0,0,0,32,..,16,20,3,0,3,3,0,0,45,..,21,30,5,7,0,0,0,0,56,..,3,13,3,3,6,0,4,0,40,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,6,0,0,0,20,97,97,203,69,41,43,23,14,3,592
5112741,..,11,10,0,0,0,0,0,0,16,..,10,8,0,3,0,0,0,0,14,..,0,0,0,9,7,3,3,0,20,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,9,38,47,68,25,34,22,8,10,4,253,..,11,56,34,19,31,10,5,0,172,..,8,16,3,4,7,0,0,0,39,..,0,6,6,9,0,0,0,0,18,77,..,..,..,..,..,..,..,..,77,..,14,..,..,..,..,..,..,..,14,..,18,13,0,0,0,0,0,0,30,..,11,4,0,3,0,0,0,0,24,..,20,21,0,0,0,0,0,0,36,..,19,15,3,3,0,0,0,0,39,..,0,5,3,7,5,5,3,0,39,0,0,3,0,0,0,3,0,0,9,0,0,0,3,5,3,0,0,0,13,77,97,144,52,55,49,20,22,4,508
5112742,..,3,3,0,0,0,0,0,0,6,..,3,4,0,0,4,0,0,0,12,..,0,0,0,0,3,3,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,27,43,22,18,10,9,5,3,154,..,0,33,29,19,12,8,4,3,107,..,4,13,0,4,0,0,0,0,25,..,0,0,3,0,0,0,0,0,10,55,..,..,..,..,..,..,..,..,55,..,17,..,..,..,..,..,..,..,17,..,0,0,0,0,0,0,0,0,8,..,5,8,0,0,0,3,0,0,15,..,9,13,0,0,0,0,0,0,24,..,9,6,3,0,6,0,0,0,28,..,0,6,7,3,4,3,3,4,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,52,50,81,43,32,28,17,8,3,324
5112801,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,3,0,0,4,..,0,0,0,3,8,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,24,9,21,12,16,12,11,6,5,118,..,0,21,18,14,13,12,0,0,76,..,3,7,3,0,3,0,0,0,24,..,0,0,0,0,3,0,3,3,11,43,..,..,..,..,..,..,..,..,43,..,7,..,..,..,..,..,..,..,7,..,7,4,0,3,3,0,0,0,15,..,4,0,0,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,4,..,0,4,0,0,0,3,0,0,14,..,0,0,3,0,10,0,4,0,23,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,43,34,40,25,26,29,21,10,3,232
5112802,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,0,7,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,25,24,21,17,18,4,0,168,..,0,23,15,38,24,19,8,3,131,..,7,16,0,3,0,4,0,0,32,..,0,0,5,3,3,0,0,0,11,47,..,..,..,..,..,..,..,..,47,..,9,..,..,..,..,..,..,..,9,..,15,8,3,0,0,0,0,0,26,..,3,0,0,0,0,0,4,0,13,..,0,0,0,0,0,0,0,0,3,..,3,6,0,0,0,0,0,0,12,..,0,7,8,5,12,8,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,61,35,47,39,31,13,3,311
5112803,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,3,3,4,3,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,12,23,19,25,16,8,10,3,131,..,0,16,25,21,17,15,6,0,105,..,0,9,4,6,0,0,0,0,25,..,0,0,3,7,0,0,0,0,12,60,..,..,..,..,..,..,..,..,60,..,19,..,..,..,..,..,..,..,19,..,6,3,0,3,0,0,0,0,13,..,0,3,0,0,0,0,0,0,6,..,0,4,0,0,0,0,0,0,4,..,0,0,0,3,0,0,0,0,7,..,0,3,3,3,7,6,5,3,31,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,60,28,41,39,40,30,27,21,4,284
