SA1_7DIGITCODE_2016,F_300_399_15_19_yr,F_300_399_20_24_yr,F_300_399_25_34_yr,F_300_399_35_44_yr,F_300_399_45_54_yr,F_300_399_55_64_yr,F_300_399_65_74_yr,F_300_399_75_84_yr,F_300_399_85_yr_over,F_300_399_Tot,F_400_499_15_19_yr,F_400_499_20_24_yr,F_400_499_25_34_yr,F_400_499_35_44_yr,F_400_499_45_54_yr,F_400_499_55_64_yr,F_400_499_65_74_yr,F_400_499_75_84_yr,F_400_499_85_yr_over,F_400_499_Tot,F_500_649_15_19_yr,F_500_649_20_24_yr,F_500_649_25_34_yr,F_500_649_35_44_yr,F_500_649_45_54_yr,F_500_649_55_64_yr,F_500_649_65_74_yr,F_500_649_75_84_yr,F_500_649_85_yr_over,F_500_649_Tot,F_650_799_15_19_yr,F_650_799_20_24_yr,F_650_799_25_34_yr,F_650_799_35_44_yr,F_650_799_45_54_yr,F_650_799_55_64_yr,F_650_799_65_74_yr,F_650_799_75_84_yr,F_650_799_85_yr_over,F_650_799_Tot,F_800_999_15_19_yr,F_800_999_20_24_yr,F_800_999_25_34_yr,F_800_999_35_44_yr,F_800_999_45_54_yr,F_800_999_55_64_yr,F_800_999_65_74_yr,F_800_999_75_84_yr,F_800_999_85_yr_over,F_800_999_Tot,F_1000_1249_15_19_yr,F_1000_1249_20_24_yr,F_1000_1249_25_34_yr,F_1000_1249_35_44_yr,F_1000_1249_45_54_yr,F_1000_1249_55_64_yr,F_1000_1249_65_74_yr,F_1000_1249_75_84_yr,F_1000_1249_85_yr_over,F_1000_1249_Tot,F_1250_1499_15_19_yr,F_1250_1499_20_24_yr,F_1250_1499_25_34_yr,F_1250_1499_35_44_yr,F_1250_1499_45_54_yr,F_1250_1499_55_64_yr,F_1250_1499_65_74_yr,F_1250_1499_75_84_yr,F_1250_1499_85_yr_over,F_1250_1499_Tot,F_1500_1749_15_19_yr,F_1500_1749_20_24_yr,F_1500_1749_25_34_yr,F_1500_1749_35_44_yr,F_1500_1749_45_54_yr,F_1500_1749_55_64_yr,F_1500_1749_65_74_yr,F_1500_1749_75_84_yr,F_1500_1749_85_yr_over,F_1500_1749_Tot,F_1750_1999_15_19_yr,F_1750_1999_20_24_yr,F_1750_1999_25_34_yr,F_1750_1999_35_44_yr,F_1750_1999_45_54_yr,F_1750_1999_55_64_yr,F_1750_1999_65_74_yr,F_1750_1999_75_84_yr,F_1750_1999_85_yr_over,F_1750_1999_Tot,F_2000_2999_15_19_yr,F_2000_2999_20_24_yr,F_2000_2999_25_34_yr,F_2000_2999_35_44_yr,F_2000_2999_45_54_yr,F_2000_2999_55_64_yr,F_2000_2999_65_74_yr,F_2000_2999_75_84_yr,F_2000_2999_85_yr_over,F_2000_2999_Tot,F_3000_more_15_19_yr,F_3000_more_20_24_yr,F_3000_more_25_34_yr,F_3000_more_35_44_yr,F_3000_more_45_54_yr,F_3000_more_55_64_yr,F_3000_more_65_74_yr,F_3000_more_75_84_yr,F_3000_more_85_yr_over,F_3000_more_Tot,F_Personal_inc_ns_15_19_yr,F_Personal_inc_ns_20_24_yr,F_Personal_inc_ns_25_34_yr,F_Personal_inc_ns_35_44_yr,F_Personal_inc_ns_45_54_yr,F_Personal_inc_ns_55_64_yr,F_Personal_inc_ns_65_74_yr,F_Personal_inc_ns_75_84_yr,F_Personal_inc_ns_85_yr,F_Personal_inc_ns_Tot,F_OS_vis_15_19_yr,F_OS_vis_20_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_OS_vis_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Neg_Nil_inc_15_19_yr,P_Neg_Nil_inc_20_24_yr,P_Neg_Nil_inc_25_34_yr,P_Neg_Nil_inc_35_44_yr,P_Neg_Nil_inc_45_54_yr,P_Neg_Nil_inc_55_64_yr,P_Neg_Nil_inc_65_74_yr,P_Neg_Nil_inc_75_84_yr,P_Neg_Nil_inc_85_yr_over,P_Neg_Nil_inc_Tot,P_1_149_15_19_yr,P_1_149_20_24_yr,P_1_149_25_34_yr,P_1_149_35_44_yr,P_1_149_45_54_yr,P_1_149_55_64_yr,P_1_149_65_74_yr,P_1_149_75_84_yr,P_1_149_85_yr_over,P_1_149_Tot,P_150_299_15_19_yr,P_150_299_20_24_yr,P_150_299_25_34_yr,P_150_299_35_44_yr,P_150_299_45_54_yr,P_150_299_55_64_yr,P_150_299_65_74_yr,P_150_299_75_84_yr,P_150_299_85_yr_over,P_150_299_Tot,P_300_399_15_19_yr,P_300_399_20_24_yr,P_300_399_25_34_yr,P_300_399_35_44_yr,P_300_399_45_54_yr,P_300_399_55_64_yr,P_300_399_65_74_yr,P_300_399_75_84_yr,P_300_399_85_yr_over,P_300_399_Tot,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot
5106003,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,0,11,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,5,14,21,17,17,12,3,3,105,12,0,0,8,0,3,3,0,0,21,3,0,0,0,0,0,0,0,0,10,0,0,3,3,4,3,0,0,3,24,0,0,0,0,0,0,3,0,0,10,0,3,3,0,0,0,4,8,0,17,0,0,0,0,0,3,0,0,0,9
5106004,0,3,0,0,0,0,3,0,0,11,0,0,0,0,3,0,0,0,0,9,0,0,0,4,0,5,0,0,0,8,0,0,0,3,0,3,0,3,0,7,0,0,0,0,6,0,3,0,0,7,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,3,3,0,0,4,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,13,7,4,21,39,23,18,3,0,133,10,3,5,7,3,8,3,0,0,39,10,3,0,0,0,0,4,0,0,13,0,3,0,0,0,3,0,0,0,15,0,3,0,0,3,0,7,0,0,16,0,0,0,0,5,0,3,0,0,14,0,0,0,4,0,5,6,0,0,19
5106005,0,3,3,3,5,0,3,0,0,20,0,0,0,0,3,0,4,0,0,11,0,0,0,4,7,0,0,0,0,16,0,0,3,5,3,0,5,0,0,19,0,3,0,3,8,0,0,0,0,10,0,3,3,3,6,3,0,0,0,23,0,0,5,4,3,0,0,0,0,11,0,0,0,5,3,0,0,0,0,6,0,0,0,0,6,5,0,0,0,11,0,0,0,0,4,3,0,0,0,6,0,0,0,0,3,4,0,0,0,4,0,4,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,14,21,40,63,29,21,3,0,207,17,0,0,6,4,7,0,0,0,43,12,0,0,3,3,0,0,0,0,24,3,0,4,3,3,4,7,7,0,32,0,3,3,3,5,0,4,0,0,24,0,0,0,0,5,0,3,3,0,16,5,4,0,3,11,3,0,0,0,25
5106006,0,0,0,3,0,0,3,0,3,10,0,0,0,0,3,4,3,0,0,11,0,0,0,0,4,4,0,0,0,15,0,0,0,0,6,0,0,0,0,7,0,4,0,3,3,0,0,0,0,18,0,0,0,6,4,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,8,8,28,33,28,8,3,3,130,14,3,3,7,3,3,3,0,0,34,5,0,3,0,3,3,0,0,0,12,3,0,0,0,0,5,3,0,0,18,0,0,0,3,0,4,3,3,3,15,0,3,0,0,3,4,3,0,0,18,0,3,0,3,4,4,3,0,0,14
5106007,0,4,0,3,0,0,5,0,0,19,0,0,0,0,0,0,4,0,0,7,0,0,0,0,4,3,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,12,0,0,3,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,8,7,0,0,29,0,0,3,0,0,0,0,0,0,3,3,11,12,26,24,34,27,8,0,137,4,0,0,3,4,8,4,0,0,25,0,0,0,0,0,3,0,0,0,9,3,0,0,0,7,3,6,0,0,20,0,4,0,4,0,4,5,3,3,29,0,0,0,0,0,3,8,3,0,15,0,0,0,0,4,7,0,0,0,13
5106008,0,3,0,3,0,0,5,0,0,10,0,0,0,0,5,3,0,4,0,14,0,0,0,0,0,3,0,0,0,4,0,3,0,0,4,3,0,0,0,13,0,0,0,3,0,6,3,0,0,16,0,0,3,0,8,3,0,0,0,15,0,0,0,0,4,0,0,0,0,7,0,0,0,3,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,19,13,18,36,28,11,6,0,138,12,0,0,0,9,6,0,0,0,28,5,5,0,0,0,0,0,0,0,23,4,8,3,0,0,5,3,3,0,23,0,4,0,3,0,0,8,0,0,17,0,3,0,0,8,7,3,8,0,23,0,0,0,0,0,3,0,0,0,4
5106102,0,0,3,3,6,0,3,3,0,21,0,0,3,5,0,0,7,4,0,23,0,4,8,5,3,3,5,3,0,30,0,0,6,6,7,0,0,0,0,19,0,0,8,7,3,8,0,0,0,29,0,3,6,7,3,6,0,0,0,27,0,0,8,9,3,3,0,0,0,20,0,0,7,3,3,0,0,0,0,15,0,0,3,0,3,4,0,0,0,15,0,0,0,6,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,23,12,81,80,43,35,24,12,3,313,20,0,10,15,3,6,0,0,0,54,11,3,5,4,3,0,0,0,0,30,4,3,3,5,10,3,8,0,3,38,0,5,3,3,6,0,7,7,0,31,0,0,4,5,4,4,7,4,0,26,0,9,12,5,3,5,3,5,0,45
5106103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
5106104,0,0,0,0,0,7,10,4,0,26,0,0,0,0,0,5,10,3,3,23,0,0,0,0,3,3,4,3,0,13,0,0,0,3,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,10,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,6,0,18,0,0,3,0,0,0,0,0,0,6,5,0,6,12,17,25,36,21,5,144,3,0,0,0,7,4,0,0,0,16,0,0,0,0,3,0,3,0,0,5,0,0,3,0,0,7,5,9,3,23,0,0,0,0,3,9,16,12,0,43,0,0,0,0,0,8,10,9,3,30,0,0,0,0,3,4,13,5,0,30
5106105,0,0,3,3,0,4,6,0,0,18,0,3,0,3,0,0,3,0,0,15,3,0,3,5,4,0,0,0,0,15,0,0,11,0,3,3,0,0,0,20,0,0,3,7,6,0,0,0,0,22,0,0,5,6,10,3,3,0,0,24,0,0,4,3,3,3,0,0,0,15,0,0,4,0,3,0,0,0,0,7,0,0,3,0,3,0,0,0,0,6,0,0,0,4,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,20,10,74,40,47,26,21,10,0,239,26,6,11,3,8,10,0,0,0,58,10,0,6,3,4,5,0,0,0,24,5,0,5,3,3,0,3,0,0,22,0,0,3,3,0,4,7,3,0,28,0,3,3,3,4,3,11,5,0,27,3,4,6,4,3,3,3,0,0,25
