SA1_7DIGITCODE_2016,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_more_15_19_yr,M_3000_more_20_24_yr,M_3000_more_25_34_yr,M_3000_more_35_44_yr,M_3000_more_45_54_yr,M_3000_more_55_64_yr,M_3000_more_65_74_yr,M_3000_more_75_84_yr,M_3000_more_85_yr_over,M_3000_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot,F_150_299_15_19_yr,F_150_299_20_24_yr,F_150_299_25_34_yr,F_150_299_35_44_yr,F_150_299_45_54_yr,F_150_299_55_64_yr,F_150_299_65_74_yr,F_150_299_75_84_yr,F_150_299_85_yr_over,F_150_299_Tot
5108829,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,0,3,0,0,11,0,0,0,0,0,0,7,3,0,16,0,0,0,0,3,4,3,0,0,17,0,0,3,0,0,0,3,0,0,9,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,7,3,3,3,0,0,0,20,0,0,3,0,3,0,0,0,0,8,0,0,9,4,4,0,0,0,0,18,0,0,10,0,0,0,0,0,0,11,0,0,19,9,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,9,62,25,21,14,20,3,7,172,3,0,7,5,0,0,0,0,0,11,3,0,0,3,3,3,0,0,0,16,0,3,0,0,3,0,8,0,0,14
5108830,3,3,4,0,0,3,0,0,0,17,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,0,5,0,0,5,0,0,3,3,0,0,13,0,3,0,0,0,0,0,0,0,8,0,4,7,0,0,3,0,0,0,15,0,3,11,3,3,0,0,0,0,25,0,0,5,4,4,0,3,0,0,16,0,0,7,3,0,0,0,0,0,16,0,0,6,3,0,3,0,0,0,14,0,0,9,9,7,3,0,0,0,32,0,0,4,6,3,0,0,0,0,13,0,0,5,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,17,61,39,23,24,9,9,3,199,3,0,3,3,0,3,3,0,0,16,4,0,0,0,0,0,0,0,0,11,0,3,0,3,0,0,0,0,0,12
5108831,3,3,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,3,3,3,0,19,0,3,0,0,3,0,0,4,0,12,0,0,3,0,0,3,3,5,0,11,0,0,3,3,0,4,0,0,0,12,0,3,7,3,6,3,0,0,0,17,0,3,7,3,7,3,3,0,0,22,0,0,5,0,0,3,0,0,0,11,0,0,4,0,3,3,3,0,0,17,0,0,3,0,5,3,0,0,0,14,0,0,13,4,4,0,0,0,0,24,0,0,3,4,0,0,0,0,0,12,0,0,3,0,0,0,0,7,3,11,0,0,0,0,0,0,0,0,0,6,4,14,65,33,29,20,18,17,3,209,10,0,11,5,3,6,0,0,0,27,0,0,3,3,3,0,0,3,0,12,0,0,4,0,0,0,0,0,0,5
5108832,4,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,15,0,3,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,13,0,0,4,6,0,0,3,0,0,15,0,0,3,0,5,3,0,0,0,17,0,0,9,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,7,0,3,5,0,0,0,0,3,9,27,0,0,0,0,0,0,0,0,0,3,4,9,37,23,17,12,11,10,12,138,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,6
5108833,11,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,4,0,0,0,0,5,4,3,0,0,9,0,0,0,3,3,0,0,0,0,11,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,3,0,0,7,0,0,0,3,8,9,0,0,0,18,0,0,3,8,9,11,0,0,0,29,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,18,15,16,31,28,15,5,0,141,11,0,0,3,0,0,3,0,0,19,8,3,3,0,0,0,0,0,0,13,4,6,0,0,3,0,0,0,0,16
5108834,8,0,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,15,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,3,3,0,0,11,0,3,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,3,0,10,0,0,3,3,0,3,0,0,0,9,0,0,3,3,4,0,0,0,0,14,0,0,5,0,3,0,0,0,0,13,0,0,3,3,0,3,0,0,0,14,0,0,3,4,0,3,0,0,0,11,0,0,0,7,6,6,0,0,0,22,0,0,3,5,8,0,0,0,0,20,0,3,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,10,31,34,28,27,15,10,4,172,7,0,3,3,0,5,0,0,0,17,3,3,0,0,0,0,3,0,0,12,0,3,0,3,0,0,0,3,0,12
5108835,17,5,3,0,0,0,0,3,0,32,7,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,11,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,4,0,4,3,0,0,0,0,0,0,6,0,3,0,4,3,3,3,0,0,13,0,0,5,0,0,9,0,3,0,16,0,0,0,3,3,3,0,0,0,23,0,0,3,0,3,8,3,0,0,21,0,0,3,4,3,0,0,0,0,14,0,0,3,4,10,3,3,0,0,22,0,0,3,8,16,7,4,0,0,39,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,26,24,29,22,49,38,20,20,5,226,13,0,0,4,0,4,3,0,0,29,3,0,0,6,3,0,0,0,0,13,0,0,0,0,4,3,0,0,0,10
5108901,12,0,0,0,0,0,0,0,0,18,3,3,0,0,4,0,0,0,0,10,0,7,0,0,0,0,3,0,0,8,0,0,0,0,0,0,4,6,0,16,0,4,0,0,0,3,4,0,0,12,0,3,0,0,0,0,0,0,0,9,0,4,0,0,0,3,3,4,0,19,0,3,5,0,0,4,0,0,0,12,0,0,10,3,6,0,0,0,0,26,0,0,5,0,6,5,0,0,0,14,0,0,0,3,3,3,0,0,0,8,0,0,4,3,0,0,0,0,0,12,0,0,4,6,7,3,0,0,0,29,0,0,9,8,8,7,0,0,0,25,0,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19,27,39,34,42,32,17,14,0,224,13,0,6,0,0,3,0,0,0,17,3,0,0,0,3,3,0,0,0,7,0,0,4,0,0,0,3,0,0,9
5108902,5,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,3,7,0,0,19,0,0,3,0,0,4,7,0,0,17,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,3,0,0,6,0,0,4,0,3,7,3,0,0,14,0,0,3,0,3,0,0,0,0,6,0,0,0,0,5,0,0,0,0,9,0,0,0,4,6,4,0,0,0,16,0,0,3,5,7,3,0,0,0,22,3,0,0,0,3,5,8,0,0,21,0,0,0,0,0,0,0,0,0,0,16,8,11,18,32,39,59,6,0,193,4,0,0,5,0,8,0,0,0,20,3,0,0,3,3,3,0,0,0,17,3,0,0,7,0,7,0,0,0,15
5108903,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,17,16,14,4,12,4,5,87,5,0,4,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,3,4,4,0,0,3,0,0,0,0,12
