SA1_7DIGITCODE_2016,FP_15_19_Nbr_ch_ev_brn_No,FP_15_19_Nbr_ch_ev_brn_1,FP_15_19_Nbr_ch_ev_brn_2,FP_15_19_Nbr_ch_ev_brn_3,FP_15_19_Nbr_ch_ev_brn_4,FP_15_19_Nbr_ch_ev_brn_5,FP_15_19_Nbr_ch_ev_brn_6,FP_15_19_Nbr_ch_ev_brn_Ns,FP_15_19_Tot,FP_20_24_Nbr_ch_ev_brn_No,FP_20_24_Nbr_ch_ev_brn_1,FP_20_24_Nbr_ch_ev_brn_2,FP_20_24_Nbr_ch_ev_brn_3,FP_20_24_Nbr_ch_ev_brn_4,FP_20_24_Nbr_ch_ev_brn_5,FP_20_24_Nbr_ch_ev_brn_6,FP_20_24_Nbr_ch_ev_brn_Ns,FP_20_24_Tot,FP_25_29_Nbr_ch_ev_brn_No,FP_25_29_Nbr_ch_ev_brn_1,FP_25_29_Nbr_ch_ev_brn_2,FP_25_29_Nbr_ch_ev_brn_3,FP_25_29_Nbr_ch_ev_brn_4,FP_25_29_Nbr_ch_ev_brn_5,FP_25_29_Nbr_ch_ev_brn_6,FP_25_29_Nbr_ch_ev_brn_Ns,FP_25_29_Tot,FP_30_34_Nbr_ch_ev_brn_No,FP_30_34_Nbr_ch_ev_brn_1,FP_30_34_Nbr_ch_ev_brn_2,FP_30_34_Nbr_ch_ev_brn_3,FP_30_34_Nbr_ch_ev_brn_4,FP_30_34_Nbr_ch_ev_brn_5,FP_30_34_Nbr_ch_ev_brn_6,FP_30_34_Nbr_ch_ev_brn_Ns,FP_30_34_Tot,FP_35_39_Nbr_ch_ev_brn_No,FP_35_39_Nbr_ch_ev_brn_1,FP_35_39_Nbr_ch_ev_brn_2,FP_35_39_Nbr_ch_ev_brn_3,FP_35_39_Nbr_ch_ev_brn_4,FP_35_39_Nbr_ch_ev_brn_5,FP_35_39_Nbr_ch_ev_brn_6,FP_35_39_Nbr_ch_ev_brn_Ns,FP_35_39_Tot,FP_40_44_Nbr_ch_ev_brn_No,FP_40_44_Nbr_ch_ev_brn_1,FP_40_44_Nbr_ch_ev_brn_2,FP_40_44_Nbr_ch_ev_brn_3,FP_40_44_Nbr_ch_ev_brn_4,FP_40_44_Nbr_ch_ev_brn_5,FP_40_44_Nbr_ch_ev_brn_6,FP_40_44_Nbr_ch_ev_brn_Ns,FP_40_44_Tot,FP_45_49_Nbr_ch_ev_brn_No,FP_45_49_Nbr_ch_ev_brn_1,FP_45_49_Nbr_ch_ev_brn_2,FP_45_49_Nbr_ch_ev_brn_3,FP_45_49_Nbr_ch_ev_brn_4,FP_45_49_Nbr_ch_ev_brn_5,FP_45_49_Nbr_ch_ev_brn_6,FP_45_49_Nbr_ch_ev_brn_Ns,FP_45_49_Tot,FP_50_54_Nbr_ch_ev_brn_No,FP_50_54_Nbr_ch_ev_brn_1,FP_50_54_Nbr_ch_ev_brn_2,FP_50_54_Nbr_ch_ev_brn_3,FP_50_54_Nbr_ch_ev_brn_4,FP_50_54_Nbr_ch_ev_brn_5,FP_50_54_Nbr_ch_ev_brn_6,FP_50_54_Nbr_ch_ev_brn_Ns,FP_50_54_Tot,FP_55_59_Nbr_ch_ev_brn_No,FP_55_59_Nbr_ch_ev_brn_1,FP_55_59_Nbr_ch_ev_brn_2,FP_55_59_Nbr_ch_ev_brn_3,FP_55_59_Nbr_ch_ev_brn_4,FP_55_59_Nbr_ch_ev_brn_5,FP_55_59_Nbr_ch_ev_brn_6,FP_55_59_Nbr_ch_ev_brn_Ns,FP_55_59_Tot,FP_60_64_Nbr_ch_ev_brn_No,FP_60_64_Nbr_ch_ev_brn_1,FP_60_64_Nbr_ch_ev_brn_2,FP_60_64_Nbr_ch_ev_brn_3,FP_60_64_Nbr_ch_ev_brn_4,FP_60_64_Nbr_ch_ev_brn_5,FP_60_64_Nbr_ch_ev_brn_6,FP_60_64_Nbr_ch_ev_brn_Ns,FP_60_64_Tot,FP_65_69_Nbr_ch_ev_brn_No,FP_65_69_Nbr_ch_ev_brn_1,FP_65_69_Nbr_ch_ev_brn_2,FP_65_69_Nbr_ch_ev_brn_3,FP_65_69_Nbr_ch_ev_brn_4,FP_65_69_Nbr_ch_ev_brn_5,FP_65_69_Nbr_ch_ev_brn_6,FP_65_69_Nbr_ch_ev_brn_Ns,FP_65_69_Tot,FP_70_74_Nbr_ch_ev_brn_No,FP_70_74_Nbr_ch_ev_brn_1,FP_70_74_Nbr_ch_ev_brn_2,FP_70_74_Nbr_ch_ev_brn_3,FP_70_74_Nbr_ch_ev_brn_4,FP_70_74_Nbr_ch_ev_brn_5,FP_70_74_Nbr_ch_ev_brn_6,FP_70_74_Nbr_ch_ev_brn_Ns,FP_70_74_Tot,FP_75_79_Nbr_ch_ev_brn_No,FP_75_79_Nbr_ch_ev_brn_1,FP_75_79_Nbr_ch_ev_brn_2,FP_75_79_Nbr_ch_ev_brn_3,FP_75_79_Nbr_ch_ev_brn_4,FP_75_79_Nbr_ch_ev_brn_5,FP_75_79_Nbr_ch_ev_brn_6,FP_75_79_Nbr_ch_ev_brn_Ns,FP_75_79_Tot,FP_80_84_Nbr_ch_ev_brn_No,FP_80_84_Nbr_ch_ev_brn_1,FP_80_84_Nbr_ch_ev_brn_2,FP_80_84_Nbr_ch_ev_brn_3,FP_80_84_Nbr_ch_ev_brn_4,FP_80_84_Nbr_ch_ev_brn_5,FP_80_84_Nbr_ch_ev_brn_6,FP_80_84_Nbr_ch_ev_brn_Ns,FP_80_84_Tot,FP_85_over_Nbr_ch_ev_brn_No,FP_85_over_Nbr_ch_ev_brn_1,FP_85_over_Nbr_ch_ev_brn_2,FP_85_over_Nbr_ch_ev_brn_3,FP_85_over_Nbr_ch_ev_brn_4,FP_85_over_Nbr_ch_ev_brn_5,FP_85_over_Nbr_ch_ev_brn_6,FP_85_over_Nbr_ch_ev_brn_Ns,Age_grps_FP_85_over_Tot,FP_Tot_Num_child_evr_brn_No,FP_Tot_Num_child_evr_brn_1,FP_Tot_Num_child_evr_brn_2,FP_Tot_Num_child_evr_brn_3,FP_Tot_Num_child_evr_brn_4,FP_Tot_Num_child_evr_brn_5,FP_Tot_Num_child_evr_brn_6,FP_Tot_Num_child_evr_brn_Ns,FP_Tot_Tot
5100101,9,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,9,6,0,3,3,0,0,0,0,13,0,0,3,3,0,0,0,0,9,0,0,11,3,0,0,0,3,14,3,0,3,4,0,0,0,0,7,5,0,10,4,3,0,0,4,24,0,0,9,7,0,0,0,3,20,0,0,5,3,6,0,0,0,10,0,0,0,3,3,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,32,9,37,24,16,3,0,16,137
5100102,6,0,0,0,0,0,0,4,10,6,0,0,0,0,0,0,0,12,12,3,3,0,0,0,0,0,18,5,10,18,6,0,0,0,4,42,0,11,31,15,0,0,0,10,64,6,4,18,6,5,0,0,4,50,3,3,9,3,3,0,0,5,28,6,0,10,4,0,0,0,0,19,4,0,6,8,0,0,0,0,16,3,0,10,6,4,0,0,4,21,0,0,11,0,0,0,0,0,16,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,54,38,116,51,14,7,3,34,310
5100103,5,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,0,0,11,0,0,3,4,0,0,0,3,17,7,0,3,7,3,0,0,0,20,0,0,9,8,6,0,0,3,28,3,0,8,6,3,0,0,0,19,0,0,5,4,0,3,0,0,17,3,0,5,9,3,3,0,3,30,0,0,3,10,5,3,0,0,24,35,20,46,48,24,10,3,10,207
5100104,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,4,5,3,7,0,0,0,0,3,14,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,3,14,0,3,0,3,0,0,0,0,11,0,0,3,3,4,0,0,0,12,3,3,6,10,0,0,0,7,27,0,0,8,3,0,0,0,0,19,0,0,7,6,0,3,0,0,25,0,0,4,5,0,0,0,4,15,0,0,3,0,5,0,0,0,15,0,0,0,3,0,4,0,0,9,0,0,5,3,7,0,0,3,17,43,17,53,42,17,9,3,30,211
5100105,8,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,14,0,5,7,0,0,0,0,0,13,3,0,4,0,4,0,0,0,16,3,0,4,0,0,0,0,0,17,4,0,7,7,3,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,10,5,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,3,29,11,37,17,15,0,0,7,117
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,6,0,0,0,0,0,0,5,9,6,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,6,0,3,3,3,0,0,0,0,7,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,6,3,0,12,3,3,0,0,3,16,3,0,3,3,0,0,0,0,12,3,0,5,6,3,0,0,0,19,0,0,6,3,0,0,0,3,13,0,0,6,4,3,0,0,0,15,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,8,48,24,13,0,3,10,137
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,3,10,0,3,3,0,0,0,0,0,9,0,0,3,3,3,0,0,0,13,3,7,5,4,0,0,0,0,16,4,3,9,6,0,0,0,3,29,3,0,6,6,0,0,0,5,22,3,0,3,3,3,0,0,0,17,3,0,3,7,3,0,0,0,21,3,3,6,3,0,3,0,0,17,0,0,6,4,3,0,0,0,12,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,6,32,15,54,38,17,10,4,14,186
5100110,6,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,14,3,0,3,0,0,0,0,0,11,0,0,3,0,0,0,0,0,4,3,0,4,0,0,0,0,0,15,0,0,0,3,0,0,0,0,5,0,0,3,3,0,0,0,0,9,0,0,4,5,0,0,0,0,14,0,0,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,9,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,29,9,25,19,10,0,4,18,115
5100111,3,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,8,5,3,4,0,0,0,0,3,10,3,0,5,0,0,0,0,0,10,0,3,0,4,0,0,0,0,6,0,0,3,3,0,0,0,0,15,3,0,4,3,4,0,0,0,16,3,0,3,3,0,0,0,0,13,0,0,4,3,0,0,0,0,6,0,0,3,3,0,0,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,16,34,24,11,6,0,5,129
5100112,7,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,3,7,3,0,0,0,4,16,0,4,0,3,0,0,0,3,11,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,10,0,3,0,0,3,18,0,0,3,3,3,0,0,0,15,3,0,5,3,0,0,0,3,18,0,0,0,3,0,0,0,3,11,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,34,23,11,0,0,19,126
5100113,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,0,0,10,0,3,5,4,0,0,0,0,11,4,0,3,3,0,0,0,0,14,3,3,8,6,0,0,0,0,15,0,0,3,0,4,0,0,3,13,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,18,8,31,29,7,0,0,6,102
5100114,15,0,0,0,0,0,0,3,20,4,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,8,10,8,4,3,0,0,0,0,25,4,5,20,6,0,0,0,3,41,6,8,14,4,0,0,0,4,34,0,10,9,0,0,0,0,3,18,0,3,4,3,0,0,0,0,16,0,0,8,8,0,0,0,0,12,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,10,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,48,30,73,31,7,3,0,12,214
5100115,9,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,5,3,4,0,3,0,0,0,0,12,0,0,3,0,0,0,0,0,11,3,3,10,0,0,0,0,0,16,0,4,3,3,0,0,0,0,6,5,4,3,3,0,0,0,0,16,3,0,6,4,0,0,0,0,19,3,3,5,0,0,0,0,0,13,0,0,5,6,0,0,0,0,19,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,32,24,41,28,8,6,3,10,152
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,3,7,0,4,3,0,3,0,0,15,3,0,9,5,0,0,0,0,25,7,3,11,4,4,0,0,6,38,3,3,7,13,9,0,0,5,42,3,3,6,12,5,3,3,7,46,7,10,16,12,8,10,5,17,81,36,23,66,59,35,19,7,41,286
5100203,14,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,12,0,3,4,8,0,0,0,0,24,0,0,13,3,0,0,0,0,17,0,0,9,3,3,0,0,0,21,0,3,9,7,4,0,0,0,14,0,0,11,6,0,0,0,0,20,0,0,7,4,0,0,0,0,12,0,0,5,3,3,0,0,0,16,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,34,10,61,39,11,0,5,6,171
5100204,17,0,0,0,0,0,0,3,17,5,0,0,0,0,0,0,0,5,3,3,0,4,0,0,0,4,19,6,0,0,0,0,0,0,0,7,4,0,9,4,3,0,0,0,21,0,0,3,4,0,0,0,0,7,0,3,7,3,0,0,0,0,15,0,3,3,0,3,0,0,0,16,0,0,0,3,0,0,0,0,9,0,0,10,3,0,0,0,0,13,0,0,3,3,0,0,0,0,12,0,0,5,0,0,0,0,0,8,0,0,3,3,0,0,0,0,10,0,0,0,3,3,0,0,0,9,0,0,4,0,0,0,0,0,6,36,13,45,36,21,3,3,19,178
5100205,17,0,0,0,0,0,0,7,20,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,8,0,0,5,3,0,0,0,0,10,3,0,8,3,0,0,0,3,25,0,3,8,5,0,0,0,0,17,0,0,3,5,0,0,0,0,13,0,0,0,3,3,0,0,0,7,0,0,3,5,0,0,0,0,9,0,0,4,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,26,6,47,34,14,0,0,10,139
5100206,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,9,7,6,3,3,0,0,0,0,12,0,5,0,3,0,0,0,0,9,0,3,10,5,0,0,0,0,20,0,0,3,0,0,3,0,0,14,0,0,0,8,0,0,0,0,11,0,0,3,4,0,0,0,0,8,3,0,10,0,0,0,0,0,17,0,3,8,7,3,0,3,0,30,0,0,5,10,0,0,0,0,15,0,0,4,8,3,3,0,3,17,0,0,3,0,4,0,0,3,10,0,0,0,3,8,3,0,0,16,33,20,48,46,20,10,4,8,203
5100207,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,13,0,4,4,5,0,0,0,3,17,4,0,4,0,0,0,0,0,12,0,0,3,0,0,0,0,0,9,0,3,9,3,0,0,0,3,18,0,4,3,5,3,0,0,0,11,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,3,0,3,4,3,0,0,0,14,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,4,0,4,33,20,39,20,10,3,5,17,152
5100209,7,0,0,0,0,0,0,0,13,10,0,3,0,0,0,0,3,9,9,0,0,0,0,0,0,3,16,5,4,3,0,0,0,0,0,11,0,4,5,3,0,0,0,3,17,4,0,3,0,0,0,0,0,10,3,4,5,3,3,0,0,0,23,3,0,3,3,4,0,0,5,21,8,0,11,7,3,0,0,3,29,0,0,9,3,0,0,0,0,13,0,3,12,13,0,0,0,6,32,0,0,9,0,0,3,0,0,13,3,0,5,3,4,0,0,10,30,0,0,0,0,3,0,0,3,9,0,0,0,0,3,0,0,0,11,47,25,65,42,28,9,3,40,260
5100213,10,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,16,3,0,3,3,0,0,0,0,11,3,0,3,4,0,0,0,0,13,5,3,6,3,0,0,0,0,16,0,0,5,3,0,0,0,0,15,0,0,3,3,0,0,0,0,12,0,0,4,3,0,0,0,0,10,0,0,0,3,3,0,0,0,8,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,36,9,34,26,14,0,3,3,125
5100214,18,0,0,0,0,0,0,0,18,22,0,0,0,0,0,0,0,22,11,3,4,0,0,0,0,0,20,3,3,5,10,0,0,0,0,18,4,0,9,8,0,0,0,0,18,0,0,8,8,6,0,0,0,25,5,7,18,5,0,0,0,0,41,3,3,5,0,4,0,0,0,22,0,0,7,8,3,3,0,0,18,3,3,6,3,0,0,0,0,12,0,0,9,5,4,0,0,0,16,0,0,9,3,0,0,0,0,8,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,4,66,21,82,53,21,8,4,3,261
5100216,14,0,0,0,0,0,0,0,12,7,5,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,7,4,3,4,0,0,0,0,4,15,0,6,7,0,0,0,0,0,12,0,4,6,0,0,0,0,0,9,0,4,4,4,0,0,0,0,21,0,3,7,3,0,0,0,3,14,3,0,5,0,0,0,0,0,15,0,0,8,6,3,0,0,0,17,0,0,3,3,3,0,0,3,11,0,0,5,5,0,0,0,0,18,0,0,0,0,0,0,0,0,4,3,3,0,6,0,3,0,0,13,0,0,0,0,4,3,0,0,10,24,32,48,40,16,11,8,17,195
5100217,7,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,4,3,0,3,4,0,0,0,0,6,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,5,0,5,3,0,0,0,0,0,14,3,0,3,0,0,0,0,0,10,0,0,3,3,4,0,0,0,10,0,3,3,4,3,0,0,0,11,0,0,3,7,0,0,0,0,10,0,0,3,3,0,0,0,0,6,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,23,16,29,29,13,3,0,3,127
5100218,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,6,3,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,8,5,0,0,3,0,0,0,0,8,0,0,4,0,0,0,0,0,8,0,5,6,3,0,0,0,0,6,3,0,3,0,3,0,0,3,11,0,0,5,3,0,0,0,0,8,0,0,3,3,0,0,0,0,11,0,0,0,3,3,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,34,14,14,0,0,3,103
5100219,8,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,10,6,6,0,0,0,0,0,0,14,3,3,4,4,0,0,0,0,9,0,5,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,3,4,3,3,3,0,0,0,0,17,0,9,3,5,0,0,3,0,14,3,0,8,3,0,0,0,0,14,3,0,7,3,3,0,0,0,17,3,4,5,13,3,0,0,0,31,3,0,6,7,0,0,0,0,17,0,0,0,8,0,0,0,0,12,0,0,0,3,0,0,0,0,7,0,0,4,7,0,0,0,0,10,44,27,49,53,15,5,0,9,195
5100220,7,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,4,13,12,4,3,0,0,0,0,0,19,4,3,3,0,0,0,0,3,13,3,3,3,0,0,0,0,0,10,3,0,5,0,0,0,0,0,11,0,0,4,3,0,0,0,0,8,0,3,0,10,3,0,0,0,18,3,4,11,7,0,0,0,0,24,5,3,8,4,3,0,0,0,25,0,0,5,3,0,0,0,0,18,0,0,16,5,0,0,0,0,19,0,0,4,7,0,0,0,0,13,0,0,4,4,5,0,3,4,17,3,0,4,7,6,0,0,3,26,57,22,63,47,19,3,8,18,238
5100222,14,0,0,0,0,0,0,4,19,9,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,8,4,3,0,0,0,14,0,0,8,4,3,0,0,0,21,0,0,6,7,4,0,0,0,23,4,0,7,3,0,0,0,3,19,0,0,4,3,0,0,0,0,13,0,0,3,6,0,0,0,0,11,0,0,9,3,0,0,0,0,10,0,0,4,0,0,0,0,0,10,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,9,58,40,13,3,3,12,172
5100223,12,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,3,0,3,3,0,0,0,0,8,0,0,5,0,0,0,0,0,12,0,4,3,5,0,0,0,0,18,3,0,9,8,3,0,0,3,26,0,0,0,0,3,0,0,0,8,0,0,3,0,0,0,0,0,9,0,0,3,3,0,0,0,0,4,0,0,3,0,3,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,11,31,26,8,4,3,13,126
5100224,14,0,0,0,0,0,0,3,20,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,13,5,0,3,3,0,0,0,0,8,3,3,4,7,0,3,0,0,22,0,0,6,0,0,0,0,0,11,0,3,0,3,0,0,0,0,3,0,0,7,10,0,0,0,0,20,0,0,6,3,3,0,0,0,9,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,36,14,35,35,15,5,3,9,137
5100226,8,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,3,0,0,0,0,0,8,0,0,3,0,0,0,0,0,16,5,0,6,7,0,0,0,0,22,0,0,3,0,0,0,0,0,6,3,0,12,3,3,0,0,0,20,0,0,3,6,0,3,0,0,20,0,3,0,3,3,0,0,0,15,3,0,4,3,0,0,0,4,9,0,0,0,3,0,0,0,3,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,34,6,44,29,15,10,5,17,156
5100227,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,13,0,0,0,3,45
5100229,30,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,8,3,3,5,0,0,0,0,0,10,0,11,4,3,3,0,0,0,23,3,3,14,0,3,0,0,0,25,0,0,18,7,3,0,0,0,22,3,0,11,4,0,0,0,0,17,6,3,6,5,0,3,0,0,25,0,0,3,5,0,0,0,0,8,3,3,3,4,3,0,0,0,23,0,6,9,3,0,0,0,0,20,0,0,5,0,0,0,0,0,11,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,60,27,81,37,18,3,0,8,231
5100230,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,6,0,0,4,0,0,0,0,0,8,0,0,3,0,0,0,0,0,10,0,4,8,0,0,0,0,3,14,0,0,3,3,0,0,0,3,17,0,0,7,3,0,0,0,5,15,0,0,7,3,10,4,0,8,42,3,4,17,12,8,3,4,22,76,18,17,61,35,18,6,13,56,221
