SA1_7DIGITCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5106707,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,5,4,3,3,3,0,0,18,0,3,0,3,0,3,0,0,13,4,7,10,10,4,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,10,10,7,6,4,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,12,13,23,15,21,12,4,0,0,92
5106708,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,8,11,3,4,0,0,33,3,8,7,12,8,0,0,0,40,13,6,15,11,12,3,3,0,60,0,0,3,0,0,0,0,0,5,4,0,0,3,0,0,0,0,6,12,6,18,17,11,3,3,0,75,0,0,0,3,0,0,0,0,3,0,0,4,0,0,3,0,0,5,19,23,44,44,25,12,4,0,162
5106709,0,0,3,0,0,0,7,0,3,3,0,3,0,0,0,10,3,11,5,3,3,5,0,0,30,3,4,5,12,0,0,0,0,32,14,14,17,16,15,0,0,0,82,6,0,3,0,0,0,0,0,8,0,0,4,0,0,0,0,0,13,20,15,21,21,15,3,3,0,102,0,0,3,0,0,0,0,0,6,3,0,4,3,4,3,3,0,22,35,41,40,41,31,11,10,0,205
5106710,5,6,0,0,0,0,9,0,3,0,0,0,0,0,0,3,3,24,15,4,3,0,0,0,50,3,3,12,7,5,0,0,0,38,14,31,19,16,12,9,3,0,100,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,8,22,33,20,16,18,6,3,0,113,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,16,27,66,52,39,28,15,7,0,243
5106711,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,3,0,4,0,0,0,0,11,0,0,7,9,0,0,0,0,13,11,18,14,4,3,4,0,0,61,5,4,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,8,14,23,20,11,3,11,0,0,81,0,0,0,0,0,0,0,0,0,3,7,4,3,5,3,3,0,30,20,34,39,24,14,13,3,0,143
5106712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,15,0,3,3,3,0,0,0,0,14,6,23,5,7,13,3,0,0,60,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,9,6,26,12,8,13,3,0,0,71,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,3,0,18,8,42,26,16,23,10,3,0,125
5106713,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,3,0,16,3,10,4,0,0,0,0,0,17,7,13,13,10,9,3,0,0,57,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,7,15,17,8,16,3,0,0,73,0,0,0,0,0,0,0,0,0,4,4,3,4,3,0,0,0,21,15,35,33,17,21,4,8,0,128
5106714,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,13,0,4,3,4,3,0,0,0,14,4,5,7,6,5,3,0,0,36,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,9,6,5,12,6,3,3,0,0,44,0,3,0,0,0,0,0,0,3,7,5,4,4,0,0,0,0,20,15,20,20,20,6,3,0,0,96
5106715,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,3,7,0,0,0,0,0,11,3,4,6,3,3,0,0,0,22,12,19,9,10,9,3,0,0,62,3,3,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,4,14,18,10,16,9,3,0,0,77,0,0,0,0,0,0,0,0,3,10,6,10,6,3,3,3,0,40,24,42,32,27,13,8,7,0,161
5106716,4,0,0,0,0,0,7,0,3,0,4,3,0,0,0,10,4,15,11,12,3,0,0,0,49,3,0,11,11,7,0,0,0,32,8,11,19,10,16,7,3,0,71,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,4,15,11,18,9,23,6,3,0,84,0,0,0,0,0,0,0,0,0,3,3,3,6,3,5,0,0,27,21,38,48,47,36,15,9,0,209
