SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5126522,8,30,7,12,13,0,0,4,4,76
5126601,23,26,27,18,18,7,3,17,7,151
5126602,74,49,41,26,36,17,15,73,9,335
5126603,48,60,24,39,34,11,3,27,10,248
5126604,3,22,3,15,4,8,3,4,3,65
5126605,11,40,3,25,12,0,0,11,5,101
5126606,5,16,4,24,5,9,5,3,0,78
5126701,9,10,0,6,0,0,5,3,0,39
5126702,33,36,97,24,27,5,134,57,8,421
5126703,48,102,228,12,31,0,310,82,13,838
5126704,4,11,13,14,13,3,14,12,0,83
5126705,148,177,731,32,68,6,820,213,34,2233
5126706,0,0,0,0,0,0,0,3,0,4
5126707,8,36,0,3,3,0,0,3,3,52
5126708,33,82,291,11,27,0,280,57,12,796
5126709,5,12,4,5,0,0,0,0,0,25
5126710,7,8,3,0,0,0,0,0,0,20
5126711,4,26,0,11,4,0,0,0,0,54
5126712,102,205,628,33,58,6,800,174,28,2028
5126713,0,0,0,0,0,0,0,0,0,0
5126714,3,7,0,4,0,0,0,0,3,18
5126715,8,3,3,8,0,0,0,8,0,35
5126716,79,132,498,22,40,0,406,130,23,1336
5126717,3,17,0,3,0,0,0,0,0,23
5126801,32,63,181,36,24,4,142,91,11,585
5126802,22,23,40,4,11,14,22,9,0,142
5126803,25,32,57,13,9,12,29,12,8,195
5126804,8,16,42,13,18,9,61,14,3,186
5126805,23,13,106,6,21,8,61,41,6,276
5126806,5,15,23,6,3,3,37,13,0,106
5126807,25,24,73,17,19,11,42,23,3,233
5126808,12,25,41,11,20,3,49,13,0,174
5126809,12,27,46,17,18,9,47,20,0,196
5126810,15,29,56,14,25,11,29,20,0,200
5126811,0,0,0,0,0,0,0,0,0,0
5126812,12,9,45,8,17,3,25,9,3,132
5126813,0,0,0,0,0,0,0,0,0,0
