SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5100101,77,20,28,11,13,14,12,35,0,198
5100102,56,77,77,33,40,33,15,39,6,382
5100103,15,14,22,16,11,13,4,25,0,123
5100104,25,15,26,27,15,15,14,30,0,163
5100105,14,18,19,14,8,11,4,10,0,99
5100106,0,0,0,0,0,0,0,0,0,0
5100107,54,12,18,12,11,9,10,28,0,153
5100108,0,0,0,0,0,0,0,0,0,0
5100109,61,32,27,20,16,10,11,45,6,235
5100110,37,26,18,20,7,4,0,26,0,144
5100111,31,32,25,11,21,8,6,34,3,181
5100112,49,24,12,15,19,12,6,18,3,160
5100113,14,14,23,11,7,15,4,18,0,112
5100114,38,27,44,30,33,35,13,43,3,267
5100115,56,31,27,21,20,18,6,21,3,203
5100116,0,0,0,0,0,0,0,0,0,0
5100202,9,11,7,6,17,5,10,11,3,75
5100203,42,20,52,24,26,27,20,28,3,225
5100204,22,20,22,15,15,28,11,21,0,153
5100205,22,41,32,22,27,16,14,9,0,178
5100206,8,17,18,19,16,11,13,19,4,126
5100207,7,6,25,19,7,17,3,17,3,113
5100209,24,39,23,37,7,32,13,37,3,213
5100213,12,19,21,11,23,22,15,21,3,138
5100214,39,45,52,39,51,25,22,25,3,307
5100216,13,15,21,22,14,16,11,28,0,154
5100217,9,14,22,21,19,16,10,22,0,125
5100218,5,10,14,9,14,18,3,25,4,107
5100219,24,22,23,23,18,22,17,22,0,173
5100220,28,28,33,29,22,22,8,32,3,206
5100222,40,41,32,7,22,23,12,10,0,203
5100223,9,18,30,19,14,17,13,16,0,133
5100224,11,16,38,26,16,13,15,22,3,163
5100226,31,28,31,20,23,15,5,17,9,166
5100227,14,17,10,8,12,8,0,7,0,68
5100229,30,33,50,39,36,36,13,22,3,260
5100230,9,20,15,0,12,6,7,6,0,69
5100231,26,35,42,26,25,23,17,22,3,216
5100232,12,19,14,15,10,18,8,17,5,121
5100233,17,20,32,28,19,19,10,22,0,164
5100234,62,38,54,41,52,39,22,49,3,359
5100235,19,18,25,27,23,22,14,30,3,168
5100236,13,19,35,23,10,18,10,38,9,175
5100237,57,58,35,24,55,31,14,28,6,313
5100238,24,30,26,25,16,11,12,20,8,169
5100239,11,16,19,10,14,7,5,12,0,99
5100240,11,20,40,25,20,9,7,24,0,150
5100241,18,14,29,22,21,21,12,39,3,177
5100243,12,38,45,25,26,18,19,17,0,195
5100244,12,24,37,29,26,30,16,34,4,212
5100246,13,13,20,8,13,14,6,8,0,90
5100247,22,32,23,15,22,18,9,13,4,155
5100249,14,19,9,6,7,3,4,18,0,88
5100250,17,39,20,12,12,20,9,15,4,138
5100251,15,21,11,10,23,10,3,14,3,112
5100252,12,25,25,8,10,6,7,15,3,121
5100253,25,30,65,54,37,36,27,42,0,325
5100254,11,14,15,7,8,7,3,15,0,86
5100255,0,0,6,0,3,0,0,0,0,10
5100256,8,20,28,8,13,15,5,24,0,122
5100257,21,25,19,21,14,16,10,17,0,145
5100258,14,22,29,15,16,16,19,18,0,148
5100259,20,17,44,20,26,20,16,24,7,185
5100260,4,3,3,13,3,7,0,7,0,40
5100261,18,8,44,18,18,31,13,22,0,173
5100262,9,13,3,19,13,13,12,3,0,92
5100263,18,14,34,15,27,30,9,15,0,159
5100264,8,15,21,8,11,11,8,15,0,99
5100265,0,0,0,0,8,4,3,3,0,19
5100266,15,33,49,24,24,28,11,17,0,198
5100267,20,30,37,24,27,29,12,25,3,205
5100268,15,27,32,28,25,23,14,34,0,184
5100269,0,0,0,0,0,0,0,0,0,0
5100270,21,13,9,0,19,11,0,4,0,78
5100271,8,25,8,7,9,7,3,7,0,72
5100272,35,38,86,43,44,55,42,43,3,389
5100273,6,5,17,4,8,8,10,9,0,76
5100274,17,11,21,17,16,11,12,13,0,107
5100275,17,23,31,17,24,13,22,25,0,162
5100276,13,15,27,19,20,22,9,24,0,157
5100277,14,24,17,5,8,9,3,11,0,95
5100278,11,11,23,16,11,12,5,12,5,98
5100279,15,20,22,15,5,25,8,28,0,138
5100280,9,18,38,18,12,19,11,27,0,153
5100281,10,18,32,20,11,11,7,44,8,161
5100282,15,22,26,21,12,19,14,19,0,155
5100283,33,32,39,25,20,14,4,16,3,193
5100301,13,11,17,12,11,12,4,8,0,86
5100302,17,31,38,12,10,19,4,10,0,139
5100303,30,22,21,12,9,7,9,14,0,116
5100304,40,12,17,7,15,10,11,28,3,135
5100305,47,19,15,4,12,3,18,23,6,144
5100306,53,23,33,16,23,22,13,34,4,224
5100307,28,25,31,7,15,11,7,16,0,141
5100308,26,28,41,17,24,25,10,18,8,188
5100310,36,32,41,9,27,14,12,36,3,208
5100311,29,32,24,16,15,20,4,8,0,145
5100312,20,21,29,17,18,27,7,23,0,164
5100313,15,19,24,13,15,4,7,27,0,127
5100314,42,26,20,9,11,10,3,19,0,139
5100315,74,32,35,12,15,12,8,25,12,214
5100316,14,38,25,19,11,15,10,10,0,134
5100317,28,44,24,13,14,17,3,16,0,155
5100318,58,55,25,19,8,19,5,18,0,206
5100319,22,30,20,13,12,11,5,11,4,125
5100320,39,77,45,36,25,32,15,14,5,294
5100321,34,51,38,20,23,17,6,14,0,198
5100322,21,10,12,4,11,5,4,4,0,73
5100323,7,26,26,12,6,13,4,11,0,105
5100324,21,43,30,7,13,19,3,21,0,153
5100325,37,45,50,29,33,25,7,42,3,265
5100326,25,17,32,22,9,14,7,25,3,164
5100327,28,47,71,28,35,17,16,31,6,288
5100328,47,67,79,54,41,50,15,41,6,404
5100401,30,46,35,26,21,21,9,17,0,215
5100405,56,66,32,38,29,33,4,20,4,276
5100406,22,49,45,28,18,28,14,30,5,231
5100407,28,14,33,13,11,23,12,37,0,163
5100408,27,25,31,17,21,10,3,24,3,176
5100410,52,38,81,67,30,49,17,57,3,391
5100411,18,13,18,19,18,11,7,36,3,148
5100412,25,35,36,21,15,19,8,31,3,196
5100413,33,47,51,34,34,23,11,21,0,262
5100414,51,63,53,17,20,26,14,24,4,271
5100415,20,16,11,10,14,11,5,21,3,115
5100416,50,63,34,25,17,6,3,36,10,240
5100417,39,53,41,20,24,16,3,37,4,232
5100418,14,33,5,19,7,11,0,3,3,98
5100419,13,16,20,29,12,24,8,26,0,157
5100420,18,24,39,23,15,20,12,37,0,187
5100421,29,36,35,11,19,24,13,33,0,197
5100422,16,42,56,20,26,16,9,28,3,212
5100423,0,0,0,0,0,0,0,0,0,0
5100424,17,27,35,19,17,14,9,24,0,156
5100425,9,22,14,22,9,15,7,36,8,134
5100426,14,21,38,24,8,19,10,22,3,155
5100427,16,28,32,19,16,18,14,19,4,168
5100502,14,39,78,42,28,45,48,45,3,345
5100504,6,18,14,12,13,10,8,14,0,101
5100505,0,0,0,0,0,0,0,0,0,0
5100506,0,6,3,0,0,0,3,3,0,19
5100507,0,0,0,0,0,0,0,0,0,0
5100508,17,19,21,16,10,10,12,19,0,132
5100509,19,55,58,34,55,27,32,27,11,321
5100510,30,37,89,37,48,48,48,51,8,394
5100511,11,21,31,16,16,26,16,14,0,148
5100512,6,12,23,8,15,10,3,17,4,102
5100513,14,38,33,26,21,21,12,17,3,179
5100514,14,26,53,41,30,30,28,37,9,261
5100515,0,0,0,0,0,0,0,0,0,0
5100516,17,23,20,14,13,10,5,16,0,121
5100517,17,14,12,3,12,3,4,7,0,74
5100518,30,55,50,36,30,38,21,26,0,296
5100519,27,37,48,27,20,29,15,21,0,225
5100520,12,22,22,19,23,14,16,9,3,137
5100521,14,36,30,21,20,15,22,23,0,172
5100522,14,8,25,18,11,20,12,21,0,127
5100524,5,5,36,14,16,20,22,16,3,138
5100525,6,7,29,11,13,14,10,14,4,103
5100526,9,13,29,11,9,10,10,25,3,126
5100527,14,31,32,13,26,22,19,27,5,167
5100528,9,6,11,12,11,10,8,12,0,76
5100529,13,12,19,20,16,18,20,18,3,133
5100530,23,47,61,31,38,30,28,38,8,291
5100531,23,48,38,17,42,15,8,7,4,205
5100532,12,31,32,14,23,10,12,20,3,160
5100533,35,71,105,40,49,58,49,57,7,473
5100534,16,38,50,31,45,23,23,33,7,266
5100536,9,14,27,13,14,23,14,14,0,129
5100537,9,32,30,8,25,17,13,13,6,156
5100538,25,42,32,17,22,18,16,13,4,191
5100539,13,22,29,22,17,14,14,10,0,141
5100540,20,38,46,21,31,15,27,19,3,231
5100541,14,5,19,7,11,3,0,3,0,65
5100542,5,3,12,12,12,5,8,25,4,80
5100543,12,18,22,14,22,16,21,13,0,139
5100544,11,7,25,15,24,10,17,10,3,118
5100545,10,26,30,21,17,21,23,21,7,165
5100546,17,31,41,21,26,20,14,9,3,188
5100547,0,0,0,0,0,0,0,0,0,0
5100548,17,22,44,22,22,25,12,26,6,197
5100549,13,14,14,9,15,8,7,15,0,108
5100550,25,36,30,18,31,20,17,9,3,181
5100551,18,17,27,9,11,5,10,29,3,131
5100701,10,12,31,8,16,17,13,21,3,127
5100702,29,20,21,14,10,4,14,33,0,150
5100703,35,24,50,21,11,18,23,21,4,208
5100704,13,28,35,22,12,20,27,43,8,208
5100705,3,16,19,15,11,9,19,23,0,113
5100706,44,19,16,13,11,7,4,19,0,144
5100707,32,59,24,26,31,18,6,18,6,219
5100708,14,33,52,28,40,21,36,34,5,261
5100709,30,20,28,8,29,17,12,17,4,174
5100710,48,36,37,26,26,6,24,37,4,244
5100711,9,24,30,11,19,9,9,12,3,130
5100713,14,24,45,29,14,26,24,37,0,205
5100714,8,12,28,9,13,12,21,29,0,138
5100801,9,16,27,17,23,15,29,33,4,171
5100802,16,22,61,43,25,28,33,48,7,284
5100803,23,40,23,20,33,11,7,21,0,171
5100804,25,31,32,27,18,11,15,23,4,183
5100805,15,39,37,15,20,27,25,28,0,208
5100806,0,0,0,0,0,0,0,0,0,0
5100807,7,21,38,25,19,14,20,37,4,184
5100808,3,14,7,9,3,5,4,7,0,57
5100809,15,35,60,30,32,36,40,71,3,329
5100810,9,22,39,37,19,16,19,39,4,205
5100811,12,23,11,11,13,14,7,14,3,114
5100812,3,12,24,12,7,13,17,29,0,120
5100813,12,8,26,27,16,20,14,39,3,159
5100814,14,10,16,11,4,15,8,23,0,111
5100815,7,20,38,24,15,24,23,48,4,210
5100816,4,6,27,26,5,14,18,32,0,132
5100901,4,13,25,8,9,15,13,17,3,93
5100902,8,7,31,14,7,25,34,32,0,171
5100903,16,19,42,15,29,16,29,15,0,170
5100904,8,8,14,10,3,12,10,18,3,91
5100905,17,36,59,25,28,12,41,39,4,264
5100906,3,3,16,15,6,10,22,19,6,93
5100907,13,6,22,12,8,0,20,11,0,93
5100908,8,4,26,10,13,18,24,25,0,130
5100909,11,13,24,7,6,9,11,23,0,95
5100910,0,0,0,0,0,0,0,0,0,3
5100911,7,8,16,3,15,6,15,13,0,83
5100912,8,6,26,12,14,5,28,15,3,118
5100913,3,7,19,11,6,13,17,8,3,81
5100914,15,11,41,9,9,12,16,15,4,123
5100915,0,0,0,0,0,0,0,0,0,3
5100916,11,18,40,23,16,9,32,18,3,175
5100917,0,0,0,0,0,0,0,0,0,0
5100918,3,7,18,10,4,8,10,12,3,73
5100920,10,20,57,17,25,12,27,18,4,194
5100921,0,0,0,0,0,0,0,0,0,0
5100922,3,3,12,4,3,10,22,15,0,70
5100923,6,23,46,8,16,10,27,22,0,160
5100924,4,4,19,8,7,0,9,11,4,68
5100925,6,11,26,12,24,7,22,11,0,121
5100926,13,12,30,8,9,15,8,10,0,111
5100927,0,8,12,15,10,10,15,24,3,92
5100928,7,16,35,14,21,17,30,31,3,181
5100929,5,8,25,18,8,9,20,26,0,115
5100930,0,0,0,0,0,0,0,0,0,0
5100931,24,25,61,28,28,10,30,24,9,235
5101001,24,19,20,17,17,16,23,5,0,139
5101002,64,56,41,23,40,15,18,18,0,278
5101003,24,32,43,27,27,19,18,11,0,198
5101004,49,23,26,11,19,16,13,25,0,186
5101005,19,34,52,27,41,15,31,26,4,248
5101006,57,21,34,9,16,14,29,26,7,213
5101007,25,29,37,19,29,13,26,23,6,219
5101101,0,3,3,0,0,0,0,0,0,11
5101201,12,11,44,20,24,24,23,36,3,194
5101202,7,24,35,27,17,23,26,28,3,187
5101203,5,11,39,16,17,12,22,37,0,159
5101204,12,15,26,16,23,10,23,21,10,149
5101205,3,5,30,16,3,20,18,20,0,125
5101206,20,14,34,19,15,21,15,25,0,159
5101207,7,25,32,19,14,27,24,20,0,174
5101208,9,16,22,17,8,7,7,18,3,104
5101209,47,53,43,19,45,32,18,17,9,290
5101210,31,17,17,11,34,18,11,10,4,149
5101213,0,0,0,0,0,0,0,0,0,0
5101214,22,23,48,23,22,24,20,20,3,206
5101215,19,30,63,32,33,25,25,43,12,286
5101216,24,34,53,35,41,34,38,32,3,290
5101217,15,19,26,22,14,16,17,16,0,135
5101218,12,21,46,32,19,31,26,27,10,227
5101219,15,22,34,13,23,18,17,20,0,170
5101220,13,21,33,22,23,27,28,40,3,209
5101221,14,9,45,18,19,12,13,20,0,154
5101222,28,21,58,19,28,24,31,35,3,246
5101223,0,0,0,0,0,0,0,0,0,0
5101224,19,31,45,16,34,32,21,20,0,218
5101225,42,45,60,26,54,39,41,28,0,341
5101226,0,0,0,0,0,0,0,0,0,5
5101227,10,31,50,36,38,38,37,35,3,273
5101228,12,12,36,17,20,26,21,12,0,152
5101229,11,33,44,20,33,25,18,16,8,211
5101230,23,27,66,23,19,23,30,17,3,233
5101231,6,8,20,7,9,16,12,10,0,89
5101401,7,7,24,14,13,15,26,25,4,134
5101402,53,14,34,16,27,15,21,11,9,199
5101404,18,20,30,10,16,21,22,41,3,184
5101405,16,10,41,16,23,20,14,62,7,200
5101406,7,6,12,11,9,6,9,30,0,83
5101407,19,6,26,16,15,7,13,73,0,178
5101408,10,6,16,9,8,10,20,47,3,120
5101409,4,3,11,9,3,5,6,31,0,74
5101410,13,9,32,10,18,13,16,16,0,131
5101411,6,7,27,11,12,4,13,41,3,126
5101412,7,9,30,22,13,7,20,20,0,130
5101413,0,0,10,5,0,3,4,8,0,31
5101414,3,3,7,0,0,0,3,8,0,32
5101415,66,14,41,13,16,5,32,26,10,231
5101416,14,18,16,3,11,9,12,9,0,94
5101417,57,28,29,24,27,24,9,41,4,238
5101418,43,16,28,10,14,3,13,31,4,151
5101419,41,24,29,14,21,13,22,29,5,201
5101420,13,28,58,13,29,18,14,27,7,214
5101421,20,35,70,25,36,29,34,45,4,294
5101423,11,11,25,23,17,14,25,21,0,141
5101424,31,14,28,7,13,10,12,25,0,142
5101425,34,23,43,16,30,19,14,21,3,206
5101426,18,29,31,11,10,9,17,8,0,135
5101427,8,5,15,0,5,12,5,13,0,65
5101501,8,17,26,20,15,13,7,17,0,118
5101502,9,28,38,18,20,20,7,22,0,177
5101503,14,21,41,25,17,18,23,36,4,195
5101504,10,9,29,11,15,15,8,15,3,116
5101505,21,45,40,20,43,27,19,23,3,229
5101506,0,0,0,0,0,0,0,0,0,0
5101507,21,30,50,30,38,33,13,43,4,254
5101508,27,34,31,14,32,16,10,21,0,193
5101509,3,16,20,5,8,17,12,18,0,109
5101510,18,30,37,18,30,23,22,27,5,202
5101513,14,14,39,35,23,16,26,44,3,215
5101514,21,29,62,28,29,27,43,64,3,308
5101515,10,9,33,14,25,12,15,23,3,147
5101516,0,0,0,0,0,0,0,0,0,0
5101517,18,25,48,25,31,24,19,33,0,221
5101518,19,20,18,9,18,23,17,19,0,147
5101519,0,0,0,0,0,0,0,0,0,0
5101520,11,14,37,17,19,17,11,19,3,138
5101521,22,23,26,16,42,19,14,17,3,189
5101601,13,12,27,15,14,3,19,11,0,121
5101602,3,18,38,21,12,13,49,22,3,181
5101603,14,6,18,4,9,8,14,13,0,82
5101604,7,12,28,12,17,5,18,16,3,107
5101605,0,0,22,15,5,10,20,18,0,81
5101606,0,6,21,11,12,7,14,17,0,85
5101607,15,13,41,32,12,12,33,32,7,197
5101608,74,21,70,33,29,18,43,37,7,333
5101609,7,12,23,14,16,11,13,16,3,114
5101610,0,0,0,0,0,0,0,0,0,0
5101611,14,21,49,18,22,17,21,30,10,203
5101612,6,6,10,13,0,4,3,3,4,51
5101701,61,22,20,11,15,10,13,27,0,176
5101702,22,13,24,16,16,14,14,31,9,160
5101703,57,42,38,18,35,16,25,29,3,268
5101704,132,20,15,8,9,7,8,20,0,217
5101705,50,18,17,7,23,12,19,21,0,165
5101706,14,12,25,9,6,3,23,22,4,122
5101707,24,11,27,11,13,11,9,15,3,121
5101708,36,8,17,3,10,8,21,20,3,129
5101709,8,21,12,13,14,13,10,20,0,121
5101710,11,23,47,31,16,9,13,22,3,168
5101711,9,30,12,20,20,10,12,14,0,140
5101712,7,22,29,11,9,3,4,11,0,95
5101713,18,13,10,16,7,3,10,12,0,87
5101714,9,18,20,8,15,14,6,18,3,114
5101715,13,22,15,13,5,8,14,5,4,107
5101716,12,16,19,12,15,14,10,12,0,109
5101717,17,18,22,9,10,16,13,11,0,118
5101718,10,4,11,12,13,7,10,12,0,77
5101719,33,16,23,15,7,8,9,20,3,125
5101801,6,15,14,7,15,7,26,14,0,107
5101802,36,20,21,17,12,11,25,14,0,160
5101803,3,11,15,17,14,9,10,17,0,100
5101804,6,3,14,10,3,11,13,12,3,67
5101805,22,25,38,14,24,10,18,30,0,183
5101806,26,56,50,23,28,15,26,22,6,248
5101807,43,22,19,4,12,3,15,14,0,138
5101808,35,21,22,14,13,11,15,16,3,148
5101809,38,14,24,10,16,10,0,13,3,136
5101810,10,17,19,9,7,5,5,22,0,103
5101811,50,26,16,14,15,9,17,18,0,180
5101812,75,13,29,20,15,16,20,33,0,218
5101813,19,13,31,20,26,11,32,33,0,180
5101814,4,9,15,16,4,13,24,8,0,99
5101815,36,27,25,18,24,12,21,34,3,204
5101816,22,20,29,7,21,4,9,33,4,146
5101901,31,13,39,23,18,15,29,47,0,226
5101902,9,9,20,10,16,14,24,22,0,112
5101903,11,16,30,17,18,17,13,32,3,152
5101904,11,19,26,14,30,28,11,18,6,156
5101905,33,34,24,15,39,8,13,10,0,177
5101906,15,4,8,3,6,9,3,8,0,65
5101907,10,3,30,15,20,17,19,41,3,157
5101908,67,18,27,12,23,19,18,33,0,218
5101909,40,24,29,12,18,18,19,42,3,209
5101910,44,34,34,20,16,14,11,20,3,190
5101911,20,18,27,15,19,20,7,18,0,158
5101912,5,14,17,7,11,11,7,23,0,97
5101913,18,16,26,9,29,18,13,42,0,175
5101914,40,31,31,21,35,17,22,33,3,239
5101915,3,10,17,12,6,9,8,19,0,98
5101916,3,3,13,11,8,9,9,13,3,79
5102001,19,21,16,13,13,12,3,17,4,125
5102002,28,9,10,9,3,3,5,15,0,72
5102003,67,19,13,3,15,11,7,14,6,143
5102004,78,22,19,15,15,10,11,34,3,198
5102005,65,29,24,12,16,18,23,35,8,233
5102006,60,25,12,16,18,15,13,17,3,174
5102007,22,9,19,14,13,3,13,23,0,110
5102008,18,8,14,10,4,3,4,22,0,87
5102009,37,21,23,31,13,26,25,44,8,218
5102010,67,30,33,13,18,21,16,28,3,230
5102011,10,8,6,5,8,10,19,24,8,112
5102012,26,12,3,14,12,18,12,15,8,113
5102013,61,23,6,14,22,8,6,24,0,163
5102014,36,33,28,15,19,21,13,52,0,215
5102101,25,22,40,20,17,11,19,23,4,166
5102102,25,27,36,7,26,19,11,21,0,167
5102103,5,17,32,17,11,7,16,18,0,117
5102104,29,28,65,26,37,26,26,34,6,272
5102105,19,25,61,28,22,20,25,20,3,228
5102106,15,18,14,14,19,12,13,14,3,109
5102107,10,20,20,10,13,16,12,0,0,99
5102108,16,19,29,14,18,14,6,11,0,119
5102109,42,40,35,23,45,26,13,11,5,241
5102110,0,0,0,0,0,0,0,0,0,0
5102111,6,9,17,15,11,5,12,10,0,85
5102112,14,20,13,9,21,9,7,11,6,113
5102113,12,35,60,33,26,28,33,27,5,256
5102114,8,18,24,13,8,15,6,10,0,116
5102115,16,27,36,19,18,16,8,17,0,162
5102116,25,37,55,25,38,25,21,25,5,252
5102117,14,16,12,8,10,5,9,14,0,87
5102201,10,18,22,14,14,10,18,4,0,113
5102202,11,14,24,11,13,14,8,11,0,100
5102203,8,31,29,9,15,8,0,15,3,116
5102204,39,54,96,50,31,43,21,38,6,384
5102205,36,43,42,23,32,32,13,14,0,239
5102206,10,20,22,13,13,13,17,13,4,117
5102207,7,26,38,16,15,14,11,18,0,144
5102208,14,19,14,13,16,18,5,16,3,116
5102209,7,22,19,16,14,15,6,16,0,132
5102210,16,26,32,21,22,25,17,23,0,188
5102211,24,39,39,29,28,27,30,21,6,239
5102212,16,23,27,22,12,15,14,7,3,141
5102213,11,20,16,24,16,18,19,21,7,147
5102214,33,40,47,14,31,23,12,22,3,215
5102215,8,24,33,20,15,8,15,21,0,144
5102216,4,17,22,8,10,10,19,10,4,106
5102217,9,5,17,10,22,8,9,14,0,91
5102218,15,24,21,13,22,16,13,14,3,146
5102219,33,43,51,19,28,24,18,23,0,245
5102220,16,19,29,16,17,13,17,16,3,141
5102301,10,13,28,26,10,28,16,36,4,168
5102302,9,11,13,5,4,3,4,0,0,51
5102303,12,24,24,18,14,8,13,13,0,129
5102304,3,11,29,11,12,9,16,23,5,118
5102306,9,18,33,28,25,16,18,27,4,173
5102307,10,12,37,13,9,15,20,23,4,146
5102308,16,20,51,25,19,26,23,27,3,215
5102309,28,46,51,31,32,19,19,18,0,249
5102310,18,25,32,15,32,16,23,26,4,186
5102311,9,13,39,19,16,23,25,23,3,174
5102312,0,14,23,13,8,18,11,5,0,105
5102314,5,13,27,14,29,11,16,14,3,135
5102315,4,7,15,12,3,8,9,12,3,78
5102316,8,5,17,11,6,11,6,12,0,81
5102317,11,19,34,24,8,20,15,26,0,153
5102318,7,16,42,23,15,23,15,25,3,169
5102319,5,14,38,27,20,20,24,24,11,187
5102320,12,13,42,33,16,14,18,26,4,165
5102321,0,0,0,0,0,0,0,0,0,0
5102322,0,9,0,0,4,0,0,3,0,13
5102323,10,6,16,13,8,14,18,11,3,106
5102324,8,9,24,14,9,7,8,15,3,107
5102325,16,19,33,17,15,22,30,30,3,189
5102326,7,9,30,20,14,13,17,29,7,142
5102401,40,33,20,17,32,20,6,9,5,178
5102402,32,20,12,20,23,10,6,11,0,133
5102403,11,26,37,9,27,22,20,18,0,169
5102404,20,27,26,9,15,17,10,11,3,141
5102405,14,26,30,9,10,24,13,8,0,130
5102406,26,44,42,28,30,22,13,23,4,234
5102407,17,39,37,24,18,17,20,30,0,194
5102408,17,30,44,23,18,15,9,17,7,188
5102409,14,27,21,25,17,16,16,23,4,165
5102410,16,31,55,26,32,27,25,23,3,245
5102411,18,37,35,13,24,16,17,19,3,172
5102412,11,16,26,14,17,16,8,15,0,122
5102413,13,13,20,16,11,19,8,13,0,118
5102414,10,27,26,17,26,13,17,13,0,149
5102415,20,38,29,20,23,22,12,21,0,173
5102416,49,81,69,46,50,45,19,38,9,410
5102417,21,21,59,39,27,30,24,27,0,250
5102418,0,0,0,0,0,0,0,0,0,0
5102419,14,14,21,16,7,15,17,21,0,129
5102420,4,10,15,14,3,6,6,9,3,84
5102421,24,32,45,26,27,26,29,22,3,247
5102422,10,18,39,22,20,16,14,25,5,164
5102423,15,36,40,27,15,26,25,24,3,211
5102424,7,16,36,24,13,12,8,17,3,134
5102425,15,9,39,20,13,15,16,21,3,163
5102426,8,18,24,21,10,13,9,12,0,120
5102427,72,107,105,67,68,67,43,53,3,581
5102428,12,25,29,24,27,23,26,21,3,189
5102429,28,42,60,36,35,41,22,15,0,281
5102430,18,34,33,23,20,21,16,16,3,176
5102431,8,17,7,9,10,6,10,12,0,78
5102432,16,19,35,30,26,22,20,22,3,187
5102433,41,34,33,24,46,24,15,6,0,225
5102434,13,5,13,10,9,16,10,4,0,81
5102436,11,28,25,22,13,17,8,17,3,153
5102437,5,18,37,12,17,17,19,15,5,147
5102438,0,0,0,0,3,0,0,0,0,5
5102439,19,29,36,20,20,21,22,20,3,184
5102440,17,44,46,40,28,35,37,26,3,276
5102441,0,0,0,0,0,0,0,0,0,0
5102501,20,29,32,23,14,10,16,25,5,177
5102503,4,4,13,7,12,4,12,3,0,61
5102504,22,17,28,27,12,17,23,34,4,177
5102505,27,39,42,23,25,21,18,20,0,211
5102506,12,23,21,12,12,14,7,14,3,129
5102507,19,33,40,29,20,15,11,18,3,186
5102508,4,15,22,16,10,11,10,16,0,114
5102509,8,10,12,8,12,7,6,13,0,76
5102510,5,9,8,8,8,20,6,12,0,82
5102511,13,18,26,23,17,20,6,18,0,155
5102512,10,6,23,23,9,13,8,20,3,113
5102513,8,9,25,16,13,7,15,14,3,102
5102514,7,11,28,17,13,18,18,20,4,130
5102515,9,15,26,18,10,3,13,20,0,112
5102516,6,9,36,27,10,25,12,35,0,165
5102517,3,15,16,9,7,19,8,16,0,97
5102518,7,18,31,21,16,11,18,16,7,141
5102519,5,13,28,18,5,18,11,26,0,132
5102520,16,25,41,28,10,16,18,38,3,189
5102522,4,11,12,9,4,3,0,3,0,49
5102523,64,63,29,22,53,34,23,10,6,308
5102524,0,0,0,0,0,0,0,0,0,0
5102525,0,0,0,0,0,0,0,0,0,0
5102526,16,33,34,24,19,24,21,25,5,213
5102601,4,5,16,11,17,7,20,15,6,102
5102602,12,21,36,17,23,14,14,16,3,158
5102603,27,23,31,10,10,20,15,13,3,153
5102604,17,22,28,15,19,11,20,21,3,168
5102605,8,20,33,12,23,18,23,27,11,176
5102606,9,24,26,10,10,13,13,14,5,122
5102607,19,12,23,19,12,24,19,8,3,131
5102608,9,18,13,5,7,10,10,7,0,78
5102609,10,19,26,23,25,17,25,3,6,144
5102611,8,6,12,4,3,3,7,7,3,64
5102612,4,10,19,7,5,10,12,9,0,76
5102613,17,17,32,7,17,23,22,26,0,163
5102614,10,19,21,8,18,12,12,8,0,110
5102615,6,5,14,9,5,3,10,15,0,72
5102616,16,8,19,10,15,6,10,14,3,109
5102617,25,31,52,29,24,35,18,28,3,249
5102705,19,26,27,19,20,13,21,19,0,163
5102706,9,25,25,13,16,19,4,16,4,131
5102707,10,13,29,20,19,14,12,14,3,132
5102708,31,42,61,36,39,26,31,21,0,286
5102709,13,34,50,19,27,14,13,14,3,188
5102710,19,26,31,24,24,22,11,20,0,176
5102712,10,18,22,15,12,9,7,17,0,110
5102713,3,5,5,3,10,3,4,0,0,35
5102716,42,64,59,45,47,41,24,24,0,353
5102717,22,28,35,19,27,18,17,15,7,185
5102720,3,11,13,10,8,4,9,9,3,69
5102721,35,49,25,18,34,22,16,18,6,222
5102722,10,20,40,21,20,10,16,17,3,158
5102723,16,28,42,27,24,30,19,27,0,216
5102724,15,42,41,22,26,15,19,21,8,201
5102725,29,25,57,29,35,19,20,14,4,231
5102726,0,0,0,3,0,0,0,5,0,10
5102727,13,26,38,32,21,21,18,9,0,188
5102728,54,80,66,41,54,41,20,28,5,383
5102729,22,40,37,25,21,23,21,17,0,216
5102730,17,35,61,40,24,29,25,32,7,263
5102731,14,19,41,22,35,27,26,25,4,208
5102732,11,26,32,18,23,13,10,25,8,170
5102733,26,16,36,31,22,15,17,20,0,180
5102734,12,29,37,21,13,10,11,14,3,143
5102735,14,32,44,49,30,18,16,30,5,249
5102736,3,12,18,16,10,10,4,6,0,95
5102737,23,36,49,39,29,33,25,26,7,259
5102738,16,27,48,32,24,20,19,31,6,226
5102739,9,26,28,31,30,14,11,18,3,171
5102740,12,31,36,30,23,31,21,18,8,208
5102741,0,0,0,0,0,0,0,0,0,0
5102742,9,23,38,19,25,14,11,15,0,155
5102743,16,28,33,17,23,18,15,23,3,167
5102744,4,5,15,12,8,4,5,6,0,53
5102745,31,34,48,30,28,21,7,19,0,212
