SA1_7DIGITCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
5127206,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,3,4,25,6,3,3,3,19,3,74,4,6,32,0,3,0,5,24,10,78,3,8,39,14,8,0,16,10,3,96,3,7,19,0,3,0,10,4,0,42,0,0,6,0,0,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,30,119,19,20,11,41,56,14,327
5127207,0,0,3,0,0,7,0,0,0,14,0,0,4,0,0,0,0,0,0,15,4,10,15,3,3,3,3,7,0,45,3,7,11,4,6,3,3,4,0,41,0,3,4,0,8,0,3,0,0,29,0,4,0,0,7,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,22,40,15,23,10,16,15,3,148
5127208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,5,3,0,3,0,25,3,3,9,4,0,0,3,0,0,19,3,0,12,0,0,0,3,3,0,19,0,3,4,0,3,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,21,7,5,6,7,11,0,82
5127209,0,0,0,0,0,3,0,0,0,7,0,4,3,0,0,3,5,4,0,13,3,0,13,0,0,3,10,3,0,35,0,4,7,0,0,0,5,0,0,26,3,6,0,0,0,0,3,0,3,22,0,7,3,0,3,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,31,6,5,9,24,17,3,114
5127210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5127211,0,0,0,3,0,0,0,0,0,6,0,4,3,0,0,0,0,0,0,8,0,4,5,4,3,0,3,0,0,27,0,11,11,0,9,3,3,3,0,39,4,4,8,0,7,0,4,4,0,28,0,0,3,0,3,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,32,9,18,4,17,12,4,126
5127212,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,0,12,3,3,11,5,6,3,0,8,0,35,0,8,3,4,3,0,3,5,3,26,4,3,6,4,6,3,3,3,0,31,0,3,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,24,10,16,7,12,20,5,120
5127213,0,0,0,0,0,4,0,0,0,3,0,7,10,0,7,3,0,3,0,24,10,14,18,0,13,3,4,6,0,53,10,12,25,8,4,3,4,3,0,59,8,4,3,0,7,3,3,3,0,38,5,3,3,0,7,3,3,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,55,8,38,14,20,26,0,224
5127214,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,5,0,10,0,0,4,3,0,0,3,3,0,17,3,7,4,3,0,0,0,0,0,19,0,3,3,3,3,0,0,3,0,18,3,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,10,9,4,7,7,13,0,83
5127215,0,0,0,0,0,3,0,0,0,6,0,0,5,0,0,3,0,0,0,15,5,11,6,4,9,0,5,3,0,45,4,4,14,3,3,0,5,0,0,43,5,6,7,0,8,4,11,4,0,49,3,5,11,0,0,3,3,4,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,45,18,18,14,25,19,8,197
5127216,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,3,0,11,9,11,32,6,3,0,7,22,3,95,7,19,24,3,4,0,13,16,0,82,12,11,25,0,4,0,9,10,0,67,0,13,3,0,0,0,11,3,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,56,99,10,12,0,39,48,8,296
5127217,0,0,0,0,0,5,0,0,0,7,0,0,3,0,0,0,3,3,0,12,8,3,6,3,6,3,9,0,0,39,9,8,12,7,0,0,3,0,0,43,3,10,7,6,6,0,4,0,0,37,0,5,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,38,17,14,7,17,12,0,150
5127218,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,3,12,0,10,6,3,8,0,37,0,0,9,0,4,0,3,3,0,23,0,0,6,0,0,0,8,0,0,19,0,0,3,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,12,11,16,10,0,94
5127219,0,0,0,7,3,5,0,3,0,23,0,0,10,0,0,0,3,4,0,20,9,15,22,9,13,3,10,3,3,92,14,18,18,13,9,3,8,5,4,98,7,6,12,9,9,0,6,4,3,54,0,4,4,7,0,0,3,0,0,24,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,70,38,42,24,36,20,7,318
5127220,0,0,0,3,0,0,0,0,0,9,0,0,3,4,0,0,3,0,0,17,6,3,10,4,11,3,3,10,3,49,5,11,11,4,4,0,7,10,0,44,3,3,4,3,3,0,8,8,0,35,0,0,3,3,6,0,0,9,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,39,21,19,8,18,34,0,176
5127221,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,4,0,10,0,4,5,7,3,3,5,5,0,34,0,6,11,3,7,6,4,3,0,42,3,5,6,0,3,0,6,3,0,25,7,3,0,7,5,0,0,3,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,22,19,18,14,20,21,3,137
5127222,0,0,0,0,0,3,0,3,0,5,0,0,3,0,0,3,0,0,0,6,4,0,10,0,3,0,0,0,0,22,0,3,4,3,4,0,3,0,0,21,0,0,3,4,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,3,11,5,10,3,5,70
5127223,0,0,0,0,0,3,0,0,0,7,0,0,4,0,3,0,0,3,0,13,6,7,15,7,12,3,6,7,3,58,3,7,9,6,7,3,6,0,0,46,4,0,10,5,9,0,15,4,0,51,6,5,3,0,9,0,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,44,17,33,12,39,21,3,208
5127224,0,0,7,6,0,3,0,0,0,9,0,5,6,3,3,0,0,4,0,17,9,7,13,9,0,3,9,9,3,63,13,9,11,11,15,3,5,4,3,79,5,5,13,3,9,3,6,3,0,52,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,50,26,33,16,20,28,9,234
5127225,0,0,3,0,0,0,0,0,0,5,0,0,7,0,3,0,0,0,0,12,0,8,13,3,7,0,3,3,3,42,0,6,19,0,11,0,3,3,0,46,0,8,6,3,0,0,3,3,0,27,0,6,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,47,5,25,0,11,6,5,150
5127226,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,10,8,0,18,0,6,4,7,4,0,53,4,3,14,9,7,3,20,7,0,72,4,0,3,3,8,3,4,9,6,36,4,0,8,0,5,3,4,5,0,29,0,0,3,0,3,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,53,17,29,17,35,24,9,217
5127227,0,4,3,5,0,4,0,4,0,17,7,0,4,0,0,0,0,6,0,27,4,8,22,11,6,13,3,9,7,77,5,0,14,3,5,0,8,6,0,35,5,0,5,3,0,0,3,10,0,24,0,0,4,0,3,3,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,50,25,15,30,20,33,6,204
5127228,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,5,0,0,14,4,4,9,5,4,3,5,5,0,52,4,4,8,3,3,3,4,0,0,37,5,3,0,0,4,0,3,4,0,21,3,3,7,0,3,0,0,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,27,11,16,10,20,16,5,147
5127229,0,4,9,3,8,19,3,9,0,50,3,17,11,11,11,9,5,11,0,76,44,75,85,26,52,13,44,31,3,362,75,55,85,38,34,5,26,17,10,347,29,39,19,22,27,7,12,14,4,177,18,13,16,6,8,0,7,0,0,62,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,202,224,96,139,49,97,90,25,1092
