SA1_7DIGITCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
5104604,33,2000,952,360,2403,0.7,1441,2
5104605,40,2167,1086,400,2318,0.7,1771,2.2
5104606,44,2871,1109,563,3527,0.7,3360,2.9
5104607,42,2134,1190,600,3053,0.7,2916,2.9
5104608,0,0,0,0,0,0,0,0
5104609,38,1767,969,320,2276,0.8,1531,1.8
5104610,43,2000,702,260,1767,1.2,1162,2
5104611,33,1594,877,320,2021,0.8,1489,1.9
5104612,33,2000,1088,325,2681,0.9,1987,2.2
5104613,35,2167,888,330,2018,0.8,1404,1.9
5104614,31,1733,807,270,1478,1.1,1178,1.8
5104615,32,1843,885,300,2116,0.8,1458,1.8
5104616,34,1733,811,300,1859,0.8,1493,2
5104617,36,2277,783,335,2132,0.9,1424,2.1
5104618,36,1964,854,300,2625,0.8,1678,2
5104619,33,1882,881,300,1875,0.9,1387,1.9
5104620,31,1975,808,300,2018,0.8,1216,2
5104621,31,1664,763,300,1798,1,1168,1.8
5104622,33,1733,652,288,1239,0.9,968,1.8
5104623,34,1647,803,310,1855,0.9,1323,2.1
5104624,34,1539,752,260,1521,1,1131,1.7
5104625,33,1571,827,273,1660,1.1,1181,2
5104626,35,2000,842,350,1908,0.8,1553,2.1
5104627,36,2058,1025,350,2206,0.8,1775,2.1
5104628,33,1733,839,320,1708,0.8,1244,1.7
5104701,38,1939,687,388,1593,0.7,1511,2.5
5104702,38,1900,616,373,1482,0.8,1353,2.5
5104703,35,2023,610,380,1521,0.7,1197,2.4
5104704,36,2200,583,400,1375,0.8,1422,2.9
5104705,35,2000,725,369,1862,0.8,1614,2.6
5104706,37,1800,618,360,1520,0.7,1327,2.4
5104707,34,1733,561,390,1516,0.8,1451,2.9
5104708,36,1928,566,398,1485,0.7,1212,2.4
5104709,43,1900,617,383,1715,0.7,1647,2.8
5104710,36,1733,543,400,1410,0.8,1055,2.4
5104711,36,1963,575,360,1586,0.8,1345,2.5
5104712,37,2000,632,385,1614,0.9,1216,2.5
5104713,35,2000,586,390,1449,0.7,1261,2.4
5104714,39,1854,578,380,1854,0.8,1652,2.7
5104715,0,0,0,0,0,0,0,0
5104716,35,1703,554,365,1395,0.8,1206,2.3
5104717,35,2180,669,360,1625,0.8,1437,2.6
5104718,38,1582,637,375,1764,0.7,1520,2.7
5104719,44,1625,673,383,1875,0.7,1402,2.6
5104720,43,2000,667,330,2017,0.7,1550,2.8
5104721,36,1733,592,400,1442,0.7,1267,2.4
5104722,39,1663,609,450,1713,0.8,1660,3.1
5104723,36,1665,642,370,1607,0.8,1399,2.4
5104724,36,2000,653,350,1708,0.7,1548,2.6
5104725,37,2167,527,400,1281,0.8,1140,2.6
5104726,33,1950,620,399,1589,0.8,1454,2.8
5104727,42,1500,518,368,1404,0.7,1212,2.5
5104728,33,2000,667,400,1718,0.8,1557,2.8
5104729,34,1733,686,380,1355,0.8,1243,2.2
5104730,37,2000,631,390,1781,0.7,1609,2.6
5104731,38,1717,470,350,1201,0.8,1166,2.6
5104732,39,1945,640,388,1762,0.7,1476,2.5
5104733,37,1788,619,393,1611,0.8,1367,2.6
5104734,36,1950,715,400,1812,0.8,1476,2.6
5104735,37,1900,641,400,1567,0.8,1455,2.6
5104736,35,1970,612,410,1437,0.7,1367,2.4
5104737,38,1733,676,383,1616,0.7,1506,2.5
5104738,39,1950,672,385,1557,0.7,1460,2.6
5104739,37,2000,696,380,1525,0.7,1398,2.5
5104740,37,1657,587,400,1412,0.7,1442,2.7
5104741,37,2010,617,380,1516,0.7,1300,2.5
5104742,45,1842,601,400,1830,0.7,1511,2.7
5104743,39,1832,557,350,1692,0.7,1416,2.7
5104744,56,1950,503,280,1462,0.7,1086,2.2
5104745,41,1777,727,398,1899,0.7,1797,2.8
5104801,0,0,0,0,0,0,0,0
5104802,44,1800,722,415,2200,0.8,2087,3
5104803,45,2000,562,300,1569,0.8,1430,2.5
5104804,43,1928,682,335,1888,0.7,1708,2.7
5104805,40,2167,721,398,2166,0.7,2031,3.1
5104806,45,1950,629,400,1741,0.7,1562,2.7
5104807,43,1850,601,410,1775,0.8,1615,2.9
5104808,44,2000,674,320,1718,0.7,1218,2.3
5104809,40,1961,684,340,1792,0.7,1625,2.7
5104810,49,1863,618,350,1971,0.7,1312,2.3
5104811,41,1820,678,350,1852,0.7,1586,2.6
5104812,48,1500,607,338,1902,0.7,1513,2.6
5104813,40,1850,514,390,1637,0.8,1514,2.6
5104814,45,2000,617,420,1671,0.7,1514,2.7
5104815,43,1874,612,400,1697,0.8,1545,2.8
5104816,48,2000,597,300,1652,0.6,1548,2.6
5104817,44,1600,588,300,1625,0.8,1406,2.6
5104818,45,1947,512,380,1228,0.8,1224,2.3
5104819,46,2000,620,400,1850,0.6,1385,2.6
5104820,41,1950,732,395,1765,0.7,1481,2.5
5104821,45,2058,692,490,2045,0.7,1843,2.7
5104901,39,1800,653,360,1645,0.7,1406,2.8
5104902,39,1932,737,243,1968,0.7,1731,2.8
5104903,45,2000,791,100,1974,0.8,1825,2.8
5104904,37,1950,641,360,1694,0.8,1544,2.7
5104906,48,1950,655,400,1899,0.8,1692,2.6
5104907,40,1733,625,420,1843,0.7,1607,2.7
5104908,46,1975,697,390,2100,0.7,1875,2.8
5104909,47,1842,450,0,1791,0.7,1687,3.1
5104910,50,2383,541,286,1625,0.8,1281,2.3
5104911,48,1192,630,0,2150,1,2166,2.8
5104912,34,0,0,0,0,0,0,0
5104913,36,0,0,0,0,0,0,0
5105001,43,2000,619,0,2058,0.8,1937,2.9
5105002,45,1920,631,380,1833,0.7,1483,2.4
5105003,0,0,0,0,0,0,0,0
5105004,44,2050,807,440,2125,0.7,1926,2.7
5105005,39,2000,825,480,2139,0.8,1985,2.7
5105006,42,1800,729,400,2161,0.7,2055,2.8
5105007,44,1950,718,360,1963,0.7,1649,2.4
5105008,43,2167,791,500,2700,0.8,2291,2.8
5105009,43,2225,666,501,2272,0.8,2022,2.7
5105010,46,2167,790,420,2345,0.7,2083,2.6
5105011,50,2300,718,400,1937,0.6,1731,2.5
5105012,48,2167,810,318,2388,0.8,2220,2.8
5105013,45,2442,748,443,2197,0.8,1937,2.8
5105014,44,1907,755,350,2175,0.7,1899,2.8
5105015,43,2167,813,400,2238,0.7,1899,2.6
5105016,43,2100,620,305,2113,0.8,1562,2.6
5105017,41,2223,633,0,2549,0.9,1963,3.3
5105018,41,2200,713,410,2044,0.7,1733,2.7
5105019,46,2167,613,335,1899,0.8,1899,2.9
5105020,42,2000,697,425,2266,0.8,2015,2.9
5105101,45,2113,812,410,2187,0.7,1937,2.5
5105103,48,2000,692,350,1787,0.7,1481,2.4
5105104,38,1547,536,192,1312,0.8,1111,2.3
5105105,34,1500,641,320,1458,0.7,1234,2.4
5105106,42,2000,582,330,1728,0.7,1562,2.8
5105107,41,2000,819,340,2173,0.7,1887,2.7
5105108,38,2400,764,330,2205,0.7,1867,2.5
5105109,38,1950,772,535,2457,0.8,2625,3.5
5105111,31,2500,949,555,2527,0.7,2384,3.2
5105112,36,2600,892,425,2416,0.7,2053,2.6
5105113,41,2008,740,428,2083,0.7,1937,2.8
5105114,44,1775,752,425,2319,0.7,2250,3.1
5105115,47,1970,646,132,1833,0.8,1566,2.6
5105201,68,0,416,0,1024,0.5,849,1.6
5105301,42,2000,728,428,1805,0.7,1702,2.5
5105302,38,1842,812,420,2050,0.7,1864,2.6
5105303,34,2000,704,450,2261,0.8,2083,3.3
5105304,37,2383,788,450,2521,0.8,2476,3.2
5105305,49,1950,707,380,1821,0.7,1513,2.4
5105306,44,1975,670,445,1812,0.7,1666,2.7
5105307,46,2025,527,365,1875,0.6,1463,2.8
5105308,40,1885,704,450,2019,0.8,1640,2.8
5105309,44,2000,779,350,2291,0.8,2166,3.1
5105310,43,2167,597,465,2053,0.7,1892,2.8
5105311,41,2167,780,0,2666,0.8,2711,3.1
5105312,47,2000,712,500,2017,0.8,2014,2.9
5105313,49,1703,681,0,2353,0.7,2288,2.9
5105314,45,1975,629,400,1846,0.8,1708,2.8
5105315,57,0,687,345,1687,0.6,1562,2
5105316,45,2167,663,325,2112,0.8,2087,2.9
5105317,32,2320,745,403,2218,0.8,2197,3.4
5105318,37,1700,753,400,1937,0.7,1708,2.7
5105319,38,2000,530,373,1762,0.7,1536,2.6
5105320,38,2024,720,423,1812,0.8,1625,2.6
5105321,38,2000,596,380,1678,0.8,1545,2.7
5105322,39,2167,702,400,2019,0.7,1765,2.8
5105323,43,1777,575,420,1354,0.7,1295,2.7
5105324,41,2148,661,470,2031,0.7,1912,3
5105325,41,2167,578,400,1718,0.7,1512,2.8
5105326,50,1670,700,410,2208,0.7,1542,2.5
5105327,40,1625,809,360,2096,0.7,1724,2.3
5105328,46,2167,735,200,1812,0.7,1708,2.6
5105329,42,2000,705,440,2024,0.8,1875,2.9
5105330,48,2167,916,0,2678,0.7,2535,2.8
5105331,45,1926,612,440,1899,0.6,1593,2.6
5105332,0,0,0,0,0,0,0,0
5105333,47,1700,738,225,1978,0.6,1857,2.7
5105334,43,2167,716,400,2125,0.7,1812,2.9
5105335,49,2000,655,360,1875,0.8,1341,2.3
5105336,41,1681,614,400,1625,0.7,1350,2.6
5105337,62,1975,477,300,1321,0.7,687,1.7
5105338,46,1889,571,240,1949,0.8,1800,2.8
5105401,39,1920,685,364,1770,0.7,1390,2.4
5105402,55,1598,514,375,1424,0.9,752,1.9
5105403,33,1857,756,360,1809,0.7,1617,2.7
5105404,38,1600,644,330,1639,0.7,1508,2.8
5105405,36,1430,550,315,1361,0.7,1261,2.5
5105406,39,1517,570,325,1541,0.7,1275,2.4
5105407,46,1950,642,405,1922,0.7,1656,2.7
5105408,44,1910,589,350,1513,0.7,1339,2.4
5105409,43,1681,551,368,1321,0.6,1125,2.2
5105410,55,1340,464,250,1031,0.7,527,1.4
5105411,43,2080,734,385,1783,0.8,1694,2.7
5105412,46,1712,445,325,1218,0.7,866,2
5105413,33,1420,464,250,1109,0.9,974,2.7
5105414,52,1932,657,200,1968,0.7,1792,2.5
5105415,51,2167,755,250,2112,0.6,1800,2.6
5105416,45,2100,693,360,2011,0.8,1687,2.6
5105417,47,1679,541,178,1517,0.7,1062,2.2
5105418,41,1967,661,380,1579,0.7,1534,2.8
5105419,40,1452,603,350,1273,0.7,1134,2.3
5105420,34,1733,735,335,1625,0.7,1240,2.4
5105421,57,1733,610,373,1395,0.7,1234,2.3
5105422,41,2000,727,420,2015,0.7,1542,2.5
5105423,37,1950,700,330,1875,0.7,1463,2.7
5105424,34,1733,739,360,1887,0.6,1674,2.5
5105425,47,2000,702,176,2176,0.7,1792,2.8
5105426,41,1546,768,325,2050,0.7,1612,2.6
5105427,42,1600,563,350,1514,0.7,1325,2.4
5105428,36,1842,652,333,1800,0.7,1519,2.9
5105429,35,1311,474,200,1231,0.8,944,2.4
5105430,39,1354,529,335,1512,0.7,1182,2.3
5105431,38,1850,479,170,1017,0.8,733,2.3
5105432,37,1354,563,295,1224,0.8,1134,2.4
5105501,33,0,850,0,0,0,0,0
5105601,31,1737,467,400,1281,0.8,1375,3.4
5105602,31,1700,525,450,1625,0.8,1666,3.5
5105603,38,2080,628,400,1678,0.8,1652,3
5105604,31,1948,624,390,1625,0.9,1562,3.2
5105605,38,1950,521,191,1514,0.7,1148,2.5
5105606,42,1300,539,330,1325,0.7,1088,2.4
5105607,38,1825,702,360,1692,0.7,1542,2.6
5105608,34,1733,620,353,1794,0.8,1757,3
5105609,34,1708,638,405,1562,0.8,1449,2.9
5105610,37,1465,522,375,1724,0.8,1517,3
5105611,32,1767,675,380,1642,0.7,1468,2.7
5105612,30,1975,604,355,1591,0.8,1463,3
5105613,34,1851,642,400,1837,0.8,1652,3
5105614,33,1733,755,400,1625,0.8,1625,3.2
5105615,32,1900,622,380,1550,0.8,1562,2.9
5105616,34,1792,596,425,1625,0.8,1666,2.9
5105617,43,2085,554,0,2399,0.8,2374,3.3
5105618,47,2167,652,380,1983,0.7,1875,2.9
5105619,32,1762,764,405,1983,0.8,1881,3
5105620,36,1842,665,400,1721,0.7,1602,3.1
5105621,37,1842,792,383,1921,0.8,1859,2.9
5105622,40,1517,593,340,1633,0.7,1544,2.7
5105623,37,1733,810,420,2014,0.7,1908,2.9
5105624,33,1600,645,350,1392,0.8,1442,3.1
5105625,31,1800,518,350,1388,0.9,1223,3.1
5105626,36,1625,536,390,1468,0.8,1531,3.3
5105627,37,1820,654,453,2558,0.8,2517,3.3
5105628,31,1700,626,385,1687,0.8,1705,3.2
5105629,33,1950,504,190,1362,0.9,1260,3.2
5105630,32,1742,452,278,1264,0.9,1278,3.2
5105631,37,1900,697,356,1674,0.7,1557,2.7
5105632,32,0,310,0,1125,0.6,874,2.5
5105633,44,1820,598,211,1713,0.7,1399,2.6
5105634,43,2000,672,450,2154,0.7,2020,2.9
5105635,41,1733,686,400,1928,0.7,1715,2.7
5105636,36,2200,695,490,2147,0.8,2134,3.1
5105637,34,1733,657,328,1575,0.7,1375,2.8
5105638,35,1733,681,320,1937,0.8,1828,3.1
5105639,39,1517,571,430,1833,0.8,1525,2.9
5105640,38,1625,517,207,1625,0.8,1111,2.3
5105641,36,1835,572,390,1724,0.9,1691,3.1
5105642,33,1903,572,400,1449,0.7,1458,3.1
5105643,34,1973,662,420,1812,0.8,1720,3
5105644,46,1733,629,500,1775,0.8,1708,3
5105645,29,1600,607,350,1241,0.9,1292,3
5105646,35,1800,567,400,1406,0.8,1466,3.1
5105647,33,1800,487,190,1424,0.9,1271,2.8
5105648,33,1950,672,405,1839,0.8,1812,3.3
5105649,33,1733,487,223,1424,0.9,1347,3.5
5105650,0,0,0,0,0,0,0,0
5105651,36,1733,665,400,2016,0.7,1921,3.2
5105701,33,1326,483,350,1583,0.9,1213,3.1
5105702,37,1733,596,300,1779,0.8,1437,2.7
5105703,36,1300,586,275,1390,0.7,1292,2.7
5105704,28,2167,656,450,1766,0.8,1875,3.5
5105707,34,1988,588,420,1478,0.8,1589,3.5
5105708,31,1863,567,400,1670,0.8,1575,3.2
5105709,65,0,866,0,0,0.3,1374,1.5
5105710,39,1539,639,340,1759,0.8,1300,2.6
5105711,34,1868,537,378,1286,0.9,1192,2.9
5105712,39,1517,657,360,1437,0.7,1294,2.4
5105713,33,1625,756,365,1757,0.8,1625,2.7
5105715,40,1559,513,360,1367,0.8,1390,3.3
5105716,36,1703,558,363,1562,0.8,1474,2.7
5105717,34,1509,488,348,1288,0.8,968,2.7
5105718,37,1600,601,380,1579,0.8,1423,2.8
5105719,36,1767,571,320,1510,0.8,1468,3
5105720,35,1600,496,350,1460,0.8,1336,2.9
5105721,36,2131,432,310,1416,0.8,1192,3.3
5105722,34,1733,619,350,1583,0.8,1483,2.9
5105723,41,1733,580,365,1529,0.7,1397,2.7
5105724,34,2000,619,405,1887,0.8,1902,3.4
5105725,30,1983,696,430,1711,0.9,1850,3.7
5105727,37,1603,502,250,1292,0.8,994,2.4
5105728,37,1421,490,335,1449,0.7,1292,2.9
5105729,37,1950,612,350,1687,0.8,1508,2.8
5105730,34,1602,559,300,1531,0.7,1312,2.5
5105731,35,2600,725,205,2062,0.6,1531,2.2
5105732,51,2084,689,250,2428,0.8,1199,2.5
5105733,29,2200,912,375,1962,0.8,1894,2.8
5105734,29,2167,644,450,1968,0.9,2125,3.7
5105735,31,1920,635,420,1625,0.9,1733,3.1
5105736,28,2297,630,450,1771,0.9,1833,3.7
5105737,37,1733,635,325,1666,0.8,1430,2.7
5105738,30,2200,502,448,1536,1,2014,4.4
5105739,32,2167,686,395,1812,0.8,1862,3.4
5105740,34,2000,707,445,1974,0.8,1974,3.2
5105741,41,1517,517,350,1399,0.7,1265,2.5
5105801,24,0,1224,0,0,0,0,0
5105802,38,1863,665,335,1625,0.7,1508,2.6
5105803,33,1950,701,380,1720,0.8,1625,2.9
5105804,28,2058,862,360,1875,0.8,1757,3.1
5105805,37,1517,566,320,1192,0.8,1133,2.6
5105806,34,1548,589,330,1437,0.7,1166,2.2
5105807,48,1733,719,280,1843,0.7,1562,2.3
5105808,46,1842,615,300,1767,0.7,1462,2.7
5105809,42,2167,790,475,2083,0.8,2071,2.8
5105810,40,2216,666,400,1912,0.8,1937,3.1
5105811,42,2245,749,350,2234,0.7,2059,3
5105812,44,2096,711,475,1857,0.8,1825,2.8
5105813,41,2000,634,525,2015,0.8,1850,2.9
5105902,27,2400,839,420,2041,0.9,2071,3.5
5105905,33,1981,692,390,1850,0.8,1771,3
5105906,39,2300,734,388,2384,0.8,2288,3.1
5105907,0,0,0,0,0,0,0,0
5105909,34,1928,669,365,1726,0.8,1613,3
5105910,73,1915,483,368,1237,0.7,758,1.9
5105911,48,2383,793,200,2062,0.7,1916,2.5
5105912,49,2400,575,313,1562,0.7,1416,2.7
5105913,29,2200,917,400,2049,0.7,1977,2.8
5105914,50,1625,703,350,1937,0.7,1843,2.8
5105915,36,1950,781,440,2183,0.7,2016,3
5105916,36,2210,706,400,2016,0.8,1839,2.8
5105917,31,1950,487,400,1562,0.8,1470,2.9
5105918,34,1879,692,360,1787,0.7,1562,2.8
5105919,35,1950,720,360,1875,0.8,1589,2.6
5105920,30,1950,627,350,1702,0.8,1635,3.2
5105921,28,1823,602,400,1562,0.9,1614,3.2
5105922,29,2000,720,375,1885,0.9,1891,3.4
5105923,29,2035,802,410,1696,0.8,1609,3.1
5105924,36,2167,802,420,2241,0.8,2201,3.2
5105925,36,2058,580,490,1924,0.8,1797,2.8
5105926,31,2167,823,450,2202,0.8,2058,3.2
5105927,30,2300,684,425,2291,0.8,2227,3.5
5105928,27,2029,765,395,1850,0.8,1978,3.2
5105929,30,1800,725,320,1600,0.9,1518,2.7
5105930,38,1733,512,335,1642,0.7,1354,2.5
5105932,28,1874,568,350,1562,0.8,1406,2.9
5105933,33,1820,733,355,1816,0.9,1787,3
5105934,30,2000,712,370,1761,0.8,1437,2.7
5105935,66,1969,494,330,936,0.8,823,1.8
5105936,28,2167,825,403,2270,0.9,2269,3.4
5105938,30,2167,958,480,2359,0.8,2319,3.1
5105939,32,2223,1007,480,2468,0.8,2473,3.4
5105940,32,2167,891,425,2102,0.8,2017,2.9
5105941,32,2200,679,420,2324,0.8,2329,3.5
5105942,34,2167,857,470,2250,0.8,2190,3.3
5105943,29,1950,735,385,1649,0.9,1510,3.1
5105944,34,2000,824,400,2270,0.8,2134,3.2
5105945,33,2000,833,435,2250,0.8,2227,3
5105946,32,2144,725,275,1901,0.8,1858,3
5105947,43,1700,480,380,1474,0.7,1062,2.4
5105948,31,2000,550,440,1800,0.8,1645,3.1
5105949,36,2167,572,495,1954,0.8,1942,3.4
5105951,0,0,0,0,0,0,0,0
5105952,31,1877,684,370,1649,0.8,1528,2.7
5105953,31,2100,783,430,2029,0.8,1989,3.4
5105954,35,1900,676,338,1463,0.8,1395,2.7
5105955,33,1950,715,385,1892,0.8,1833,3
5105956,30,1993,770,397,1937,0.8,1771,3
5105957,29,1950,805,350,1895,0.8,1660,3
5105959,31,2600,892,440,2533,0.9,2536,3.7
5105960,30,1863,747,350,1775,0.8,1458,2.4
5105961,28,1996,996,383,2037,0.7,1798,2.5
5105962,30,2383,832,440,2107,0.8,2088,3.2
5105963,29,2167,854,410,2146,0.8,2060,3.1
5105964,26,2200,714,380,1767,0.9,1718,3.2
5105965,28,2145,827,400,1883,0.8,1812,3.2
5105966,30,2414,702,475,2428,0.9,2480,3.6
5105967,28,1997,929,400,1729,0.8,1673,2.8
5105968,28,2100,851,350,1875,0.8,1742,3.1
5105969,30,2200,875,385,2017,0.8,1968,3.2
5105970,27,2149,835,370,1703,0.8,1637,2.8
5105971,29,2350,862,450,2135,0.8,2098,3
5105972,28,2167,769,400,1859,0.9,1902,3.3
5105973,33,2167,807,400,1892,0.7,1713,2.7
5105974,28,2400,1034,418,2195,0.7,2184,2.7
5105975,0,0,0,0,0,0,0,0
5105976,29,1733,821,340,1562,0.7,1208,1.9
5105977,27,2193,930,380,1792,0.7,1687,2.4
5105978,29,2383,1014,420,2189,0.8,2193,3
5105979,25,2200,859,395,1875,0.8,1937,3.5
5105980,26,2286,896,400,2089,0.8,2013,3.1
5105981,28,2123,907,398,1797,0.6,1548,2.2
5105982,27,2065,912,368,1820,0.7,1495,2.2
5105983,27,2167,767,380,1524,0.8,1399,3
5105984,28,2079,770,400,2210,0.9,2202,3.1
5105985,31,2167,764,390,2016,0.8,1930,3.2
5105986,32,2200,754,410,2062,0.8,2036,3.4
5105987,28,2123,831,370,1951,0.8,1793,3
5106001,49,1560,749,313,2227,0.7,2068,2.4
5106002,40,2400,777,283,2399,0.9,2136,3.1
5106003,41,2318,731,222,1924,0.8,1812,2.8
5106004,45,1733,716,450,1912,0.8,1875,2.8
5106005,42,2288,864,300,2420,0.8,2353,3.1
5106006,44,1975,756,0,2416,0.8,2363,3.2
5106007,49,2167,624,178,1600,0.8,1518,2.6
5106008,47,1972,733,225,2068,0.7,1843,2.5
5106102,32,1950,854,380,1992,0.8,1804,2.8
5106103,0,0,0,0,0,0,0,0
5106104,64,1733,491,224,1187,0.9,717,1.6
5106105,33,1863,802,400,1863,0.7,1625,2.6
5106106,0,0,0,0,0,0,0,0
5106108,41,1560,523,320,1616,0.7,1281,2.6
5106109,35,2383,1165,468,2812,0.7,2664,2.8
5106110,42,1875,530,330,1875,0.7,1187,2.8
5106111,38,1850,830,369,1924,0.7,1658,2.2
5106112,42,1821,662,400,1488,0.7,1357,2.3
5106113,44,2000,652,370,1825,0.7,1454,2.2
5106114,0,0,0,0,0,0,0,0
5106201,35,1662,533,254,1361,0.7,1359,2.7
5106202,32,2515,982,360,2274,0.8,2180,2.9
5106203,35,1742,725,173,1859,0.7,1607,2.6
5106204,34,2000,775,373,1833,0.8,1847,2.9
5106205,34,1809,671,415,1906,0.8,1954,3.3
5106206,33,1733,765,330,2047,0.7,1781,3
5106207,30,2400,948,400,2261,0.8,2145,2.8
5106208,37,1600,535,220,1375,0.8,1089,2.5
5106209,29,1675,564,305,1398,0.9,1387,2.8
5106210,39,1083,418,185,1202,0.8,933,2.4
5106211,36,1408,512,340,1337,0.7,1181,2.3
5106212,32,1300,559,300,1114,0.8,1042,2.4
5106213,35,1500,472,318,1062,0.8,850,2.5
5106214,39,1600,489,310,1233,0.8,1102,2.7
5106215,37,1411,452,255,1133,0.8,952,2.4
5106216,39,1733,617,393,1819,0.8,1687,2.8
5106217,38,1625,697,355,1730,0.7,1508,2.8
5106218,41,1517,494,288,1228,0.8,1023,2.5
5106219,37,2100,706,400,2075,0.7,1694,2.8
5106220,40,1733,520,310,1521,0.7,1212,2.4
5106301,32,0,0,0,0,0,0,0
5106401,0,0,0,0,0,0,0,0
5106501,37,0,425,0,0,0.5,0,1
5106502,35,1799,605,390,1399,0.8,1261,2.7
5106503,49,1767,602,275,1875,0.7,1442,2.5
5106504,49,1950,737,250,2156,0.7,1718,2.6
5106505,46,2167,582,231,1660,0.8,1466,2.7
5106506,50,2230,594,380,1449,0.7,1303,2.7
5106507,42,1950,617,370,1607,0.7,1406,2.3
5106508,37,1733,719,380,1739,0.7,1427,2.5
5106509,41,1997,653,307,1816,1,1147,2.3
5106510,17,1584,187,250,3499,0.6,1187,2.8
5106511,32,1509,603,340,1529,0.7,1470,2.8
5106512,34,1548,617,350,1416,0.8,1360,2.8
5106513,36,1733,522,330,1336,0.7,1105,2.4
5106514,36,1907,556,305,1446,0.7,1104,2.3
5106601,35,1550,556,320,1172,0.8,1047,2.1
5106602,34,1606,664,310,1319,0.7,976,2
5106603,44,1343,489,295,1208,0.7,894,2
5106604,35,1700,577,320,1292,0.8,905,1.9
5106605,43,1517,765,350,1511,0.7,1221,2.1
5106606,34,1300,533,320,1351,0.8,1073,2.2
5106607,39,1904,588,330,1424,0.7,1062,2.1
5106608,33,1600,628,340,1440,0.8,1182,2.2
5106609,37,1603,629,330,1257,0.8,1039,1.8
5106610,54,2900,810,500,3187,0.8,3062,2.7
5106611,39,2498,829,375,2527,0.8,1976,2.7
5106615,45,2277,840,390,2397,0.8,1841,2.4
5106616,45,1560,762,320,2113,0.8,1437,2.2
5106617,52,1600,579,313,1053,1,1071,1.9
5106618,36,1279,642,280,1187,0.9,860,1.6
5106619,45,1900,615,318,1968,0.7,1279,2.2
5106620,36,1450,561,300,1388,0.8,1192,2.5
5106621,42,2167,777,360,2154,0.8,1673,2.4
5106622,29,2058,553,370,2281,0.8,1781,2.2
5106623,0,0,0,0,0,0,0,0
5106624,42,1367,497,305,1312,0.7,1066,2.1
5106625,38,1517,543,330,1350,0.7,1125,2.2
5106626,36,1700,669,325,1662,0.7,1625,2.6
5106627,39,1517,606,345,1428,0.7,1216,2.4
5106628,38,1614,653,300,1399,0.8,1075,2.2
5106701,33,1524,653,355,1682,0.8,1382,2.6
5106702,34,1529,657,320,1406,0.8,1239,2.5
5106703,29,1400,712,350,1458,0.8,1261,2.7
5106704,35,2084,725,400,2281,0.8,2250,3.2
5106705,41,1858,819,450,2175,0.7,1875,2.7
5106706,42,1700,640,380,2022,0.7,1708,2.9
5106707,34,2079,835,470,1875,0.7,1839,3.1
5106708,39,1980,842,500,2390,0.8,2390,3.2
5106709,32,2167,839,430,1837,0.7,1656,2.8
5106710,30,2457,968,480,2321,0.8,2312,3.1
5106711,34,1603,743,350,1636,0.7,1411,2.5
5106712,31,1632,715,350,1517,0.7,1403,2.5
5106713,30,1716,679,370,1762,0.7,1394,2.5
5106714,32,1473,564,288,1363,0.8,1268,2.6
5106715,29,1733,618,340,1333,0.8,1226,2.8
5106716,37,2159,683,450,2112,0.8,1991,3.1
5106717,39,2000,697,510,2200,0.7,1981,2.5
5106718,0,0,0,0,0,0,0,0
5106719,0,0,0,0,0,0,0,0
5106720,35,1582,481,290,1062,0.7,875,2.4
5106801,43,2275,767,650,2274,0.7,2324,2.9
5106802,43,2080,758,260,2750,0.7,2471,3
5106803,43,1980,888,375,1687,0.6,1511,2.3
5106804,45,2166,895,390,2416,0.7,2166,2.7
5106807,47,1900,587,298,1895,0.8,1981,3
5106808,49,2200,817,428,2416,0.7,2125,2.8
5106809,42,2400,778,510,2387,0.8,2341,3.1
5106810,32,2400,832,400,2037,0.8,2006,2.8
5106811,49,1825,577,300,1410,0.6,1352,2.5
5106812,49,2000,624,725,1875,0.7,1949,2.9
5106813,46,2123,862,520,2408,0.7,2385,2.9
5106814,53,2000,826,450,2172,0.6,1875,2.4
5106815,39,2758,1004,550,2575,0.8,2455,3.2
5106816,27,2275,957,345,1925,0.8,1872,2.8
5106817,47,2490,956,0,2562,0.7,2562,3
5106818,27,2008,836,370,1704,0.8,1583,2.8
5106819,37,2712,889,573,2673,0.8,2673,3.3
5106820,31,2600,1036,500,2640,0.8,2633,3.4
5106901,0,0,0,0,0,0,0,0
5107001,35,1580,664,365,1531,0.7,1271,2.4
5107002,36,1900,757,360,2057,0.7,1718,2.6
5107003,34,1767,620,375,1821,0.8,1699,2.8
5107004,35,1559,719,385,1642,0.7,1323,2.5
5107005,34,2096,780,380,1839,0.7,1455,2.5
5107006,34,2000,804,375,1890,0.8,1612,2.6
5107007,36,2100,676,350,2008,0.7,1533,2.5
5107008,34,2000,802,380,1927,0.7,1635,2.4
5107009,32,1733,683,360,1455,0.7,1395,2.4
5107010,33,1538,699,400,1674,0.7,1607,2.5
5107011,38,1625,693,369,1468,0.6,1319,2.3
5107012,35,1800,672,360,1666,0.7,1358,2.5
5107013,35,1975,806,380,2058,0.8,1764,2.5
5107014,36,1925,770,365,1989,0.8,1721,2.7
5107015,33,2000,838,385,2008,0.7,1741,2.6
