SA1_7DIGITCODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
5118213,22,30,54,0,3,3,0,0,0,0,0,0,0,0,0,21,37,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,7,3,0,0,11,0,10,26,54,75,44,64,102,80,119,198,50,40,93,42,24,65,28,17,39,34,11,48,25,14,35,174,106,280,26,16,43,15,12,25,19,9,23,5,14,22,5,14,20,70,64,135,13,3,10,0,10,8,4,24,23,12,4,12,4,8,12,30,43,68,3,14,14,3,7,13,0,6,5,4,9,14,4,8,13,17,35,54,3,9,9,5,3,3,11,5,15,3,8,8,9,11,15,27,28,54,6,7,14,4,0,5,4,0,5,0,5,6,3,3,8,20,15,33,4,6,8,3,4,6,11,4,9,0,7,9,4,4,12,21,26,44,14,4
5118214,3,3,6,4,3,6,0,3,3,9,3,11,3,3,9,17,18,31,3,3,5,0,3,8,4,0,3,0,0,0,3,3,6,8,14,24,5,0,4,0,0,0,0,4,7,0,4,4,0,0,0,5,10,14,3,3,5,0,0,0,4,0,7,3,3,8,0,4,4,8,9,21,3,3,5,7,3,10,3,4,13,4,10,16,3,0,7,22,26,49,8,3,10,4,3,9,3,8,12,6,8,16,3,0,10,30,24,51,5,3,11,13,3,15,5,8,16,5,0,8,5,3,9,30,20,55,3,5,11,3,3,8,4,3,6,4,3,9,3,3,6,22,15,37,3,5,7,3,4,7,0,0,3,3,3,9,0,3,5,18,20,32,0,4,7,6,3,8,0,3,3,0,0,0,3,0,3,11,14,24,0,6,8,0,4,3,6,4,11,3,3,7,4,3,6,11,18,34,3,3
5118215,0,0,0,0,0,3,0,3,3,4,0,3,0,0,0,3,7,13,0,3,3,0,0,0,0,3,10,0,0,3,0,0,0,10,7,19,3,0,3,0,0,0,4,0,3,0,0,0,0,0,0,8,3,9,0,0,3,3,0,3,0,0,0,3,3,7,3,3,6,11,10,18,0,4,6,4,8,5,0,0,0,4,7,9,0,0,3,6,14,24,0,0,3,0,3,3,11,0,8,0,11,12,6,0,6,20,14,34,3,3,5,4,4,9,0,3,4,0,9,6,3,0,3,11,11,28,0,3,3,3,3,3,6,0,3,3,0,6,0,0,0,8,7,18,3,0,3,0,0,3,0,0,0,0,0,0,3,3,7,6,5,14,3,0,3,3,0,3,3,3,8,0,0,0,0,0,0,9,5,13,0,0,0,3,3,5,0,3,3,3,3,7,3,0,3,6,8,15,3,0
5118216,0,0,0,3,0,3,0,0,0,6,0,7,0,0,0,13,3,15,3,4,5,0,0,3,0,0,3,0,0,0,0,0,4,11,7,15,3,0,3,0,3,3,0,3,3,0,0,0,0,3,3,3,8,10,4,0,4,5,3,4,3,0,3,0,3,6,0,3,6,9,9,17,3,0,3,0,0,3,8,3,9,3,7,9,3,0,4,14,13,26,0,8,8,0,0,0,0,0,3,3,3,10,3,3,3,8,9,20,0,0,3,0,3,3,3,3,10,0,0,3,7,3,8,15,17,29,0,3,3,3,3,8,0,3,3,0,0,3,0,0,0,4,10,11,0,0,3,0,0,3,3,0,3,0,3,8,0,3,3,9,13,23,0,0,0,3,3,7,3,3,8,8,4,11,0,0,0,16,12,26,0,0,7,0,3,3,3,0,3,0,0,0,0,3,3,5,8,11,0,3
5118217,7,3,4,0,3,3,0,0,4,0,0,3,0,0,3,13,6,16,4,0,3,0,0,0,3,0,7,0,5,3,5,3,9,13,7,19,3,3,5,3,0,4,0,3,8,0,3,8,0,0,0,9,16,24,0,0,0,4,3,6,0,0,3,4,3,4,4,0,3,13,10,21,13,3,12,9,7,14,3,3,5,0,4,5,3,3,6,30,18,46,6,5,10,3,0,3,0,3,5,3,6,10,3,3,11,16,24,36,0,3,5,10,5,8,3,4,8,3,0,3,0,0,0,16,15,31,0,0,3,0,0,0,0,3,4,3,0,3,7,6,6,9,6,21,3,3,6,3,3,4,4,0,9,3,3,10,0,0,3,16,13,32,5,4,9,3,0,5,7,8,13,0,5,3,3,6,7,21,21,35,6,0,6,0,0,3,0,3,4,3,6,13,3,3,8,15,12,25,0,0
5118218,3,0,3,0,3,3,3,0,7,0,3,6,0,0,0,4,5,15,4,3,4,0,3,3,7,0,8,3,4,4,3,4,11,10,13,26,0,0,4,0,0,0,4,0,3,0,0,4,3,0,3,9,3,17,4,7,4,4,0,4,6,4,4,0,0,4,3,3,3,14,11,25,0,0,0,4,3,5,8,3,12,3,3,5,5,3,7,21,10,30,4,0,4,4,3,8,0,7,6,3,5,6,7,0,8,23,16,33,8,3,10,4,0,8,3,0,3,6,3,6,0,3,3,15,14,29,0,0,3,4,0,3,9,3,7,0,3,3,0,0,3,18,7,21,0,0,3,0,3,3,3,0,6,0,4,3,3,0,6,6,14,19,0,5,3,3,0,4,0,5,5,3,3,3,3,0,5,14,15,28,0,0,3,0,3,3,0,3,4,3,0,3,0,0,0,4,12,20,4,3
5118219,0,0,0,0,3,4,0,3,3,0,0,3,0,0,0,4,7,14,0,7,7,0,0,3,3,0,4,3,3,3,0,0,0,3,10,18,3,0,3,0,5,3,0,0,3,0,3,8,0,0,0,7,11,13,4,0,5,3,0,3,0,0,3,3,4,3,3,3,5,11,11,19,0,0,3,3,3,6,4,0,7,5,0,5,0,3,3,9,10,18,0,0,0,3,3,3,4,0,4,3,0,3,4,3,6,14,9,23,0,0,0,3,0,5,0,3,3,0,3,3,0,0,0,6,9,11,0,0,0,0,0,3,0,3,0,0,3,5,0,0,4,8,7,15,3,0,7,0,0,0,0,4,6,0,0,0,7,4,6,12,10,19,3,0,4,0,3,6,4,0,4,0,0,0,0,4,6,11,11,19,6,3,5,0,3,7,3,3,5,3,3,3,0,4,4,9,23,31,0,5
5118220,0,3,4,0,0,0,0,0,3,3,0,3,3,0,3,6,3,14,3,0,4,0,0,0,3,0,7,0,0,0,4,3,9,14,7,15,0,0,0,3,0,4,3,0,0,0,0,0,4,3,5,11,7,18,3,0,7,0,3,8,0,7,7,0,0,3,0,5,7,11,23,28,3,3,4,9,3,13,5,0,5,0,6,6,0,0,0,17,10,25,5,0,7,3,0,4,0,0,0,0,0,0,0,0,0,9,3,12,0,0,3,3,0,4,3,3,3,3,0,4,0,3,3,6,14,22,0,0,3,0,3,3,3,0,3,0,0,3,0,0,0,7,3,14,0,3,8,3,0,3,0,4,3,0,0,3,3,0,7,6,11,15,3,3,4,0,0,4,3,3,6,0,3,3,0,0,5,6,15,25,3,0,3,4,0,5,3,4,12,0,0,3,5,0,5,17,11,28,8,3
5118221,0,0,0,4,0,4,0,3,3,0,0,0,3,0,3,7,3,14,3,0,3,3,0,3,0,3,3,0,0,0,3,0,0,11,9,20,3,0,7,3,0,5,3,0,7,5,0,8,0,3,3,15,11,25,4,5,6,3,3,6,6,3,8,4,9,10,3,5,5,16,25,44,8,5,15,8,3,13,6,3,13,3,0,8,7,5,6,24,22,46,6,0,14,0,7,8,3,3,6,5,3,5,0,0,0,20,12,30,0,0,0,3,0,8,3,0,3,0,0,0,0,3,6,8,4,16,3,0,4,0,0,0,3,3,6,3,0,0,0,7,4,7,8,20,0,6,3,0,0,5,3,0,3,0,0,0,4,3,9,11,9,19,3,3,3,3,3,3,3,4,3,0,4,4,0,9,4,7,17,27,3,9,11,9,10,17,8,4,14,8,6,16,9,5,20,32,35,69,4,9
5118222,0,4,4,0,4,4,0,0,0,3,0,4,0,0,3,8,8,14,3,0,3,0,0,0,3,0,5,0,3,3,0,0,0,8,5,17,3,0,5,0,3,3,6,0,6,0,0,3,0,3,3,11,9,22,3,5,10,0,3,6,0,3,3,3,7,4,3,0,8,10,18,26,0,3,3,3,3,7,3,4,3,0,0,0,3,0,3,8,7,19,0,3,3,0,3,3,0,0,3,0,0,3,3,0,4,3,6,10,3,0,3,0,0,0,0,0,0,0,3,3,0,0,3,4,8,8,3,3,3,0,0,3,0,0,0,0,3,3,3,4,10,10,10,21,0,0,7,3,3,6,0,0,0,0,3,3,0,8,3,6,16,20,0,0,0,3,4,11,3,0,4,0,3,3,0,5,6,12,10,21,3,7,7,4,0,7,3,0,3,0,4,3,0,0,0,8,11,20,3,8
