SA1_7DIGITCODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
5100101,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,0,3,5,3,0,3,0,0,0,9,5,6,5,3,8,13,4,22,0,3,3,8,9,14,4,0,4,0,3,3,3,0,5,13,15,26,0,0,4,0,3,3,3,0,3,0,0,6,3,0,3,10,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,4,0,6,4,3,5,0,0,0,3,3,7,0,0,0,10,10,21,3,0,4,0,0,0,5,3,4,0,3,3,0,0,0,9,9,12,0,4,7,0,3,3,0,5,5,3,3,4,0,0,3,3,13,14,0,0,0,3,0,6,0,3,4,7,3,9,0,4,4,13,9,25,0,7,8,6,6,11,3,3,6,0,3,5,0,0,4,10,14,26,3,3,7,3,3,7,0,0,3,0,0,0,3,0,3,14,7,21,4,3
5100102,9,11,27,8,13,22,10,8,14,16,14,31,15,14,35,67,67,126,10,12,27,11,9,22,19,10,29,8,9,14,9,8,19,56,54,111,4,8,20,9,12,20,9,6,14,0,4,6,6,3,7,30,39,69,4,3,8,0,4,3,3,8,7,0,0,0,0,0,0,13,10,25,3,0,4,0,3,3,3,3,7,0,3,3,4,3,4,4,12,15,3,0,4,5,4,16,3,3,5,6,3,5,3,9,12,18,18,40,7,11,19,3,8,11,4,11,16,4,9,15,8,6,9,28,42,77,11,10,26,10,14,20,12,17,33,11,9,22,7,15,19,60,64,123,9,14,20,13,11,20,5,3,9,5,12,14,6,10,17,35,50,83,14,4,15,0,3,9,9,4,14,9,5,11,5,7,15,33,28,58,7,6,8,0,4,4,3,0,4,3,4,5,6,0,7,17,19,37,0,0
5100103,3,4,6,0,0,0,0,4,4,4,0,4,0,0,0,4,7,16,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,7,4,0,7,3,3,4,0,0,0,3,0,0,0,3,3,8,5,14,0,0,4,0,0,0,0,3,3,0,0,0,5,0,3,3,5,14,3,4,8,0,3,3,0,0,0,0,0,0,0,3,4,4,5,15,0,0,6,0,0,3,0,0,0,0,3,6,0,0,0,3,3,12,4,5,9,0,4,5,4,0,3,0,3,3,0,0,0,8,13,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,10,3,0,8,0,0,0,0,3,3,4,3,7,3,0,3,12,8,14,0,4,4,0,3,8,0,0,3,0,0,3,3,0,3,11,11,17,0,3
5100104,0,0,0,5,0,4,0,0,3,0,0,0,0,0,3,7,6,12,0,0,0,3,3,3,3,0,3,0,0,3,0,3,3,6,4,12,0,0,0,0,3,3,0,0,0,3,0,3,0,0,5,3,3,7,3,3,9,0,0,4,3,0,3,3,3,5,0,0,0,12,7,23,0,0,0,0,5,4,0,0,0,0,3,3,0,0,3,0,6,15,0,0,3,0,0,0,4,0,3,3,0,4,0,0,0,7,4,15,0,3,5,0,7,6,0,0,0,0,4,7,0,3,4,9,14,19,4,0,4,0,0,0,3,0,3,5,0,3,0,0,3,15,5,18,0,0,0,0,0,3,0,7,7,0,3,3,3,4,9,9,14,17,3,0,5,3,3,3,3,0,4,4,3,5,6,3,11,19,11,33,7,3,9,5,0,5,8,3,11,3,4,8,0,4,5,26,12,37,3,7
5100105,0,0,0,0,0,3,3,0,3,0,3,3,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,3,4,0,0,3,0,0,0,3,0,3,5,0,7,8,4,17,0,3,3,3,6,5,0,0,3,0,0,0,3,0,3,4,6,15,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,7,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,5,3,8,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,6,3,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,8,11,0,0,0,0,0,3,3,0,3,3,0,3,0,0,0,8,3,11,0,3,3,0,0,3,3,6,10,0,0,0,0,3,3,9,14,22,3,4,6,0,3,3,0,0,3,0,0,3,0,3,3,6,13,19,0,4
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,3,0,3,3,0,3,0,3,3,0,0,0,0,0,3,8,3,14,3,3,8,0,3,3,0,3,3,6,3,6,0,0,0,6,13,22,0,3,3,3,0,4,3,3,7,3,0,6,5,3,9,20,11,33,0,3,0,0,5,3,3,3,4,4,0,4,0,0,0,5,9,14,0,4,4,3,0,4,0,0,0,0,0,0,0,0,0,4,5,10,0,0,3,0,0,0,4,0,3,0,3,3,3,0,3,7,6,15,0,0,0,3,0,4,0,0,0,0,4,3,0,0,3,3,7,12,0,0,3,0,0,3,0,3,3,3,0,5,3,3,4,6,7,18,3,0,3,0,0,0,3,0,3,7,0,7,0,0,0,13,0,13,0,3,3,0,0,3,3,3,8,0,3,7,3,0,3,12,6,15,0,0,5,0,0,0,3,3,8,5,6,9,0,6,6,17,16,33,3,3
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,3,0,6,3,3,8,12,3,3,5,0,3,6,11,12,26,0,3,3,8,3,13,0,0,4,7,9,13,0,0,0,11,20,32,0,3,5,5,3,5,3,9,7,0,3,5,0,4,6,7,21,32,0,0,0,3,4,12,3,3,8,0,0,3,3,0,3,13,9,20,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,12,3,13,0,0,0,0,4,5,0,4,4,0,3,3,0,0,0,0,10,12,3,3,5,0,0,0,5,0,7,0,0,0,3,3,3,14,9,18,0,0,5,4,3,6,3,0,5,0,0,4,3,5,3,14,13,26,6,0,10,3,3,8,0,3,3,3,4,5,5,3,10,18,16,33,3,7,9,0,9,11,5,3,11,8,10,12,3,4,6,19,29,44,3,0,4,0,8,7,5,3,11,3,3,9,5,8,15,27,22,44,8,3
5100110,0,4,4,0,0,0,0,0,0,4,3,5,0,4,4,6,9,16,0,0,0,0,3,3,0,4,3,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,8,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,3,6,8,3,0,3,0,0,3,0,3,4,0,0,0,3,8,7,10,11,14,0,0,3,0,0,0,4,0,3,0,0,0,0,3,4,3,7,13,0,4,4,0,3,3,3,0,3,3,0,3,7,0,7,6,14,18,0,3,6,0,0,3,0,4,3,3,0,3,3,0,5,12,11,20,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,4,8,3,0,4,0,0,0,3,4,4,6,0,11,0,7,8,10,15,23,3,3,6,0,3,3,0,0,0,5,0,5,6,0,6,13,5,19,3,0
5100111,0,0,3,0,0,0,3,3,4,3,0,7,4,0,4,10,6,16,3,3,4,0,4,8,3,0,3,0,5,3,7,0,4,15,14,23,4,0,4,3,0,3,3,0,7,0,3,3,3,0,0,15,4,16,0,0,0,3,0,5,0,0,4,0,0,0,0,0,0,6,5,9,0,0,0,0,3,6,0,3,3,0,0,0,3,0,4,6,9,15,0,0,0,3,0,5,0,0,4,3,0,3,0,0,3,5,4,14,3,0,3,0,4,4,3,4,4,3,0,5,0,0,0,8,8,17,10,0,8,7,10,15,0,0,0,0,3,3,3,0,3,18,10,30,0,3,3,0,0,0,3,3,3,6,0,5,0,0,0,12,10,16,0,0,0,5,4,11,5,3,9,0,0,0,3,0,3,14,6,23,0,3,0,0,3,3,4,3,9,0,3,5,3,0,6,12,15,24,0,3
5100112,0,5,3,3,0,7,0,0,0,6,0,6,0,0,0,11,4,17,8,3,11,5,5,8,3,3,3,4,3,6,5,0,5,16,6,29,0,0,3,5,4,9,3,3,7,3,4,3,3,4,11,14,16,29,0,0,0,4,4,9,0,0,3,0,0,3,0,0,0,5,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,7,8,10,0,3,3,0,4,6,3,8,8,3,3,3,3,0,5,8,16,22,3,0,5,3,3,6,3,0,3,3,3,8,0,0,0,18,11,30,0,0,0,6,0,8,0,0,0,3,3,7,0,0,0,9,3,15,5,0,10,3,0,3,0,3,3,0,0,4,0,0,0,11,4,21,3,5,5,4,4,6,3,0,3,3,5,6,0,3,3,12,18,31,6,4
5100113,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,3,8,7,0,0,3,0,3,3,0,3,3,0,3,3,0,3,0,5,10,15,0,0,0,3,0,3,3,0,3,0,4,3,0,0,4,7,4,12,0,0,0,0,3,4,3,0,3,3,0,3,3,0,3,10,3,13,0,0,4,0,0,4,0,0,0,3,0,3,3,0,3,6,6,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,3,0,0,3,0,0,4,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,7,7,0,0,3,0,0,0,4,0,4,0,0,0,0,3,0,6,4,15,0,4,6,0,0,0,0,4,4,0,0,0,0,3,3,7,10,19,0,3,3,5,5,10,4,0,5,0,4,6,3,3,7,12,11,26,7,0
5100114,8,3,12,5,3,5,3,7,6,3,4,9,0,9,5,14,21,36,13,7,17,12,3,16,4,5,9,6,3,8,4,3,10,39,21,58,5,7,11,3,4,3,0,5,5,8,6,13,3,7,18,26,31,57,5,5,7,4,9,13,8,3,12,3,3,5,5,0,3,21,20,36,0,0,3,0,0,0,0,3,3,3,3,3,0,0,0,3,8,14,4,0,4,0,0,0,3,0,3,0,0,0,0,3,3,11,8,13,0,3,3,4,3,3,0,3,5,3,10,8,3,7,9,11,25,37,10,6,16,5,3,10,3,13,15,4,0,8,6,8,18,30,41,62,6,4,6,6,8,17,5,6,18,10,3,14,7,3,13,28,34,58,7,6,11,5,4,13,3,0,3,0,9,10,9,3,10,23,18,47,7,3,13,3,0,3,8,5,11,6,3,9,0,0,7,22,16,32,3,3
5100115,5,0,3,7,3,8,0,0,4,3,4,12,0,4,4,12,16,32,3,5,4,3,4,6,0,0,3,6,0,8,0,0,0,13,7,19,4,0,3,0,3,5,0,3,7,0,3,3,3,4,4,15,13,26,3,0,3,0,4,4,0,0,0,0,0,0,0,0,0,4,9,11,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,9,14,4,0,6,0,0,0,3,0,3,3,0,3,0,0,0,8,5,11,3,0,3,0,3,3,0,0,0,0,3,3,0,4,6,4,12,18,0,4,5,3,0,3,3,0,5,7,3,11,0,0,3,15,11,27,3,3,9,6,0,8,0,3,3,0,4,9,5,4,9,18,16,36,0,3,3,4,0,4,3,0,3,4,3,9,0,3,3,8,6,15,3,3,5,0,3,5,6,6,8,0,3,3,3,4,4,14,16,28,0,5
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,0,0,0,3,0,4,3,3,3,7,3,11,0,0,0,0,4,3,0,4,4,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,3,3,4,7,3,0,3,5,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,6,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,4,7,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,3,0,0,0,3,0,3,3,0,5,10,5,13,0,3,3,0,0,3,3,0,0,0,0,3,0,0,0,3,5,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,7,0,0
5100203,0,0,0,3,3,4,0,3,4,0,3,3,3,0,3,13,5,18,4,4,11,4,9,13,5,6,12,3,4,7,4,5,13,20,31,49,4,10,12,4,7,13,3,4,8,6,0,8,3,4,8,28,26,55,7,7,15,3,4,8,0,3,3,5,0,5,3,5,11,23,18,33,0,3,3,0,0,0,3,0,3,0,3,3,0,3,3,6,10,11,3,3,6,0,0,0,0,0,3,0,0,0,0,0,3,5,3,11,0,0,3,0,0,4,3,3,6,0,3,3,3,3,3,6,12,16,0,4,4,0,3,3,6,3,9,0,7,7,8,0,7,9,24,30,0,4,5,0,3,3,6,0,8,3,0,8,10,9,16,21,17,34,4,5,11,3,3,6,3,0,3,3,4,11,3,7,9,20,21,39,7,3,13,0,5,6,3,4,7,8,5,7,3,0,7,23,14,40,3,3
5100204,6,0,4,3,0,8,3,5,8,0,3,3,3,0,3,8,13,24,3,0,7,3,6,4,3,0,9,4,7,7,5,3,11,26,18,42,3,7,7,0,5,3,3,3,7,3,4,7,3,6,10,12,28,40,7,7,18,0,3,3,8,4,13,6,6,12,0,0,3,21,17,36,5,0,5,7,3,5,0,0,0,4,0,4,4,3,3,15,5,17,0,6,3,3,3,3,3,8,11,3,0,3,0,3,3,10,19,30,5,0,3,0,0,0,0,4,4,5,4,9,0,0,4,10,7,22,8,4,11,0,0,6,0,3,3,0,10,9,0,3,0,9,21,28,0,0,0,0,0,3,0,4,3,3,0,3,7,3,10,6,7,16,3,3,5,3,3,9,3,0,7,0,4,5,0,5,5,16,15,28,3,4,7,0,3,3,3,3,6,3,3,10,3,0,7,16,16,35,3,0
5100205,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,4,9,10,3,0,3,3,4,3,3,0,4,0,0,3,6,4,9,15,13,22,0,6,7,3,6,7,5,3,6,7,0,5,3,3,5,17,17,37,5,7,10,6,4,4,4,6,12,3,4,6,0,0,0,14,20,40,3,0,3,3,0,3,0,4,3,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,0,3,0,0,3,3,0,0,0,3,3,3,5,0,4,5,8,14,0,0,0,0,4,4,0,0,0,4,3,5,4,7,8,11,10,20,3,4,11,3,3,10,0,6,4,0,3,4,3,6,7,12,25,34,3,6,6,8,3,9,3,0,7,3,5,8,4,4,5,22,17,43,0,3
5100206,3,3,3,0,0,3,4,0,4,0,3,6,3,3,3,10,11,23,3,4,3,7,0,10,3,0,0,0,3,3,0,5,4,15,12,26,3,5,8,7,0,4,0,0,0,3,0,3,0,0,0,10,8,20,0,5,5,0,3,4,7,0,7,3,0,3,0,0,3,8,6,16,0,0,0,0,0,0,5,4,8,3,3,3,3,0,7,12,11,17,3,0,3,0,4,4,0,0,0,3,0,3,0,0,0,3,9,16,0,5,7,0,4,4,3,0,0,3,3,5,0,0,5,7,12,19,3,0,3,0,3,3,6,0,6,0,4,4,0,5,4,6,9,20,0,3,0,4,5,11,7,4,12,3,3,3,0,4,4,9,20,30,3,0,3,0,4,4,3,0,7,3,3,5,3,0,3,12,14,20,3,0,3,0,0,3,0,4,4,3,5,7,0,4,5,7,11,12,0,0
5100207,3,0,3,0,0,0,0,7,4,3,0,3,3,0,3,8,8,11,0,0,0,0,7,6,3,3,3,0,3,4,3,0,3,9,10,20,3,3,3,6,4,7,3,0,3,3,9,12,3,0,6,12,15,21,0,0,0,0,3,3,0,4,5,0,0,0,0,3,3,3,11,14,0,0,0,7,0,4,0,0,3,4,3,4,0,0,3,6,6,11,0,0,3,0,0,0,0,0,3,3,0,4,3,0,3,10,8,14,3,0,3,0,0,0,0,3,3,3,0,3,4,3,9,9,5,17,3,0,7,0,0,3,3,3,3,3,0,4,3,0,3,13,13,25,0,3,5,0,3,3,0,3,6,0,3,3,3,0,3,4,17,23,0,3,3,0,7,7,5,0,3,0,0,0,0,0,3,5,12,22,0,3,3,0,0,0,0,3,3,0,0,0,4,0,4,4,9,10,0,3
5100209,0,0,3,4,0,3,3,0,7,0,3,3,0,3,6,10,11,26,0,0,5,0,3,3,0,6,6,4,0,3,4,4,5,16,15,25,3,0,3,0,0,0,0,4,3,5,7,10,3,0,3,10,9,24,0,0,0,0,0,3,0,0,3,0,0,0,0,3,9,6,13,19,6,0,5,3,4,6,6,0,6,3,0,4,6,8,11,17,9,27,4,0,4,3,8,11,4,3,9,4,3,5,0,3,3,18,16,34,8,4,4,3,3,10,6,0,3,0,0,0,3,5,11,20,11,31,0,0,3,0,0,3,3,0,6,3,7,9,3,7,9,9,17,23,5,3,3,4,0,4,3,3,7,0,0,0,3,0,0,15,10,24,6,5,11,3,0,3,0,5,5,3,3,6,3,10,8,12,23,38,4,9,11,0,10,6,3,3,6,3,5,8,3,0,6,16,21,39,7,8
5100213,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,3,12,4,0,4,0,0,0,0,3,3,0,0,0,3,0,7,12,9,16,0,0,3,4,0,3,0,0,4,3,3,4,3,3,3,7,8,17,0,0,3,0,4,3,3,4,11,0,3,3,0,0,0,10,10,21,0,0,0,0,0,0,0,3,4,0,0,0,3,3,3,0,3,8,0,0,0,0,0,0,0,0,0,3,4,4,0,3,0,3,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,3,4,4,3,3,0,3,9,16,21,0,4,3,0,0,0,0,3,3,3,0,4,3,4,4,6,11,17,0,4,4,4,3,7,0,0,3,3,3,3,3,4,5,12,13,28,4,0,8,3,4,4,4,0,4,3,4,7,0,5,5,16,16,27,0,0
5100214,3,3,8,3,6,10,4,0,8,0,8,8,3,9,12,13,30,41,0,7,4,11,3,14,10,8,16,4,11,13,3,11,10,26,34,64,6,9,13,0,3,5,7,7,16,3,5,16,6,10,16,32,33,64,9,5,15,6,0,9,6,9,14,6,4,9,3,3,4,31,18,52,0,0,5,4,0,3,8,5,9,4,3,9,3,6,9,19,22,34,6,3,4,0,7,7,0,6,6,0,8,4,3,0,3,15,20,33,3,3,7,0,0,0,3,0,5,4,8,8,3,8,10,19,18,32,3,5,5,3,7,9,3,3,4,3,3,7,0,3,10,15,18,34,5,5,9,3,4,8,7,8,8,4,7,6,10,7,12,30,25,50,6,10,15,5,5,10,3,15,18,3,6,8,3,3,6,23,41,66,4,7,9,5,0,3,3,4,12,3,9,11,5,3,4,17,22,43,3,4
5100216,0,0,4,3,3,4,3,0,6,0,4,6,3,3,8,12,13,27,0,0,0,0,0,0,4,4,6,3,9,6,6,6,12,18,15,35,4,3,9,3,8,10,0,7,9,4,0,5,0,0,0,15,18,35,0,4,5,0,4,9,8,0,9,0,3,5,3,0,3,13,12,27,3,0,3,0,3,3,4,3,3,0,3,0,5,0,5,10,7,22,0,0,0,0,3,3,4,0,4,0,3,4,0,0,0,8,7,10,7,4,4,0,4,3,0,6,4,3,3,4,3,0,5,14,15,26,3,0,7,0,4,8,4,0,7,0,0,0,0,3,9,7,12,22,7,4,11,0,4,4,3,3,3,3,3,6,0,4,4,11,9,28,0,0,0,3,8,5,3,9,11,0,8,9,3,7,6,11,21,33,3,0,3,0,3,3,0,4,5,3,7,9,5,3,9,20,14,30,8,4
5100217,4,0,5,7,3,5,0,3,0,0,3,4,0,6,6,13,14,21,3,0,3,3,3,9,0,0,4,4,0,4,0,3,4,16,10,24,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,8,8,12,0,3,4,0,3,5,3,0,3,0,0,0,0,0,3,3,11,13,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,3,4,7,4,3,7,0,3,6,3,0,3,3,0,3,0,3,6,13,6,17,3,3,4,0,0,0,3,4,5,3,0,4,0,3,3,11,9,15,0,4,3,0,0,3,6,0,6,3,0,6,3,0,3,12,5,17,0,4,8,3,3,4,0,0,0,3,3,3,4,0,4,10,14,19,3,0,5,0,0,3,0,3,3,0,3,3,3,4,7,6,10,23,4,0,3,3,0,7,0,3,3,3,0,4,0,7,9,11,10,22,3,0
5100218,0,3,0,0,5,6,0,0,0,3,0,3,0,0,0,7,7,14,3,0,3,0,0,0,3,0,3,0,3,3,3,0,3,5,6,13,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,10,0,0,0,0,0,0,3,4,8,3,0,3,0,0,0,6,6,16,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,10,9,16,3,0,3,0,0,3,0,0,0,0,3,3,3,3,4,3,6,14,0,0,0,4,0,5,0,0,0,0,0,3,0,0,3,5,4,15,3,0,3,0,3,3,3,0,4,0,3,6,0,0,0,8,8,20,0,0,0,3,3,5,0,0,0,0,0,0,0,6,6,6,8,13,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,7,8,14,0,0,0,0,0,0,0,0,3,4,4,6,3,0,3,12,8,19,0,0
5100219,9,0,10,3,4,6,0,4,6,0,3,3,4,4,6,13,14,28,3,3,6,3,0,6,0,0,3,0,0,3,0,3,4,7,10,20,0,0,0,0,0,0,3,0,4,0,3,4,3,0,3,6,9,13,0,0,0,4,3,3,5,3,7,0,4,4,0,0,0,5,8,21,0,0,0,0,0,4,0,3,7,0,3,3,0,0,0,3,10,11,0,3,4,3,0,8,0,0,0,0,0,3,3,5,9,11,14,19,0,0,4,0,3,4,4,3,8,10,4,11,3,0,3,17,9,28,0,3,7,3,0,4,3,0,4,3,5,7,0,0,0,15,10,24,3,0,3,0,0,0,0,3,3,0,3,3,0,0,0,6,3,13,0,3,5,0,7,4,0,3,4,4,3,3,0,4,4,6,17,19,0,3,3,6,4,7,3,3,7,3,6,7,3,0,3,14,14,32,4,4
