SA1_7DIGITCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
5100101,10,27,17,13,7,8,0,81,5,11,10,8,7,7,0,43,0,6,3,5,0,0,0,19,0,0,0,0,0,0,0,5,54,81,48,34,37,30,5,295
5100102,7,25,18,9,6,10,0,75,0,13,10,11,7,4,0,43,0,5,0,0,0,3,0,17,3,0,0,0,0,3,0,3,104,187,94,96,40,70,4,596
5100103,9,28,14,6,3,3,0,61,9,31,20,14,13,4,0,94,8,4,14,17,23,7,0,70,4,3,0,0,13,10,0,33,52,103,51,61,70,32,0,372
5100104,11,16,21,9,15,13,0,87,4,22,12,14,19,15,0,79,5,10,5,15,9,0,0,52,4,3,3,3,8,3,0,24,72,90,65,55,71,55,10,419
5100105,11,21,8,9,10,3,0,53,3,11,7,12,7,0,0,37,0,0,3,13,0,10,0,26,0,0,3,4,0,3,0,10,31,46,46,40,41,25,0,225
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,16,22,8,11,5,3,0,64,6,14,9,11,12,3,0,61,0,3,0,0,3,3,0,17,0,0,0,0,0,4,0,9,60,74,45,32,46,29,3,285
5100108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100109,6,26,22,14,14,3,3,83,13,15,6,22,6,3,0,67,0,0,3,3,0,3,0,11,0,0,3,0,0,0,0,10,76,94,55,77,56,41,13,410
5100110,4,17,13,7,3,3,3,53,3,7,5,9,0,8,0,26,0,3,3,3,4,3,0,12,0,3,0,0,0,0,0,7,37,72,36,29,19,35,14,244
5100111,14,26,8,8,5,7,0,60,8,10,6,9,5,6,3,50,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,53,86,44,37,32,25,4,277
5100112,5,20,8,8,5,13,0,61,0,17,12,12,0,3,7,47,0,3,7,0,0,0,0,6,0,0,0,0,0,4,0,3,29,83,42,35,19,48,15,276
5100113,10,17,15,3,12,6,0,61,5,3,10,8,11,9,3,48,0,0,3,3,6,0,0,15,0,0,3,0,0,0,0,4,35,45,40,29,53,20,4,227
5100114,3,13,14,3,6,0,0,40,0,12,4,8,7,0,0,29,0,4,3,3,3,3,0,24,0,0,0,0,0,0,0,5,77,124,65,51,58,33,7,408
5100115,11,22,14,6,7,3,0,71,13,16,9,6,15,4,0,54,0,4,3,0,6,4,0,25,0,0,0,0,0,0,0,3,58,81,67,29,50,18,8,311
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,5,6,4,3,3,0,0,24,13,18,18,14,12,16,0,92,17,20,12,20,30,45,0,143,3,3,9,5,30,73,0,126,57,76,52,46,85,143,3,459
5100203,12,21,9,16,3,3,0,55,4,10,11,13,3,0,0,42,0,0,0,0,3,3,0,7,0,0,0,0,3,0,0,5,80,85,49,55,43,16,3,336
5100204,3,24,7,6,9,7,0,52,7,11,3,3,11,0,0,30,3,9,3,4,10,3,0,30,0,5,3,3,0,5,0,8,69,98,32,42,62,36,0,343
5100205,8,13,5,11,7,0,0,47,4,6,9,5,8,0,0,35,0,7,4,0,3,0,0,17,0,0,0,0,0,0,0,0,63,79,45,33,37,13,0,270
5100206,6,9,3,0,12,3,0,38,5,11,9,10,24,12,0,70,8,7,4,4,16,16,0,52,11,4,0,3,14,0,0,28,59,72,42,34,96,37,0,342
5100207,9,9,14,3,9,3,0,51,0,3,11,3,9,3,0,34,6,3,0,13,14,3,0,34,0,0,0,0,3,0,0,7,55,60,39,30,54,22,0,261
5100209,12,34,13,8,11,11,0,89,12,17,14,9,21,15,3,95,0,9,9,4,16,22,0,58,0,4,0,0,6,4,0,11,95,121,60,42,93,79,8,489
5100213,3,9,4,6,8,0,0,37,3,10,5,4,5,5,0,30,0,4,0,0,7,6,0,17,4,3,0,0,0,0,0,6,58,63,16,31,43,11,4,227
5100214,11,24,4,5,8,0,0,55,3,14,9,19,15,0,0,61,0,9,5,10,0,4,0,24,0,0,0,0,0,0,0,7,111,146,65,75,88,14,0,493
5100216,6,17,10,14,10,6,0,53,4,17,12,5,12,4,0,51,7,3,0,7,15,3,0,33,4,0,0,0,7,3,0,16,57,93,41,40,78,40,0,348
5100217,10,15,10,3,11,0,0,43,0,3,6,11,9,3,0,35,0,3,0,3,11,0,0,18,0,0,0,0,3,3,0,7,43,69,42,29,47,12,0,243
5100218,3,16,7,3,8,0,0,40,0,4,3,8,3,4,0,22,0,3,0,9,7,3,0,30,0,0,0,0,0,0,0,0,32,70,21,26,47,10,0,201
5100219,9,15,8,4,17,0,0,61,9,16,11,20,20,9,0,81,3,5,4,3,10,5,0,27,0,0,4,0,3,6,0,13,59,90,46,45,87,25,3,352
5100220,16,30,11,8,10,3,0,81,12,17,12,10,4,9,0,68,4,6,10,9,10,6,0,50,9,9,8,4,5,13,0,41,97,126,50,51,62,44,8,437
5100222,7,17,7,11,8,3,0,58,9,8,5,14,0,0,0,45,0,0,3,6,0,3,0,12,0,0,0,0,0,0,0,3,78,80,54,63,36,11,3,325
5100223,5,4,6,5,0,0,0,29,3,6,8,9,6,0,0,31,0,3,0,0,3,3,0,10,0,0,0,0,0,0,0,3,41,74,42,30,27,31,0,240
5100224,10,16,11,10,7,0,0,59,3,5,3,10,5,0,0,32,3,3,0,0,6,0,0,16,0,0,0,0,0,0,0,3,73,70,40,43,44,16,0,275
5100226,6,18,17,15,3,0,0,64,3,12,10,15,10,3,0,47,3,5,6,5,6,7,0,23,0,0,0,0,3,0,0,6,44,89,49,45,43,28,0,298
5100227,3,0,4,0,0,0,0,11,0,0,0,4,0,3,0,14,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,19,14,12,13,3,0,94
5100229,12,20,9,13,11,6,0,62,10,12,15,7,8,5,0,52,9,3,3,3,0,0,0,17,3,0,0,0,0,0,0,4,107,111,70,56,57,25,7,434
5100230,3,14,4,3,4,3,0,36,0,10,8,7,18,4,0,53,10,11,3,9,44,12,0,82,4,3,6,3,77,12,0,105,31,59,39,26,159,44,4,359
5100231,9,23,14,8,0,3,0,58,3,12,11,9,4,0,0,45,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,3,68,107,60,42,36,18,0,332
5100232,14,8,7,3,9,0,0,39,0,6,6,7,11,0,0,38,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,3,28,60,34,30,38,3,0,193
5100233,9,19,11,8,14,3,0,63,10,13,8,5,4,6,0,43,0,4,0,4,10,0,0,25,3,0,0,0,6,0,0,8,61,75,44,36,59,20,0,294
5100234,14,26,14,12,22,57,8,146,5,16,10,9,13,34,7,101,4,3,0,5,5,12,10,40,0,0,0,0,4,3,0,8,143,162,77,65,98,277,62,887
5100235,8,23,11,11,10,3,0,68,3,11,11,14,14,8,0,59,3,3,7,3,12,3,0,27,0,0,0,0,0,0,0,6,62,100,49,49,93,29,0,376
5100236,7,13,8,9,9,4,0,48,8,16,9,8,15,0,0,55,3,4,0,5,3,0,0,16,0,0,0,0,3,0,0,9,64,83,56,49,81,32,0,365
5100237,20,48,31,16,26,15,6,166,3,24,15,22,13,13,15,98,0,6,3,6,8,6,9,45,0,4,0,6,0,4,0,16,96,167,75,69,99,94,63,665
5100238,8,14,14,8,9,5,0,58,3,5,12,11,7,0,0,36,0,10,8,0,4,6,0,24,0,0,0,3,3,3,0,9,60,80,48,38,37,25,4,288
5100239,10,10,3,3,8,3,0,36,0,10,12,4,5,0,3,33,0,3,0,3,0,0,0,9,0,0,0,0,7,0,0,3,40,59,24,19,31,20,3,191
5100240,6,9,12,7,9,11,0,48,3,10,11,4,8,7,0,44,3,3,4,3,3,3,0,15,0,0,0,0,0,0,0,6,51,80,43,33,69,37,3,315
5100241,11,16,8,3,8,5,0,56,8,10,5,3,5,0,0,38,4,0,3,0,4,3,0,23,0,3,0,0,0,0,0,5,76,96,46,30,45,25,4,318
5100243,5,24,5,10,3,0,0,53,0,6,7,6,3,0,0,29,0,4,4,0,5,3,0,14,0,0,0,0,3,0,0,3,85,90,41,40,55,7,0,329
5100244,9,15,5,3,13,0,0,52,6,7,11,4,7,0,0,38,0,0,0,0,3,4,0,9,0,0,0,0,8,0,0,8,74,96,44,34,81,23,3,357
5100246,8,13,4,3,3,3,0,28,0,9,6,9,4,3,0,30,0,4,3,4,11,0,0,21,0,0,0,0,0,0,0,0,42,42,25,20,27,4,0,157
5100247,9,29,19,11,0,3,0,72,5,12,10,13,10,8,0,66,0,12,5,12,9,6,0,34,0,4,0,0,5,0,0,14,37,107,46,49,40,18,3,299
5100249,6,6,3,3,12,8,0,35,3,3,3,9,6,4,0,35,0,0,0,7,11,6,0,22,3,4,0,3,14,9,0,26,31,43,24,38,48,41,0,235
5100250,11,23,4,9,0,0,0,48,6,12,3,3,5,6,0,35,0,4,3,4,0,5,0,19,0,0,0,0,0,0,0,3,38,76,31,23,33,19,6,239
5100251,4,10,8,3,3,4,3,41,3,6,7,4,4,6,0,27,0,0,6,4,3,3,3,19,0,0,3,3,0,3,0,12,37,58,43,19,33,26,4,210
5100252,7,6,6,0,3,3,0,30,3,8,8,6,0,3,0,30,6,4,0,3,7,0,0,19,0,0,0,0,0,3,0,4,39,63,35,24,20,15,0,194
5100253,8,19,4,3,11,0,0,53,7,3,7,11,14,0,3,43,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,96,149,64,64,78,18,6,480
5100254,10,13,5,3,8,0,0,40,3,6,4,10,8,3,0,29,3,0,3,3,7,4,0,20,0,5,0,0,0,0,0,5,36,47,14,31,34,19,0,181
5100255,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,3,3,3,0,18
5100256,0,14,4,3,8,0,0,28,4,8,10,11,6,6,0,42,3,10,0,3,10,7,0,28,0,0,0,0,3,4,0,9,56,73,25,33,48,33,0,273
5100257,9,16,3,4,3,4,0,32,6,10,3,4,3,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48,76,34,26,34,11,0,228
5100258,7,10,3,0,3,3,0,26,3,5,3,4,5,5,0,25,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,58,65,22,28,28,20,0,218
5100259,0,15,10,0,4,3,0,37,4,14,0,3,3,3,0,34,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,61,108,35,34,32,15,0,276
5100260,4,9,5,0,9,3,0,28,3,15,11,4,17,4,0,64,5,6,8,6,25,6,0,61,3,4,9,3,3,0,0,27,32,49,31,26,67,29,3,232
5100261,0,7,3,3,3,0,0,28,0,10,3,4,4,3,0,20,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,67,63,33,43,45,11,0,268
5100262,3,8,9,0,4,0,0,36,5,8,4,4,3,5,0,25,0,3,12,0,3,8,0,27,0,0,0,0,0,0,0,0,49,45,38,17,38,12,0,203
5100263,0,7,12,3,5,0,0,32,0,3,5,5,3,6,0,26,0,0,3,0,5,0,0,8,0,0,0,0,0,0,0,0,43,53,43,27,48,10,0,221
5100264,3,15,4,3,3,3,0,25,7,6,7,3,5,0,0,30,0,8,3,0,3,6,0,20,0,0,0,0,0,0,0,3,43,52,31,23,32,17,0,191
5100265,3,17,9,7,8,0,0,48,19,47,19,16,33,4,0,150,6,19,14,3,24,6,0,71,3,3,0,0,4,4,0,18,40,89,38,27,76,18,0,294
5100266,6,9,4,0,4,0,0,30,3,7,9,4,3,3,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,80,87,34,41,49,33,3,321
5100267,10,11,0,3,8,0,0,29,10,18,7,9,7,3,0,50,7,3,4,4,4,5,0,23,0,0,0,0,0,0,0,3,85,89,39,53,53,25,0,333
5100268,8,0,6,3,3,3,0,36,0,7,7,3,4,5,0,22,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,64,77,42,29,48,19,3,281
5100269,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
5100270,6,13,3,3,3,0,0,26,3,4,4,6,6,4,0,33,0,4,0,0,3,0,0,8,0,0,0,0,0,0,0,0,20,38,21,18,19,13,3,131
5100271,9,11,4,3,3,0,0,36,3,9,0,3,3,0,0,20,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,25,46,18,12,15,3,0,121
5100272,13,16,21,13,12,8,0,81,3,15,14,10,8,0,0,55,6,0,0,0,4,5,0,13,0,0,0,0,0,0,0,0,109,177,82,78,99,26,0,570
5100273,0,4,7,3,8,3,0,27,0,0,5,3,3,0,0,8,3,0,0,3,0,0,0,7,0,0,0,0,3,0,0,3,25,22,11,16,34,10,0,115
5100274,3,9,3,0,3,0,0,22,0,0,3,3,0,3,0,9,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,26,44,33,18,22,5,0,151
5100275,9,21,7,5,7,10,0,62,7,9,5,9,7,5,0,38,0,6,5,8,11,12,0,29,0,4,4,0,10,5,0,15,69,88,40,36,59,46,3,337
5100276,7,7,0,8,5,0,0,23,8,7,7,5,3,0,0,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,64,69,28,40,34,9,0,247
5100277,3,7,4,6,9,8,0,32,3,9,6,5,3,3,0,34,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37,45,25,17,18,11,0,155
5100278,3,6,3,3,0,3,0,18,0,3,3,5,0,6,0,22,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,40,47,27,23,40,10,0,190
5100279,4,19,17,3,19,4,0,58,3,9,0,4,13,7,0,38,3,9,0,6,7,3,0,31,0,0,0,0,10,3,0,14,63,76,29,22,77,19,3,285
5100280,6,6,3,3,6,0,0,25,0,0,5,0,5,0,0,14,3,4,0,0,4,0,0,11,0,0,0,0,3,0,3,8,48,69,33,32,65,26,3,283
5100281,11,21,13,5,16,8,0,65,3,12,11,7,10,5,0,48,3,10,3,6,20,7,0,57,0,0,3,0,6,4,0,16,70,99,43,42,108,54,0,419
5100282,3,12,5,6,4,3,0,34,3,10,10,8,18,9,3,63,3,7,3,0,10,35,0,59,3,0,0,0,13,30,0,49,58,69,40,30,68,95,4,374
5100283,12,20,8,4,9,0,0,52,4,13,6,10,0,3,0,38,0,6,3,5,3,0,0,20,0,0,0,0,0,9,0,5,64,99,46,44,24,13,4,296
5100301,0,9,0,0,3,0,0,21,0,4,3,4,6,0,0,22,0,3,0,0,4,0,0,7,0,0,0,0,0,0,0,0,20,54,16,15,21,14,0,142
5100302,4,6,4,0,5,0,0,26,3,6,0,0,0,0,0,11,0,4,0,0,4,0,0,7,0,0,0,0,0,0,0,3,34,56,34,19,37,3,3,184
5100303,12,19,3,7,5,6,0,50,6,11,15,6,11,4,0,59,0,3,5,0,0,3,0,18,0,0,0,0,0,0,0,3,43,72,33,32,45,16,0,239
5100304,5,5,9,8,8,4,0,40,3,8,5,3,3,0,0,17,0,0,0,0,6,0,0,10,0,0,0,0,0,3,0,3,44,47,32,24,29,20,0,196
5100305,11,21,12,5,4,7,3,52,3,9,3,4,4,8,0,28,0,3,0,3,3,0,0,10,0,0,0,0,0,0,0,3,46,71,26,26,28,23,3,223
5100306,8,20,14,8,12,4,0,74,6,16,6,7,8,6,0,48,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,76,101,52,45,43,29,0,351
5100307,17,23,15,3,4,4,0,66,3,11,5,0,3,4,0,25,3,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,52,69,41,23,32,16,0,227
5100308,6,28,10,5,4,4,0,60,4,11,10,12,7,3,0,43,0,3,0,3,3,0,0,16,0,0,0,0,0,0,0,4,64,98,48,42,34,16,0,300
5100310,14,20,8,0,7,14,0,61,7,11,12,9,13,5,0,57,0,3,7,3,4,3,0,22,0,0,0,0,4,0,0,6,80,83,41,38,64,51,35,380
5100311,10,16,0,0,0,4,0,33,4,4,4,3,0,0,0,17,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,4,40,84,25,24,23,18,3,210
5100312,4,14,8,7,7,4,0,49,7,12,9,5,8,3,0,37,0,7,6,3,4,0,0,22,0,0,0,0,0,0,0,5,63,89,44,24,33,19,3,280
5100313,8,4,0,3,5,5,0,30,3,3,3,7,4,3,0,29,0,3,0,0,9,0,0,11,0,0,0,0,9,0,0,5,46,39,14,28,57,27,27,245
5100314,12,13,6,13,0,3,0,50,0,4,7,3,0,8,0,20,0,5,0,0,0,3,0,10,0,0,6,0,0,0,0,4,33,76,40,23,23,25,12,230
5100315,16,15,13,3,15,12,0,67,4,10,8,6,4,5,0,40,3,3,4,0,5,0,0,14,0,0,0,0,4,0,0,6,60,97,50,30,47,52,8,351
5100316,4,12,20,3,4,0,0,41,3,9,8,6,3,0,0,34,0,3,0,0,4,0,0,7,0,0,0,0,0,0,0,0,36,69,62,25,19,12,5,231
5100317,7,20,12,3,4,5,0,49,3,10,10,3,0,0,0,34,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,46,88,57,33,27,27,0,275
5100318,12,38,20,7,11,11,0,95,4,14,7,7,12,4,5,54,0,9,0,3,4,0,0,19,0,0,0,0,0,0,0,7,56,108,53,34,40,34,17,349
5100319,13,21,17,3,4,7,0,60,7,13,20,11,9,6,0,57,9,6,14,3,13,5,0,47,3,0,0,0,3,0,0,9,54,70,56,26,44,22,0,263
5100320,15,22,8,3,3,9,0,57,3,17,17,11,4,3,0,55,6,6,5,7,4,3,0,22,0,0,0,3,3,0,0,12,110,136,71,62,45,38,3,459
5100321,9,18,11,0,5,0,0,42,3,7,15,7,3,3,0,33,0,3,0,3,0,3,0,13,0,0,0,0,0,3,0,3,68,90,70,35,19,24,0,307
5100322,0,11,4,0,0,12,0,31,10,10,3,10,0,16,0,52,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,24,53,17,24,9,56,9,190
5100323,3,13,5,8,0,0,0,35,4,17,0,3,5,0,0,23,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,6,37,59,31,31,24,7,0,183
5100324,6,25,20,9,3,5,0,71,4,13,3,5,3,0,0,30,0,0,3,3,3,0,0,19,0,0,0,0,0,0,0,3,53,80,58,31,23,30,3,273
5100325,11,20,9,9,6,0,0,54,5,12,15,9,8,0,0,46,0,3,3,3,0,0,0,14,0,0,0,3,3,0,0,8,95,115,61,56,60,21,0,404
5100326,3,3,3,5,3,0,0,18,6,3,10,3,9,3,0,37,0,0,3,4,0,0,0,5,0,3,0,0,0,0,0,3,67,73,31,29,37,10,5,246
5100327,4,14,4,6,8,4,0,43,4,21,15,11,14,3,0,67,5,3,0,3,3,0,0,18,0,0,0,0,0,0,0,0,95,142,60,54,75,31,5,450
5100328,15,25,12,3,3,0,0,59,15,6,12,12,8,0,0,56,0,7,8,0,0,0,0,17,0,0,0,0,0,0,0,0,131,185,97,75,64,36,8,600
5100401,12,19,9,0,4,0,3,51,8,4,3,8,5,5,3,35,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,82,97,56,35,34,18,9,328
5100405,19,17,14,5,10,26,4,103,8,7,0,4,4,19,4,39,0,0,3,3,3,4,0,15,0,0,0,0,0,0,0,0,107,99,37,40,52,117,46,501
5100406,11,33,6,3,3,6,3,69,5,11,4,4,3,3,0,38,0,3,3,3,0,0,0,10,0,0,0,3,4,3,0,7,80,134,41,33,46,29,23,382
5100407,10,8,9,5,12,6,3,55,4,5,8,11,15,3,0,46,0,6,3,4,24,7,0,44,3,0,0,0,32,3,0,42,69,68,34,31,117,38,54,411
5100408,12,21,8,5,8,9,7,58,0,15,8,4,0,6,3,45,3,0,3,0,0,3,0,16,0,0,0,0,3,0,0,6,63,101,40,12,42,61,59,370
5100410,11,11,10,9,9,4,0,51,4,16,7,8,3,0,0,41,3,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,119,179,71,55,88,20,10,546
5100411,8,10,6,4,13,7,0,46,10,9,3,3,6,3,0,34,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,4,70,69,23,16,46,58,70,349
5100412,8,24,14,3,7,5,0,73,10,8,11,3,8,0,0,43,3,3,3,3,0,0,0,15,0,0,0,3,0,3,0,11,62,101,54,39,41,42,19,355
5100413,12,18,9,10,10,3,0,68,4,6,8,5,3,3,0,29,3,8,6,9,4,4,0,29,0,0,0,0,0,0,0,3,87,126,61,53,46,21,4,396
5100414,9,33,17,6,7,6,3,73,7,8,15,8,6,9,4,66,0,5,4,6,3,4,0,16,0,0,3,0,0,0,0,3,81,118,79,43,39,50,15,431
5100415,4,4,10,3,0,3,0,36,4,13,3,0,0,3,0,29,0,5,0,0,3,3,0,14,0,0,0,0,0,0,0,4,44,58,40,16,19,27,6,208
5100416,4,26,10,6,8,8,0,70,3,15,10,0,8,9,0,46,0,6,3,5,6,0,0,18,0,0,4,0,3,0,0,8,67,115,61,46,49,49,32,416
5100417,11,31,21,5,9,8,0,90,0,17,11,4,3,4,0,36,0,5,3,3,0,0,0,15,0,0,0,0,0,0,0,4,73,109,71,35,35,50,8,382
5100418,4,12,5,4,7,5,0,42,3,5,3,4,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,52,20,15,20,15,3,153
5100419,4,14,0,4,3,7,0,36,0,3,9,3,0,3,0,14,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,55,77,36,24,25,15,0,240
5100420,3,3,5,3,4,0,0,31,0,6,0,3,0,0,0,11,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,4,71,77,31,31,32,25,0,264
5100421,3,14,6,6,0,3,0,31,0,9,3,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,53,83,39,28,30,21,3,263
5100422,6,10,0,3,7,0,0,27,0,8,7,3,0,3,0,16,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,59,86,44,43,41,20,3,294
5100423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100424,3,9,0,3,4,0,0,25,0,5,3,0,6,3,0,17,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,48,78,24,24,34,22,5,228
5100425,4,11,8,3,7,0,0,39,0,8,0,7,3,0,0,17,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,42,80,32,21,34,16,3,224
5100426,0,12,6,4,3,0,0,24,0,3,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,68,36,29,36,13,4,232
5100427,0,13,3,3,3,0,0,25,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,79,31,22,36,8,3,225
5100502,4,13,6,3,3,0,3,33,4,3,3,3,4,0,0,24,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,110,166,63,66,65,26,3,498
5100504,3,15,9,7,3,3,0,35,0,7,6,12,5,3,0,32,0,0,3,8,5,0,0,16,0,0,0,0,0,0,0,0,33,46,30,29,33,17,0,187
5100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100506,3,3,0,0,3,9,0,23,3,3,0,0,8,12,0,22,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,17,18,7,12,25,43,0,110
5100507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100508,11,16,8,3,4,0,0,54,3,4,8,10,10,4,0,39,7,0,3,4,4,9,0,33,3,3,3,3,3,0,0,17,55,60,50,41,48,26,0,271
5100509,16,20,11,11,8,10,0,79,4,15,22,7,13,8,0,69,3,9,6,0,6,11,0,37,0,0,0,0,3,0,0,5,128,154,75,79,73,48,0,558
5100510,15,8,12,11,13,3,0,57,0,6,3,3,3,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,115,147,76,91,97,37,0,558
5100511,8,14,9,9,4,8,0,46,3,11,8,3,8,14,0,49,0,3,6,3,6,11,0,21,0,0,4,3,0,6,0,17,60,78,45,38,43,60,0,317
5100512,3,11,9,5,4,3,0,43,0,6,0,3,4,3,0,16,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,5,39,46,27,19,37,9,0,170
5100513,14,13,8,7,12,3,0,55,8,8,9,6,7,4,0,38,0,3,3,0,4,3,0,16,0,0,0,0,0,0,0,3,66,85,50,30,44,20,0,289
5100514,6,3,5,3,4,3,0,27,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,61,109,49,64,69,22,0,379
5100515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100516,7,9,8,6,6,0,0,47,4,15,12,4,11,0,0,43,0,4,0,3,0,3,0,16,0,0,0,0,0,0,0,0,38,67,34,30,34,6,0,205
5100517,6,10,3,3,3,5,0,34,7,14,12,7,19,3,0,56,0,10,7,0,14,12,0,41,0,6,0,0,11,10,0,25,27,52,28,21,52,30,0,222
5100518,14,41,14,14,20,3,3,103,10,12,16,8,19,4,0,75,3,3,4,0,15,8,0,34,0,3,0,0,3,0,0,9,105,157,66,61,102,23,3,514
5100519,11,27,17,3,10,4,0,68,7,12,18,8,10,3,0,52,4,3,9,0,5,0,0,29,3,0,0,0,7,0,0,6,80,124,73,40,61,28,0,408
5100520,4,17,15,3,11,4,0,53,3,6,8,4,5,3,3,35,0,3,3,6,0,0,0,16,0,0,0,0,0,0,0,4,37,77,43,30,34,18,6,249
5100521,7,25,6,4,10,3,0,50,3,10,11,4,6,0,0,38,6,4,3,4,5,6,0,30,0,0,0,0,0,0,0,9,69,107,41,34,57,19,0,335
5100522,4,14,9,3,13,0,0,42,3,10,10,0,8,0,0,21,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,3,41,64,37,22,46,15,0,222
5100524,12,12,7,8,9,9,0,58,0,3,5,4,5,5,0,25,3,3,0,0,7,5,0,16,0,0,0,0,0,0,0,0,67,60,33,38,39,48,3,281
