SA1_7DIGITCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
5126109,0,4,3,5,0,3,0,12,0,0,0,3,4,4,0,6,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,3,13,6,7,3,7,14,0,50
5126201,5,6,5,3,3,3,0,28,0,4,0,0,0,0,0,9,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,52,65,25,25,33,31,3,240
5126202,0,10,6,3,5,0,0,28,3,3,4,0,9,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,76,89,31,23,54,23,3,299
5126203,6,9,12,3,7,6,0,45,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,83,34,27,39,34,6,280
5126204,11,17,9,0,10,0,0,44,3,3,5,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,83,30,28,37,4,5,271
5126205,9,13,8,0,15,7,0,53,3,7,3,0,6,9,0,26,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,56,68,17,14,111,76,102,436
5126206,8,6,4,0,4,3,0,35,0,3,6,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,79,31,19,26,27,4,257
5126207,10,4,5,3,13,9,3,47,6,6,0,3,6,6,0,25,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,51,39,13,14,44,30,3,199
5126208,7,35,3,3,27,19,3,101,7,20,5,9,31,7,3,80,0,0,0,4,8,0,0,9,0,0,0,0,0,0,0,0,62,87,22,24,86,147,25,445
5126209,5,6,4,8,8,9,0,43,3,0,0,4,3,0,0,12,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,3,31,28,16,25,48,55,0,204
5126210,5,13,3,4,14,6,0,39,5,11,4,5,10,3,0,40,3,0,3,0,3,3,0,11,0,0,0,0,0,0,0,0,42,62,25,18,81,50,3,283
5126211,3,20,3,4,4,17,0,45,0,3,0,0,7,4,0,11,0,0,0,3,4,4,0,13,0,0,0,0,0,0,0,0,34,58,13,19,72,66,0,267
5126212,26,46,12,4,46,20,3,163,18,38,27,12,37,39,0,162,12,12,11,5,17,11,0,58,0,0,0,0,3,6,0,13,87,141,55,30,174,138,70,700
5126213,7,21,7,5,9,0,0,56,0,5,3,0,0,3,0,21,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,88,102,31,18,59,35,4,333
5126214,8,9,13,3,11,11,0,52,0,3,0,0,6,5,0,16,4,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,43,55,33,15,58,61,0,263
5126215,39,69,20,19,70,40,5,262,34,60,25,16,93,40,9,276,11,16,8,0,25,9,0,76,0,0,3,0,3,0,0,3,185,288,103,77,289,186,84,1204
5126216,3,6,0,3,3,7,0,20,0,9,0,0,0,6,0,15,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,32,41,4,4,23,53,4,160
5126217,10,16,6,10,7,9,0,57,3,7,3,3,3,5,0,21,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,103,141,55,24,88,61,5,486
5126218,21,27,5,3,5,8,3,76,0,8,4,4,3,3,0,24,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,131,157,56,38,59,37,8,487
5126219,11,20,10,3,10,10,0,61,4,10,3,4,4,4,0,32,0,3,5,0,0,0,0,13,0,0,0,0,0,0,0,0,103,113,45,22,62,43,8,393
5126220,9,21,12,0,14,0,0,58,3,3,3,0,5,0,0,14,4,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,88,124,42,29,36,5,3,325
5126221,5,13,6,3,20,3,0,58,13,10,11,5,20,17,0,77,3,3,3,3,3,0,3,24,0,0,0,0,3,0,0,4,52,60,34,13,75,41,14,287
5126222,73,139,69,24,108,78,14,491,100,163,106,52,184,97,13,708,16,32,19,4,53,33,4,163,4,3,0,0,12,0,0,20,404,635,287,149,528,375,89,2468
5126223,4,0,3,3,8,16,0,29,4,0,0,0,3,9,0,18,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,20,25,13,21,49,81,0,216
5126224,3,9,8,0,0,3,0,33,0,3,0,0,9,3,0,18,3,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,74,110,71,27,57,27,0,355
5126225,12,17,4,0,10,13,0,59,5,12,3,0,3,10,0,33,3,0,3,0,0,0,0,10,0,0,0,0,0,3,0,3,55,75,22,13,44,61,9,271
5126226,12,15,3,0,7,0,3,47,3,3,0,3,3,0,0,21,0,3,3,0,3,0,0,10,0,0,0,0,0,0,0,0,64,89,37,15,44,16,9,261
5126227,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,10
5126228,17,25,8,0,26,18,6,98,7,9,4,3,17,14,3,57,0,0,0,0,9,7,0,14,0,0,0,0,3,0,0,6,82,94,28,27,123,101,20,481
5126229,3,3,0,0,8,5,0,25,5,0,0,0,0,4,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,22,7,8,72,44,0,175
5126230,29,42,29,9,38,9,3,167,36,49,38,15,69,17,3,227,8,5,4,0,17,3,0,38,0,0,0,0,0,0,0,0,117,164,95,47,146,39,8,611
5126231,3,7,5,4,7,11,0,44,0,3,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,28,50,20,9,53,45,0,207
5126232,5,10,3,0,11,9,0,34,3,3,0,0,6,3,0,20,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,3,51,37,15,3,57,30,14,200
5126233,8,19,8,0,13,9,0,68,10,10,0,3,9,9,0,50,3,5,0,0,7,0,0,13,3,0,0,0,4,0,0,5,101,106,39,34,83,56,8,422
5126234,10,26,4,3,15,3,0,55,3,12,7,4,5,3,0,32,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,84,134,50,29,48,21,0,372
5126235,10,19,7,9,38,11,0,83,9,15,15,9,27,9,0,82,3,0,0,3,13,0,0,27,0,0,0,0,10,3,0,13,65,80,34,23,105,46,4,357
5126236,11,16,0,3,22,16,3,64,10,8,0,0,17,18,3,53,3,6,5,0,8,4,0,35,0,0,0,0,0,0,0,0,78,81,14,13,89,86,8,368
