SA1_7DIGITCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5106717,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,3,3,0,3,10,0,10,6,3,8,3,0,3,0,0,0,5,3,8,11,0,11,3,0,3,12,0,12,4,0,5,10,0,10,3,0,3,0,0,0,67,15,80
5106718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106720,0,0,3,0,0,0,0,0,0,0,6,5,3,7,10,6,4,9,6,7,12,4,0,10,3,0,7,3,3,6,3,3,8,3,0,3,5,0,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,58,36,91
5106801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,3,0,3,0,0,0,4,0,3,12,0,12,5,0,5,3,0,3,3,0,6,16,0,16,15,0,15,3,0,3,73,4,81
5106802,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,8,3,0,6,0,3,5,0,0,0,5,0,5,4,0,4,8,0,10,3,0,4,3,0,3,9,0,9,13,0,13,18,0,18,0,0,7,80,16,94
5106803,0,0,0,0,3,4,0,0,0,0,3,3,0,7,3,0,0,5,0,0,0,3,0,8,9,4,14,3,4,15,7,0,8,3,0,4,8,0,13,0,3,3,3,0,3,7,0,6,8,0,8,7,0,10,0,5,4,75,41,110
5106804,0,0,3,0,0,0,0,0,0,0,3,3,3,4,6,5,3,9,0,0,3,4,3,9,12,3,8,0,3,5,9,0,9,6,5,6,17,3,20,15,0,15,11,0,11,9,3,10,28,0,28,8,0,8,0,5,3,127,36,157
5106807,0,0,0,0,0,0,4,0,4,0,0,0,3,3,9,0,6,9,9,0,8,8,0,8,7,3,12,14,0,14,7,0,10,3,0,6,19,5,18,11,0,11,12,0,12,8,0,11,17,0,17,17,0,17,5,3,10,142,27,170
5106808,3,4,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,3,0,6,8,3,7,4,0,3,3,0,6,0,0,0,7,4,10,6,0,6,4,0,4,6,0,6,17,0,17,14,0,14,0,0,0,83,16,95
5106809,5,0,3,0,0,0,0,0,0,0,3,3,3,0,3,4,4,9,6,4,8,3,6,10,7,0,7,8,0,12,16,0,11,12,0,16,30,0,28,18,0,18,16,0,16,15,0,19,45,0,45,35,0,36,3,0,6,228,29,258
5106810,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,3,0,3,3,9,6,3,8,9,4,14,11,3,14,6,0,6,10,5,12,26,7,35,14,0,14,10,0,10,7,0,7,6,0,6,17,3,19,0,0,0,138,33,173
5106811,0,0,0,0,0,3,0,5,5,0,3,3,3,8,8,0,0,4,15,5,19,10,0,10,9,3,19,9,7,8,6,3,11,11,0,11,5,3,10,15,0,15,4,0,4,9,0,6,7,0,7,7,0,8,0,0,3,110,37,152
5106812,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,7,3,5,4,0,7,3,3,4,7,0,7,7,0,10,6,0,6,3,0,3,3,0,3,9,0,9,13,0,13,4,0,4,78,8,88
5106813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,8,8,0,8,10,3,11,3,3,10,4,0,4,5,0,5,24,0,27,15,0,15,10,0,10,16,3,19,25,0,25,17,0,17,0,0,0,145,16,161
5106814,7,0,7,0,0,0,0,0,0,0,3,3,3,3,11,0,4,3,0,3,4,8,6,9,12,0,7,11,3,10,4,0,4,11,0,9,17,3,20,5,0,5,11,0,11,3,3,4,23,0,23,16,0,16,0,0,0,121,34,157
5106815,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,3,0,6,4,0,4,7,0,7,7,0,5,13,3,17,9,0,13,4,0,4,9,0,9,23,0,23,27,0,27,0,0,0,115,16,132
5106816,0,3,3,0,0,0,0,0,3,0,0,0,3,3,3,4,0,4,9,0,5,16,14,26,22,12,32,36,19,52,38,9,51,43,7,51,85,12,97,32,7,38,15,0,22,12,0,13,12,3,12,50,3,55,3,3,4,377,93,470
5106817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,17,0,18
5106818,0,3,4,0,3,3,4,0,7,8,4,10,8,0,6,8,0,14,18,8,22,15,13,27,31,9,44,17,15,28,30,14,41,28,7,34,54,3,55,19,3,23,16,0,16,9,0,9,19,0,19,42,0,46,3,0,4,322,94,412
5106819,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,13,0,13,8,3,9,10,3,15,10,0,10,26,0,27,14,0,14,21,0,24,24,0,24,32,0,32,19,0,19,0,0,0,179,7,191
5106820,11,0,11,0,3,3,0,0,0,0,3,3,3,0,4,4,0,3,7,0,5,3,3,5,8,0,9,9,5,15,7,0,9,15,0,14,44,3,52,48,0,48,34,0,34,24,0,22,54,0,54,47,0,47,0,3,4,318,28,340
5106901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107001,0,0,0,3,0,3,0,0,0,0,0,0,5,6,9,3,0,3,3,4,5,3,3,7,4,4,3,3,3,8,4,3,8,3,0,6,10,0,11,6,0,6,3,0,3,3,0,3,0,0,3,7,0,7,0,0,0,59,27,88
5107002,0,0,0,0,0,0,0,3,3,0,4,4,0,10,7,3,0,3,8,3,11,3,0,9,12,3,15,12,3,15,12,3,15,5,0,7,19,3,28,15,0,15,4,0,4,10,0,10,4,0,7,12,0,13,3,0,3,128,42,169
5107003,0,0,0,0,0,0,4,0,4,0,0,0,3,7,10,3,3,4,4,0,4,0,0,3,4,3,11,0,3,3,4,3,3,7,3,12,12,0,13,5,0,5,3,0,3,4,3,4,3,0,3,10,0,10,0,0,0,70,26,95
5107004,3,0,5,0,0,3,3,0,3,3,4,8,4,9,13,3,0,5,5,3,14,3,3,9,14,8,21,10,7,10,9,0,6,4,3,8,17,3,19,15,0,15,5,0,5,5,3,10,3,0,3,9,0,12,3,0,3,120,41,165
5107005,0,0,3,3,0,3,0,3,3,0,3,3,4,9,14,3,3,4,7,3,10,11,7,15,8,3,8,11,3,16,3,0,7,6,3,9,16,7,19,15,0,15,13,0,13,3,0,3,6,0,6,24,0,25,3,0,3,139,48,179
5107006,0,0,3,0,0,0,0,0,0,0,5,5,3,0,4,5,5,7,11,3,10,4,4,10,8,4,11,12,4,14,9,4,12,5,3,11,19,3,23,17,0,17,4,0,8,6,0,6,3,0,3,16,0,16,0,4,4,114,42,158
5107007,0,3,3,0,3,3,3,0,3,0,3,3,3,14,11,0,4,9,14,3,18,7,9,10,8,3,7,14,6,19,10,5,17,12,4,15,25,3,33,19,0,19,7,0,7,3,0,3,8,0,8,12,0,13,3,4,6,140,61,209
5107008,0,0,0,0,0,0,0,0,3,0,4,6,0,6,9,5,6,10,7,12,21,15,3,25,14,12,21,12,14,29,14,7,27,22,4,23,32,3,38,22,4,23,17,0,17,7,0,7,7,3,10,13,7,21,0,3,3,207,88,289
5107009,0,0,0,0,0,0,0,0,0,3,5,8,0,4,8,7,3,7,7,3,13,6,4,9,6,3,12,12,0,11,5,3,5,6,3,9,13,9,19,6,0,12,6,0,6,0,0,0,8,0,8,8,3,8,0,0,0,95,41,138
5107010,3,0,3,0,0,0,0,0,0,0,3,3,0,6,6,3,0,3,7,0,7,3,0,4,4,6,11,6,3,6,6,0,6,8,3,8,13,0,18,8,0,8,3,0,3,0,0,0,3,0,3,13,0,17,0,0,0,80,26,108
5107011,0,0,0,0,0,0,0,3,3,0,3,3,0,8,10,4,5,6,4,0,4,4,5,11,9,5,15,3,5,7,0,5,5,9,4,12,15,3,17,6,0,6,3,0,4,3,0,3,5,0,5,15,0,15,3,0,3,86,39,128
5107012,0,0,0,0,0,0,3,3,7,0,0,3,3,8,15,4,9,10,5,3,6,3,4,8,11,7,16,7,5,12,5,4,9,5,0,11,15,0,18,8,0,8,7,0,7,3,0,3,5,0,5,15,0,17,0,3,5,108,52,158
5107013,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7,0,0,4,5,0,5,8,4,11,7,0,7,6,3,10,5,3,11,6,5,6,16,3,14,7,0,7,10,0,10,3,0,3,7,0,7,12,0,13,0,0,0,94,27,121
5107014,0,0,0,0,0,4,0,3,4,0,0,0,4,11,8,0,4,6,11,3,13,8,4,8,17,7,27,12,3,15,17,4,21,10,0,8,40,0,38,17,0,14,12,0,12,8,0,9,10,0,10,21,0,21,3,0,3,180,38,220
5107015,0,0,3,0,0,0,0,3,8,0,0,0,3,9,15,5,4,9,10,8,15,7,0,10,11,9,18,9,3,13,18,0,18,10,4,18,24,7,35,14,0,14,12,0,9,7,0,9,13,0,13,16,0,16,3,0,5,161,56,215
5107016,0,0,0,0,0,0,0,0,3,0,0,3,10,10,15,8,3,7,13,8,15,6,10,9,13,16,24,15,9,19,6,6,10,16,7,21,19,8,27,11,0,11,8,0,8,0,0,0,9,0,9,13,6,13,3,0,8,141,77,221
5107017,0,0,0,0,0,0,3,0,3,0,3,3,7,4,7,4,5,5,4,3,3,8,10,20,3,11,12,7,0,11,9,3,9,8,0,8,24,3,21,18,0,18,5,0,11,3,4,7,3,0,3,20,0,20,3,0,3,124,43,163
5107018,0,0,0,0,0,0,0,0,4,0,3,3,0,6,8,3,4,10,9,0,9,9,5,10,12,4,17,16,8,26,9,10,19,7,0,7,29,3,34,24,0,24,6,0,6,10,0,12,7,0,9,25,3,28,0,0,0,164,51,217
5107019,0,0,0,0,3,3,0,0,0,0,3,3,0,4,7,0,0,0,0,0,0,3,0,3,3,3,10,5,0,6,5,0,5,10,3,13,10,10,18,10,0,10,5,0,5,3,0,3,8,0,8,12,0,12,0,0,3,83,32,117
5107020,0,3,3,0,0,4,0,0,3,0,0,0,0,4,7,3,5,4,7,3,14,3,0,9,9,3,16,4,6,12,5,3,9,12,0,7,23,0,20,16,0,16,13,0,13,3,0,3,12,0,12,14,0,15,3,0,3,134,36,167
5107021,0,3,0,0,0,0,0,3,3,0,4,0,8,3,11,3,4,3,7,0,7,9,3,10,3,10,9,8,3,13,8,3,10,12,0,14,13,5,13,10,0,10,4,0,8,3,0,3,10,0,12,6,0,6,0,3,3,106,39,149
5107022,0,4,5,0,0,0,0,3,3,3,3,4,0,5,5,0,4,4,4,5,9,3,7,10,6,6,6,4,3,8,7,4,15,7,3,6,18,3,17,15,0,15,3,0,3,0,3,3,3,0,3,13,3,11,0,3,3,96,56,152
5107023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107024,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,4,10,0,12,4,5,9,0,0,7,4,0,4,4,0,4,10,3,15,9,0,9,0,0,0,0,0,0,3,0,3,8,0,8,0,0,3,65,22,95
5107101,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,4,5,0,5,3,0,8,3,0,7,5,0,5,9,0,9,3,3,10,27,0,24,18,0,15,6,0,6,8,0,8,9,0,9,17,0,17,0,3,3,119,22,136
5107102,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,3,3,10,5,0,3,4,3,8,8,0,8,4,0,6,8,0,10,18,4,19,7,0,7,15,0,11,10,0,10,12,0,12,15,0,15,0,4,4,108,21,132
5107103,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,3,7,8,0,8,3,0,10,4,3,5,7,0,7,7,3,12,7,0,7,16,0,16,14,0,14,14,0,14,5,0,7,15,0,15,17,0,18,0,0,0,115,21,131
5107104,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,5,0,7,4,6,13,3,0,4,5,0,5,5,0,6,13,0,13,14,0,14,3,0,3,3,0,9,15,0,15,8,0,8,3,0,3,87,8,98
5107105,0,0,3,0,0,0,0,0,0,0,0,0,3,6,9,3,0,3,3,0,8,4,0,9,6,3,11,7,3,14,12,0,12,7,4,11,30,3,30,22,0,22,11,0,11,12,0,12,16,0,16,15,0,14,4,0,4,155,25,182
5107106,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,3,7,0,7,3,0,5,0,0,3,4,0,4,3,0,3,5,0,5,6,0,8,6,0,6,0,0,3,4,0,4,10,0,10,3,0,3,0,0,0,51,9,65
5107107,4,0,4,0,0,0,0,0,0,0,0,0,5,0,3,3,3,5,10,0,10,6,0,6,9,3,9,7,3,7,4,0,6,7,0,7,11,0,10,19,0,19,10,0,10,9,0,10,10,0,10,15,0,15,0,3,3,125,18,146
5107108,0,3,3,0,0,0,0,0,0,0,0,0,0,7,5,0,3,3,3,3,5,3,0,3,6,0,9,3,0,3,0,3,4,4,0,4,17,6,19,16,0,19,5,0,5,0,0,0,5,0,5,10,0,10,0,0,0,85,19,108
5107109,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,3,4,0,8,0,0,6,8,0,9,3,3,5,9,0,9,7,0,7,4,0,4,7,0,4,6,0,6,0,0,0,6,0,7,7,0,7,0,0,0,66,20,83
5107110,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,3,7,0,9,4,0,4,9,0,6,7,3,9,12,0,12,8,3,6,23,3,28,21,0,23,9,0,9,3,0,3,10,0,10,7,0,7,3,0,3,125,14,139
5107111,0,0,0,0,0,0,0,0,0,0,4,4,4,6,12,4,4,5,11,0,6,3,0,3,4,0,4,9,0,8,0,0,4,3,0,3,15,3,19,14,0,14,5,0,5,3,0,3,6,0,6,8,0,8,0,0,3,83,22,108
5107112,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,10,7,3,5,6,3,9,8,3,8,6,3,12,10,0,10,17,0,17,9,0,11,12,0,12,8,0,8,8,0,8,11,0,10,0,0,0,117,19,140
5107113,0,0,0,0,0,0,0,5,5,3,5,6,5,3,10,3,3,6,4,3,10,9,3,9,4,0,3,3,4,11,3,6,9,4,0,4,19,0,16,15,0,15,4,0,7,7,0,6,8,0,8,16,3,16,0,3,3,109,48,159
5107114,0,0,0,0,0,0,3,5,3,0,0,4,0,3,3,0,0,0,7,3,5,5,3,9,9,0,13,7,5,12,8,3,13,9,0,9,14,3,18,27,0,24,9,0,12,9,0,10,16,0,16,10,0,10,0,0,0,129,33,162
5107115,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,6,3,3,6,6,0,6,3,0,7,4,0,3,11,0,11,10,0,6,8,0,8,13,0,13,9,0,9,6,0,6,7,0,8,0,0,0,92,15,113
5107116,0,3,3,0,0,0,0,0,4,0,0,0,3,3,4,4,3,5,6,0,6,3,3,5,9,3,13,7,0,7,11,3,14,9,0,9,24,0,24,21,0,21,13,0,13,12,0,12,28,0,28,16,0,16,6,0,8,177,21,192
5107117,0,0,0,0,0,0,0,3,5,0,0,0,0,6,4,0,3,4,4,3,7,3,0,4,9,0,13,14,0,9,9,0,9,13,0,13,19,7,26,17,0,17,9,0,9,9,0,9,13,0,13,20,0,22,0,0,0,135,25,161
5107118,0,5,7,0,6,6,5,3,6,3,4,7,3,8,11,9,3,11,12,3,17,11,9,19,10,17,26,13,9,27,13,9,26,10,7,17,28,5,29,10,3,16,6,0,6,7,0,9,13,0,13,36,0,34,3,3,4,189,103,286
5107119,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,3,0,3,5,0,5,7,0,7,10,0,8,15,3,15,9,0,9,8,0,8,9,0,9,16,0,16,16,0,16,0,0,4,114,6,120
5107120,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,3,0,3,3,7,11,0,0,0,7,0,7,3,0,3,3,0,3,3,0,3,8,4,14,9,0,9,8,0,8,5,0,5,19,0,19,10,0,10,0,0,0,99,8,110
5107121,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,3,0,0,0,3,0,3,6,0,7,4,3,9,3,0,7,8,0,8,13,0,18,8,0,8,9,0,9,11,0,11,5,0,5,3,0,10,0,0,0,89,15,101
5107122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,4,0,9,8,0,5,10,3,10,4,0,3,3,0,3,28,0,24,10,0,10,13,0,13,7,0,7,13,0,13,18,0,18,0,0,0,121,9,136
5107123,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,0,3,7,0,7,12,0,10,11,4,18,4,3,10,7,0,7,15,0,15,27,3,27,18,0,21,5,0,5,9,0,9,10,0,10,28,0,28,3,0,3,157,26,183
5107124,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,6,4,8,5,0,5,10,4,11,12,0,11,10,0,9,18,0,22,20,0,20,11,0,11,17,0,17,6,0,6,23,0,23,0,0,3,151,20,177
5107125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5107126,3,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,4,3,7,3,0,3,3,0,3,6,0,6,9,0,9,0,0,0,14,0,12,16,0,16,10,0,10,11,0,11,16,0,16,12,0,15,4,0,4,110,10,123
5107127,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,3,4,0,4,0,3,4,0,0,0,4,0,4,5,0,5,9,0,9,21,0,21,12,0,12,19,0,19,6,0,6,11,0,11,11,0,11,0,0,0,106,9,120
5107128,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,4,0,0,3,0,0,3,3,0,3,4,3,11,4,3,4,3,0,3,18,0,18,9,0,9,13,0,13,3,0,4,9,0,9,15,0,15,0,0,0,97,20,111
5107129,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,3,5,0,5,3,0,3,7,4,9,7,0,10,3,0,7,9,0,12,7,0,7,8,0,8,9,0,9,10,0,10,9,0,9,21,0,21,0,0,0,108,13,121
5107130,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,12,4,0,8,9,0,6,7,3,13,8,0,9,3,0,3,5,0,4,11,0,11,3,0,3,4,0,4,10,0,10,5,0,10,0,0,0,85,16,98
5107131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,3,0,0,3,3,0,3,4,0,4,5,0,5,7,0,7,4,0,4,6,0,6,4,0,4,10,0,10,16,0,19,0,0,0,76,11,83
5107132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,10,9,3,13,9,7,17,3,0,3,3,4,11,9,3,13,9,0,9,12,3,16,10,0,10,5,0,12,14,0,14,12,0,12,3,4,9,120,30,149
5107133,0,0,0,0,0,0,0,3,5,0,0,0,0,3,3,3,0,4,0,8,6,3,0,5,3,3,7,8,0,7,0,4,4,6,5,8,10,0,9,5,0,5,3,0,3,0,3,3,3,0,3,9,3,9,0,0,0,53,32,86
5107134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,3,0,4,4,0,6,4,0,4,7,0,7,5,0,4,11,0,11,13,0,13,12,0,12,16,0,16,31,0,31,22,0,22,0,3,3,135,10,140
5107135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,4,0,6,7,0,7,3,3,4,11,0,11,3,0,3,4,0,11,17,0,14,21,0,21,6,0,6,7,0,7,29,0,29,22,0,22,0,0,0,138,8,153
5107201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,4,4,3,8,0,9,0,0,4,3,0,3,14,0,15,9,0,9,5,0,5,9,0,9,11,0,11,7,0,7,0,0,0,70,11,85
5107202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,3,0,9,0,0,0,3,3,3,0,0,0,11,3,16,9,0,9,7,0,7,3,0,3,12,0,12,8,0,8,0,0,0,64,13,77
5107203,3,0,3,0,0,0,0,0,0,0,3,4,0,3,3,0,7,10,0,0,3,3,0,3,8,0,8,6,0,11,8,6,11,11,3,10,10,7,14,7,0,7,3,0,3,7,0,7,8,0,8,10,0,10,0,0,3,81,27,110
5107204,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,4,0,4,10,0,11,4,0,4,4,3,7,11,0,11,14,0,14,10,3,7,37,5,45,25,0,26,21,0,21,10,3,17,12,0,12,12,0,12,3,3,6,179,30,205
5107205,0,3,3,3,0,3,0,3,4,0,3,3,3,4,4,0,0,0,3,0,8,8,0,8,9,3,14,5,3,9,5,3,8,9,0,9,30,3,33,33,0,33,19,0,19,9,0,9,26,0,26,14,0,14,0,0,0,183,26,212
5107206,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,3,3,4,8,3,5,12,0,12,12,0,12,7,0,7,13,0,15,15,0,15,12,0,12,11,4,16,51,0,51,27,0,27,3,0,4,165,15,179
5107207,3,0,3,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,4,3,4,3,0,3,5,0,5,3,0,3,3,0,3,3,0,3,18,0,24,21,0,21,6,0,6,14,0,14,30,0,26,15,0,15,0,0,4,130,16,144
5107208,3,0,4,0,0,0,0,0,0,0,0,0,4,6,12,3,3,5,3,4,5,5,0,4,9,3,10,7,5,7,4,0,3,3,3,7,18,0,18,15,0,17,8,0,8,4,0,6,13,0,13,9,0,9,0,0,0,105,34,144
5107209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,6,3,3,10,8,0,8,3,0,7,3,3,8,3,4,3,10,3,16,11,0,11,5,0,5,12,0,9,9,0,9,13,0,13,0,0,3,102,27,132
5107210,0,0,0,0,0,0,3,0,3,0,0,0,4,6,7,3,0,4,3,0,7,7,0,12,3,0,10,3,0,3,3,0,4,8,0,4,12,4,20,15,0,15,14,0,14,5,0,4,21,0,21,12,0,9,0,0,0,113,28,136
5107211,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,6,0,3,0,0,3,3,0,3,3,0,3,4,0,7,7,0,8,4,0,10,7,0,7,6,0,6,3,0,3,12,0,12,9,0,9,0,3,3,66,18,84
5107212,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,3,8,3,11,5,3,3,3,3,5,11,3,9,13,0,14,16,3,17,10,0,10,4,0,4,12,0,10,35,0,35,13,0,11,0,0,0,127,25,153
5107213,0,0,0,0,0,0,0,0,4,0,0,0,5,5,16,3,4,3,4,3,7,6,0,7,6,4,15,3,3,5,6,0,6,9,0,8,24,3,29,6,0,6,7,0,7,9,0,9,32,0,32,16,0,16,3,0,3,160,35,199
5107214,4,0,4,0,0,3,0,0,0,0,6,6,0,14,15,0,6,13,9,10,14,6,7,8,4,14,18,9,3,12,7,0,3,9,0,9,13,0,13,12,0,12,7,0,7,10,3,15,30,0,30,14,0,14,0,5,8,142,65,208
5107215,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,5,8,0,6,6,0,5,8,4,6,10,0,10,11,0,8,13,0,19,28,0,27,22,0,22,13,0,13,15,4,21,46,0,46,26,0,26,0,0,3,209,18,229
5107216,5,3,4,3,0,4,0,0,4,0,4,3,0,8,8,3,4,5,6,4,9,3,0,4,10,0,10,4,3,10,10,3,9,11,0,11,18,0,18,15,0,15,15,0,15,18,0,25,34,0,34,22,0,22,7,4,6,182,33,220
5107217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,6,7,3,7,9,3,14,5,0,9,3,3,5,10,0,10,12,3,8,13,0,13,10,0,10,22,0,23,17,0,17,16,0,21,0,3,3,131,30,164
5107218,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,4,4,8,4,9,10,0,13,8,4,11,9,3,10,3,3,5,8,0,8,8,3,9,13,0,13,7,0,7,6,0,6,18,0,18,10,0,10,4,0,4,115,28,138
5107219,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,3,10,10,9,3,9,3,3,9,7,0,10,14,0,12,9,0,5,6,0,10,19,0,19,16,0,16,9,0,9,10,0,11,27,0,27,17,0,22,0,0,0,141,28,168
5107220,0,0,0,0,0,0,0,0,0,0,0,3,4,3,9,0,3,3,9,5,15,9,3,6,4,3,9,8,12,19,10,3,13,10,3,12,15,3,16,11,0,11,9,0,11,4,0,9,15,0,15,18,0,18,3,4,3,121,47,171
5107221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,3,3,4,3,3,5,4,0,4,7,0,7,11,0,11,5,0,5,3,0,3,6,0,6,9,0,9,4,0,4,0,0,0,61,7,67
5107222,0,0,0,0,3,3,0,3,3,0,0,0,4,3,6,0,5,8,4,0,3,7,0,5,8,0,9,3,0,5,3,0,5,3,0,6,19,4,17,7,0,7,10,0,10,0,0,0,8,0,9,7,4,13,0,0,0,88,25,112
5107223,0,0,0,0,0,0,0,0,0,0,3,3,0,6,7,5,0,3,3,0,6,12,0,9,16,7,17,8,0,8,8,0,8,7,0,7,20,4,25,11,0,11,11,0,11,11,0,11,22,0,19,17,4,19,0,0,0,146,28,177
