SA1_7DIGITCODE_2016,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_more_15_19_yr,P_3000_more_20_24_yr,P_3000_more_25_34_yr,P_3000_more_35_44_yr,P_3000_more_45_54_yr,P_3000_more_55_64_yr,P_3000_more_65_74_yr,P_3000_more_75_84_yr,P_3000_more_85_yr_over,P_3000_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100101,0,0,0,3,9,5,0,3,0,25,0,0,3,4,6,6,4,0,0,29,0,0,5,0,0,6,3,4,0,27,0,3,0,0,3,6,0,0,0,12,0,0,0,3,5,3,0,0,0,12,0,0,0,3,0,0,3,0,0,8,0,0,0,3,0,4,0,0,0,10,0,0,0,0,3,3,0,0,0,7,0,0,7,3,5,15,8,3,0,40,0,0,0,0,0,0,0,0,0,5,14,10,32,37,47,81,43,19,5,295
5100102,0,7,3,13,4,5,5,0,0,35,0,0,7,17,19,8,3,0,0,58,0,3,12,10,15,8,7,0,0,46,0,0,7,10,6,3,0,0,0,25,0,0,10,10,8,3,0,0,0,39,0,0,6,18,10,0,0,0,0,31,0,0,10,15,10,3,0,0,0,40,0,0,0,13,3,0,0,0,0,13,8,0,12,31,11,10,4,3,3,75,0,0,0,0,0,0,0,0,0,4,25,15,113,204,98,75,43,17,3,596
5100103,0,4,3,5,3,7,9,10,0,35,0,0,6,0,4,5,3,3,3,20,0,0,0,3,4,7,3,0,0,24,0,0,0,0,5,3,0,0,0,12,0,0,3,0,0,0,9,0,0,11,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,5,6,11,40,0,0,0,0,0,0,0,0,0,0,14,14,26,28,38,61,94,70,33,372
5100104,0,0,5,11,5,8,7,6,0,29,0,0,3,4,11,11,3,0,3,34,0,0,3,0,5,3,4,0,0,21,0,0,3,0,0,3,0,0,4,16,0,0,0,3,3,4,3,0,0,11,0,0,0,0,0,4,0,0,0,9,0,0,0,3,6,5,0,0,0,13,0,0,0,0,3,4,0,0,0,9,3,4,5,7,8,6,19,0,3,60,0,6,0,0,0,0,0,0,0,10,23,18,33,36,71,87,79,52,24,419
5100105,0,3,0,3,4,4,3,0,0,14,0,0,3,0,5,6,0,0,0,20,0,0,0,0,0,12,3,0,0,19,0,0,0,0,0,3,7,0,0,8,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,0,0,7,0,3,0,11,0,21,0,0,0,0,0,0,0,0,0,0,15,7,17,18,35,53,37,26,10,225
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5100107,0,3,3,4,8,7,7,0,0,31,0,0,5,4,3,3,7,0,0,26,0,0,0,6,7,4,0,0,0,16,0,3,5,6,10,7,3,0,0,21,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,6,7,0,0,3,11,7,6,0,0,28,0,3,0,0,0,0,0,0,0,3,14,14,30,31,52,64,61,17,9,285
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
5100109,0,3,3,0,6,8,11,0,0,37,0,3,6,7,11,8,0,3,0,35,0,0,4,6,11,18,9,0,0,42,0,0,4,3,3,3,0,0,0,16,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,8,0,0,0,0,7,0,0,0,0,12,3,3,9,9,10,3,0,0,0,37,0,0,13,0,0,3,0,0,0,13,20,13,43,64,94,83,67,11,10,410
5100110,0,4,0,3,3,3,5,0,0,22,0,0,0,3,3,7,0,0,3,20,0,0,10,3,4,0,0,3,0,19,0,0,0,0,0,0,0,0,0,10,0,0,3,3,5,0,0,0,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,3,3,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,9,3,10,3,6,0,3,33,5,0,0,3,0,3,0,0,0,14,13,17,36,28,45,53,26,12,7,244
5100111,0,8,8,6,5,4,7,0,0,38,0,0,4,3,0,9,5,0,0,21,0,0,0,3,6,6,3,0,0,25,0,0,0,5,3,4,0,0,0,10,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,4,4,0,0,6,0,0,17,0,0,0,0,0,0,3,0,0,4,10,15,30,48,50,60,50,11,0,277
5100112,0,0,0,0,0,5,3,0,3,14,0,0,7,3,4,3,3,0,0,21,0,0,3,3,10,7,0,0,0,27,0,0,0,3,4,7,3,0,0,15,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,3,0,0,8,0,0,4,3,0,0,0,0,0,8,0,0,0,3,7,0,0,3,0,11,4,3,10,8,5,13,0,0,0,40,0,3,0,8,3,0,7,0,0,15,16,11,34,47,46,61,47,6,3,276
5100113,0,0,0,0,6,4,3,0,0,14,0,0,0,3,3,8,5,0,0,22,0,0,3,0,6,4,0,0,0,14,0,0,0,0,3,3,0,0,0,11,0,0,0,0,4,3,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,5,5,0,0,20,0,0,0,0,0,0,3,0,0,4,13,13,17,19,45,61,48,15,4,227
5100114,0,3,6,18,9,3,4,3,0,46,0,0,8,14,12,3,0,3,0,41,0,0,4,11,10,7,5,0,0,42,0,0,0,11,3,3,0,0,0,25,0,0,0,10,8,0,0,0,0,16,0,0,3,0,0,0,0,0,0,7,0,0,4,10,8,0,0,0,0,20,0,0,0,3,3,0,3,0,0,6,6,3,0,8,10,0,0,3,0,29,0,0,3,0,0,0,0,0,0,7,36,14,50,125,81,40,29,24,5,408
5100115,0,0,6,0,14,5,9,0,0,33,0,0,4,13,0,9,0,0,0,31,0,0,4,4,5,9,0,0,0,23,0,0,0,4,3,9,3,3,0,19,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,9,0,0,0,11,0,0,0,3,5,3,0,7,0,22,0,0,3,0,0,0,0,0,0,8,11,15,32,64,46,71,54,25,3,311
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,3,0,0,0,0,18,14,5,42,0,0,4,0,3,0,3,6,4,26,0,0,0,5,0,0,0,8,3,20,0,0,3,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,3,7,0,0,0,4,0,0,0,0,3,11,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,17,46,77,142,3,0,0,0,0,0,0,0,0,3,8,6,12,18,15,24,92,143,126,459
5100203,0,3,0,5,10,4,7,0,0,25,0,0,0,6,6,0,3,0,0,15,0,0,3,12,7,8,3,0,0,30,0,0,0,4,10,4,0,0,0,22,0,0,0,8,12,3,3,0,0,24,0,0,0,0,0,7,3,0,0,12,0,0,4,7,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,3,3,0,0,15,0,0,0,5,0,0,0,0,0,3,33,11,32,72,75,55,42,7,5,336
5100204,0,3,6,3,4,4,0,4,0,29,0,0,6,5,9,3,0,0,0,30,0,0,3,4,4,5,0,0,0,20,0,0,0,5,0,0,0,0,0,10,0,0,0,3,4,3,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,4,3,3,12,7,0,8,3,37,0,0,0,0,0,0,0,0,0,0,36,17,49,44,59,52,30,30,8,343
5100205,0,3,4,4,6,3,10,0,0,27,0,0,0,3,3,3,4,0,0,15,0,0,0,3,15,3,0,0,0,29,0,0,0,9,6,9,0,0,0,22,0,0,0,0,4,0,3,0,0,10,0,0,0,3,3,5,0,0,0,9,0,0,0,7,7,0,0,0,0,15,0,0,0,0,3,3,0,0,0,8,6,0,0,3,4,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,40,13,12,36,74,47,35,17,0,270
5100206,0,0,0,3,7,7,3,0,0,20,0,0,9,5,5,3,0,0,0,24,0,0,0,3,10,8,0,0,0,23,0,3,0,0,4,0,0,0,0,10,0,0,5,3,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,7,4,0,17,0,0,0,0,0,0,0,0,0,0,16,17,35,52,40,38,70,52,28,342
5100207,0,5,0,3,0,7,3,5,0,23,0,4,0,5,0,6,0,0,0,21,0,0,5,5,5,3,0,3,0,22,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,6,0,0,0,13,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,3,8,0,19,0,0,0,0,0,0,0,0,0,0,14,11,27,46,27,51,34,34,7,261
5100209,0,3,9,9,5,5,0,0,0,39,0,3,8,3,10,5,8,3,0,36,0,0,7,4,4,8,3,0,0,31,0,0,0,6,0,7,3,0,0,18,0,0,3,3,0,8,0,0,0,12,0,0,0,0,3,0,0,0,0,11,0,0,3,0,8,0,0,0,0,13,0,0,0,0,4,0,3,0,0,11,0,4,8,10,10,15,11,20,3,78,3,0,0,0,0,0,3,0,0,8,20,27,64,49,74,89,95,58,11,489
5100213,0,6,0,3,9,6,0,0,0,16,0,0,0,12,6,7,3,0,0,31,0,0,0,6,9,3,0,0,0,19,0,0,0,0,8,0,0,0,0,12,0,0,0,3,4,5,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,3,3,0,6,0,0,3,0,0,0,0,0,0,4,21,11,15,35,53,37,30,17,6,227
5100214,0,6,5,7,12,9,3,3,0,42,0,5,3,9,11,9,3,0,0,47,0,0,15,8,4,3,7,3,0,40,0,6,6,11,10,0,0,0,0,31,0,0,5,11,6,6,0,0,0,28,0,0,0,0,9,4,0,0,0,12,0,0,3,11,14,5,0,0,0,36,0,0,0,5,7,0,0,0,0,8,3,0,3,3,5,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,52,34,65,85,106,55,61,24,7,493
5100216,0,3,6,4,0,6,0,0,0,25,0,0,4,3,10,8,4,0,0,28,0,0,4,12,13,5,0,3,0,32,0,0,0,4,3,0,0,0,0,17,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,5,0,8,3,4,43,0,0,0,0,0,0,0,0,0,0,27,22,34,52,62,53,51,33,16,348
5100217,0,0,4,9,0,3,8,3,0,22,0,0,3,3,8,4,0,0,0,17,0,0,6,4,3,3,0,0,0,22,0,0,3,3,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,13,7,37,38,44,43,35,18,7,243
5100218,0,3,5,3,7,5,3,0,0,24,0,3,3,3,8,3,3,0,0,20,0,0,3,3,3,4,0,0,0,21,0,0,0,4,3,3,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,16,25,33,29,40,22,30,0,201
5100219,0,0,10,0,3,10,9,0,0,35,0,0,3,4,3,12,5,3,0,29,0,3,5,3,5,3,3,0,0,22,0,0,3,4,5,4,0,3,0,22,0,0,0,3,4,3,0,0,0,15,0,0,3,0,0,0,0,0,0,6,0,0,4,3,3,3,0,0,0,16,0,0,0,0,8,5,0,0,0,8,0,0,0,0,0,0,11,4,0,21,0,0,3,0,0,0,0,0,0,3,21,11,49,33,53,61,81,27,13,352
5100220,0,8,7,10,3,6,0,3,3,32,0,4,4,3,3,8,8,0,0,37,0,0,7,6,6,5,3,5,4,40,0,0,4,4,4,4,0,0,0,18,0,0,0,3,4,6,0,0,0,14,0,0,0,0,0,3,0,0,0,4,0,0,3,0,5,8,0,0,3,18,0,0,5,0,0,0,4,0,0,11,4,5,3,3,3,3,6,3,9,32,4,0,0,0,0,0,0,0,0,8,22,31,58,50,47,81,68,50,41,437
5100222,0,3,0,4,8,3,0,3,0,26,0,0,0,7,5,7,5,3,0,21,0,0,0,4,7,0,5,0,0,24,0,0,3,0,11,3,3,0,0,20,0,0,0,9,7,7,0,0,0,19,0,0,0,4,3,0,0,0,0,4,0,0,3,15,5,14,0,0,0,29,0,0,3,3,3,6,0,0,0,16,7,0,0,0,4,5,3,3,0,25,0,0,0,0,0,0,0,0,0,3,31,18,22,59,73,58,45,12,3,325
5100223,0,3,4,0,9,5,0,0,0,19,0,0,3,3,3,0,0,0,0,13,0,3,0,3,8,4,0,0,0,17,0,0,0,0,5,3,0,0,0,11,0,0,0,3,11,0,0,0,0,22,0,0,0,0,0,3,0,0,0,7,0,0,0,3,6,3,0,0,0,11,0,0,0,0,3,0,0,0,0,5,4,3,3,0,7,0,3,3,0,31,0,0,0,0,0,0,0,0,0,0,31,18,11,37,74,29,31,10,3,240
5100224,0,5,3,3,3,3,3,0,0,18,0,0,3,8,0,4,0,0,0,17,0,0,4,10,3,3,3,0,0,25,0,0,0,3,4,3,0,0,0,13,0,0,0,7,3,0,0,0,0,12,0,0,0,5,3,0,0,0,0,11,0,0,0,3,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30,22,25,62,32,59,32,16,3,275
5100226,0,3,0,3,3,6,6,4,0,25,0,4,0,3,3,9,7,0,0,29,0,0,4,0,0,8,5,0,0,25,0,0,0,4,10,3,0,0,0,15,0,0,0,3,6,0,3,0,0,13,0,0,0,3,4,3,0,0,0,9,0,0,3,4,0,0,0,0,0,11,0,0,0,5,8,3,0,0,0,15,7,0,0,3,3,0,6,3,0,33,0,0,0,0,0,0,0,0,0,0,27,14,16,38,59,64,47,23,6,298
5100227,0,0,3,0,4,0,0,0,0,8,0,0,0,0,4,0,3,0,0,7,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,3,0,6,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,10,3,10,18,27,11,14,3,0,94
5100229,0,0,4,0,5,12,3,0,0,23,0,3,3,3,11,5,3,0,0,28,0,3,3,8,12,5,0,0,0,29,0,0,9,19,8,3,3,0,0,36,0,0,4,4,7,5,0,4,0,16,0,0,3,4,0,0,0,0,0,11,0,0,4,10,3,3,0,0,0,23,0,0,0,4,4,0,0,0,0,10,0,0,0,0,7,4,5,0,0,24,3,3,0,0,0,0,0,0,0,7,49,22,60,85,78,62,52,17,4,434
5100230,0,0,0,0,3,4,3,5,3,15,0,0,0,7,0,3,0,0,0,14,0,0,0,0,3,3,0,3,0,16,0,0,3,3,0,6,0,0,0,16,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,12,0,0,0,0,3,0,0,0,0,7,0,0,0,3,8,9,16,40,68,141,0,0,0,3,0,0,0,0,0,4,10,4,15,22,30,36,53,82,105,359
5100231,0,3,3,8,3,4,5,0,0,31,0,0,0,5,6,8,3,0,0,25,0,3,4,3,12,12,0,0,0,33,0,0,7,11,5,3,0,0,0,26,0,0,0,3,3,0,0,0,0,13,0,0,3,4,3,0,0,0,0,13,0,0,4,10,10,6,0,0,0,31,0,0,0,3,3,0,0,0,0,8,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,36,16,46,72,61,58,45,13,3,332
5100232,0,0,0,3,3,7,8,0,0,15,0,0,4,7,4,8,0,0,0,21,0,3,0,3,3,3,0,0,0,17,0,0,4,3,7,0,0,0,0,18,0,0,0,0,3,6,0,0,0,5,0,0,0,0,3,4,0,0,0,8,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,16,34,28,39,38,6,3,193
5100233,0,0,3,9,0,8,3,0,0,21,0,3,8,3,3,3,3,0,0,29,0,0,8,8,6,8,3,0,0,27,0,0,3,3,3,3,0,0,0,16,0,0,0,3,3,4,0,0,0,11,0,0,0,0,0,3,0,0,0,6,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,6,0,0,20,0,0,0,0,0,0,0,0,0,0,23,15,38,42,42,63,43,25,8,294
5100234,0,11,7,11,8,14,3,0,0,45,0,11,19,6,7,4,4,4,0,52,0,5,20,14,12,8,3,3,0,67,0,0,11,14,6,0,0,0,0,28,0,0,5,5,4,4,3,3,0,32,0,3,11,3,3,3,3,3,0,27,0,0,7,7,0,11,0,0,0,21,0,0,4,9,3,0,0,0,0,21,22,28,40,36,39,58,35,14,0,279,7,6,17,3,4,8,7,10,0,62,61,93,178,147,109,146,101,40,8,887
5100235,0,0,5,3,3,6,3,3,0,29,0,4,5,3,7,8,0,4,0,30,0,0,3,3,6,6,0,0,0,17,0,0,0,4,4,0,0,0,0,17,0,0,4,3,4,4,0,0,0,12,0,0,3,4,4,0,0,0,0,11,0,0,0,0,3,4,0,0,0,10,0,0,0,0,3,0,0,0,0,7,6,3,3,0,9,6,5,4,3,31,0,0,0,0,0,0,0,0,0,0,37,23,44,48,66,68,59,27,6,376
5100236,0,0,7,6,5,3,9,0,0,36,0,0,0,7,3,4,4,0,0,27,0,0,0,6,3,4,4,0,0,28,0,0,0,5,0,5,0,0,0,16,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,5,4,14,3,3,0,3,3,36,0,0,0,0,0,0,0,0,0,0,30,26,41,85,50,48,55,16,9,365
5100237,0,3,5,6,13,14,9,0,0,52,0,4,8,5,9,9,0,0,0,42,0,3,3,3,5,14,6,3,0,49,0,4,3,4,6,19,6,3,0,39,0,0,3,4,13,12,0,0,0,28,0,0,7,3,8,9,0,0,0,21,0,0,7,7,9,9,0,0,0,36,0,0,3,8,0,7,0,0,0,16,0,3,17,12,17,15,11,9,4,86,0,0,8,10,12,6,15,9,0,63,26,25,85,85,118,166,98,45,16,665
5100238,0,3,0,9,3,8,0,0,0,29,0,0,3,3,4,9,0,0,0,17,0,0,3,3,6,0,0,3,0,16,0,0,3,0,4,3,3,0,0,15,0,0,0,7,3,0,0,0,0,15,0,0,0,3,4,0,0,0,0,9,0,0,3,0,4,0,0,0,0,14,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,5,0,4,4,20,0,0,0,0,0,0,0,0,0,4,26,11,25,45,47,58,36,24,9,288
5100239,0,0,4,0,4,3,0,0,0,13,0,0,0,3,5,3,3,0,0,18,0,3,3,0,3,0,0,0,0,19,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,3,0,0,9,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,4,0,0,0,7,6,0,0,0,6,4,0,0,0,20,0,0,0,0,0,0,3,0,0,3,19,5,15,24,40,36,33,9,3,191
5100240,0,0,9,4,3,3,0,0,0,22,0,0,10,11,0,3,3,0,0,24,0,4,8,5,3,4,3,3,0,30,0,0,6,4,8,0,0,0,0,15,0,0,0,0,0,4,0,0,0,11,0,0,3,5,0,0,0,0,0,12,0,0,4,4,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,9,8,0,11,7,3,3,40,0,0,0,0,0,0,0,0,0,3,30,22,58,54,32,48,44,15,6,315
5100241,0,4,5,5,5,6,6,3,0,38,0,4,9,13,7,3,0,0,0,34,0,3,3,5,4,8,5,0,0,23,0,0,4,4,7,0,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,4,3,4,9,0,0,0,18,0,0,0,0,0,0,0,0,0,4,28,20,45,59,47,56,38,23,5,318
5100243,0,3,3,3,8,4,7,3,0,29,0,6,5,3,10,10,0,0,0,30,0,0,0,8,3,3,0,0,0,16,0,0,3,11,8,3,0,0,0,20,0,0,3,3,10,3,0,0,0,20,0,0,3,3,3,4,0,0,0,14,0,0,0,4,7,4,0,0,0,18,0,0,0,0,3,0,0,0,0,8,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,47,18,46,52,72,53,29,14,3,329
5100244,0,4,5,3,7,8,4,3,0,30,0,0,3,4,9,6,3,0,0,27,0,0,3,9,12,3,3,0,0,23,0,0,0,0,3,3,0,0,0,8,0,0,3,3,4,0,0,0,0,15,0,0,0,3,4,0,0,0,0,12,0,0,0,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,0,3,7,3,3,0,3,0,21,0,0,0,0,0,0,0,0,0,3,50,24,44,73,69,52,38,9,8,357
5100246,0,3,0,4,0,0,0,0,0,12,0,3,0,0,0,3,3,0,0,13,0,0,0,0,5,4,0,0,0,13,0,0,0,0,3,3,0,0,0,5,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,16,5,15,32,28,30,21,0,157
5100247,0,0,5,5,0,7,5,0,0,20,0,0,6,7,9,9,4,0,0,31,0,0,0,0,3,13,4,0,0,25,0,0,3,0,9,5,3,0,0,16,0,0,0,0,3,10,0,3,0,22,0,0,0,0,4,3,0,0,0,10,0,0,0,0,6,4,3,0,0,12,0,0,0,0,6,5,0,0,0,10,0,0,0,0,0,3,7,8,0,18,0,0,3,0,0,0,0,0,0,3,9,3,26,28,47,72,66,34,14,299
5100249,0,0,0,3,5,0,3,0,0,13,0,0,3,4,0,5,4,3,0,22,0,0,4,3,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,3,7,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,3,0,3,0,4,3,8,9,5,40,0,0,0,0,0,0,0,0,0,0,20,12,30,23,38,35,35,22,26,235
5100250,0,0,0,7,0,0,11,0,0,19,0,0,6,5,5,4,3,0,0,21,0,0,3,7,0,4,0,0,0,17,0,0,4,4,0,4,0,0,0,15,0,0,0,3,0,9,0,0,0,13,0,0,0,3,9,3,0,0,0,17,0,0,0,3,3,3,0,0,0,14,0,0,0,3,10,4,0,0,0,13,0,0,0,4,3,3,11,7,0,22,0,0,0,4,3,0,0,0,0,6,18,8,19,45,47,48,35,19,3,239
5100251,0,4,3,0,4,4,0,0,0,16,0,3,4,0,3,3,0,0,0,9,0,0,3,0,5,3,4,0,0,18,0,0,0,6,4,4,0,0,0,11,0,0,0,3,4,4,0,0,0,12,0,0,0,3,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,7,0,0,0,0,6,3,6,0,3,20,0,0,0,0,0,3,0,3,0,4,13,10,18,35,38,41,27,19,12,210
