SA1_7DIGITCODE_2016,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_more_15_19_yr,P_3000_more_20_24_yr,P_3000_more_25_34_yr,P_3000_more_35_44_yr,P_3000_more_45_54_yr,P_3000_more_55_64_yr,P_3000_more_65_74_yr,P_3000_more_75_84_yr,P_3000_more_85_yr_over,P_3000_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5114213,0,3,9,0,6,4,8,0,0,19,0,0,3,3,3,7,0,0,0,15,0,3,0,3,6,4,8,0,0,25,0,0,3,4,4,4,0,0,0,18,0,0,5,0,12,3,0,0,0,23,0,0,0,3,3,6,0,0,0,13,0,0,3,0,8,0,0,0,0,10,0,0,4,9,3,4,0,0,0,21,0,0,0,0,0,3,7,0,0,12,0,0,0,0,0,0,0,0,0,0,23,18,55,35,57,58,45,11,3,305
5114214,0,7,19,11,0,0,0,0,0,36,0,9,22,17,3,4,7,0,0,59,0,10,37,13,3,6,0,0,0,73,0,6,27,7,4,3,0,0,0,49,0,3,20,5,3,0,0,0,0,34,0,0,11,7,3,3,0,0,0,22,0,0,6,12,6,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,3,0,0,17,0,0,0,0,0,6,8,0,0,19,30,53,220,100,31,58,30,3,0,524
5114215,0,5,4,10,0,0,0,0,0,23,0,5,18,3,4,0,0,0,0,27,0,0,8,11,3,3,0,0,0,27,0,0,11,4,4,3,0,0,0,27,0,0,3,4,4,0,0,0,0,19,0,0,5,7,3,0,0,0,0,17,0,0,5,6,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,8,7,0,3,0,0,0,22,0,0,0,0,0,0,3,0,0,3,23,23,95,78,36,22,13,7,0,292
5114216,0,10,17,10,3,0,0,0,0,36,0,9,48,4,3,0,0,0,0,74,0,6,27,19,8,0,0,0,0,64,0,3,20,7,4,4,0,0,0,47,0,3,20,3,6,0,0,0,0,37,0,0,13,10,0,3,0,0,0,26,0,0,14,7,4,0,0,0,0,32,0,0,4,0,0,0,0,0,0,7,0,0,17,6,0,0,0,0,0,30,3,0,0,0,3,0,0,0,0,7,25,63,251,103,59,24,10,4,0,532
5114217,0,6,0,0,0,0,0,0,0,6,0,0,7,3,4,0,0,0,0,13,0,6,11,3,3,5,0,0,0,22,0,0,8,3,7,4,0,0,0,22,0,0,11,5,4,5,0,0,0,25,0,3,7,3,0,3,0,0,0,16,0,3,3,9,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,6,11,28,65,44,35,41,12,4,0,228
5114218,0,15,16,16,3,4,0,0,0,55,0,7,29,9,8,3,0,0,0,60,3,7,36,24,12,4,0,0,0,84,0,3,26,13,6,0,0,0,0,53,0,3,19,10,0,0,0,0,0,34,0,0,15,3,7,0,0,0,0,27,0,5,15,3,5,0,0,0,0,31,0,0,3,0,0,0,0,0,0,5,6,3,14,11,0,0,0,0,0,42,0,0,3,0,0,3,0,0,0,4,39,90,224,138,55,30,18,3,0,598
5114219,0,0,6,5,3,0,0,0,0,22,0,0,5,3,3,3,0,0,0,23,0,3,23,3,6,3,0,0,0,36,0,3,8,6,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,10,0,0,3,4,3,4,0,0,0,11,0,0,5,3,7,0,0,0,0,18,0,0,0,0,3,0,0,0,0,5,0,0,3,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20,13,73,48,46,34,12,9,0,257
5114220,4,9,10,8,3,5,0,0,0,34,0,7,10,3,6,6,3,0,0,39,0,6,27,16,4,0,0,0,0,52,0,0,16,5,7,6,0,0,0,38,0,0,10,7,4,10,0,0,0,31,0,3,3,6,4,0,0,0,0,16,0,0,11,8,5,0,0,0,0,25,0,0,0,3,0,0,0,0,0,9,0,3,12,5,7,4,0,0,0,31,0,0,0,0,0,0,0,0,0,3,39,36,155,85,66,42,25,6,0,452
5114221,0,3,4,3,3,7,0,0,0,19,0,9,0,4,6,0,0,0,0,20,0,0,0,4,9,3,0,0,0,19,0,0,5,9,0,3,0,0,0,20,0,0,7,11,10,3,0,0,0,29,0,0,3,8,5,5,0,0,0,15,0,0,11,3,10,0,0,0,0,24,0,0,0,0,3,0,0,0,0,4,5,0,5,0,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,25,27,52,55,60,40,25,3,0,289
5114222,0,0,9,13,0,0,0,0,0,27,0,8,17,12,3,5,3,0,0,45,0,3,18,13,12,6,0,0,0,47,0,8,10,4,3,3,0,0,0,36,0,0,13,15,4,4,0,0,0,30,0,0,3,6,4,0,0,0,0,12,0,0,5,10,3,0,0,0,0,21,0,0,0,3,4,3,0,0,0,8,0,0,4,10,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,42,21,124,116,46,47,19,5,0,420
5114223,0,3,11,5,6,3,3,3,0,35,0,10,10,8,3,3,0,0,0,36,0,3,16,13,19,6,0,0,0,55,0,0,16,11,9,3,0,0,0,43,0,0,14,16,9,0,0,0,0,37,0,0,9,8,0,3,0,0,0,20,0,0,14,12,9,6,0,0,0,40,0,0,6,3,0,0,0,0,0,6,3,0,19,11,3,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,45,25,163,115,77,50,12,13,3,500
5114224,3,0,3,3,4,0,0,0,0,16,0,0,0,6,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,15,12,20,25,25,15,15,33,42,202
5114225,0,0,0,0,3,3,0,0,0,9,0,0,0,3,0,0,0,0,0,13,0,3,0,6,0,0,0,0,0,14,0,7,3,3,4,0,0,0,0,17,0,0,3,8,4,5,0,0,0,18,0,0,3,4,3,0,0,0,0,14,0,0,0,12,3,3,0,0,0,20,0,0,0,3,5,0,0,0,0,12,3,0,3,8,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,21,12,21,72,41,33,15,7,0,213
5114226,0,12,16,15,4,0,0,0,0,44,3,13,21,17,4,0,0,0,0,55,0,12,33,12,10,0,0,0,0,66,0,6,18,7,10,0,0,0,0,40,0,0,16,7,5,0,0,0,0,31,0,0,3,7,0,0,0,0,0,12,0,0,10,5,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,4,3,4,8,7,4,3,0,0,0,27,0,0,0,0,0,0,0,0,0,3,58,70,170,109,50,20,15,3,0,499
5114227,0,3,20,5,3,0,0,0,0,31,0,4,16,3,0,3,0,0,0,33,0,13,31,8,5,3,0,0,0,59,0,8,25,13,0,8,0,0,0,52,0,7,17,11,0,0,0,0,0,42,0,0,7,3,7,0,0,0,0,18,0,0,9,3,3,0,0,0,0,20,0,0,3,0,0,0,0,0,0,6,0,3,6,0,4,0,0,0,0,15,3,0,0,0,5,5,3,0,0,13,23,58,175,70,32,28,14,0,0,404
5114228,0,3,7,3,7,3,4,0,0,28,0,0,10,11,3,6,0,0,0,36,0,0,13,9,13,0,0,0,0,34,0,0,16,13,5,0,0,0,0,37,0,0,14,9,8,0,0,0,0,26,0,0,13,11,3,0,0,0,0,25,0,0,8,12,4,4,0,0,0,30,0,0,4,7,3,0,0,0,0,10,0,3,6,6,7,0,3,3,3,30,0,0,0,0,0,0,0,0,0,0,27,36,135,90,59,25,41,8,6,428
5114229,0,20,30,10,10,0,0,0,0,66,0,25,37,16,12,3,0,0,0,92,0,14,54,34,16,3,0,0,0,118,0,8,34,12,6,3,0,0,0,66,0,3,23,15,8,0,0,0,0,52,0,3,16,10,4,0,0,0,0,38,0,0,15,10,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,7,17,37,15,8,6,4,0,0,87,0,0,0,0,0,9,0,0,0,9,54,119,343,157,77,38,19,7,0,809
5114230,0,15,9,5,4,0,0,0,0,39,0,14,20,6,5,5,0,0,0,45,0,6,35,4,9,6,0,0,0,58,0,8,28,10,7,5,0,0,0,48,0,3,16,11,3,8,0,0,0,42,0,4,13,7,4,0,0,0,0,30,0,3,8,5,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,5,0,0,6,3,3,0,0,0,0,16,0,0,0,0,0,0,3,0,0,3,34,64,185,83,51,36,13,7,0,471
5114231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5114232,0,7,3,4,3,5,3,0,0,23,0,3,0,3,6,0,6,0,0,26,0,7,0,6,9,5,4,0,0,33,0,0,0,4,5,3,0,0,0,18,0,0,0,0,5,0,0,0,0,10,0,0,3,4,12,3,0,0,0,16,0,0,7,4,4,9,0,0,0,23,0,0,0,3,0,0,0,0,0,3,8,0,3,3,6,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,44,25,25,50,86,51,36,16,0,339
5114233,0,0,3,0,0,0,4,0,0,17,0,0,7,6,6,3,0,0,0,27,0,0,20,8,3,3,0,0,0,34,0,3,11,3,4,5,0,0,0,23,0,0,4,0,0,0,0,0,0,12,0,0,7,3,3,0,0,0,0,15,0,0,3,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,3,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,24,16,98,49,34,14,6,5,0,241
5114234,0,9,16,13,3,5,3,0,0,39,0,9,24,12,9,0,0,0,0,60,0,14,38,21,6,8,0,0,0,89,0,5,21,21,6,3,0,0,0,57,0,3,15,13,5,4,0,0,0,41,0,0,6,12,3,0,0,0,0,23,0,0,11,13,5,3,0,0,0,39,0,0,3,0,3,0,0,0,0,6,0,3,7,6,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,42,62,207,143,66,43,15,8,0,583
5114235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,3,0,3,0,19
5114301,3,0,0,3,4,0,0,3,0,16,0,3,4,6,3,4,0,0,0,20,0,0,5,5,5,3,0,0,0,16,0,3,3,4,5,0,0,0,0,13,0,0,4,0,3,0,3,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0,3,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,6,10,5,3,6,0,0,26,0,0,0,0,0,0,0,0,0,3,20,14,40,42,42,25,27,13,0,225
5114302,0,4,0,0,0,3,4,0,0,15,0,6,3,0,8,3,0,0,0,22,0,0,7,4,3,4,3,0,0,22,0,0,3,3,5,4,4,0,0,19,0,0,0,3,5,3,0,0,0,17,0,0,0,4,3,0,4,0,0,17,0,0,0,8,6,5,3,0,0,17,0,0,0,3,0,0,3,3,0,14,3,3,3,4,0,3,6,3,0,25,0,0,0,0,0,0,0,0,0,0,20,24,33,33,50,51,46,17,3,274
5114303,0,4,0,7,4,9,4,0,0,25,0,8,6,0,6,3,0,0,0,20,0,4,6,5,3,8,0,0,0,26,0,0,6,3,3,3,0,0,0,15,0,0,0,9,0,3,6,0,0,17,0,0,0,3,6,0,0,0,0,10,0,0,4,4,9,3,0,0,0,19,0,0,0,0,3,3,3,0,0,15,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,37,20,29,48,56,56,28,6,0,282
5114304,0,0,3,3,9,3,0,0,0,19,0,3,5,5,3,7,5,0,0,25,0,3,4,10,10,3,0,0,0,33,0,0,4,8,5,0,0,0,0,17,0,0,7,13,9,3,0,0,0,32,0,0,9,5,8,3,0,0,0,23,0,0,6,15,13,5,0,0,0,37,0,0,0,7,4,3,0,0,0,14,3,0,0,7,7,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,34,23,48,91,86,53,27,3,0,374
5114305,0,10,5,0,12,3,10,0,0,36,0,11,3,11,4,4,4,0,0,34,0,4,4,6,7,4,0,0,0,29,0,3,5,5,9,4,0,0,0,31,0,4,0,7,9,9,0,0,0,28,0,3,0,4,9,3,0,0,0,18,0,3,3,4,14,0,0,0,0,32,0,0,5,5,12,6,0,0,0,28,4,3,0,8,7,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,72,56,49,78,109,54,48,16,0,478
5114306,0,7,3,0,3,4,0,0,0,24,0,3,8,7,4,3,0,0,0,32,0,4,14,3,9,3,0,0,0,39,0,0,6,3,3,0,0,0,0,21,0,0,7,3,3,0,0,0,0,12,0,0,3,0,4,3,0,0,0,9,0,0,4,4,0,4,0,0,0,13,0,0,0,7,5,3,0,0,0,12,0,0,7,4,4,0,12,5,3,31,0,0,0,0,0,0,0,0,0,0,11,38,73,49,64,33,37,17,8,334
5114307,0,0,0,3,3,3,0,0,0,14,0,3,3,5,6,0,3,0,0,15,0,0,3,7,0,3,3,0,0,19,0,0,5,8,7,5,0,0,0,19,0,0,0,7,10,3,0,0,0,16,0,0,0,4,4,3,0,0,0,11,0,0,3,10,6,3,0,0,0,20,0,0,0,0,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,33,18,20,58,73,34,19,3,0,252
5114308,3,7,3,0,4,5,0,0,0,24,0,8,0,3,9,6,0,0,0,22,0,3,0,6,17,7,0,0,0,27,0,0,3,3,6,9,0,0,0,22,0,0,0,4,9,12,3,0,0,19,0,0,6,5,3,3,0,0,0,17,0,0,0,3,18,3,0,0,0,27,0,0,0,3,8,0,0,0,0,16,0,0,0,5,4,0,0,0,3,16,0,0,0,0,0,0,3,0,0,3,52,32,19,52,106,70,15,6,3,357
5114309,0,0,0,0,3,4,8,0,0,19,0,0,3,5,4,4,3,0,0,16,0,4,4,0,3,8,0,3,0,29,0,3,3,3,7,4,3,0,0,23,0,0,3,0,3,7,0,0,0,15,0,0,0,0,3,0,0,0,0,4,0,0,0,3,4,3,0,0,0,18,0,0,0,0,7,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,19,26,30,56,54,39,19,6,261
5114310,0,3,4,0,0,0,4,0,0,20,0,4,7,3,3,4,5,0,0,23,0,3,4,0,11,0,0,0,0,19,0,0,0,0,3,4,3,0,0,12,0,0,0,5,3,5,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,3,3,5,3,3,3,0,22,0,0,0,0,0,0,0,0,0,0,22,18,34,27,49,53,47,13,3,266
5114311,0,5,0,0,10,8,0,0,0,22,0,8,4,0,8,5,0,0,0,30,0,3,12,7,9,4,3,0,0,40,0,0,3,5,10,3,0,0,0,27,0,0,0,0,8,6,0,0,0,14,0,0,0,0,3,4,0,0,0,6,0,0,0,7,19,10,0,0,0,34,0,0,0,4,9,0,0,0,0,24,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,47,33,32,47,100,59,40,4,0,373
5114312,0,10,0,3,9,3,4,0,0,28,0,13,5,10,13,8,0,0,0,51,0,3,3,9,15,9,0,0,0,42,0,0,9,11,14,14,0,0,0,50,0,0,3,4,9,5,0,0,0,24,0,0,3,11,11,3,0,0,0,33,0,0,3,20,23,7,0,0,0,54,0,0,4,8,11,3,0,0,0,29,3,0,3,3,3,3,0,3,0,22,0,0,0,0,3,0,0,0,0,3,63,48,56,108,149,79,29,16,6,548
5114313,0,13,0,3,6,3,4,0,0,31,0,4,3,0,12,5,0,0,0,32,0,0,5,4,10,10,4,0,0,30,0,0,0,7,6,9,0,0,0,27,0,0,3,4,3,13,0,0,0,21,0,0,0,0,4,4,0,0,0,13,0,3,3,4,11,7,0,0,0,30,0,0,0,4,3,3,0,0,0,6,7,7,4,5,9,12,3,0,0,49,0,0,0,0,0,0,0,0,0,0,43,40,38,55,90,88,29,14,6,399
