SA1_7DIGITCODE_2016,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,Inc_1_149_CF_no_chldren,Inc_1_149_CFwith_chldren,Inc_1_149_One_PF,Inc_1_149_Oth_family,Inc_1_149_Total,Inc_150_299_CF_no_chldren,Inc_150_299_CFwith_chldren,Inc_150_299_OnePF,Inc_150_299_Oth_family,Inc_150_299_Total,Inc_300_399_CF_no_chldren,Inc_300_399_CFwith_chldren,Inc_300_399_OnePF,Inc_300_399_Oth_family,Inc_300_399_Total,Inc_400_499_CF_no_chldren,Inc_400_499_CFwith_chldren,Inc_400_499_OnePF,Inc_400_499_Oth_family,Inc_400_499_Total,Inc_500_649_CF_no_chldren,Inc_500_649_CFwith_chldren,Inc_500_649_OnePF,Inc_500_649_Oth_family,Inc_500_649_Total,Inc_650_799_CF_no_chldren,Inc_650_799_CFwith_chldren,Inc_650_799_OnePF,Inc_650_799_Oth_family,Inc_650_799_Total,Inc_800_999_CF_no_chldren,Inc_800_999_CFwith_chldren,Inc_800_999_OnePF,Inc_800_999_Oth_family,Inc_800_999_Total,Inc_1000_1249_CF_no_chldren,Inc_1000_1249_CFwith_chldren,Inc_1000_1249_OnePF,Inc_1000_1249_Oth_family,Inc_1000_1249_Total,Inc_1250_1499_CF_no_chldren,Inc_1250_1499_CFwith_chldren,Inc_1250_1499_OnePF,Inc_1250_1499_Oth_family,Inc_1250_1499_Total,Inc_1500_1749_CF_no_chldren,Inc_1500_1749_CFwith_chldren,Inc_1500_1749_OnePF,Inc_1500_1749_Oth_family,Inc_1500_1749_Total,Inc_1750_1999_CF_no_chldren,Inc_1750_1999_CFwith_chldren,Inc_1750_1999_OnePF,Inc_1750_1999_Oth_family,Inc_1750_1999_Total,Inc_2000_2499_CF_no_chldren,Inc_2000_2499_CFwith_chldren,Inc_2000_2499_OnePF,Inc_2000_2499_Oth_family,Inc_2000_2499_Total,Inc_2500_2999_CF_no_chldren,Inc_2500_2999_CFwith_chldren,Inc_2500_2999_OnePF,Inc_2500_2999_Oth_family,Inc_2500_2999_Total,Inc_3000_3499_CF_no_chldren,Inc_3000_3499_CFwith_chldren,Inc_3000_3499_OnePF,Inc_3000_3499_Oth_family,Inc_3000_3499_Total,Inc_3500_3999_CF_no_chldren,Inc_3500_3999_CFwith_chldren,Inc_3500_3999_OnePF,Inc_3500_3999_Oth_family,Inc_3500_3999_Total,Inc_4000orMore_CF_no_chldren,Inc_4000orMore_CFwith_chldren,Inc_4000orMore_OnePF,Inc_4000orMore_Oth_family,Inc_4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
5100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,3,0,7,3,0,0,0,6,5,0,0,0,8,4,0,0,0,9,0,3,0,0,8,3,4,0,0,7,4,3,0,0,5,0,7,0,0,10,4,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,9,0,0,9,0,0,0,0,0,44,32,10,0,88
5100102,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,5,0,3,0,6,3,5,0,0,18,6,8,4,0,19,7,14,3,0,20,0,12,0,0,16,6,18,0,0,22,15,18,4,0,35,3,14,0,0,18,4,12,0,0,16,0,5,0,0,5,4,11,0,0,11,4,32,0,0,37,0,0,0,0,4,65,150,18,0,237
5100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,4,0,5,18,0,0,0,20,6,0,0,0,6,10,0,3,0,16,8,0,0,0,15,8,4,0,0,9,3,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,4,3,0,15,3,0,0,0,3,78,23,16,0,113
5100104,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,0,7,3,3,0,0,5,20,0,0,0,24,9,0,0,0,13,7,0,0,0,5,13,0,0,0,14,4,0,0,0,10,3,0,0,0,3,6,3,0,0,5,3,0,0,0,6,0,3,0,0,3,0,4,0,0,4,0,0,0,0,3,4,3,0,0,7,0,0,0,0,0,72,32,7,4,115
5100105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,9,6,0,0,0,11,6,0,0,0,6,4,7,0,0,6,3,3,0,0,11,0,0,0,0,3,4,0,0,0,4,3,0,0,0,3,3,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,3,0,7,3,3,0,0,8,3,0,0,0,3,39,21,12,0,71
5100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,3,6,3,0,0,14,3,0,0,0,10,3,3,0,0,7,10,0,0,0,12,0,6,0,0,6,3,3,0,0,12,9,3,0,0,8,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,6,5,0,0,6,0,0,0,0,0,59,31,10,0,102
5100108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100109,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,4,0,3,7,0,0,0,7,10,11,4,0,22,5,0,0,0,5,10,6,0,0,10,7,4,0,0,10,8,3,0,0,11,3,6,0,0,11,3,3,0,0,10,0,0,0,0,3,0,0,0,0,4,6,3,0,0,4,0,5,0,0,15,0,0,0,0,0,72,50,12,0,134
5100110,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,9,0,3,0,10,5,5,0,0,11,6,0,0,0,5,3,3,0,0,4,3,3,0,0,6,5,5,0,0,11,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,42,20,3,0,69
5100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,3,3,0,10,3,3,0,0,9,3,3,3,0,9,10,7,0,0,14,4,3,0,0,7,7,3,0,0,9,8,6,0,0,15,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,12,0,0,0,0,0,53,33,12,0,97
5100112,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,12,8,0,0,0,3,4,4,0,0,13,3,3,0,0,8,3,3,0,0,7,0,4,0,0,0,3,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,4,3,0,9,4,9,0,0,11,0,0,0,0,0,46,36,9,0,93
5100113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,7,3,0,0,0,3,7,0,0,0,12,8,0,0,0,8,4,5,0,0,6,4,0,0,0,3,0,3,0,0,6,4,0,0,0,4,3,3,0,0,6,3,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,9,0,0,0,0,0,43,26,5,0,77
5100114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,0,4,0,0,6,0,12,3,0,3,0,4,3,3,3,0,10,3,3,5,0,11,4,4,0,0,12,5,8,0,0,12,9,15,0,0,19,5,8,0,0,16,3,13,0,0,12,3,5,0,0,4,4,4,0,0,7,0,0,0,0,0,5,9,0,0,16,0,0,0,0,0,49,76,22,0,153
5100115,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,7,3,0,0,8,3,3,0,0,9,3,7,0,0,6,5,3,3,0,9,0,7,0,0,8,4,8,0,0,12,3,3,0,0,10,3,3,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,3,11,0,0,15,3,0,0,0,3,49,46,12,0,106
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,21,0,0,0,18,12,0,0,0,12,7,3,0,0,11,11,0,0,0,11,0,0,0,0,5,8,0,0,0,12,3,3,0,0,9,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,3,0,0,0,3,83,18,4,0,104
5100203,0,0,3,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,8,7,3,0,0,11,0,5,0,0,3,7,0,0,0,8,3,0,0,0,3,3,3,0,0,5,3,13,3,0,20,3,11,0,0,14,5,11,0,0,12,3,6,0,0,3,5,0,0,0,3,3,16,0,0,23,0,0,0,0,0,54,65,14,4,135
5100204,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,3,0,3,0,8,0,0,3,0,4,9,0,4,0,6,4,0,3,0,8,0,0,3,0,9,3,7,3,0,16,9,4,0,0,12,3,0,0,0,6,3,6,0,0,10,3,4,0,0,6,0,3,0,0,3,0,0,0,0,0,4,5,0,0,9,0,7,3,0,9,0,0,0,0,3,40,40,33,0,118
5100205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,6,0,0,0,7,3,3,0,0,6,3,0,0,0,6,0,5,0,0,6,0,4,0,0,3,7,7,0,0,12,3,11,0,0,12,0,3,0,0,4,0,7,0,0,10,0,5,0,0,3,10,8,0,0,15,0,0,0,0,0,39,46,3,0,97
5100206,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,3,0,4,14,3,3,0,19,4,0,8,0,8,3,5,4,0,13,4,3,0,0,6,0,4,0,0,9,0,0,0,0,3,9,4,0,0,11,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,45,24,27,0,106
5100207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,3,0,7,5,3,3,0,16,6,3,3,0,8,6,3,3,0,9,8,3,3,0,10,8,4,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,14,0,0,0,0,0,35,25,20,0,82
5100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,4,0,3,7,0,4,0,12,7,0,3,0,9,10,3,0,0,11,9,0,0,0,6,0,3,0,0,5,0,3,3,0,4,4,9,3,0,13,0,0,0,0,3,3,0,0,0,8,0,3,0,0,3,5,0,0,0,3,8,4,0,0,12,3,0,0,0,3,53,33,22,3,110
5100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,10,0,0,0,9,3,0,4,0,11,3,0,0,0,3,3,0,3,0,5,0,3,3,0,6,3,0,0,0,5,3,4,0,0,5,4,5,0,0,10,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,6,5,0,0,11,0,0,0,0,0,41,20,16,0,76
5100214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,10,3,3,0,16,13,3,0,0,13,10,3,3,0,19,5,3,3,0,13,3,8,0,0,8,3,3,3,0,11,4,24,0,0,32,7,16,0,0,20,4,9,0,0,11,0,6,0,0,8,0,5,0,0,10,8,18,0,0,23,0,0,0,0,0,78,96,23,0,190
5100216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,7,3,0,3,0,7,18,0,0,0,17,4,3,5,3,11,6,3,6,0,13,3,3,0,0,6,3,4,3,0,13,3,9,0,0,6,3,0,0,0,10,3,6,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6,0,15,0,0,0,0,3,49,37,38,3,122
5100217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,9,8,0,0,0,14,3,0,0,0,3,3,0,3,0,11,7,0,3,0,11,3,4,0,0,10,0,4,0,0,6,7,3,0,0,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,6,0,0,0,0,0,42,27,25,0,98
5100218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,0,9,6,0,3,0,6,4,3,0,0,8,3,3,0,0,10,7,8,0,0,16,0,0,0,0,3,3,4,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,10,0,0,0,0,0,40,23,18,0,75
5100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9,0,0,3,0,4,8,0,3,0,15,5,0,3,0,8,8,3,0,0,14,9,3,0,0,8,0,4,4,0,11,3,0,0,0,3,3,3,0,0,8,3,3,0,0,3,3,0,0,0,3,0,4,0,0,4,3,5,0,0,8,11,4,0,0,13,4,0,0,0,4,69,33,15,0,118
5100220,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,4,7,0,0,0,7,9,0,4,0,13,9,8,0,0,14,4,3,3,0,8,4,3,0,0,4,6,5,0,0,11,6,3,0,0,10,8,4,0,0,11,0,3,0,0,4,0,0,0,0,3,3,0,0,0,5,5,4,4,0,9,0,0,0,0,0,67,39,14,0,122
5100222,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,5,0,0,0,11,3,0,0,0,6,3,5,0,0,6,4,5,0,0,10,9,6,0,0,11,8,6,0,0,12,9,10,0,0,17,3,6,0,0,13,0,8,0,0,8,3,9,0,0,11,8,18,0,0,28,3,0,0,0,6,53,68,11,0,132
5100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,3,3,0,10,4,3,0,0,5,3,4,0,0,12,0,4,0,0,4,4,3,0,0,11,0,5,0,0,5,0,0,0,0,5,3,3,0,0,4,0,4,0,0,5,3,9,0,0,10,0,0,0,0,0,27,48,3,0,83
5100224,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,3,0,14,5,4,0,0,9,3,3,0,0,8,0,3,0,0,3,3,4,4,0,8,0,9,0,0,9,0,8,0,0,6,0,3,0,0,6,0,3,0,0,4,0,3,0,0,3,3,8,0,0,17,0,0,0,0,0,34,54,17,0,105
5100226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,0,4,7,0,0,0,6,3,0,3,0,6,11,3,0,0,9,3,0,0,0,4,3,3,0,0,3,9,5,0,0,17,4,3,0,0,11,0,0,0,0,3,0,7,0,0,5,3,4,0,0,6,4,13,0,0,23,0,0,0,0,0,57,43,11,4,109
5100227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,0,4,0,0,7,0,0,0,0,4,0,0,0,0,0,3,3,0,0,8,5,3,0,0,5,3,0,0,0,3,15,21,0,0,37
5100229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,0,7,0,7,12,0,0,0,15,3,0,0,0,3,3,5,3,0,6,5,3,7,0,13,5,4,0,0,13,0,7,0,0,11,6,9,0,0,21,3,13,0,0,18,5,9,0,0,9,0,4,0,0,4,0,3,0,0,5,5,15,0,0,19,0,0,0,0,4,64,86,20,0,160
5100230,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,12,0,3,0,14,12,0,0,0,12,4,0,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,3,0,0,7,0,3,0,0,5,0,0,0,0,0,4,0,0,0,5,0,3,0,0,3,3,0,0,0,3,49,17,3,0,66
5100231,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,10,0,0,0,0,3,4,3,3,0,14,3,3,0,0,10,0,3,0,0,3,0,4,0,0,4,10,10,0,0,26,3,11,0,0,16,6,8,0,0,9,3,3,0,0,4,4,4,0,0,5,0,12,0,0,14,0,0,0,0,0,64,64,13,0,141
5100232,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,11,4,0,0,0,10,6,0,0,0,3,3,3,0,0,7,0,3,0,0,9,0,4,0,0,10,3,10,0,0,12,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,31,38,3,0,77
5100233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,7,0,9,10,0,4,0,12,3,4,3,0,10,6,3,0,0,7,4,0,4,0,12,3,3,0,0,9,0,0,0,0,0,6,5,0,0,15,6,3,0,0,14,0,3,0,0,3,0,0,0,0,0,4,0,0,0,4,3,8,3,0,16,0,0,0,0,0,54,36,21,0,112
5100234,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,3,0,4,4,0,0,0,4,3,3,4,0,10,4,5,0,0,14,9,8,8,0,19,4,6,0,0,10,3,4,3,0,12,7,8,0,0,21,5,3,0,0,12,0,3,0,0,7,5,5,0,0,8,3,8,0,0,7,3,21,3,0,26,0,0,0,0,0,62,68,35,0,169
5100235,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,4,4,0,4,0,10,0,0,7,0,9,15,4,3,0,19,4,0,0,0,9,5,3,6,0,11,4,7,3,0,14,0,3,0,0,9,0,6,0,0,6,3,6,0,0,16,0,3,0,0,4,7,0,0,0,6,0,0,0,0,0,3,3,0,0,3,6,5,5,0,16,4,0,0,0,5,62,43,38,0,140
5100236,0,0,5,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,0,8,0,9,5,0,0,0,9,12,0,5,0,19,7,3,3,0,16,0,0,5,0,8,6,7,3,0,11,6,7,0,0,10,0,4,0,0,5,4,6,3,0,8,4,0,0,0,3,3,3,0,0,4,0,0,0,0,3,0,4,0,0,4,0,8,0,0,14,0,0,0,0,0,48,51,28,0,127
5100237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,3,6,0,3,0,10,7,0,3,0,11,5,7,0,0,17,9,3,0,0,9,3,0,0,0,3,0,3,3,0,5,6,5,0,0,12,8,3,0,0,11,3,3,0,0,7,0,4,0,0,0,3,0,0,0,7,3,3,3,0,11,0,0,0,0,0,56,31,19,0,109
5100238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,8,5,0,0,0,8,10,3,0,0,16,0,0,3,0,3,0,3,0,0,3,0,0,0,0,3,3,8,0,0,11,3,3,0,0,6,3,3,0,0,5,0,3,0,0,3,7,3,0,0,6,3,3,3,0,13,3,0,0,0,3,44,37,22,0,102
5100239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,4,3,3,0,0,11,3,0,0,0,3,3,3,3,0,6,3,3,0,0,5,0,3,0,0,5,0,7,0,0,3,3,0,0,0,4,0,0,0,0,0,3,3,0,0,7,0,3,0,0,6,0,0,0,0,0,27,26,10,0,64
5100240,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,4,3,0,0,0,3,9,0,0,0,11,0,0,0,0,3,5,4,4,0,17,0,3,3,0,9,3,4,0,0,6,0,5,0,0,7,5,7,0,0,13,3,5,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,7,11,3,0,12,0,0,0,0,0,43,42,25,0,108
5100241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,0,0,0,3,8,0,3,0,10,7,0,4,0,7,6,3,0,0,11,5,5,3,0,14,3,0,0,0,4,8,6,0,0,10,3,5,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,0,0,0,0,5,5,3,0,10,0,0,0,0,0,54,40,21,3,113
5100243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,0,0,0,0,3,4,0,0,6,3,0,3,0,11,4,0,6,0,10,7,6,0,0,14,0,10,0,0,6,0,6,0,0,4,3,14,3,0,20,4,8,0,0,17,7,0,0,0,6,0,3,0,0,4,0,5,0,0,5,4,11,0,0,15,0,0,0,0,0,33,65,25,0,126
5100244,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,7,4,0,3,0,8,7,3,3,0,13,8,3,7,0,14,3,3,0,0,11,3,9,0,0,12,5,7,0,0,12,0,4,3,0,5,8,7,0,0,15,0,3,0,0,3,0,9,0,0,9,0,0,0,0,3,0,0,0,0,6,0,11,0,0,20,0,0,3,0,3,40,69,32,0,135
5100246,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,9,3,0,0,0,3,0,0,0,0,4,3,0,0,0,0,3,0,0,0,5,3,0,0,0,3,4,3,0,0,9,0,3,0,0,3,5,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,5,0,0,4,0,0,0,0,0,37,17,9,0,58
5100247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,14,0,0,0,14,0,0,3,0,5,10,0,3,0,13,5,3,0,0,13,5,3,0,0,11,7,3,0,0,8,7,3,0,0,12,5,3,0,0,6,6,0,0,0,9,3,0,0,0,3,7,3,0,0,8,3,7,0,0,10,3,0,0,0,3,75,33,13,0,121
5100249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0,3,6,0,0,0,13,3,0,0,0,7,3,0,0,0,6,4,0,4,0,11,0,0,0,0,0,5,4,0,0,7,0,7,0,0,10,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,32,22,14,0,68
5100250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,5,5,0,0,0,3,0,0,0,0,4,3,0,0,0,3,3,0,0,0,5,3,3,0,0,4,5,0,0,0,5,7,0,0,0,6,6,5,0,0,9,4,3,0,0,3,6,0,0,0,4,0,6,0,0,10,0,4,0,0,6,3,0,0,0,3,45,31,8,0,78
5100251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,3,0,7,4,3,0,0,10,0,3,3,0,10,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,4,3,0,0,10,3,0,0,0,3,0,4,0,0,5,0,3,0,0,3,0,4,0,0,8,4,0,0,0,4,0,0,0,0,0,27,22,14,0,68
5100252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,10,0,0,0,8,3,7,0,0,10,4,3,0,0,4,0,4,0,0,9,0,3,0,0,7,0,7,0,0,7,3,4,0,0,5,3,0,0,0,3,3,3,0,0,9,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,35,37,7,0,77
5100253,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,6,0,0,3,0,7,0,4,3,0,9,7,4,0,0,11,3,7,7,0,14,0,11,3,0,21,5,10,3,0,22,10,19,0,0,22,3,15,0,0,18,3,3,0,0,6,0,7,0,0,7,3,3,0,0,6,5,22,6,0,32,0,0,0,0,0,49,111,34,0,201
5100254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,5,8,0,3,0,11,4,0,3,0,3,0,0,0,0,8,4,0,0,0,3,3,3,0,0,8,3,0,0,0,3,0,3,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,5,0,0,7,0,0,0,0,0,26,16,17,3,64
5100255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,3,0,7
5100256,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,11,3,0,0,0,5,7,0,3,0,17,8,0,0,0,4,3,0,3,0,7,4,3,0,0,3,0,3,0,0,4,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,0,8,0,0,0,0,3,42,15,12,0,75
5100257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,3,0,0,3,3,3,0,0,8,0,3,0,0,6,5,4,0,0,13,8,0,0,0,5,3,9,0,0,9,4,7,0,0,10,0,0,0,0,0,0,3,0,0,4,0,3,0,0,3,3,8,0,0,11,0,0,0,0,0,28,56,8,0,89
