SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,53,169,8,228,973,86,129,1426,18,118,3,136,601,82,56,869,0,20,0,19,350,74,7,452,0,0,0,0,148,24,3,178,2916,651,60,3623,9645,1187,428,14885
506031128,48,293,3,350,1351,78,43,1824,14,240,0,254,974,69,22,1319,4,46,0,50,535,56,9,651,0,3,0,3,285,25,0,309,2101,857,79,3032,7614,554,182,11382
506031129,95,222,0,318,1133,38,43,1533,21,325,5,355,811,47,26,1240,4,65,0,69,663,73,4,805,0,3,0,3,328,59,0,398,2279,851,83,3212,7092,424,181,10910
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
506031131,107,424,7,532,1655,61,74,2323,22,404,3,434,1075,57,45,1614,0,61,0,66,474,50,13,603,0,3,0,3,177,40,3,221,3472,1251,110,4837,8844,454,285,14412
506041132,78,260,6,339,1347,101,82,1875,32,204,0,234,1062,100,32,1431,7,37,0,42,499,72,3,615,0,3,0,3,152,19,0,174,3000,905,112,4016,9949,965,236,15163
506041133,97,357,9,460,1393,79,116,2054,19,231,0,246,791,50,95,1184,3,33,0,37,364,56,19,474,0,0,0,0,95,67,0,158,4558,1140,113,5804,10272,1717,388,18187
506041134,78,275,3,358,1520,170,42,2091,17,186,0,202,1213,165,25,1607,3,48,0,50,862,168,4,1090,0,0,0,6,336,86,0,430,3166,1032,123,4319,9952,1501,127,15908
506041135,79,322,0,402,1166,67,101,1737,12,169,3,182,703,62,40,990,7,15,0,19,253,34,4,316,0,0,0,0,80,7,0,89,4032,995,153,5183,8193,596,218,14190
506041136,41,199,3,248,1088,112,41,1492,10,147,0,159,809,99,18,1091,3,23,0,22,523,92,3,645,0,0,0,4,204,70,0,278,2158,675,83,2912,6987,912,111,10916
506041137,126,530,4,661,2037,119,90,2916,25,361,0,390,1467,121,40,2022,4,70,0,75,756,106,4,939,0,0,0,0,222,46,0,267,3861,1546,149,5549,11817,940,245,18545
506051138,60,378,0,440,1401,129,57,2024,15,217,0,225,998,134,25,1386,0,43,0,46,537,94,10,679,0,4,0,4,144,66,0,214,3356,1123,106,4592,8936,950,153,14630
506051139,40,225,0,261,931,99,9,1302,5,137,0,144,714,92,3,951,0,34,0,32,385,73,3,493,0,0,0,0,99,22,0,123,2121,729,85,2930,5849,736,50,9561
