SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
509021240,18,88,0,102,554,53,3,718,5,50,0,55,397,71,4,526,0,3,0,3,227,37,0,268,0,0,0,0,93,22,0,117,730,250,41,1017,2644,397,74,4132
509021241,17,81,0,97,512,64,8,673,5,29,0,34,377,53,0,468,0,6,0,6,186,43,9,241,0,0,0,0,65,9,0,80,703,226,33,956,2431,425,48,3858
509021242,20,45,0,66,469,104,4,642,0,26,0,27,269,41,4,333,0,9,0,9,134,30,0,176,0,0,0,0,34,19,0,59,614,167,18,805,1949,585,45,3385
509021243,54,230,0,287,1152,169,7,1612,4,102,0,111,948,144,3,1205,0,20,0,18,464,74,0,561,0,0,0,0,169,29,0,199,1462,622,79,2168,5426,1375,37,9010
509021244,18,88,0,104,652,76,4,836,3,61,0,64,583,97,0,745,0,7,0,7,221,43,0,268,0,0,0,3,36,4,0,37,494,254,23,776,2534,399,9,3713
509021245,22,110,0,134,686,95,4,922,7,78,0,80,668,116,0,874,0,12,0,14,318,76,0,403,0,0,0,3,100,20,0,124,636,285,29,952,2840,526,29,4350
509031246,13,86,0,96,405,61,3,564,3,36,0,43,352,53,0,447,6,11,0,12,206,49,0,277,0,0,0,0,70,32,0,101,498,198,24,723,1836,370,10,2937
509031247,24,80,0,102,488,65,3,659,0,46,0,46,340,55,7,438,4,13,0,12,183,24,0,222,0,0,0,3,46,13,0,61,789,235,28,1047,2120,365,43,3565
509031248,15,55,0,74,302,35,4,413,0,20,0,20,182,38,0,248,0,0,0,0,79,19,0,107,0,0,0,0,13,3,0,20,597,159,24,780,1455,275,11,2517
509031249,26,90,4,116,447,72,3,638,5,53,0,61,324,50,3,442,0,6,0,8,204,52,0,260,0,0,0,4,106,25,0,132,642,275,24,941,2318,486,17,3767
509031250,17,106,0,121,606,88,4,816,3,63,0,66,463,67,0,603,0,3,0,3,221,40,0,267,0,3,0,3,85,21,0,106,690,259,30,977,2388,453,28,3840
510011262,65,274,3,345,2136,390,59,2928,17,197,0,211,1914,326,37,2489,4,41,0,45,523,89,9,676,0,0,0,0,76,19,0,90,2505,906,161,3572,9676,2296,562,16114
510011263,34,143,4,178,963,139,20,1308,11,65,0,76,639,112,27,852,0,14,0,14,135,33,7,187,3,3,0,4,44,6,0,55,1234,743,130,2109,4145,1151,167,7569
510011264,12,44,3,64,300,68,7,441,3,19,3,23,254,28,7,313,0,4,0,7,47,10,0,60,0,0,0,0,5,0,0,12,364,226,53,644,1612,677,132,3069
510011265,36,119,5,151,1242,229,37,1655,5,73,0,77,880,200,26,1183,3,16,0,15,177,52,3,244,0,0,0,0,20,8,0,27,1263,532,78,1871,5202,1387,339,8797
510011266,8,42,0,48,538,85,14,693,3,27,0,26,557,87,3,673,0,7,0,7,101,23,4,130,0,0,0,0,12,0,0,11,366,214,32,611,2063,389,76,3139
510021267,42,95,0,140,1005,409,12,1563,0,31,0,31,369,113,4,521,0,3,0,7,49,17,0,70,0,0,0,0,0,3,0,3,2074,659,129,2864,6347,3319,97,12632
510021268,19,37,3,56,328,151,5,544,0,16,0,17,69,19,5,118,0,0,0,0,13,3,0,14,0,0,0,0,3,0,0,3,1053,191,49,1291,2066,1233,52,4638
510021269,18,39,0,62,499,125,9,694,3,19,0,18,190,56,9,276,0,7,0,7,47,9,3,61,0,0,0,0,3,0,0,9,992,198,39,1230,2810,804,82,4931
510021270,24,75,0,96,630,225,26,980,0,19,0,22,244,86,11,360,0,9,0,13,57,20,0,92,6,0,0,6,12,9,0,27,1736,388,62,2181,4140,1696,99,8115
510031271,95,155,3,250,2208,709,77,3253,3,30,0,39,514,146,16,702,0,12,0,10,84,38,0,134,0,0,0,0,4,0,0,5,3890,642,116,4651,13420,5078,511,23659
510031272,47,155,0,203,1067,242,37,1545,9,52,3,62,404,79,21,571,0,14,0,10,91,23,4,127,3,0,0,3,5,3,0,16,3413,673,156,4242,7110,2090,207,13656
510031273,17,69,4,90,560,154,7,818,0,26,0,28,352,70,9,460,0,3,0,3,58,16,3,79,0,0,0,3,13,3,0,15,1250,271,52,1577,3188,1440,62,6267
511011274,49,198,0,246,1099,178,12,1531,6,120,3,128,947,180,6,1255,0,24,0,24,466,120,0,606,0,0,0,0,194,39,0,237,1730,686,99,2510,5833,1227,51,9625
511011275,21,44,0,68,374,119,0,561,0,12,0,14,305,93,0,413,0,7,0,7,105,27,0,136,0,0,0,0,20,6,0,25,637,131,29,802,1814,556,17,3183
511021276,19,71,0,92,746,165,6,1009,3,57,0,61,829,203,7,1100,0,5,0,8,324,92,3,428,0,3,0,6,60,26,0,94,676,314,33,1024,3329,962,103,5424
511021277,32,141,0,172,1445,205,45,1870,4,97,0,104,1755,193,23,2078,0,16,0,17,461,72,3,555,0,0,0,0,59,16,0,79,968,408,56,1428,5722,980,429,8558
511031278,28,71,0,98,594,150,3,847,3,24,0,28,331,116,5,478,0,7,0,7,95,23,0,124,3,0,0,3,17,6,0,34,1124,301,53,1476,3158,925,29,5588
511031279,52,186,3,243,1063,260,26,1593,4,66,0,71,563,123,11,771,3,11,0,15,230,59,3,307,0,0,0,0,79,25,0,97,2379,666,119,3160,6603,1533,89,11385
511031280,31,111,0,144,599,79,11,838,8,37,0,43,276,34,4,361,5,9,0,10,114,25,0,149,0,0,0,0,23,6,0,28,1804,377,80,2256,3654,595,51,6554
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
511031282,18,64,0,81,578,178,3,843,6,26,0,32,377,142,0,545,0,3,0,3,94,25,0,121,0,0,0,0,12,3,0,18,844,246,21,1111,2819,1079,43,5060
511031283,21,80,9,111,612,239,10,969,3,21,3,21,222,77,4,332,0,3,0,4,36,20,0,61,0,0,0,0,8,3,0,16,1181,513,142,1838,3411,1923,61,7234
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,45,212,8,264,1203,200,27,1694,14,125,0,142,980,166,11,1301,3,34,0,36,711,181,4,928,0,0,0,0,323,101,0,431,1414,701,74,2187,6473,1406,144,10215
511041286,29,138,0,164,593,90,6,856,8,73,0,75,427,61,0,573,3,7,0,8,177,47,0,231,0,0,0,0,41,11,0,53,1151,429,60,1643,3357,893,24,5917
511041287,30,126,0,150,629,36,6,824,3,84,0,88,522,47,3,658,0,10,0,13,217,42,0,272,0,0,0,0,54,7,0,68,1368,431,70,1867,3475,388,27,5752
511041288,40,179,0,220,856,82,12,1180,4,117,0,124,511,77,11,714,0,16,0,16,268,48,4,337,0,0,0,0,67,10,0,83,1793,605,55,2457,4525,541,53,7573
511041289,14,58,0,76,501,38,3,615,7,34,0,39,510,61,0,612,0,5,0,8,228,43,0,280,0,0,0,0,73,9,0,83,519,177,34,730,2030,298,12,3069
511041290,20,41,5,68,564,203,11,838,0,35,0,36,343,104,4,487,0,4,0,4,69,19,0,95,0,0,0,0,11,5,0,15,672,247,54,966,2782,1394,67,5206
511041291,18,76,0,93,645,81,0,820,0,37,0,38,440,46,0,530,0,0,0,0,170,36,0,211,0,0,0,0,51,6,0,62,683,201,28,913,2491,426,54,3883
511041292,36,128,3,171,970,179,16,1334,9,77,0,84,1021,210,5,1327,3,14,0,16,402,109,4,542,0,0,0,0,79,24,0,106,868,341,50,1255,3920,883,182,6240
597979799,14,27,0,36,362,158,53,619,0,13,0,15,107,57,17,205,0,0,0,0,34,14,0,55,0,0,0,0,3,0,0,11,440,81,8,527,2136,942,440,4045
