SA2_MAINCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,0,3,3,13,14,36,104,124,34,331,0,0,0,0,0,13,11,16,4,42,20,16,41,54,70,57,77,56,24,411,268,509,979,1153,1345,1100,790,441,102,6692
507011153,0,0,9,9,19,33,93,81,21,274,0,0,4,0,4,3,8,3,0,31,25,36,73,80,73,69,91,69,11,524,234,498,1184,1168,1122,898,726,413,110,6341
507011154,3,3,9,20,39,71,173,236,88,630,0,3,5,9,14,9,12,37,11,102,43,53,139,112,123,118,128,127,93,935,250,564,1585,1459,1386,1160,965,635,300,8295
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,5,8,0,0,16
507011158,0,0,0,0,4,0,6,7,0,28,0,0,0,0,0,0,0,0,0,0,4,5,54,31,35,32,15,20,3,208,55,143,370,333,411,340,202,58,11,1917
507011159,7,4,6,13,20,59,62,84,38,287,0,0,9,11,11,6,10,11,3,64,47,55,93,97,77,88,67,63,44,621,382,882,1881,1487,1558,1365,759,450,188,8957
507011160,0,3,6,20,39,85,186,221,77,636,0,3,3,10,0,20,20,47,23,119,19,41,118,95,79,97,115,136,125,819,240,590,1408,1364,1218,1208,1040,676,320,8071
507011161,0,3,7,25,16,35,24,33,27,168,0,0,6,14,6,6,0,8,3,48,44,46,184,136,88,66,25,38,35,645,391,921,3050,2660,1608,986,444,234,128,10428
507011163,3,4,3,10,33,47,55,38,12,211,0,0,3,4,5,3,7,10,0,32,31,36,70,63,96,44,48,26,5,420,268,474,1132,1119,1082,828,391,185,49,5529
507011259,0,0,0,8,19,39,57,43,9,181,0,0,0,6,3,5,0,3,6,35,28,27,73,71,66,48,30,14,7,373,229,516,1346,1354,1140,709,409,164,43,5916
507011260,0,3,0,3,3,8,10,5,6,39,0,4,0,0,0,0,0,3,0,10,4,13,18,4,24,10,23,8,0,110,77,288,252,254,376,394,286,75,19,2010
507021164,0,0,0,3,7,7,31,61,25,135,0,0,0,3,0,3,3,5,0,17,18,17,50,60,67,48,39,56,60,427,170,422,701,932,1204,1011,638,378,168,5624
507021165,0,0,5,11,7,39,74,150,124,414,0,0,10,3,4,9,10,22,17,74,43,128,389,300,291,292,223,181,106,1959,292,854,2651,2183,2218,2123,1527,832,399,13077
507021166,0,5,9,15,20,65,155,260,101,628,0,0,3,4,8,14,13,34,10,80,43,53,135,127,143,148,116,111,85,954,356,726,1973,1895,2057,1849,1329,875,350,11409
507021167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,10
507031169,3,9,17,17,24,24,35,17,8,149,0,0,4,10,6,3,3,4,0,33,44,53,157,143,51,44,34,11,0,535,410,988,3160,2370,1321,764,380,128,18,9537
507031170,0,0,9,16,23,39,62,63,39,247,0,0,7,5,10,3,3,4,0,33,43,41,92,109,98,87,80,77,38,681,252,542,1056,1001,967,727,538,425,170,5686
507031172,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,4,4,9,3,14,11,12,3,0,56
507031173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,0,0,11,3,0,5,0,11,8,3,0,0,27
507031174,8,0,11,21,26,84,104,59,18,334,0,0,8,5,8,10,12,7,4,51,46,73,163,149,169,139,142,105,29,1026,387,701,1557,1459,1454,1166,883,452,112,8172
507031261,0,0,3,5,5,10,33,15,3,78,0,0,0,0,0,3,0,0,0,10,42,180,428,286,122,53,37,10,3,1158,192,589,1513,929,695,535,292,79,20,4847
507041175,3,0,3,6,0,17,18,40,26,115,0,0,3,3,0,4,7,0,0,12,25,27,65,45,46,67,49,76,65,463,323,719,1175,1303,1451,1511,1076,620,314,8485
507041176,0,0,0,0,11,6,14,14,8,55,0,0,0,0,0,0,0,3,0,7,5,10,11,20,13,10,13,16,14,121,100,277,411,461,508,446,357,179,97,2839
507041177,0,0,3,4,7,22,56,107,70,275,3,0,3,3,0,14,3,4,0,32,32,27,93,85,106,81,78,129,135,763,343,704,1712,1858,1888,1565,1185,777,453,10479
507041178,0,4,0,3,17,23,49,86,73,261,0,0,6,14,5,6,5,3,4,43,30,46,86,80,85,89,85,75,50,616,401,939,1570,1818,2040,1709,1333,846,517,11168
507041179,3,0,0,0,4,15,29,46,38,136,0,3,8,6,4,4,3,3,0,30,10,5,16,33,20,31,65,91,129,401,213,473,763,904,935,936,904,522,360,6004
507041180,0,0,3,0,10,28,50,54,27,162,0,0,0,3,0,9,9,9,4,34,7,17,35,35,30,37,39,28,9,226,324,748,1150,1248,1455,1807,977,357,136,8203
507041181,3,0,9,9,7,23,55,123,84,309,0,0,0,3,0,0,4,10,3,19,38,37,69,78,94,71,76,128,131,726,408,880,1566,2140,2368,1764,1300,1027,567,12021
507041182,0,3,6,7,14,43,88,137,79,376,0,0,0,0,4,5,11,9,12,49,29,83,155,92,84,155,193,253,237,1290,539,1263,1736,1315,1477,1766,1390,966,552,11007
507041183,0,3,13,6,12,23,29,58,36,191,0,3,4,3,6,4,4,5,3,34,15,13,51,36,46,37,31,48,32,321,133,281,729,685,602,415,310,275,183,3614
507041184,3,0,0,0,9,13,24,25,12,88,0,0,0,3,3,6,7,9,5,32,4,6,16,18,14,24,22,14,6,119,227,490,564,589,802,954,608,226,77,4554
507051185,6,3,16,20,39,60,113,94,21,383,0,0,9,6,9,11,3,3,5,48,127,204,487,309,243,186,143,91,18,1797,981,2334,6099,4634,3521,2214,1505,593,113,21996
507051186,5,3,9,17,15,48,71,59,45,267,0,0,4,5,4,4,3,7,0,23,28,52,87,63,85,102,101,101,66,693,309,585,1075,941,1080,1121,841,472,224,6660
507051187,4,7,7,13,21,37,58,51,20,213,0,0,3,5,0,0,0,6,0,19,53,53,107,108,125,77,61,96,101,782,525,887,1640,1831,2006,1168,678,400,171,9307
507051188,0,7,9,28,25,55,130,165,80,503,0,0,3,8,8,9,12,6,3,43,86,290,446,247,251,190,232,257,114,2108,450,1279,2251,1861,2119,2082,1769,1270,480,13554
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,5
507051190,0,0,4,9,18,39,85,99,68,323,0,4,0,0,0,3,4,0,0,16,32,27,65,74,74,85,123,162,121,761,282,601,1190,1279,1443,1512,1311,846,370,8828
507051191,3,7,8,18,14,23,66,36,17,185,0,0,4,5,3,0,0,0,0,15,76,55,110,144,143,70,50,37,4,691,760,1147,2385,3097,2866,1233,725,321,65,12595
507051192,0,3,16,19,30,61,70,69,37,304,0,0,0,0,6,10,5,0,0,23,49,44,95,85,106,96,96,89,39,696,401,780,1530,1544,1784,1420,887,445,175,8971
507051193,9,3,11,10,17,36,54,50,10,210,0,0,3,10,9,3,3,0,0,26,47,55,121,102,113,90,69,60,24,671,368,758,1429,1289,1552,1173,758,405,98,7832
509011225,4,4,7,27,29,49,95,207,154,575,0,0,3,0,5,8,6,17,6,44,40,38,101,97,134,168,159,206,237,1183,413,679,1435,1518,1877,1938,1650,1244,753,11502
509011226,0,0,3,7,0,8,34,15,7,78,0,0,0,0,8,0,0,0,0,5,11,8,21,25,34,56,49,9,6,221,88,101,287,362,518,595,432,110,42,2533
509011227,0,0,0,3,8,12,35,31,17,109,0,0,0,0,0,0,0,0,0,0,21,11,29,31,34,21,16,22,12,204,162,213,457,545,612,596,467,247,70,3366
509011228,0,0,0,5,4,17,25,45,13,109,0,0,4,0,0,0,3,0,0,12,19,11,37,60,95,97,97,55,24,507,147,121,384,617,856,956,887,397,120,4489
509011229,3,0,0,3,3,6,23,17,4,62,0,0,3,0,0,3,0,0,0,12,4,15,61,47,55,55,41,21,9,303,41,128,391,372,434,453,245,100,25,2193
509011230,0,3,19,22,28,36,52,54,30,245,0,0,19,26,26,27,31,13,3,151,27,33,75,80,106,98,73,60,33,584,147,263,545,571,641,594,382,248,87,3491
509011231,0,0,4,16,8,22,39,41,26,152,0,0,0,0,0,0,0,5,0,4,17,19,65,43,61,65,58,37,24,386,85,160,480,484,604,590,414,222,81,3119
509011232,0,0,6,0,6,11,20,19,4,65,0,0,0,0,0,0,0,0,0,4,14,74,165,128,77,54,36,19,4,572,97,178,384,467,511,570,405,167,37,2825
509011233,3,3,16,16,19,42,111,94,36,336,0,0,4,0,5,6,3,4,3,23,47,39,95,72,94,96,120,71,28,642,401,573,1247,1256,1346,1211,956,437,129,7560
509011234,0,5,5,14,10,24,42,48,25,171,0,4,9,6,9,6,7,0,0,36,21,27,64,92,102,89,84,54,21,547,148,209,419,601,770,791,633,297,96,3968
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,0,0,3,0,10,17,32,33,8,105,0,0,3,0,0,5,0,0,0,12,35,13,40,64,81,72,54,36,5,412,179,212,453,694,882,767,538,235,40,3990
509021237,0,0,3,5,14,24,59,63,23,202,0,0,0,0,0,0,0,3,0,11,22,25,56,42,62,72,67,52,33,429,116,170,438,425,576,580,434,279,102,3137
509021238,3,0,3,7,9,20,42,43,30,157,0,0,0,0,0,0,0,0,0,9,8,11,35,37,51,53,52,39,21,322,78,147,438,459,547,627,472,213,94,3081
509021239,0,5,8,11,14,37,89,119,32,310,0,0,10,0,9,6,3,4,0,29,29,25,97,86,103,139,169,89,27,762,177,330,918,918,1184,1409,1317,538,106,6898
509021240,0,3,8,4,17,31,61,51,30,207,0,15,0,4,3,0,5,3,0,29,14,42,42,48,52,57,79,45,24,406,116,374,625,541,642,710,520,268,117,3917
509021241,0,5,6,4,15,34,56,39,22,188,0,0,0,0,0,0,3,3,0,5,12,23,61,86,70,68,55,42,11,430,102,250,563,654,694,665,468,232,80,3698
509021242,0,0,4,6,7,31,32,38,17,141,0,0,3,0,5,4,0,0,0,8,5,26,114,106,125,110,42,31,17,588,45,176,584,601,705,639,331,176,59,3309
509021243,4,4,9,20,27,60,116,97,50,383,0,6,0,3,5,3,6,4,3,36,52,128,325,259,209,199,180,116,61,1520,321,617,1352,1356,1447,1601,1194,561,197,8653
509021244,0,0,0,5,9,32,54,50,14,164,0,0,0,0,0,0,3,6,0,6,24,14,29,43,73,80,96,43,6,398,118,164,300,397,728,831,743,270,37,3593
509021245,0,3,3,9,5,36,65,61,18,205,0,0,0,0,0,0,3,4,0,9,18,24,44,61,77,102,123,92,35,589,95,183,384,499,739,915,872,403,124,4215
509031246,0,3,3,3,7,14,50,55,18,150,0,0,0,0,3,0,0,0,3,6,12,22,47,49,59,73,63,54,36,410,78,147,355,380,523,563,447,277,101,2877
509031247,0,0,0,3,9,21,46,47,18,148,0,0,0,0,0,0,3,5,3,13,6,17,59,66,61,79,55,29,12,383,67,162,603,633,666,655,437,225,61,3501
509031248,0,0,3,3,8,12,19,27,9,80,0,0,0,0,0,0,0,0,0,6,9,17,44,41,69,40,37,20,3,271,69,149,425,485,555,413,245,107,20,2467
509031249,4,4,5,3,14,17,43,53,45,190,0,0,3,0,0,0,0,0,5,12,65,33,67,40,80,100,62,49,24,527,191,258,520,471,585,638,433,260,132,3495
509031250,0,0,3,4,12,28,51,45,36,181,0,0,4,0,0,0,3,0,0,9,26,19,48,57,79,102,81,52,24,490,109,164,462,521,687,815,603,267,106,3736
510011262,8,13,18,33,28,80,168,95,20,462,0,3,0,8,10,9,6,7,0,51,92,137,480,398,379,421,367,117,25,2411,374,795,2850,2592,2495,2866,2449,659,88,15184
510011263,16,13,30,34,62,75,79,30,7,340,4,5,9,6,12,33,38,33,12,161,89,116,274,221,205,169,119,28,11,1229,354,629,1531,1226,1154,1286,825,179,52,7237
510011264,19,21,34,26,38,55,35,6,3,238,3,3,3,3,3,22,24,12,3,79,87,78,192,146,109,80,45,20,3,751,212,313,650,479,421,434,307,57,12,2882
510011265,7,15,19,25,47,67,109,40,8,332,10,7,23,5,17,21,10,13,3,101,51,110,266,209,257,238,204,47,3,1377,268,602,1574,1338,1499,1619,1154,237,27,8313
510011266,0,3,4,8,13,34,48,27,5,142,0,0,0,0,3,0,6,3,3,10,27,20,50,59,60,94,88,15,0,418,115,213,400,368,421,673,671,127,11,3007
510021267,9,4,20,27,37,60,44,17,0,227,0,0,4,9,14,14,17,8,0,67,31,182,1062,816,734,431,118,18,0,3381,108,676,3823,2989,2710,1557,517,72,3,12453
510021268,0,0,3,14,13,15,5,4,3,52,0,0,0,3,0,0,0,0,0,3,27,96,366,307,267,150,29,3,0,1250,110,385,1311,1159,848,532,109,14,3,4486
510021269,0,0,0,5,11,14,15,11,3,65,0,0,0,0,0,3,0,0,0,7,19,50,215,151,189,129,64,13,3,832,89,278,1325,1081,988,683,268,60,4,4779
510021270,3,3,13,25,34,42,41,18,3,191,0,0,3,3,3,15,19,16,7,63,71,119,443,383,337,231,88,28,10,1709,255,658,2292,1677,1487,951,345,90,27,7786
510031271,8,3,14,36,56,66,42,18,3,234,0,0,19,20,12,11,5,6,0,77,34,194,1437,1354,1196,708,138,32,0,5098,151,947,6558,6062,5308,3174,692,129,5,23025
510031272,0,4,20,13,35,33,42,18,0,176,5,0,5,7,0,3,0,3,0,33,68,147,573,522,466,248,74,23,3,2122,382,1015,3642,3285,2481,1509,552,123,16,12999
510031273,8,8,10,10,19,36,61,18,0,168,0,0,0,4,0,0,3,3,0,17,21,100,434,321,323,172,76,16,3,1459,125,388,1542,1355,1298,810,450,81,15,6064
511011274,3,0,5,10,26,44,111,122,50,373,0,0,3,0,11,0,3,3,0,23,79,70,170,137,237,205,199,127,70,1287,366,623,1350,1401,1755,1518,1249,606,237,9106
511011275,0,0,3,8,5,12,49,21,10,98,0,0,0,0,0,0,0,0,0,8,31,24,75,104,72,129,95,28,9,555,99,159,516,582,581,558,410,136,25,3076
511021276,7,7,16,18,35,53,127,88,11,353,0,0,4,4,4,8,3,12,4,35,31,39,139,120,135,159,226,94,31,977,163,260,700,679,821,1003,1091,422,94,5237
511021277,0,0,3,3,12,40,147,100,20,327,0,0,0,0,0,0,0,0,0,5,27,43,166,131,130,192,192,76,19,982,101,309,1091,981,1051,1827,2051,546,79,8038
511031278,7,0,10,11,11,38,58,29,8,174,0,3,3,4,6,7,0,4,3,20,43,60,186,174,150,152,120,37,4,927,269,516,1139,1002,1018,846,473,124,34,5408
511031279,5,4,24,24,30,42,89,83,42,340,0,0,3,5,9,4,4,3,3,35,76,115,313,274,269,269,140,72,21,1543,449,950,2511,2201,2040,1568,762,301,95,10877
511031280,5,3,12,11,11,24,34,27,10,135,0,0,0,8,8,5,3,0,0,22,31,51,159,93,104,89,42,25,9,602,229,562,1649,1303,1119,822,353,149,28,6220
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,3,0,0,0,3,0,0,0,0,9
511031282,3,0,15,9,18,34,63,17,3,157,0,0,0,3,3,4,0,0,0,12,30,63,239,183,228,191,148,34,3,1130,144,326,1093,810,1015,838,547,119,18,4901
511031283,31,43,80,62,62,67,45,15,6,402,0,0,4,0,3,10,7,4,0,32,70,161,556,421,403,238,75,23,3,1957,208,551,2011,1525,1451,958,329,61,16,7121
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,9,7,11,26,28,83,158,182,116,614,0,0,0,3,9,9,10,15,11,50,94,84,157,179,216,199,186,202,129,1440,399,700,1346,1347,1614,1664,1290,922,431,9717
511041286,3,0,10,9,21,50,95,78,11,273,0,0,3,0,0,4,12,3,0,22,59,101,213,158,135,97,73,40,10,889,306,518,925,986,1157,844,573,234,53,5585
511041287,0,0,0,11,11,33,67,68,20,215,0,0,0,0,0,0,0,4,3,13,27,20,71,61,68,50,45,34,10,389,236,383,973,961,1070,819,654,267,68,5429
511041288,3,0,0,6,17,33,58,69,29,218,0,0,0,0,9,6,10,5,4,33,36,23,79,76,88,95,79,45,16,537,311,528,1273,1343,1384,1167,707,331,83,7128
511041289,3,0,0,9,4,18,52,43,23,156,0,0,0,0,0,3,4,0,3,8,9,3,31,30,47,44,71,33,8,281,74,102,311,396,474,610,612,280,83,2942
511041290,9,0,12,16,19,40,49,11,6,155,0,0,4,5,0,6,9,0,0,22,47,78,375,263,286,210,115,22,5,1409,116,310,1269,952,1046,830,484,91,15,5106
511041291,0,0,3,3,5,21,45,54,14,148,0,0,0,0,3,4,0,0,0,8,5,15,79,61,74,96,55,40,16,435,86,175,604,562,675,816,531,216,62,3718
511041292,0,0,5,10,16,46,115,96,29,320,0,0,3,0,0,0,0,6,3,11,23,23,68,85,150,184,230,110,27,906,113,235,578,701,1035,1319,1321,534,106,5937
597979799,0,0,6,4,0,0,9,0,0,29,0,0,0,0,0,4,0,0,0,4,21,49,239,208,197,156,62,14,0,940,33,154,874,896,837,560,185,49,5,3597
