SA2_MAINCODE_2016,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
506031129,178,310,458,642,808,492,157,24,0,3079,0,0,0,3,4,0,0,0,0,6,0,3,12,21,8,4,0,0,0,50,10,11,13,12,22,22,7,0,0,92,0,0,4,5,0,0,0,0,0,11,4,3,15,17,17,10,0,0,0,72,0,4,7,13,15,6,0,0,0,42,49,50,45,32,58,26,3,0,0,271,72,43,31,28,26,16,0,0,0,216,0,3,8,11,21,6,3,0,0,54,5,7,4,3,7,0,3,0,0,29,0,11,13,15,16,23,6,0,0,86,3,4,6,13,22,14,5,0,0,66,5,27,51,52,43,31,8,0,0,217,0,3,17,20,30,9,3,0,0,86,4,13,25,37,61,33,8,0,0,174,14,23,51,97,169,109,22,0,0,495,14,45,109,153,165,109,25,0,0,615,12,13,4,8,5,3,3,0,0,43,10,6,10,12,32,17,4,0,0,90
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031131,230,414,635,1054,1027,736,230,16,0,4339,0,0,3,6,0,0,0,0,0,13,0,3,18,19,12,7,0,0,0,57,7,9,13,31,17,22,0,0,0,94,0,0,3,10,7,3,0,0,0,30,6,4,17,39,17,23,7,0,0,109,3,8,10,17,13,21,0,0,0,74,65,89,49,80,84,63,16,0,0,443,96,79,45,41,39,26,3,0,0,321,0,9,7,26,15,15,7,0,0,72,7,11,8,7,5,4,0,0,0,44,0,3,12,31,31,30,9,0,0,107,0,7,5,16,13,11,0,0,0,60,5,24,49,65,65,41,8,0,0,249,0,7,11,26,29,31,3,0,0,111,7,10,40,68,81,58,5,0,0,271,14,37,54,163,232,183,37,0,0,709,15,73,113,255,236,176,27,0,0,892,10,7,11,12,13,3,0,0,0,63,4,8,19,36,24,22,5,0,0,125
506041132,195,497,1445,1086,751,545,162,16,0,4694,0,0,13,3,8,3,0,0,0,31,0,9,28,22,13,3,0,0,0,72,3,16,42,28,32,31,0,0,0,159,0,0,15,3,3,3,0,0,0,30,0,7,26,28,16,6,0,0,0,86,0,15,25,25,21,12,0,0,0,106,63,92,120,90,63,46,13,0,0,485,65,66,97,40,42,20,0,0,0,327,0,3,26,18,28,15,11,0,0,103,5,6,0,3,0,3,0,0,0,19,0,8,25,29,26,18,0,0,0,103,3,3,14,11,9,6,0,0,0,46,0,11,62,45,17,21,4,0,0,163,0,9,49,33,35,28,5,0,0,160,3,4,42,51,47,26,8,0,0,185,4,32,83,76,77,49,15,0,0,339,12,63,216,180,152,103,27,0,0,750,3,4,15,14,6,11,0,0,0,47,9,18,41,33,29,19,5,0,0,151
506041133,330,513,1266,1491,1328,687,165,17,0,5793,3,0,10,15,9,3,0,0,0,41,0,9,24,36,20,4,0,0,0,88,13,8,42,63,62,25,6,0,0,223,0,0,4,18,13,0,0,0,0,43,0,6,36,36,28,13,0,0,0,129,0,14,36,28,34,20,3,0,0,138,117,114,126,114,117,57,11,0,0,655,129,64,66,65,49,19,0,0,0,398,6,14,31,46,33,24,0,0,0,156,0,7,10,14,3,3,0,0,0,41,0,3,54,56,51,12,3,0,0,185,0,17,13,31,26,10,3,0,0,104,3,25,108,68,62,15,0,0,0,282,5,15,46,59,29,17,4,0,0,168,8,19,68,106,81,63,3,0,0,337,12,39,85,184,201,74,12,0,0,605,18,89,214,293,237,137,24,0,0,1017,11,11,12,12,12,0,3,0,0,67,13,22,24,47,60,22,4,0,0,198
506041134,167,423,1145,984,801,592,151,14,4,4274,0,3,6,0,7,0,0,0,0,15,0,6,9,12,5,8,0,0,0,34,4,12,42,35,22,25,0,0,0,140,0,0,5,9,5,3,0,0,0,18,0,4,35,21,11,14,6,0,0,101,0,4,36,18,29,10,0,0,0,98,57,89,102,88,114,50,15,0,0,515,66,46,53,23,27,22,3,0,0,239,0,15,27,31,32,24,0,0,0,133,3,0,6,9,0,0,0,0,0,17,0,7,28,13,22,8,0,0,0,85,0,12,15,12,5,8,3,0,0,56,3,11,46,35,16,22,6,0,0,141,0,13,47,42,36,27,3,0,0,167,0,8,47,52,57,56,5,0,0,228,3,26,70,96,96,50,16,0,0,353,11,60,214,144,155,165,22,3,0,776,0,9,5,13,8,5,0,0,0,42,10,15,40,28,22,20,0,0,0,132
506041135,251,435,1202,1292,1001,585,126,12,0,4906,0,0,11,16,3,3,0,0,0,32,0,3,26,22,16,5,3,0,0,82,11,21,40,61,40,16,3,0,0,185,0,0,9,18,8,3,0,0,0,41,0,10,39,36,29,16,0,0,0,132,0,9,29,23,27,16,3,0,0,105,78,75,112,104,108,64,13,0,0,555,80,44,70,46,31,16,3,0,0,283,3,9,35,32,40,13,5,0,0,138,4,7,8,3,3,3,0,0,0,26,0,4,46,32,36,12,0,0,0,127,0,10,27,16,13,3,0,0,0,74,4,10,69,66,31,19,0,0,0,201,0,12,36,37,44,17,0,0,0,151,0,14,61,68,67,29,8,0,0,246,13,33,102,161,151,83,9,0,0,548,23,64,209,255,175,132,19,0,0,875,11,9,15,12,10,3,0,0,0,58,16,21,44,34,36,12,10,0,0,170
506041136,126,333,824,750,612,440,111,15,0,3209,4,0,3,4,3,4,3,0,0,16,0,0,11,13,12,0,0,0,0,36,3,5,18,20,24,9,5,0,0,83,0,0,5,0,7,0,0,0,0,11,0,10,24,19,14,9,3,0,0,80,0,6,15,10,19,11,0,0,0,62,40,56,66,51,53,36,12,0,0,311,46,37,35,24,24,12,5,0,0,179,0,11,21,17,17,16,3,3,0,83,3,0,4,4,3,0,0,0,0,13,0,8,27,18,8,0,0,0,0,58,0,4,13,12,3,9,0,0,0,35,6,11,28,25,18,17,7,0,0,103,0,7,22,16,23,19,3,0,0,101,0,6,24,30,36,28,5,0,0,139,3,13,42,42,50,58,5,0,0,222,6,39,109,121,92,100,26,0,0,496,6,13,9,4,6,0,3,0,0,45,3,10,32,25,26,13,3,0,0,111
506041137,282,540,1325,1213,1131,934,226,14,0,5667,0,6,5,7,3,0,0,0,0,23,0,3,20,18,21,7,0,0,0,69,6,6,38,48,52,42,3,0,0,195,0,0,15,9,5,6,0,0,0,33,0,9,34,41,23,22,5,0,0,138,4,16,36,26,31,29,5,0,0,144,109,106,140,103,118,110,19,0,0,694,112,76,72,49,49,23,3,3,0,382,4,14,31,34,45,29,5,0,0,170,8,3,13,10,3,3,0,0,0,47,0,5,25,41,29,19,4,0,0,118,0,9,21,12,24,12,5,0,0,84,3,16,67,50,45,31,3,0,0,212,0,8,37,36,40,26,9,0,0,164,5,12,54,70,90,71,16,0,0,302,14,49,91,146,164,128,20,3,0,601,16,93,201,203,220,226,39,3,0,1002,6,13,19,27,12,9,0,0,0,87,15,24,46,38,53,28,9,0,0,221
506051138,221,438,1165,1194,925,673,171,9,0,4793,0,0,7,7,8,4,0,0,0,20,0,7,38,20,19,12,0,0,0,98,12,13,40,41,34,20,10,3,0,169,0,0,16,10,6,4,0,0,0,35,5,8,39,30,30,26,3,0,0,143,0,15,35,27,31,26,7,0,0,134,61,76,120,100,93,54,17,0,0,520,77,56,66,38,31,24,0,0,0,296,4,19,54,58,51,36,4,0,0,224,7,0,6,8,3,3,3,0,0,27,0,4,52,32,24,12,0,0,0,125,0,12,19,17,16,5,3,0,0,69,12,9,57,53,28,22,6,0,0,190,3,17,35,49,26,19,4,0,0,151,3,6,56,77,76,66,4,0,0,290,7,22,91,110,107,78,16,0,0,428,19,58,205,187,159,149,16,3,0,796,7,9,17,17,16,13,3,0,0,83,10,32,44,33,25,12,6,0,0,163
506051139,169,307,704,686,656,420,99,11,0,3057,0,3,3,4,4,4,0,0,0,12,0,3,27,11,13,3,0,0,0,58,3,16,19,19,29,9,3,0,0,102,0,3,6,3,4,5,0,0,0,19,0,3,35,33,18,16,3,0,0,107,0,5,16,17,16,13,3,0,0,73,43,64,78,60,77,50,7,0,0,388,69,23,38,27,19,16,3,0,0,190,4,20,46,39,57,22,5,3,0,196,0,3,4,0,0,0,0,0,0,10,0,3,25,21,14,9,0,0,0,75,6,9,15,3,6,6,0,0,0,41,0,10,40,22,26,14,0,0,0,112,5,6,27,32,24,14,3,0,0,108,0,12,31,35,39,31,8,0,0,161,3,16,61,86,73,40,11,0,0,287,6,62,123,97,112,94,11,0,0,512,3,6,5,7,15,9,0,0,0,39,4,15,32,23,24,15,3,0,0,129
506051140,215,312,460,677,875,693,253,27,0,3516,0,0,0,6,4,0,0,0,0,13,4,4,11,22,20,0,0,0,0,59,6,3,10,19,22,21,5,0,0,91,0,0,6,7,6,0,0,0,0,27,0,3,14,32,49,25,8,0,0,133,3,8,12,15,25,15,3,0,0,77,62,61,30,63,79,48,23,0,0,372,82,25,21,14,20,19,4,0,0,186,7,16,21,24,39,29,3,0,0,136,0,7,6,3,6,3,0,0,0,28,0,8,14,23,23,9,0,0,0,79,5,3,8,8,18,11,3,3,0,54,0,13,38,51,47,24,14,3,0,186,3,3,3,14,23,14,8,0,0,71,0,4,27,59,63,50,11,0,0,216,13,32,65,106,171,129,33,0,0,549,13,41,77,127,169,154,44,3,0,625,12,8,5,14,15,12,5,0,0,74,16,18,14,29,35,26,3,0,0,135
506051141,176,236,335,525,702,484,168,32,0,2649,3,3,0,13,17,10,3,0,0,45,0,3,9,9,19,3,0,0,0,39,11,3,15,14,21,12,3,0,0,69,0,0,3,4,0,0,0,0,0,15,0,6,20,29,19,10,6,3,0,94,4,4,3,17,10,9,0,0,0,47,53,34,14,45,62,42,14,0,0,263,48,29,18,11,13,10,3,0,0,140,7,3,5,10,23,19,4,0,0,68,3,0,4,0,4,0,0,0,0,17,3,3,8,14,16,3,0,0,0,46,0,4,5,9,17,10,4,0,0,46,3,8,18,47,45,29,8,0,0,154,3,3,13,5,23,10,8,0,0,68,3,3,29,37,51,38,8,0,0,164,13,19,33,110,181,118,17,0,0,481,11,33,55,75,116,97,22,0,0,405,14,4,4,10,10,3,0,0,0,44,10,8,13,23,28,19,3,0,0,105
506061142,192,421,1363,926,665,407,84,0,3,4065,0,0,0,8,10,5,0,0,0,18,0,5,24,12,10,5,0,0,0,64,7,13,59,35,24,15,0,0,0,154,0,4,6,4,3,3,0,0,0,17,5,16,50,27,17,3,0,0,0,118,0,10,34,21,15,16,0,0,0,98,81,90,151,109,81,35,7,0,0,555,71,43,44,31,29,9,0,0,0,225,0,19,45,25,25,15,0,0,0,127,4,3,14,5,0,3,0,0,0,27,0,3,30,27,26,3,0,0,0,92,3,8,37,15,8,15,3,0,0,83,3,13,55,31,18,11,3,0,0,139,3,6,41,20,23,14,4,0,0,113,0,18,72,49,52,31,4,0,0,231,7,30,117,109,76,45,4,0,0,384,12,85,260,182,135,93,13,0,0,781,8,7,11,22,4,3,0,0,0,49,9,28,65,23,16,15,0,0,0,163
506061143,129,161,224,303,487,286,73,16,4,1669,7,5,0,19,14,10,7,0,0,64,0,3,8,10,3,3,0,0,0,29,3,6,9,21,22,13,0,0,0,69,0,0,0,4,5,0,0,0,0,13,7,8,10,20,21,9,0,0,0,79,0,7,4,8,9,5,0,0,0,29,36,26,17,29,41,18,5,0,0,172,24,18,3,4,8,3,0,0,0,61,0,3,9,10,16,8,0,0,0,45,0,0,0,3,0,3,0,0,0,10,0,0,9,5,8,7,0,0,0,32,0,5,3,9,10,11,0,0,0,40,0,3,13,22,21,13,0,0,0,76,3,3,6,7,24,16,5,0,0,67,0,6,17,27,34,16,3,0,0,108,0,14,22,41,59,27,6,0,0,174,14,27,28,38,57,53,7,0,0,223,4,7,4,4,7,3,0,0,0,34,14,13,10,15,21,9,3,0,0,82
506061144,44,66,127,165,281,177,58,6,3,926,3,3,10,6,13,11,13,6,0,62,0,0,0,9,8,0,0,0,0,18,3,0,0,4,18,7,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,12,4,0,0,37,0,3,0,4,3,0,0,0,0,16,16,7,10,8,31,11,6,0,0,92,6,5,3,10,12,5,0,0,0,41,0,0,8,4,8,5,0,0,0,30,0,0,0,0,3,0,0,0,0,6,0,7,3,3,0,0,0,0,0,16,0,0,0,0,3,3,0,0,0,10,0,0,11,11,20,10,3,0,0,49,0,0,3,4,9,6,0,0,0,22,0,0,6,10,24,15,3,0,0,71,3,6,6,33,40,22,5,0,0,121,0,5,22,25,43,26,6,0,0,129,3,3,9,5,5,0,3,0,0,30,3,9,3,0,9,7,0,0,0,32
506071145,96,373,1133,754,580,468,175,18,3,3598,5,0,3,3,6,3,3,0,0,24,0,5,39,33,21,3,0,0,0,117,0,6,17,24,8,17,0,0,0,76,0,0,6,4,7,3,0,0,0,20,0,6,41,19,18,11,4,0,0,97,0,0,12,9,8,7,0,0,0,47,52,87,61,32,37,38,10,0,0,316,56,77,74,25,23,19,4,0,0,279,0,6,25,16,25,17,0,0,0,88,3,0,10,7,15,0,0,0,0,36,0,15,33,30,29,16,4,0,0,134,3,12,24,18,19,17,7,0,0,101,0,36,131,72,52,41,10,0,0,346,4,6,30,18,23,10,5,0,0,102,0,8,86,54,58,50,11,0,0,264,9,48,116,118,115,113,17,0,0,536,5,96,266,127,110,130,26,3,0,767,5,16,28,14,6,10,3,0,0,79,5,20,39,12,27,17,8,0,0,126
506071146,146,303,549,455,500,448,141,12,3,2553,0,0,0,0,0,3,0,0,0,4,0,0,13,20,11,3,0,0,0,50,5,7,15,10,5,8,0,0,0,47,0,0,5,10,9,3,0,0,0,27,3,0,14,13,10,6,0,0,0,46,0,0,5,11,7,5,0,0,0,33,40,51,42,34,38,20,10,0,0,242,48,59,36,13,20,13,3,0,0,194,0,0,6,9,18,6,0,0,0,41,3,0,0,0,4,3,3,0,0,13,3,8,18,17,17,14,3,0,0,86,0,3,10,9,16,8,9,0,0,54,0,20,51,45,46,27,5,0,0,190,0,4,18,12,31,11,5,0,0,79,0,9,18,39,35,27,3,0,0,141,10,18,59,73,110,88,18,0,0,381,12,39,100,66,104,94,9,0,0,432,13,5,7,4,6,5,3,0,0,50,0,10,17,13,25,11,0,3,0,74
506071147,166,377,1083,925,876,688,293,32,4,4436,0,0,3,6,7,6,3,0,0,25,0,7,40,38,28,11,0,0,0,122,0,6,25,11,18,13,4,0,0,83,0,0,8,10,10,8,0,0,0,34,0,3,22,22,20,18,6,0,0,96,0,5,21,3,18,4,3,0,0,58,52,69,68,43,40,26,15,0,0,312,53,108,85,36,27,12,3,0,0,329,0,4,16,12,15,8,3,0,0,66,0,5,3,3,5,7,0,0,0,32,3,7,47,41,40,29,5,0,0,167,0,9,13,24,22,31,11,0,0,108,4,25,111,84,75,60,19,0,0,372,3,15,36,18,20,20,13,0,0,122,0,9,42,57,72,53,8,0,0,247,7,35,115,133,187,140,39,0,0,654,17,77,204,147,167,140,39,3,0,794,8,14,21,16,16,15,3,0,0,85,0,16,27,25,19,19,7,0,0,115
507011148,262,350,1066,1398,951,378,89,8,0,4500,0,0,8,9,6,5,0,0,0,30,0,0,28,30,13,0,0,0,0,68,10,11,29,58,45,22,0,0,0,173,0,0,7,8,6,3,0,0,0,29,3,7,46,51,33,12,4,0,0,159,6,7,24,30,13,13,0,0,0,93,97,93,108,95,97,38,12,0,0,537,104,46,55,37,16,16,0,0,0,273,4,14,17,27,25,13,0,0,0,99,0,0,8,9,4,0,0,0,0,23,0,7,46,46,20,7,0,0,0,135,3,11,15,23,16,9,0,0,0,81,7,20,85,64,47,11,3,0,0,243,3,11,35,47,30,13,0,0,0,140,0,17,69,90,77,26,6,0,0,292,13,32,114,228,160,51,11,0,0,606,8,70,259,271,187,113,16,0,0,925,13,12,15,15,5,9,0,0,0,63,8,21,53,48,33,10,6,0,0,175
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,124,204,384,496,543,379,103,13,3,2247,0,0,0,3,0,7,0,0,0,16,0,0,16,4,0,4,0,0,0,28,7,6,15,23,20,8,0,0,0,89,0,0,8,3,3,0,0,0,0,16,4,5,19,19,31,12,0,0,0,90,0,5,7,12,19,6,6,0,0,52,48,41,36,45,62,34,7,0,0,281,43,16,20,5,9,6,3,0,0,108,0,0,11,12,16,9,3,0,0,54,0,3,3,3,0,0,0,0,0,9,0,0,18,15,23,9,0,0,0,58,4,4,16,12,17,7,3,0,0,67,0,8,31,24,26,15,3,0,0,105,0,3,10,21,16,17,0,0,0,77,3,3,23,33,33,27,4,0,0,130,4,21,41,81,102,64,11,0,0,322,9,41,81,82,116,74,10,0,0,412,6,7,5,4,4,4,0,0,0,30,3,20,18,23,27,6,0,0,0,101
507011153,87,160,428,482,408,276,73,9,0,1917,0,0,0,3,3,0,0,0,0,9,0,0,13,4,5,0,0,0,0,20,3,4,10,14,22,0,0,0,0,63,0,0,3,3,6,0,0,0,0,11,0,5,19,15,7,3,0,0,0,53,3,3,11,11,6,4,0,0,0,38,37,36,47,36,49,20,3,0,0,227,24,22,28,10,15,7,3,0,0,100,0,6,6,5,12,10,3,0,0,47,0,0,5,0,3,0,0,0,0,12,0,3,13,13,16,4,0,0,0,48,0,3,3,6,7,5,3,0,0,29,3,9,26,27,27,10,5,0,0,104,0,3,20,8,14,10,11,0,0,65,0,3,30,40,30,31,4,0,0,139,10,9,52,69,78,51,11,0,0,274,10,30,90,82,94,85,15,0,0,409,0,0,0,6,3,3,0,0,0,20,3,10,14,15,12,3,0,0,0,62
507011154,83,172,594,533,490,304,83,7,0,2269,0,0,3,3,0,0,3,0,0,12,0,0,11,10,3,0,0,0,0,31,3,6,18,16,22,13,3,0,0,85,0,0,7,6,0,3,0,0,0,14,0,9,9,13,9,6,0,0,0,49,0,3,3,3,8,3,0,0,0,32,30,29,46,43,47,37,7,0,0,250,39,48,54,24,18,12,3,0,0,194,0,3,13,10,13,4,4,0,0,39,0,0,6,4,0,0,0,0,0,16,0,0,19,10,7,3,0,0,0,38,3,4,9,3,3,6,0,0,0,33,0,9,35,25,10,7,4,0,0,100,0,5,19,7,19,11,0,0,0,62,0,3,28,31,35,23,4,0,0,132,0,13,50,90,100,70,14,0,0,337,8,27,132,136,118,97,22,0,0,526,6,8,13,14,14,3,0,0,0,44,0,13,24,20,19,11,4,3,0,89
507011155,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
