SA2_MAINCODE_2016,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
507041178,1251,901,488,244,7985
507041179,673,587,321,226,4163
507041180,1230,569,164,52,5447
507041181,1256,801,571,308,8425
507041182,1156,793,576,350,7195
507041183,239,168,125,63,2259
507041184,670,404,118,38,3119
507051185,1287,748,291,54,14028
507051186,552,375,212,84,3447
507051187,681,325,200,121,5471
507051188,1185,890,598,211,8104
507051189,0,0,0,0,5
507051190,911,689,450,202,5310
507051191,735,361,160,21,8046
507051192,793,425,214,80,5155
507051193,657,354,181,39,4393
509011225,1233,923,571,339,6984
509011226,397,248,58,16,1609
509011227,363,225,109,27,2043
509011228,660,568,228,58,3044
509011229,218,110,48,15,1190
509011230,289,162,108,40,1817
509011231,283,179,96,37,1666
509011232,408,224,81,17,1949
509011233,625,438,174,43,4182
509011234,479,340,150,44,2302
509011235,0,0,0,0,0
509021236,442,290,126,18,2355
509021237,282,184,109,45,1590
509021238,291,193,68,34,1511
509021239,776,670,247,46,3818
509021240,318,200,106,41,1896
509021241,300,190,77,24,1845
509021242,294,118,64,25,1787
509021243,869,583,264,98,4943
509021244,509,438,138,18,2106
509021245,514,461,223,53,2396
509031246,273,186,92,49,1400
509031247,287,171,65,16,1761
509031248,219,132,47,4,1448
509031249,377,221,122,47,2106
509031250,388,253,99,39,1893
510011262,1854,1418,368,48,10400
510011263,802,485,78,22,4291
510011264,255,172,31,7,1713
510011265,1053,706,133,7,5404
510011266,399,384,62,3,1707
510021267,1039,307,40,3,8904
510021268,363,70,6,0,3342
510021269,460,176,30,4,3570
510021270,606,190,45,13,5262
510031271,2268,456,80,0,17580
510031272,1006,327,67,4,9256
510031273,516,234,42,3,4277
511011274,850,593,276,116,5305
511011275,348,213,65,13,1838
511021276,559,580,205,50,2987
511021277,1143,1132,269,45,5124
511031278,454,246,61,14,2921
511031279,893,367,121,38,6561
511031280,486,171,54,12,3945
511031281,0,0,0,0,5
511031282,501,309,68,8,3037
511031283,616,180,26,10,4702
511031284,0,0,0,0,0
511041285,952,618,407,159,5497
511041286,436,251,89,13,3153
511041287,424,302,116,26,3199
511041288,674,335,130,28,4362
511041289,317,296,132,27,1634
511041290,524,278,54,10,3480
511041291,400,249,89,21,2067
511041292,743,683,254,51,3320
597979799,459,140,42,8,3021
