SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
507041176,357,715,5,41,69,320,5,20,229,891,316,1279,37,157,65,234,110,335,213,730,530,2006,3,19,14,44,3,4,33,87,54,149,8,23,18,45,54,111,79,173,133,321,11,22,1026,3065
507041177,1429,2785,15,63,141,637,24,91,946,3503,1126,4298,83,337,146,486,218,668,448,1488,1574,5785,4,20,36,119,11,25,214,529,262,694,28,94,73,170,200,400,303,657,560,1356,65,135,3636,10064
507041178,1500,2955,10,75,215,980,12,56,935,3619,1179,4733,129,528,270,933,323,978,726,2440,1902,7176,4,13,28,97,10,41,148,359,193,510,22,60,80,181,180,389,278,631,474,1137,86,182,3958,11446
507041179,781,1551,4,36,124,543,18,69,481,1895,626,2545,88,338,145,505,209,646,439,1485,1068,4030,0,0,17,59,7,10,83,219,103,288,17,48,25,70,90,197,131,319,243,616,36,85,2126,6277
507041180,1170,2322,23,136,159,686,26,117,699,2712,912,3642,148,613,202,702,376,1178,729,2487,1636,6135,0,10,20,46,11,40,79,221,112,321,25,72,52,114,136,294,212,487,320,799,44,95,3172,9349
507041181,1560,3062,26,141,254,1138,31,131,1196,4607,1503,6012,129,518,239,813,328,996,693,2337,2197,8342,0,7,55,165,10,40,171,427,235,636,29,87,91,207,200,428,322,715,557,1354,53,118,4359,12871
507041182,1331,2626,20,98,142,630,21,75,536,2038,713,2838,116,489,173,599,374,1177,664,2265,1378,5103,3,13,24,86,8,14,105,284,137,398,28,97,41,91,187,394,257,577,392,977,88,194,3193,8899
507041183,405,799,12,69,40,171,16,70,341,1279,408,1589,13,64,22,75,45,140,80,275,492,1867,3,9,24,92,11,51,109,305,153,462,20,59,30,62,101,224,149,341,301,800,32,65,1227,3532
507041184,598,1185,11,50,118,538,14,49,333,1304,467,1944,98,394,128,450,239,736,458,1573,924,3521,0,14,13,58,3,15,51,137,73,223,20,61,17,44,60,122,98,227,174,455,35,82,1733,5242
507051185,2876,5547,82,441,448,2023,163,716,3173,12046,3855,15226,166,674,260,845,469,1408,894,2926,4751,18157,18,97,92,330,42,163,572,1556,722,2142,40,137,67,151,229,497,340,789,1067,2928,78,152,8769,26788
507051186,897,1775,22,121,65,309,37,190,406,1586,530,2212,33,132,56,186,216,669,309,979,841,3192,9,41,29,104,26,106,213,593,277,834,16,59,38,79,191,398,244,540,527,1373,51,98,2315,6440
507051187,1063,2045,42,211,206,961,83,376,948,3692,1279,5236,108,440,142,444,362,1101,611,1989,1886,7220,8,42,72,250,28,127,324,932,431,1355,30,94,42,92,168,367,234,555,670,1904,46,100,3667,11271
507051188,1857,3634,10,36,85,391,53,239,641,2383,786,3055,49,197,116,387,279,847,447,1425,1234,4477,10,41,43,138,17,68,302,750,367,996,28,95,55,114,267,531,351,739,716,1732,57,119,3868,9965
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507051190,1485,2894,15,89,101,450,47,213,622,2346,781,3092,64,255,99,319,240,717,401,1300,1184,4389,0,0,44,143,11,46,199,535,253,725,23,69,40,81,158,340,222,496,478,1224,37,77,3183,8572
507051191,1354,2613,56,304,374,1652,110,467,1765,6788,2303,9218,151,613,249,811,419,1281,814,2702,3115,11925,13,43,63,224,34,119,365,1056,480,1441,35,103,74,163,146,324,258,599,732,2042,47,94,5250,16668
507051192,1184,2313,33,169,159,719,58,255,821,3177,1065,4324,82,343,108,342,311,935,501,1625,1570,5944,14,72,40,150,30,102,269,738,355,1064,24,77,46,102,188,424,261,602,617,1666,32,75,3401,10003
507051193,1049,2063,26,139,109,517,51,241,647,2461,833,3361,69,278,82,270,264,828,413,1378,1247,4739,7,39,30,115,21,98,246,662,311,913,25,90,48,103,178,390,250,576,558,1488,42,79,2899,8369
509011225,1699,3336,18,119,145,666,45,206,663,2578,869,3570,46,189,80,252,197,635,330,1076,1194,4640,12,44,45,152,35,126,225,613,312,932,21,54,47,99,205,432,272,584,585,1517,58,120,3536,9621
509011226,475,949,5,33,49,228,10,55,189,731,252,1049,9,45,25,93,73,218,110,355,363,1402,3,11,3,18,4,18,29,77,46,118,6,20,3,8,36,83,46,118,95,239,5,13,941,2596
509011227,587,1150,5,34,63,275,21,93,314,1223,402,1630,15,68,33,116,95,292,151,472,550,2104,3,10,17,73,8,30,85,259,118,375,3,10,25,45,70,138,93,194,210,569,13,30,1367,3862
509011228,792,1541,6,29,57,249,15,46,326,1242,396,1567,14,39,43,141,92,241,148,421,545,1994,3,4,23,85,3,10,88,221,117,329,5,25,33,72,44,95,88,189,206,512,8,23,1552,4070
509011229,326,644,6,27,19,80,6,18,213,841,245,969,7,15,5,17,53,147,65,178,308,1149,0,4,7,9,0,12,38,97,39,123,0,0,6,9,24,52,28,65,73,186,10,20,721,1988
509011230,481,955,7,43,43,186,17,77,234,953,301,1266,14,65,15,51,89,287,124,405,425,1671,4,19,10,43,6,35,70,222,99,315,4,18,4,13,46,90,63,126,159,440,24,47,1088,3112
509011231,524,1033,3,22,34,132,19,74,282,1140,332,1368,14,46,16,34,66,211,96,287,433,1653,0,0,3,22,6,19,65,195,75,240,0,0,4,8,42,76,48,86,119,324,14,25,1088,3034
509011232,469,902,13,54,30,128,19,93,204,781,259,1052,10,50,35,111,72,216,112,372,373,1421,0,3,3,9,3,10,34,90,42,118,3,8,11,24,32,71,49,102,86,216,8,9,930,2556
509011233,1085,2153,42,262,117,550,47,224,668,2690,876,3723,43,168,59,188,211,659,308,1013,1185,4737,8,38,32,122,20,77,198,527,257,763,17,54,28,65,148,330,193,451,453,1211,37,79,2764,8183
509011234,672,1309,8,62,48,216,19,81,257,1020,335,1381,16,75,33,98,93,285,145,454,477,1830,0,9,7,34,9,35,85,233,105,309,7,22,20,44,58,115,81,174,187,483,17,41,1352,3663
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,708,1381,13,85,86,390,37,148,323,1280,463,1899,46,171,52,182,136,398,234,754,696,2648,3,9,7,30,4,22,51,132,70,195,3,13,10,14,33,68,44,94,113,292,3,9,1521,4332
509021237,481,952,6,27,38,148,12,59,229,904,283,1145,13,42,13,41,71,204,96,285,381,1429,3,6,11,38,6,21,68,188,86,256,4,14,3,7,49,115,56,125,141,384,18,37,1019,2804
509021238,506,992,0,7,28,96,14,49,283,1115,323,1269,7,25,17,45,65,182,89,257,412,1531,3,13,6,29,9,23,59,167,74,232,7,8,14,17,30,63,49,99,126,326,11,23,1045,2863
509021239,1224,2385,9,51,67,296,35,133,440,1693,547,2166,20,92,55,152,144,409,217,658,768,2824,8,21,19,57,7,30,110,293,146,397,4,10,13,31,73,143,90,187,236,584,17,40,2245,5835
509021240,630,1238,11,62,32,166,18,75,309,1234,368,1533,19,72,23,68,75,229,117,369,492,1903,0,15,13,44,14,49,74,205,97,305,0,3,11,21,46,100,61,126,162,429,17,32,1294,3604
509021241,522,1019,7,48,39,159,21,89,325,1300,392,1591,20,82,30,85,88,277,145,451,533,2039,0,5,8,24,3,18,63,174,68,218,0,3,5,17,52,107,59,127,129,341,19,31,1203,3436
509021242,390,769,0,3,25,76,9,49,190,738,228,873,3,14,18,35,44,131,64,181,294,1054,0,5,3,10,0,6,42,118,48,137,0,3,4,14,35,70,38,85,89,218,5,15,774,2047
509021243,1194,2350,29,157,105,511,42,197,546,2163,727,3029,31,132,51,162,201,629,283,918,1010,3943,6,24,39,144,23,97,204,606,276,874,14,51,25,49,170,374,218,477,491,1351,26,56,2718,7696
509021244,729,1401,12,54,36,147,21,111,187,722,258,1044,14,60,36,95,91,273,137,423,392,1461,0,3,7,30,3,15,61,165,71,209,5,11,14,33,57,104,74,142,146,355,6,17,1277,3236
509021245,777,1504,9,36,43,177,22,85,257,995,322,1297,6,39,20,58,93,261,115,354,445,1655,4,11,18,71,5,18,80,216,103,320,3,7,16,39,53,109,76,157,179,477,15,25,1409,3664
509031246,520,1007,3,11,24,90,7,42,214,817,249,962,14,31,20,57,47,144,79,229,328,1200,0,0,6,12,11,44,57,186,69,236,0,0,8,17,35,79,48,97,117,339,11,17,977,2564
509031247,545,1065,3,20,24,77,12,36,336,1291,368,1429,9,23,22,45,57,170,88,235,454,1665,0,13,6,12,3,13,44,106,48,145,0,3,4,4,33,64,35,71,87,215,10,12,1101,2964
509031248,284,555,3,32,16,63,9,33,182,722,208,842,8,22,14,36,50,146,69,209,285,1056,0,0,5,16,3,6,45,113,48,139,3,12,6,14,36,73,45,99,94,235,4,5,667,1848
509031249,448,883,9,34,40,183,16,76,257,1028,316,1327,20,84,28,73,85,252,127,408,443,1732,0,9,12,35,3,26,112,320,131,390,3,9,21,39,67,136,84,189,217,576,19,38,1128,3228
509031250,697,1368,7,22,45,169,12,50,287,1182,347,1424,13,55,25,67,65,197,105,317,453,1742,0,0,15,45,3,21,56,161,75,228,4,8,8,21,43,92,58,119,131,349,22,37,1302,3499
510011262,1212,2327,17,101,113,523,49,200,952,3674,1129,4499,30,113,63,180,149,462,238,759,1372,5258,5,23,48,162,34,120,315,889,400,1201,5,19,38,69,142,305,179,385,577,1583,54,114,3210,9289
510011263,480,974,15,86,45,243,60,313,455,1963,571,2602,10,37,4,24,62,215,79,273,653,2873,7,44,24,110,40,184,235,738,308,1078,3,12,15,33,105,264,125,311,432,1389,97,254,1658,5487
510011264,143,296,5,44,10,45,23,149,140,592,179,833,3,17,3,10,27,91,32,116,209,950,0,15,9,53,37,213,100,306,154,593,0,0,5,7,38,109,37,117,187,706,24,70,566,2015
510011265,601,1163,6,46,39,170,28,155,430,1685,511,2053,14,46,20,63,71,221,103,332,613,2383,10,49,17,77,29,155,185,601,247,874,5,14,3,13,69,177,81,199,327,1077,38,77,1574,4707
510011266,128,261,5,56,19,88,17,107,136,586,176,837,3,14,3,8,15,76,21,97,203,933,4,21,7,26,10,61,90,276,113,382,0,0,3,5,33,67,33,78,142,464,23,54,494,1711
510021267,125,277,8,63,6,39,22,123,103,510,139,739,3,7,3,9,25,94,29,112,171,846,3,7,3,20,20,100,59,203,83,325,3,14,0,3,20,58,23,76,110,399,14,37,419,1559
510021268,313,618,5,29,44,203,14,59,423,1699,482,1985,9,44,27,73,41,118,71,233,555,2220,0,3,0,11,0,3,40,100,39,122,0,4,10,14,21,48,32,67,72,190,5,13,950,3033
510021269,437,852,5,32,29,133,12,80,347,1347,396,1589,5,23,16,51,39,108,58,184,453,1778,0,6,4,10,0,4,38,100,43,121,0,9,3,9,20,45,29,60,69,181,4,12,969,2818
510021270,718,1400,21,100,71,330,43,197,763,2939,896,3575,27,116,46,138,104,343,179,597,1071,4168,0,12,22,77,16,53,156,454,200,591,5,14,12,28,78,173,93,216,296,810,45,99,2117,6476
510031271,466,913,9,41,52,248,15,79,634,2515,714,2886,14,59,20,56,41,119,75,238,788,3122,0,0,10,22,8,27,67,205,83,252,3,7,7,17,35,86,48,105,136,359,17,47,1404,4437
510031272,1249,2454,21,132,166,771,52,252,1477,5805,1723,6954,48,196,103,314,175,541,326,1044,2048,7995,6,36,21,86,21,76,218,625,269,822,10,22,26,53,92,205,132,277,402,1104,48,106,3747,11659
510031273,330,641,11,76,50,259,22,83,409,1607,496,2027,13,52,29,95,66,207,106,350,598,2374,3,16,11,47,16,54,62,178,88,293,0,5,3,13,33,84,40,96,134,395,20,50,1080,3463
511011274,1276,2483,28,152,143,651,35,164,672,2631,878,3596,58,221,87,271,217,639,360,1129,1241,4719,6,17,32,120,24,76,203,573,267,793,10,39,38,79,140,287,182,404,452,1194,41,86,3004,8479
511011275,409,786,3,17,30,138,14,66,262,1061,309,1282,11,31,19,41,47,138,77,213,388,1495,0,4,0,4,3,14,28,76,32,96,0,0,3,8,33,68,39,79,69,170,6,12,871,2466
511021276,475,939,14,68,30,137,20,85,313,1195,369,1483,4,25,17,45,88,269,114,340,483,1818,3,16,16,55,16,66,114,343,147,478,0,4,14,32,49,102,64,141,217,621,29,54,1203,3437
511021277,459,874,3,18,28,146,11,40,278,1064,319,1264,9,40,13,50,39,121,66,204,387,1468,0,0,5,21,3,14,58,174,67,213,3,5,8,25,23,55,40,86,111,298,10,22,961,2658
511031278,543,1076,14,81,41,189,45,221,469,1811,571,2301,24,98,27,78,118,364,160,535,733,2834,0,13,16,52,19,73,154,450,191,589,9,36,20,40,106,219,129,294,318,884,26,57,1626,4852
511031279,1195,2316,27,167,162,737,92,413,1005,3920,1287,5243,56,225,84,254,218,696,360,1171,1639,6413,7,30,28,104,15,71,206,598,261,808,12,38,24,52,126,278,165,372,433,1177,65,135,3330,10048
511031280,773,1507,22,116,97,444,35,168,823,3184,982,3912,48,183,56,187,143,429,247,803,1225,4716,4,21,10,38,7,39,127,353,157,454,9,27,17,37,64,149,94,211,247,665,20,39,2271,6933
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,377,730,11,53,38,174,19,97,264,1029,331,1348,13,53,26,69,55,171,94,295,423,1640,0,0,6,21,7,33,106,316,124,372,3,5,4,14,49,106,57,123,184,491,13,21,995,2887
511031283,245,500,5,31,16,78,37,196,231,938,288,1237,3,16,9,20,31,118,39,149,328,1388,3,12,8,26,21,108,95,282,126,430,0,0,3,12,57,149,58,162,187,589,30,78,786,2557
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,1267,2463,14,81,75,360,36,166,490,1888,616,2491,35,135,76,238,164,488,270,861,892,3355,8,24,52,182,32,115,253,703,339,1028,7,23,52,112,204,437,268,572,606,1599,54,112,2809,7527
511041286,660,1295,26,144,93,414,36,147,438,1732,587,2436,39,154,51,151,189,574,280,883,871,3322,13,84,34,125,27,105,192,570,263,890,18,65,22,50,123,272,168,388,431,1273,40,89,2005,5981
511041287,906,1731,11,64,93,422,27,108,582,2203,711,2799,42,172,60,193,147,432,256,797,961,3590,8,19,23,112,13,45,140,422,186,594,6,22,23,40,70,141,100,212,285,805,29,59,2184,6190
511041288,1073,2087,21,133,133,594,39,188,713,2790,905,3707,38,160,84,243,191,590,316,992,1221,4701,9,49,30,101,19,60,188,528,239,739,11,43,40,80,110,217,160,346,404,1085,36,71,2730,7941
511041289,531,1026,8,44,43,204,9,32,188,710,245,989,11,42,15,49,63,188,94,279,340,1268,0,5,5,29,0,8,58,161,75,203,5,13,8,12,26,55,38,82,107,283,9,24,997,2601
511041290,187,364,3,48,13,55,16,75,67,279,94,451,0,0,0,4,19,59,17,61,117,514,0,12,3,17,13,52,52,174,72,250,0,0,0,3,22,54,20,53,95,310,11,34,411,1224
511041291,515,990,10,38,26,97,12,46,229,939,275,1122,9,31,22,53,46,133,70,224,343,1344,5,22,4,22,4,20,51,136,63,195,5,11,8,12,40,75,45,99,114,294,11,24,982,2654
511041292,790,1536,4,28,62,237,20,88,329,1316,415,1670,18,73,33,102,104,313,161,490,575,2165,0,5,7,29,12,44,68,199,90,280,4,9,12,24,70,140,81,167,176,445,18,35,1558,4182
597979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
