SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
505031257,318,620,7,38,23,118,17,86,197,754,254,998,8,34,21,70,67,220,105,329,356,1325,0,3,5,28,9,27,51,155,72,217,0,10,11,29,28,60,42,99,111,307,3,6,788,2261
505031258,849,1656,20,116,92,410,44,213,731,2749,891,3491,40,151,54,173,140,418,231,749,1125,4237,4,24,31,114,12,44,189,519,238,707,8,27,34,75,102,214,142,316,378,1020,18,35,2369,6951
506011110,1555,3103,33,202,121,588,71,329,1167,4581,1393,5697,49,221,76,239,325,1020,451,1488,1846,7188,17,88,76,286,58,196,649,1793,794,2363,43,146,91,196,413,882,550,1226,1345,3589,104,225,4852,14101
506011111,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
506011112,471,926,19,114,52,233,28,131,349,1354,449,1839,24,99,44,134,148,444,214,670,656,2512,8,35,21,65,10,36,117,328,156,469,18,60,25,59,111,218,157,344,313,807,25,58,1464,4302
506011113,1702,3338,24,132,247,1120,42,188,2310,8620,2629,10056,96,388,185,649,291,903,574,1939,3202,11999,6,35,23,76,12,46,272,724,319,886,21,70,44,95,156,338,220,501,537,1387,91,190,5528,16908
506011114,1031,2039,26,136,76,394,43,200,594,2280,739,3010,66,266,84,274,232,718,379,1253,1120,4260,5,25,43,132,16,47,234,622,299,829,26,90,63,142,201,410,291,635,590,1470,46,100,2782,7873
506011115,1055,2075,25,154,100,482,39,174,436,1722,603,2531,76,327,78,255,239,742,389,1329,993,3854,0,3,20,77,8,24,81,195,108,302,10,32,18,51,83,176,118,260,224,563,18,44,2286,6533
506011116,865,1676,20,110,96,425,23,114,465,1815,599,2463,57,243,91,305,230,733,383,1275,986,3733,0,5,8,38,7,38,84,215,105,298,13,30,19,45,72,149,107,226,207,517,13,35,2074,5961
506011117,701,1394,34,215,128,622,56,247,903,3515,1114,4604,49,227,96,323,191,602,341,1150,1453,5751,8,47,31,107,24,90,214,592,271,837,27,98,42,88,141,306,210,491,479,1331,53,123,2688,8601
506021118,1417,2804,18,106,95,464,49,203,804,3016,970,3793,47,216,102,340,236,738,385,1290,1353,5080,7,26,29,114,18,65,206,568,261,774,14,46,55,122,228,502,298,673,563,1439,107,223,3439,9553
506021119,1795,3511,18,86,110,470,23,90,1061,3890,1208,4540,39,155,121,399,142,429,303,985,1508,5528,3,32,37,130,11,44,207,518,253,718,27,86,64,137,209,448,299,669,559,1388,160,344,4025,10771
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021122,2533,4997,37,222,162,794,57,264,1506,5665,1764,6941,90,360,134,441,325,1055,546,1857,2309,8798,9,38,59,209,24,101,354,935,449,1283,38,127,83,186,425,897,547,1213,993,2497,203,420,6038,16714
506021123,1797,3511,8,34,69,326,22,77,897,3182,999,3627,46,178,106,342,175,542,323,1061,1320,4686,0,3,15,52,9,22,134,330,158,401,17,53,65,141,143,300,229,496,387,898,148,300,3655,9396
506031124,1680,3379,17,114,111,528,28,121,916,3433,1072,4202,65,270,116,400,202,635,384,1311,1459,5507,7,39,30,113,8,44,195,507,246,694,20,54,67,147,196,401,280,603,522,1300,237,504,3898,10694
506031125,862,1718,32,172,193,907,29,132,667,2637,927,3850,143,578,204,716,341,1103,685,2392,1613,6241,3,17,22,62,8,19,99,282,129,386,22,62,47,123,114,261,179,445,310,826,41,88,2822,8870
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,1572,3180,28,171,166,791,40,168,1384,5223,1616,6349,66,280,133,455,254,806,444,1534,2061,7888,10,64,33,113,20,57,213,573,270,810,35,111,71,166,228,492,331,762,605,1574,180,380,4416,13021
506031128,1446,2861,21,124,130,592,37,150,877,3296,1062,4163,84,372,144,482,370,1170,601,2029,1664,6195,3,16,33,136,11,46,194,539,245,732,19,66,71,146,269,552,354,765,605,1495,83,194,3797,10743
506031129,1219,2407,28,150,288,1277,30,143,863,3401,1207,4965,133,538,315,1083,280,876,730,2495,1936,7462,8,20,46,148,10,31,139,340,194,539,29,89,78,187,161,339,271,607,461,1146,67,149,3680,11162
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031131,1449,2874,28,151,434,1945,45,219,1349,5288,1865,7595,218,891,369,1271,479,1508,1067,3678,2931,11272,9,29,85,291,9,32,180,502,284,851,42,128,105,252,183,398,323,783,610,1638,73,154,5053,15935
506041132,1621,3282,56,362,217,1087,67,338,1256,4820,1602,6602,99,417,148,499,403,1327,656,2241,2255,8847,16,84,59,206,33,144,303,866,410,1301,36,114,90,205,350,784,479,1098,891,2400,148,323,4912,14849
506041133,1677,3360,60,341,426,1936,83,357,1945,7465,2517,10105,219,918,348,1208,496,1578,1064,3702,3580,13808,6,35,78,273,24,81,237,637,346,1022,44,142,83,195,180,399,307,739,650,1765,113,256,6027,19184
506041134,1724,3440,62,369,182,896,67,319,1225,4786,1541,6374,84,366,107,364,382,1227,579,1961,2119,8337,15,56,59,222,37,145,489,1401,597,1825,44,149,90,190,363,780,503,1124,1102,2952,103,222,5053,14950
506041135,1487,2943,57,323,284,1378,78,374,1749,6743,2177,8825,170,717,200,680,433,1372,804,2772,2979,11594,24,103,63,240,30,115,279,799,396,1257,30,106,54,131,187,410,272,651,675,1908,78,168,5214,16605
