SA2_MAINCODE_2016,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2_sty_Dw,sd_rw_tce_hs_th_wth_2_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_stry_blck_D,Flt_apart_In_4_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
506021121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
506021122,6372,16529,1633,3679,750,1744,2383,5423,427,695,556,927,774,1329,0,3,1763,2952,3,3,0,0,8,11,6,12,16,22,22,58,10554,24976,1331,..,11889,24976
506021123,2725,6764,787,1696,1103,2405,1891,4102,275,475,321,590,1130,2070,0,0,1722,3135,0,0,0,0,4,7,3,7,7,16,16,41,6365,14055,1128,..,7490,14055
506031124,4736,12525,1793,4154,395,1024,2182,5173,349,555,98,158,233,292,0,0,680,1008,0,0,0,4,5,4,3,5,10,16,37,93,7645,18814,1170,..,8815,18814
506031125,2996,9523,104,281,40,125,147,405,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3143,9933,213,..,3363,9933
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
506031127,4311,12700,1694,4329,177,444,1870,4770,159,387,24,58,28,44,0,3,211,491,0,0,3,11,0,5,8,14,14,30,25,78,6425,18070,920,..,7350,18070
506031128,4592,11991,640,1232,19,25,657,1257,130,269,0,0,0,0,0,0,130,269,0,8,0,0,0,3,0,0,3,13,7,21,5382,13543,517,..,5903,13543
506031129,3938,11404,793,1659,27,78,819,1743,44,107,0,0,0,0,0,3,44,105,0,0,0,0,0,0,0,3,0,3,3,8,4804,13265,516,..,5318,13265
506031130,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,..,4,10
506031131,5391,16634,292,723,5,22,300,750,294,736,0,0,0,0,0,4,299,742,3,3,0,0,0,0,3,11,4,11,4,13,5999,18148,387,..,6388,18148
506041132,5898,16912,592,1341,156,365,745,1703,56,115,24,51,0,0,0,0,84,168,0,0,0,0,9,10,12,30,12,42,11,25,6752,18842,698,..,7453,18842
506041133,6057,19865,701,1857,54,142,754,2000,69,128,0,0,0,0,0,0,69,128,0,0,0,0,0,3,3,10,3,10,6,15,6894,22014,487,..,7384,22014
506041134,6313,16900,1239,2477,34,75,1276,2557,132,303,0,0,0,0,0,0,132,303,3,3,0,8,0,0,3,6,9,22,18,45,7754,19835,805,..,8553,19835
506041135,5899,18371,189,404,23,57,207,459,4,10,0,0,0,0,0,0,4,10,0,0,0,5,0,0,3,6,3,12,4,10,6128,18862,459,..,6586,18862
506041136,4028,11625,553,1017,27,57,578,1077,96,238,34,49,0,0,0,0,132,284,130,182,0,0,3,9,59,171,199,356,36,65,4969,13417,449,..,5419,13417
506041137,7548,21541,647,1253,29,40,668,1295,29,46,53,118,0,0,0,0,77,168,0,3,0,0,0,0,3,10,3,14,8,13,8312,23027,682,..,8994,23027
506051138,6135,17248,516,854,9,26,522,876,0,0,0,0,0,0,0,0,0,0,114,184,9,14,3,3,5,9,133,216,17,50,6809,18395,561,..,7367,18395
506051139,4475,11679,132,257,5,6,139,264,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,4,11,6,18,4629,11966,329,..,4955,11966
506051140,5386,13971,276,407,38,56,313,469,3,6,0,0,0,0,0,0,3,15,0,3,0,0,3,4,4,11,11,12,8,18,5723,14481,488,..,6214,14481
506051141,3729,10404,106,173,3,3,110,171,43,48,0,0,0,0,0,0,43,48,0,3,0,0,9,19,25,91,39,108,22,48,3935,10781,286,..,4218,10781
506061142,5228,15565,78,156,0,3,83,157,15,16,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,3,4,6,5,23,5332,15768,495,..,5828,15768
506061143,2038,6197,3,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,19,0,0,9,28,9,30,2061,6264,151,..,2209,6264
506061144,1448,3920,6,10,0,0,6,10,0,3,0,0,0,0,0,0,0,3,7,6,0,0,3,3,3,8,13,19,11,18,1475,3975,129,..,1607,3975
506071145,2229,5570,1782,3212,1546,3162,3337,6373,597,1070,254,417,69,120,0,0,920,1605,12,19,0,0,4,3,3,9,18,28,34,51,6528,13631,892,..,7419,13631
506071146,3133,8799,473,964,141,409,608,1370,33,41,0,11,75,98,0,0,111,149,0,0,0,0,0,0,0,3,3,3,16,52,3875,10380,408,..,4281,10380
506071147,3171,8806,470,891,1962,3751,2432,4640,326,545,446,760,798,1357,0,0,1573,2662,0,0,0,6,0,0,0,5,4,7,18,36,7200,16149,1301,..,8495,16149
507011148,5114,16180,367,914,67,168,434,1088,4,5,0,0,0,0,0,0,4,5,0,13,0,7,0,3,3,8,5,25,11,14,5563,17309,472,..,6040,17309
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
507011152,2845,7913,170,355,28,85,202,433,0,4,0,0,0,0,0,0,0,4,78,124,85,127,0,3,0,0,165,256,13,26,3227,8632,325,..,3551,8632
507011153,2692,6910,261,434,103,159,372,592,62,96,224,390,0,0,0,0,284,484,0,0,0,0,0,0,0,0,0,0,8,4,3348,7991,294,..,3641,7991
507011154,3142,7625,865,1615,177,356,1039,1976,104,173,127,184,38,54,0,0,266,409,0,0,0,0,0,3,0,0,0,3,20,40,4471,10056,590,..,5057,10056
507011155,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,10,6,0,3,0,0,0,0,10,6,0,0,14,12,0,..,14,12
507011158,276,863,7,20,266,697,276,720,8,22,19,38,358,629,0,0,388,689,0,0,30,51,4,3,0,0,38,56,15,15,995,2339,157,..,1154,2339
507011159,3628,9730,477,766,5,27,484,789,3,3,123,215,312,554,0,4,438,776,0,0,0,0,3,6,0,3,3,11,4,10,4561,11315,530,..,5090,11315
507011160,2920,7516,879,1778,51,92,931,1871,43,71,104,195,0,0,0,0,152,270,0,0,0,0,0,0,0,0,0,0,63,78,4065,9736,542,..,4606,9736
507011161,3951,12227,620,1424,165,378,783,1805,83,130,147,268,168,253,0,0,400,658,0,0,0,0,0,0,0,0,0,0,5,12,5145,14706,435,..,5581,14706
507011163,2407,6788,249,448,52,102,306,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2713,7348,218,..,2937,7348
507011259,2630,7715,126,255,30,55,163,309,53,70,19,25,0,0,0,0,67,97,0,3,0,0,0,0,0,0,0,3,4,13,2864,8139,286,..,3150,8139
507011260,849,2401,3,11,11,19,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,870,2438,56,..,927,2438
507021164,1881,5343,217,417,342,680,555,1093,69,101,142,183,207,328,0,0,415,613,0,0,0,0,0,0,15,16,13,14,5,12,2865,7075,408,..,3279,7075
507021165,3009,7299,926,1769,1271,2396,2203,4166,313,494,466,753,663,1067,3,0,1439,2321,0,0,3,3,41,38,11,27,53,69,57,88,6764,13943,1301,..,8063,13943
507021166,4537,11317,720,1245,320,709,1042,1953,95,134,125,194,15,24,3,6,238,360,6,5,104,149,3,12,10,22,122,186,86,126,6030,13944,760,..,6794,13944
507021167,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,10,0,..,11,10
507031169,4433,13412,115,251,32,52,147,308,37,48,8,14,0,0,0,0,46,67,0,0,0,0,0,0,0,0,0,0,22,59,4646,13849,509,..,5153,13849
507031170,2620,6825,249,387,23,45,274,437,117,164,0,0,0,0,0,0,117,164,0,0,0,0,0,0,0,5,0,5,3,3,3016,7436,305,..,3321,7436
507031172,18,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,63,0,..,23,63
507031173,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,11,9,0,0,18,27,0,..,21,27
507031174,3638,9422,113,226,78,169,188,393,215,344,153,284,0,0,0,0,370,631,0,0,0,0,0,0,90,254,94,255,0,7,4294,10712,479,..,4766,10712
507031261,1671,4757,133,317,3,5,139,323,3,11,0,3,0,0,0,0,6,12,3,0,0,0,0,3,0,0,3,6,17,37,1829,5136,180,..,2012,5136
507041175,2897,7932,421,860,557,1379,981,2233,149,263,81,122,112,210,0,0,340,598,0,0,0,0,3,0,0,4,3,7,15,32,4232,10800,572,..,4810,10800
507041176,1108,3260,134,281,34,87,167,369,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,19,1280,3658,101,..,1385,3658
507041177,3481,9035,1929,3310,256,556,2185,3861,195,250,37,39,3,7,0,0,239,296,0,0,0,0,0,0,0,3,0,3,18,41,5923,13233,693,..,6616,13233
507041178,3986,10954,1126,2119,322,842,1447,2959,81,112,47,65,74,135,0,0,204,313,3,8,0,0,0,0,0,5,3,14,18,41,5654,14274,643,..,6301,14274
507041179,2219,6503,312,626,12,29,322,648,189,229,0,0,93,147,0,0,278,375,0,0,0,0,0,0,0,4,0,4,7,14,2827,7545,270,..,3102,7545
507041180,3531,10110,229,433,6,17,236,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3772,10568,241,..,4017,10568
507041181,4722,12834,893,1622,433,1037,1329,2653,52,80,57,84,0,0,0,0,114,168,0,3,0,0,0,0,0,3,6,10,20,55,6179,15726,613,..,6793,15726
507041182,3557,9824,670,1188,23,76,693,1265,120,241,54,90,0,0,0,0,175,323,0,6,0,3,0,0,0,0,0,6,15,31,4447,11447,385,..,4827,11447
507041183,1531,3873,343,659,17,51,352,713,90,107,11,17,0,0,0,0,101,124,0,0,0,0,0,0,0,0,0,0,0,4,1986,4711,224,..,2212,4711
507041184,1923,5847,21,39,3,13,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,5898,169,..,2112,5898
507051185,10590,30939,435,816,32,70,464,888,0,0,0,0,0,0,0,0,5,3,48,90,12,31,7,15,5,9,70,141,31,89,11160,32046,907,..,12064,32046
507051186,3121,7840,206,340,0,0,206,340,12,15,0,0,0,0,0,0,12,15,0,0,0,0,0,0,3,9,3,9,0,0,3339,8202,338,..,3671,8202
507051187,4181,12623,292,488,14,27,297,521,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,4488,13149,398,..,4892,13149
507051188,4486,10519,931,1366,483,816,1415,2183,458,722,10,9,227,362,0,0,695,1092,129,191,17,27,7,5,5,3,153,225,12,27,6753,14044,1294,..,8052,14044
507051189,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,..,3,8
507051190,4226,10039,156,248,23,36,174,284,390,561,8,6,0,0,0,0,398,566,0,0,0,0,3,3,13,41,21,48,5,7,4824,10939,959,..,5782,10939
507051191,6026,18395,169,415,14,23,183,439,0,3,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,3,13,3,10,6222,18863,832,..,7052,18863
507051192,4358,11802,91,186,5,12,102,197,18,26,0,0,0,0,0,0,18,26,0,3,0,4,0,0,0,0,5,9,4,11,4492,12038,516,..,5003,12038
507051193,3733,10036,182,308,22,31,203,343,4,3,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,3,4,3,7,3943,10399,421,..,4373,10399
509011225,5061,11698,820,1142,74,114,891,1256,47,77,0,0,0,0,0,11,52,83,79,146,6,11,6,10,0,0,92,161,36,79,6127,13283,1319,..,7449,13283
509011226,1220,3110,0,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,15,22,3,3,10,29,7,7,36,62,8,17,1258,3196,300,..,1565,3196
509011227,1752,4527,4,4,17,28,17,31,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1774,4564,289,..,2062,4564
509011228,2307,5286,84,120,0,0,90,124,3,14,0,0,0,0,0,0,3,14,20,46,0,8,3,4,0,10,30,61,19,49,2453,5531,900,..,3352,5531
509011229,1114,2645,39,52,0,0,40,54,6,10,0,0,0,0,0,0,6,10,15,32,4,3,3,10,10,21,35,64,9,17,1192,2786,567,..,1760,2786
509011230,1602,4085,117,219,0,0,117,219,28,35,0,0,0,0,0,0,28,35,3,9,0,0,0,0,0,3,7,6,14,28,1761,4384,265,..,2026,4384
509011231,1555,3834,18,32,0,0,18,32,34,49,0,3,0,0,0,0,30,54,6,13,3,3,3,3,0,9,13,21,17,46,1638,3985,379,..,2014,3985
509011232,1146,2905,37,44,0,0,34,45,0,0,0,0,0,0,0,0,0,0,33,36,20,30,3,7,0,0,58,77,11,17,1244,3045,199,..,1448,3045
509011233,3579,9553,170,261,9,14,178,275,0,0,0,0,0,0,3,9,3,9,64,97,59,81,11,21,13,43,146,246,20,46,3921,10126,404,..,4327,10126
509011234,1985,4665,5,9,0,0,5,9,13,18,0,0,0,0,0,0,13,18,16,24,0,3,7,16,5,24,33,66,28,56,2057,4814,384,..,2439,4814
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
509021236,1859,5079,0,5,0,0,0,5,13,30,0,0,0,0,4,3,14,30,3,9,0,0,22,51,0,0,23,62,14,35,1922,5212,289,..,2206,5212
509021237,1516,3586,20,39,0,0,20,39,25,28,0,0,0,0,0,3,24,33,26,31,6,5,4,10,5,12,41,65,40,93,1653,3812,277,..,1930,3812
509021238,1661,3707,21,23,0,0,21,23,0,3,0,0,0,0,0,0,3,4,41,80,0,0,0,3,0,4,53,92,19,27,1753,3857,459,..,2203,3857
509021239,3271,7627,72,157,11,35,86,189,21,38,0,0,0,0,0,0,17,34,93,173,15,27,32,68,14,21,160,292,79,157,3604,8301,3210,..,6814,8301
509021240,1934,4657,85,120,0,0,85,120,17,17,0,0,0,0,0,0,17,17,41,60,0,0,0,0,3,0,45,64,19,42,2097,4903,429,..,2525,4903
509021241,1791,4365,43,92,0,0,43,92,6,19,0,0,0,0,0,0,6,19,54,78,0,0,3,0,19,34,72,117,22,51,1938,4642,438,..,2374,4642
509021242,1210,2698,41,49,0,0,41,49,3,6,0,0,0,0,0,0,3,6,36,70,9,7,3,9,8,26,55,115,8,23,1321,2890,493,..,1818,2890
509021243,3990,9842,78,132,0,4,80,135,94,161,0,0,0,3,3,3,100,166,33,47,24,37,3,11,5,12,62,106,28,48,4257,10289,727,..,4978,10289
509021244,1832,4155,21,26,3,4,23,35,0,3,0,0,0,0,0,0,0,3,18,29,18,27,18,25,0,0,50,85,10,22,1920,4298,438,..,2365,4298
509021245,2147,4844,43,63,5,4,52,67,52,72,0,0,0,0,0,0,52,72,19,36,0,0,0,0,0,0,23,39,34,85,2304,5110,532,..,2833,5110
509031246,1441,3332,23,39,0,0,23,39,33,52,0,0,0,0,0,0,33,52,16,27,0,0,3,4,7,7,24,41,31,61,1558,3517,340,..,1903,3517
509031247,1673,3842,52,71,0,0,52,71,21,29,0,0,0,0,0,4,20,36,29,46,6,5,0,9,10,15,39,70,21,37,1807,4060,620,..,2428,4060
509031248,932,2327,18,31,0,0,18,31,16,19,0,0,0,0,0,0,16,25,15,21,7,13,0,5,7,6,29,43,6,9,992,2426,288,..,1283,2426
509031249,1629,3997,123,243,0,0,123,243,19,26,0,0,0,0,0,0,19,26,14,23,0,0,0,3,54,68,72,96,3,6,1849,4365,251,..,2103,4365
509031250,1961,4519,65,90,0,4,67,93,3,3,0,0,0,0,0,0,3,3,18,19,3,3,4,6,3,6,23,37,17,36,2069,4687,402,..,2476,4687
510011262,3881,11216,279,541,205,436,488,977,390,795,5,15,0,0,3,10,403,811,1525,3002,28,58,166,313,39,82,1754,3461,119,220,6642,16687,677,..,7317,16687
510011263,1803,6186,243,479,11,33,257,515,112,232,0,0,0,0,0,0,112,232,427,898,19,29,302,632,20,39,770,1600,36,67,2974,8586,610,..,3581,8586
510011264,714,2588,123,262,25,37,144,300,29,68,0,0,0,0,0,0,32,68,166,323,5,13,70,157,15,38,261,528,10,25,1156,3516,248,..,1404,3516
510011265,1760,5284,236,509,39,77,269,586,116,201,0,0,0,0,0,0,117,204,897,1848,88,209,226,447,100,225,1308,2727,68,135,3522,8929,573,..,4090,8929
510011266,663,2124,3,5,0,0,3,5,3,7,0,0,0,5,0,0,5,9,600,1199,11,27,115,227,0,0,735,1460,14,27,1414,3618,76,..,1494,3618
510021267,468,1768,4,14,3,0,12,16,13,18,0,0,0,0,0,0,12,15,273,494,4,6,7,55,8,17,289,578,53,70,833,2444,123,..,957,2444
510021268,1329,3836,81,160,18,19,97,181,71,98,0,0,0,0,0,0,71,98,38,58,0,0,0,0,6,14,40,72,29,30,1561,4219,942,..,2504,4219
510021269,1063,2968,57,113,38,110,99,220,405,673,65,103,0,0,0,0,474,774,158,250,10,13,3,9,6,10,176,285,23,34,1832,4276,595,..,2424,4276
510021270,2666,7737,193,422,126,348,327,776,211,397,0,4,70,120,0,0,274,520,134,243,0,0,53,50,0,0,184,294,24,45,3476,9371,1529,..,5004,9371
510031271,1803,5156,169,289,8,20,173,306,74,103,16,21,0,0,0,3,89,123,533,1079,64,139,47,77,5,13,650,1311,51,61,2763,6964,768,..,3529,6964
510031272,4672,13856,511,1009,82,160,591,1165,176,272,15,19,115,169,0,0,312,456,184,350,15,30,24,40,0,8,227,424,21,36,5816,15943,1675,..,7495,15943
510031273,1116,3548,267,584,0,0,266,586,36,69,8,7,0,0,0,0,48,80,269,530,3,10,11,21,7,12,290,574,43,72,1764,4856,507,..,2271,4856
511011274,4068,10234,409,663,37,76,445,735,78,132,0,0,0,0,3,9,82,138,91,158,3,3,36,86,5,18,135,271,75,166,4805,11544,809,..,5618,11544
511011275,1311,3229,18,21,0,5,20,27,3,9,3,3,0,0,0,0,10,10,38,75,0,8,3,5,3,11,50,95,107,216,1491,3569,712,..,2204,3569
511021276,1683,4434,176,285,5,6,183,290,57,94,0,0,0,0,0,0,55,93,702,1307,34,59,11,19,0,3,745,1388,38,66,2698,6276,349,..,3050,6276
511021277,1429,3732,96,171,18,28,112,205,26,51,3,6,0,0,0,0,31,55,1712,3328,45,98,284,607,13,40,2055,4071,129,239,3758,8305,496,..,4253,8305
511031278,2165,5731,349,721,41,57,393,774,19,26,0,0,0,0,0,0,19,26,207,320,3,3,21,19,13,21,240,372,29,49,2838,6960,454,..,3291,6960
511031279,3766,10737,852,1674,118,233,964,1905,199,310,0,0,0,0,0,0,199,310,159,236,54,63,9,9,0,3,223,314,61,103,5210,13367,651,..,5858,13367
511031280,2721,7621,382,761,79,193,463,961,19,34,0,0,0,0,0,0,19,34,0,0,0,0,0,0,0,6,0,6,13,25,3221,8646,516,..,3737,8646
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
511031282,1516,3640,83,152,18,25,103,172,34,54,0,0,0,0,0,0,34,54,148,234,14,15,42,45,13,30,214,325,82,114,1949,4308,625,..,2578,4308
511031283,1002,3159,44,57,0,0,44,57,44,64,0,0,0,0,0,0,44,64,121,204,3,3,28,41,19,37,164,283,41,69,1295,3634,433,..,1735,3634
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
511041285,3708,8711,837,1310,165,301,1001,1618,273,416,19,36,0,0,0,0,298,456,13,27,107,162,12,11,8,20,147,217,81,169,5227,11177,1040,..,6267,11177
511041286,2459,6810,129,267,0,0,129,267,3,3,0,0,0,0,0,0,3,3,4,6,0,0,17,30,80,246,103,279,3,3,2690,7365,400,..,3087,7365
511041287,2684,7212,28,46,0,0,28,46,11,17,0,0,0,0,0,3,12,23,119,208,0,0,18,30,6,18,149,259,10,15,2873,7549,422,..,3294,7549
511041288,3196,8667,291,507,161,446,448,954,14,29,0,0,0,0,0,0,14,32,17,19,5,10,0,0,0,0,18,31,19,18,3696,9712,502,..,4206,9712
511041289,1355,3185,44,66,0,0,44,66,47,67,0,0,0,0,0,0,47,67,76,134,18,25,3,3,7,9,100,169,39,87,1587,3564,393,..,1981,3564
511041290,748,1872,9,23,0,0,9,23,34,60,0,0,0,3,0,0,37,65,173,327,21,23,18,26,3,12,210,393,69,144,1075,2497,370,..,1449,2497
511041291,1540,3505,16,19,0,0,14,18,24,29,0,0,0,0,0,0,24,29,130,221,5,7,4,11,6,15,148,260,26,55,1747,3862,821,..,2571,3862
511041292,2205,5334,61,107,12,22,74,125,73,100,0,0,0,0,0,0,73,100,596,1172,32,61,26,36,10,25,658,1297,31,62,3040,6924,824,..,3869,6924
597979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
