SA2_MAINCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
507011260,40,2167,689,448,2274,0.7,2144,2.9
507021164,43,2500,923,400,2780,0.8,2039,2.5
507021165,42,2167,865,370,2370,0.8,1652,2.1
507021166,42,2100,695,350,1975,0.8,1481,2.4
507021167,53,0,449,312,0,1,450,0
507031169,29,2015,808,370,1915,0.8,1822,3
507031170,35,1500,501,300,1296,0.8,1077,2.5
507031172,48,1700,587,250,1875,0.6,1937,2.1
507031173,48,0,312,350,1524,0,252,2
507031174,36,1500,524,290,1330,0.8,1146,2.5
507031261,31,2249,886,400,2160,0.7,2065,2.8
507041175,42,2645,886,470,2603,0.7,2115,2.6
507041176,40,2167,694,445,2293,0.8,2069,2.9
507041177,40,2167,836,370,2254,0.7,1634,2.3
507041178,41,2400,780,408,2425,0.7,1873,2.6
507041179,43,2000,641,425,2062,0.8,1625,2.7
507041180,41,2000,760,460,2364,0.7,2150,2.9
507041181,40,2383,830,400,2463,0.8,1946,2.6
507041182,42,2000,595,420,1920,0.7,1593,2.6
507041183,36,2165,610,250,1865,0.8,1330,2.4
507041184,41,2156,670,550,2278,0.7,2195,3.1
507051185,29,2167,799,385,2063,0.8,1915,2.9
507051186,39,1517,496,310,1312,0.7,1155,2.5
507051187,32,1857,654,370,1847,0.8,1714,3
507051188,43,1670,613,300,1422,0.7,1038,2.1
507051189,18,0,0,0,0,0,0,0
507051190,44,1800,582,300,1613,0.7,1205,2.3
507051191,31,2167,754,380,2175,0.8,2054,3.1
507051192,36,1740,619,345,1709,0.7,1508,2.7
507051193,35,1690,588,340,1545,0.7,1375,2.7
509011225,46,1517,611,285,1473,0.7,1108,2.2
509011226,45,1647,596,150,1495,0.8,1309,2.6
509011227,39,1664,632,315,1539,0.7,1371,2.6
509011228,49,1582,546,263,1268,0.8,1020,2.3
509011229,40,763,794,120,1652,0.7,1313,2.4
509011230,39,1103,673,170,1418,0.8,1205,2.5
509011231,42,1000,676,125,1441,0.8,1217,2.4
509011232,43,1733,639,265,1673,0.8,1382,2.5
509011233,37,1668,600,270,1497,0.8,1214,2.6
509011234,46,1222,531,194,1275,0.8,1029,2.4
509011235,0,0,0,0,0,0,0,0
509021236,42,2167,618,270,1856,0.8,1639,2.8
509021237,43,953,580,125,1405,0.8,1091,2.4
509021238,44,950,648,128,1473,0.7,1124,2.3
509021239,47,1733,600,250,1370,0.7,1154,2.4
509021240,40,1040,681,150,1671,0.7,1265,2.4
509021241,41,1063,736,145,1741,0.8,1358,2.5
509021242,44,650,984,75,1596,0.7,1200,2.3
509021243,41,1408,570,245,1468,0.8,1181,2.4
509021244,51,1599,543,280,1425,0.7,1164,2.3
509021245,51,1355,525,220,1332,0.7,1012,2.2
509031246,46,1083,653,144,1481,0.7,1139,2.3
509031247,42,754,811,105,1562,0.7,1229,2.3
509031248,40,1700,1111,260,1981,0.8,1689,2.5
509031249,38,1213,618,220,1505,0.7,1214,2.4
509031250,46,1023,634,150,1433,0.7,1137,2.3
510011262,41,2500,908,300,2226,0.9,1741,2.6
510011263,34,1733,524,100,1081,1.1,1307,3
510011264,31,618,421,75,807,1.2,1056,3.2
510011265,40,2118,840,200,1949,1,1564,2.7
510011266,45,1597,458,85,835,1.2,982,3.1
510021267,39,2600,2092,60,892,1.3,1137,3.5
510021268,33,480,1576,110,2940,0.9,2573,2.8
510021269,36,3000,1713,196,3576,0.9,2919,2.6
510021270,32,2518,1257,216,2760,0.9,2351,2.8
510031271,39,1625,2514,32,2889,0.9,2313,2.7
510031272,32,2500,1353,260,2963,0.9,2543,2.8
510031273,37,2817,1487,128,2903,0.9,2329,2.9
511011274,41,1733,666,250,1696,0.8,1321,2.4
511011275,40,1083,812,121,1688,0.8,1370,2.5
511021276,48,1517,604,200,1621,0.9,1136,2.5
511021277,54,1950,669,240,1756,0.9,1204,2.3
511031278,34,1517,799,270,2067,0.8,1736,2.5
511031279,34,1900,957,280,2395,0.8,2078,2.7
511031280,31,1983,1087,320,2629,0.8,2307,2.8
511031281,39,0,0,0,0,0,0,0
511031282,39,1083,978,180,1988,0.8,1480,2.4
511031283,37,834,1638,55,988,1,1313,3.1
511031284,0,0,0,0,0,0,0,0
511041285,44,1517,574,230,1399,0.7,1050,2.2
511041286,35,1517,571,240,1549,0.8,1334,2.8
511041287,35,1950,697,310,1858,0.8,1574,2.7
511041288,35,1885,778,320,2015,0.7,1769,2.7
511041289,50,1733,542,250,1351,0.7,1085,2.3
511041290,41,600,1492,85,1259,0.8,1190,2.4
511041291,45,853,775,120,1401,0.7,1133,2.2
511041292,52,1500,554,188,1361,0.8,1068,2.3
597979799,43,0,2648,0,0,0,0,0
