SA2_MAINCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
511031281,0,0,0,0,0,0,0,0,0,0
511031282,204,270,634,153,176,121,683,299,45,2592
511031283,316,551,1050,216,200,49,1151,398,59,3991
511031284,0,0,0,0,0,0,0,0,0,0
511041285,486,814,745,569,504,491,342,559,83,4595
511041286,253,325,545,326,393,326,316,400,72,2966
511041287,354,511,643,377,468,338,308,346,47,3393
511041288,555,931,727,574,670,454,317,453,85,4763
511041289,221,186,267,126,177,95,113,199,40,1420
511041290,309,402,669,126,148,36,763,321,48,2826
511041291,654,189,345,112,181,92,339,270,35,2214
511041292,708,343,319,248,254,165,243,382,52,2712
597979799,158,601,711,93,72,11,231,508,41,2432
