SA2_MAINCODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_yr_arr_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,Unted_Sttes_Amrica_Yr_arr_ns,United_States_America_Tot,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_ns,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_ns,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_ns,Tot_Tot
509031249,0,0,4,3,3,0,9,22,4,3,0,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,37,65,25,15,16,12,0,0,0,0,3,0,13,219,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,13,0,5,0,13,4,7,9,12,6,8,3,5,0,4,0,69,0,55,52,108,55,55,60,120,27,27,31,19,31,16,27,693
509031250,0,0,0,0,0,4,6,15,0,0,0,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,40,94,35,18,3,3,3,3,4,0,0,3,11,253,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,4,0,3,3,0,3,0,0,3,0,0,35,4,41,59,123,72,72,45,46,17,18,9,3,15,8,28,553
510011262,0,0,0,3,16,3,38,26,0,11,3,0,0,0,4,107,0,0,3,3,4,3,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,4,8,20,5,3,8,6,6,0,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,113,246,112,133,73,119,28,19,20,22,8,3,31,991,0,0,4,3,3,4,3,6,0,5,0,0,6,3,0,45,0,0,0,0,7,0,0,0,0,0,3,0,5,0,0,16,0,0,0,0,10,4,13,10,0,0,0,0,0,0,0,30,0,4,17,39,31,31,32,57,17,15,25,25,41,22,29,388,6,147,209,397,312,324,302,522,110,135,99,123,144,68,158,3062
510011263,0,0,0,0,3,0,3,9,4,0,3,0,0,0,0,26,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,70,40,22,18,19,3,5,3,11,7,0,15,243,0,0,5,3,0,6,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,6,0,0,0,0,3,0,0,14,0,4,7,17,7,3,12,5,0,4,3,6,3,9,9,103,0,27,54,128,98,69,86,132,29,39,33,41,40,25,49,855
510011264,0,0,0,0,0,3,5,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,31,3,7,3,3,4,0,0,0,0,0,3,84,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,3,5,5,3,3,4,3,0,0,0,3,6,8,39,0,14,23,41,24,33,28,41,15,16,21,15,33,11,20,314
510011265,0,0,0,0,0,6,3,11,3,0,0,0,0,0,0,31,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,14,0,0,0,0,0,0,7,6,3,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,61,124,41,42,25,48,7,8,3,7,11,3,16,436,0,0,0,7,3,7,3,4,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,10,0,0,8,6,0,0,0,22,0,0,0,0,4,3,0,7,0,0,3,0,0,0,0,22,0,3,14,26,9,14,19,31,8,17,12,16,19,13,11,215,0,61,108,229,128,136,123,206,51,53,57,62,66,45,70,1410
510011266,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,67,21,19,15,7,0,4,0,0,4,4,10,199,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,4,0,7,8,3,0,12,0,0,0,0,5,0,3,48,0,48,45,101,63,38,44,35,0,8,4,3,12,0,14,417
510021267,0,0,4,3,7,9,34,47,9,5,3,0,3,0,0,127,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,133,74,84,79,88,26,36,11,6,9,0,11,609,0,0,0,3,3,4,5,3,3,3,0,0,0,0,0,32,0,0,0,0,7,6,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,5,21,46,4,8,3,3,6,0,0,88,0,0,9,27,12,34,59,76,15,13,12,4,0,0,7,265,0,26,79,232,231,350,509,661,161,182,85,45,28,9,53,2656
510021268,0,0,0,0,3,3,13,19,0,0,3,6,0,0,0,53,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,0,5,10,20,3,0,0,0,3,0,0,44,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,18,25,28,23,4,4,7,10,0,3,7,188,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,3,30,0,4,0,3,0,0,0,47,0,0,3,9,8,11,20,60,11,10,6,0,0,0,3,141,0,8,16,85,91,139,165,307,62,97,69,47,54,23,35,1193
510021269,0,0,0,0,0,7,21,43,8,9,0,0,0,3,3,97,0,0,0,3,0,0,3,4,3,0,0,0,5,0,0,14,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,19,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,49,36,36,30,47,9,14,9,7,7,0,7,273,0,0,0,3,0,0,0,7,3,0,0,5,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,13,26,3,3,3,0,0,0,0,47,0,0,0,16,11,15,18,41,9,5,6,7,9,3,9,151,3,14,40,111,117,131,187,338,83,79,45,45,44,18,54,1309
510021270,0,0,0,0,4,7,34,42,9,5,4,7,3,0,7,120,0,0,0,0,0,3,5,9,3,0,3,3,11,3,0,37,0,0,0,0,0,7,11,11,0,3,8,3,0,0,7,48,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,29,57,25,37,22,38,8,20,6,5,0,0,8,249,0,0,0,3,0,3,0,3,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,0,0,0,0,0,3,9,29,5,3,12,5,4,0,4,73,0,0,7,15,13,17,27,38,9,24,15,11,25,0,11,213,0,8,38,107,110,193,249,527,131,166,159,143,120,38,71,2075
510031271,0,0,3,4,13,22,116,124,12,16,4,14,4,0,4,329,0,0,0,0,0,3,6,19,0,3,0,0,0,0,0,35,0,0,0,0,3,9,5,13,0,4,0,4,5,0,3,57,0,0,0,4,0,5,0,3,0,0,0,0,0,0,0,14,0,0,0,3,0,4,3,0,0,0,0,0,0,0,0,7,0,7,81,283,164,236,226,286,75,75,27,25,13,5,27,1529,0,0,0,3,6,9,12,13,3,8,12,15,14,5,5,105,0,0,0,0,6,10,4,3,0,0,0,0,0,0,0,25,0,0,0,7,3,9,30,60,7,12,4,0,0,0,0,137,0,3,5,74,88,121,148,159,31,23,22,17,16,9,16,725,0,34,125,476,584,935,1275,1821,448,487,251,165,110,49,140,6885
510031272,0,0,0,3,10,6,60,92,25,20,8,8,4,3,7,253,0,0,0,0,0,8,0,14,4,3,6,6,0,0,0,40,0,0,0,0,4,15,13,27,4,10,3,5,9,3,4,94,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,63,155,85,92,71,101,26,29,30,19,5,3,26,712,0,0,0,3,4,3,4,10,4,3,0,4,0,0,3,38,0,0,0,0,4,0,4,5,3,0,3,3,0,0,0,24,0,0,0,0,4,5,20,22,8,0,12,4,3,0,0,77,0,3,7,29,29,40,49,106,26,23,23,42,27,18,17,444,3,37,88,252,272,341,481,1002,246,296,208,206,149,100,151,3825
510031273,0,0,0,3,0,3,12,22,7,0,0,3,0,0,3,61,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,3,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,92,44,47,39,29,9,10,6,4,7,0,16,333,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,20,0,0,3,18,11,8,22,22,4,0,0,0,4,0,6,106,0,27,45,154,123,153,208,287,62,74,57,29,44,16,67,1343
511011274,0,0,0,0,3,8,34,59,10,3,0,0,3,0,3,135,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,74,171,56,46,49,41,7,6,10,0,4,0,23,532,0,0,0,3,0,8,4,4,0,0,0,0,0,0,0,23,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,18,4,0,0,0,0,0,0,0,31,0,10,12,14,8,7,15,8,9,8,3,11,7,0,3,115,3,83,108,235,177,173,229,217,55,50,54,35,30,12,79,1545
511011275,0,0,0,0,3,0,7,15,3,14,5,15,0,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,54,18,20,13,15,7,4,4,9,0,0,6,187,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,14,0,0,0,14,0,3,10,6,3,6,0,3,8,0,0,61,0,17,40,78,62,53,73,77,22,33,20,36,15,12,15,561
511021276,0,0,0,0,5,0,7,9,0,3,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,111,32,22,18,14,7,4,4,0,0,3,11,307,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,27,54,18,25,3,3,5,0,3,3,5,144,0,0,0,0,3,0,5,0,0,3,0,0,0,0,0,12,0,6,19,28,27,20,12,15,4,4,15,9,3,9,16,197,0,62,114,192,129,124,95,122,20,48,36,33,32,31,74,1114
511021277,0,0,7,3,5,8,19,7,0,0,0,0,0,0,0,50,0,3,0,0,0,4,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,114,201,81,73,38,51,9,10,15,9,15,9,24,717,0,0,3,4,0,6,3,3,3,0,6,4,9,6,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,4,3,0,0,0,0,0,0,0,26,0,9,4,28,23,4,17,11,9,6,13,6,4,7,11,151,3,136,185,315,180,141,140,148,46,39,46,46,46,41,64,1575
511031278,0,0,0,5,0,0,25,41,11,3,4,0,0,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,4,4,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,34,70,24,24,17,17,4,3,0,3,6,0,10,207,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,19,0,0,4,13,13,9,11,25,0,18,3,0,0,0,6,105,3,31,53,117,94,134,178,342,96,95,33,39,33,20,48,1314
511031279,0,0,0,3,0,3,62,102,23,28,18,9,18,0,0,273,0,0,0,0,0,0,3,11,11,0,3,3,0,0,0,34,0,0,0,0,0,3,13,21,0,0,4,3,5,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,59,107,37,42,32,51,20,18,8,7,9,6,20,434,0,0,0,3,0,3,3,3,0,4,5,0,8,0,0,25,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,9,0,0,0,0,3,6,53,65,17,9,10,9,10,6,0,192,0,6,8,21,14,27,55,107,25,72,27,16,15,19,10,418,7,45,105,182,154,330,493,1034,293,350,227,177,160,88,113,3748
511031280,0,0,0,0,9,6,41,77,27,19,13,10,8,3,7,209,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,6,8,10,0,4,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,11,16,64,39,35,40,46,8,16,11,8,6,6,14,331,0,0,0,5,0,4,6,3,3,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,22,36,11,0,3,0,3,3,0,89,0,0,4,14,16,23,35,74,15,25,25,7,3,0,8,250,4,21,49,128,137,189,313,550,203,166,120,62,57,35,65,2088
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,0,0,0,0,4,0,13,41,0,0,3,0,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,0,0,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,35,64,26,21,23,17,6,4,3,4,6,0,10,229,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,15,0,0,14,18,12,8,10,15,12,4,3,0,0,3,9,110,0,29,63,107,95,121,167,221,74,54,32,25,31,24,61,1085
511031283,0,0,0,0,3,3,28,21,4,8,0,0,0,0,0,65,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,82,34,41,31,51,11,20,7,4,4,3,12,325,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,11,11,4,0,0,3,0,0,0,38,0,0,3,17,13,25,24,32,3,5,4,4,3,0,7,136,0,14,36,127,122,174,243,299,77,104,38,40,22,21,46,1366
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,0,0,0,13,5,0,3,29,8,4,13,6,5,0,8,104,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,10,0,0,0,0,0,0,4,15,6,0,3,0,3,0,4,41,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,113,211,57,38,42,33,11,16,4,10,8,0,29,626,0,0,0,5,0,10,3,3,0,0,4,0,0,0,0,28,0,0,0,0,8,12,9,5,0,0,0,0,0,0,0,33,0,0,0,3,3,3,3,9,0,0,0,0,4,0,0,22,0,6,16,35,10,13,25,14,5,7,9,5,13,4,9,175,15,122,183,328,177,153,191,252,79,80,99,65,81,28,88,1939
511041286,0,0,0,0,0,0,19,20,17,0,0,0,0,0,0,62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,12,3,0,3,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,117,28,25,28,19,10,11,0,5,0,0,11,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,11,4,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,12,0,3,5,12,8,13,12,12,3,5,0,3,0,0,0,70,0,43,51,168,81,100,115,111,47,41,7,15,11,11,37,836
511041287,0,0,0,0,0,0,17,22,11,13,4,7,3,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,106,45,17,26,56,20,24,4,0,8,0,9,378,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,3,0,3,13,0,0,3,0,3,0,0,29,0,3,5,15,6,6,11,10,7,5,0,0,0,0,0,82,3,52,66,174,118,80,107,183,56,66,24,26,23,3,28,1013
511041288,0,0,0,3,8,3,41,74,34,32,28,20,9,5,4,262,0,0,0,0,0,0,0,16,6,0,3,0,4,0,0,26,0,0,0,0,4,0,9,6,0,3,0,0,3,0,3,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,155,43,39,54,92,31,21,16,6,3,0,20,529,0,0,0,4,5,0,7,0,3,3,0,0,0,0,0,25,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,7,0,0,0,0,3,0,8,23,7,0,0,3,3,0,0,53,0,6,3,16,9,8,25,60,6,6,9,8,14,0,9,171,4,58,74,232,134,83,230,435,127,127,96,67,60,24,53,1804
511041289,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,101,38,18,16,10,0,4,0,0,0,0,6,269,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,3,15,0,3,3,3,0,0,0,0,0,0,0,25,0,58,59,138,67,59,53,52,10,8,5,3,0,0,16,522
511041290,0,0,0,0,8,6,20,19,3,6,0,0,0,0,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,70,23,39,42,23,8,12,3,3,3,0,13,273,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,7,8,5,0,0,0,0,0,0,0,28,0,0,0,11,10,14,22,35,3,5,3,4,4,0,0,125,0,19,45,116,101,128,192,225,49,56,28,27,24,3,22,1031
511041291,0,0,0,3,0,0,8,12,3,7,3,0,6,12,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,77,24,18,20,6,10,5,5,0,3,0,13,211,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,5,11,3,3,8,3,0,9,0,5,3,3,3,55,0,33,50,104,64,56,63,63,26,37,22,12,18,26,23,604
511041292,0,0,0,0,4,7,6,9,4,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,63,195,42,28,31,14,4,0,5,3,3,4,14,453,0,0,0,4,3,3,0,3,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,7,0,7,8,23,0,13,9,11,0,3,0,4,3,0,0,80,3,69,87,276,122,103,83,58,17,14,19,19,13,4,28,922
