SA2_MAINCODE_2016,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85,M_Inad_desc_Ns_Tot
506021118,0,3,3,0,3,6,0,3,0,22,4,16,91,91,68,24,9,0,0,298,7,23,81,65,73,40,0,0,0,284,0,0,9,11,11,5,0,0,0,38,11,67,195,109,88,46,13,0,3,530,0,7,30,35,25,27,0,0,0,136,28,42,64,57,38,20,12,0,0,268,43,46,65,42,27,18,5,0,0,235,4,24,105,80,66,71,16,0,0,362,0,10,11,15,13,3,4,0,0,56,0,0,18,10,24,14,6,0,0,73,3,5,12,26,10,14,7,0,0,79,0,13,73,61,32,25,10,0,0,215,0,19,38,29,17,17,4,0,0,128,0,11,47,51,53,33,5,0,0,204,4,3,21,17,28,28,11,3,0,109,0,5,37,46,34,21,7,0,0,152,6,9,29,28,27,23,12,5,0,132,3,19,53,41,23,15,11,0,0,164,9,29,73,50,46,18,16,3,0,230
506021119,0,0,11,10,6,3,3,0,0,29,0,13,97,65,36,12,0,0,0,213,5,18,83,63,48,30,5,0,0,251,0,4,13,18,6,7,0,0,0,46,17,56,210,113,87,60,14,0,0,551,0,16,35,49,24,13,0,0,0,138,27,83,78,53,31,25,3,0,0,296,46,85,138,47,25,9,5,0,0,354,5,12,94,57,62,33,12,0,0,274,0,8,25,16,15,5,3,0,0,78,0,4,29,26,22,11,5,0,0,95,0,3,19,23,11,4,6,0,0,74,3,19,150,144,72,35,12,0,0,437,5,22,65,30,24,17,4,0,0,159,3,8,70,57,62,36,12,0,0,249,3,20,78,69,54,39,13,0,0,278,7,16,85,41,36,23,4,0,0,209,4,18,39,22,13,10,4,0,0,109,6,23,51,28,22,19,6,0,0,167,5,25,74,44,34,16,9,0,0,203
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021122,3,4,5,5,5,3,6,0,0,29,3,21,143,97,70,31,6,0,0,370,9,37,148,107,85,56,13,0,0,446,0,3,21,19,12,11,0,0,0,67,26,112,367,191,150,92,9,0,0,951,0,26,68,52,54,30,7,0,0,234,47,94,145,73,59,47,5,0,0,471,69,96,176,90,46,16,9,0,0,500,9,36,178,115,119,122,31,0,0,607,5,11,35,19,18,3,3,0,0,91,0,8,56,35,19,6,4,0,0,133,0,4,42,28,18,7,11,3,0,112,3,27,153,134,61,38,11,0,0,424,3,30,81,61,38,29,9,0,0,250,3,19,100,80,77,59,15,0,0,356,3,23,66,62,38,35,11,3,0,238,0,31,97,53,41,35,12,0,0,265,6,27,54,27,15,13,3,0,0,147,10,39,97,49,56,33,9,0,0,288,9,45,132,74,60,38,9,4,0,386
506021123,0,4,9,0,5,0,0,0,0,18,3,19,111,87,52,28,4,0,0,301,3,14,62,52,47,24,12,0,0,213,0,0,12,15,6,6,3,0,0,43,11,41,198,109,85,61,11,4,0,522,4,7,44,43,30,27,5,0,0,155,9,65,117,45,41,22,10,0,0,318,31,83,168,54,22,20,4,0,0,385,4,23,71,62,41,47,13,3,0,254,0,13,30,26,10,9,0,0,0,93,0,16,36,49,23,5,0,0,0,129,3,3,17,9,20,12,5,0,0,74,0,26,178,134,65,54,11,0,0,475,7,28,61,26,20,16,6,0,0,165,0,9,71,60,64,47,12,0,0,258,4,14,63,54,40,43,8,0,0,229,0,11,72,48,33,33,3,0,0,209,11,22,54,17,19,9,4,0,0,128,3,13,38,27,22,13,4,3,0,112,0,21,64,42,42,30,6,3,0,214
506031124,0,7,10,6,0,3,0,0,0,29,0,12,46,52,23,13,0,0,0,148,5,23,87,64,58,28,3,0,0,272,0,4,16,16,16,3,0,0,0,57,14,75,172,90,61,48,14,0,0,472,3,21,53,43,30,21,3,0,0,160,37,135,160,48,27,15,15,0,0,436,68,203,185,51,14,11,4,0,0,535,0,36,96,65,44,38,12,0,0,292,0,9,31,10,17,3,0,0,0,72,0,3,36,19,9,3,0,0,0,82,0,3,18,6,14,3,7,0,0,57,0,39,135,96,50,25,9,0,0,359,10,37,88,50,27,10,5,0,0,226,0,26,69,54,53,39,3,0,0,241,10,32,94,71,49,38,3,3,0,307,0,22,89,49,34,23,9,0,0,231,6,18,35,8,9,11,0,4,0,97,5,25,55,26,23,15,9,0,0,159,9,47,106,60,29,27,4,3,0,279
506031125,0,0,0,3,3,0,0,0,0,12,0,8,28,39,51,18,3,0,0,147,4,5,31,45,58,52,10,0,0,205,0,0,7,6,15,7,0,0,0,39,15,35,53,76,76,51,12,0,0,315,12,8,17,20,38,17,8,0,0,123,34,65,44,42,43,35,6,0,0,272,50,41,31,12,22,14,6,0,0,177,0,9,26,28,47,44,13,0,0,168,0,8,3,5,6,3,0,0,0,24,0,0,6,17,32,13,5,0,0,64,0,3,3,10,10,8,0,0,0,41,4,10,42,44,50,26,6,0,0,184,3,10,7,5,18,6,7,0,0,63,3,8,21,29,63,49,9,0,0,178,0,8,17,34,26,29,9,0,0,124,3,11,24,27,28,24,6,0,0,127,6,10,10,3,3,7,5,0,0,48,9,13,9,10,27,23,17,0,0,112,7,20,20,34,29,25,9,0,0,149
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,0,0,9,3,3,0,0,0,0,12,0,14,72,54,19,9,4,0,0,172,4,23,135,92,65,27,4,3,0,352,0,8,13,17,18,4,0,0,0,61,19,46,195,109,77,51,7,3,0,509,0,8,65,41,36,19,11,0,0,184,28,93,171,63,42,18,6,3,0,423,63,141,191,57,36,12,4,0,0,507,4,34,201,122,83,44,20,0,0,506,0,6,31,21,4,3,0,0,0,61,0,0,39,31,9,3,0,0,0,94,0,9,22,10,10,4,4,0,0,64,0,24,119,77,30,16,3,0,0,271,3,41,92,54,21,20,3,0,0,233,5,17,101,51,51,29,5,3,0,258,0,8,56,33,15,18,10,0,0,146,3,24,94,82,32,29,11,0,0,266,0,12,37,9,12,8,0,0,0,88,3,29,69,42,28,15,6,0,0,192,8,44,114,77,42,14,5,0,0,300
506031128,0,0,8,3,3,3,0,0,0,19,0,8,52,46,43,12,0,0,0,152,3,19,66,84,71,61,19,0,0,328,0,3,11,13,12,12,3,0,0,49,16,42,133,93,77,58,15,0,0,446,3,17,29,41,21,28,3,0,0,146,23,57,81,41,39,29,11,0,0,280,52,48,60,35,19,18,6,0,0,238,0,10,58,56,64,67,13,0,0,282,3,8,16,8,5,4,4,0,0,48,0,3,21,9,3,17,0,0,0,53,3,3,8,11,9,7,3,0,0,46,5,9,80,54,25,28,14,3,0,220,3,9,27,19,25,20,5,0,0,105,0,9,45,60,49,56,18,0,0,242,3,13,47,51,33,34,15,0,0,190,5,19,48,40,18,23,10,7,0,166,7,3,23,5,8,10,0,0,0,55,8,14,37,31,24,19,3,0,0,134,6,11,61,46,47,28,7,0,0,208
506031129,0,3,3,0,0,8,0,0,0,13,0,3,24,39,75,25,4,0,0,178,8,18,25,49,78,38,11,0,0,221,0,4,9,14,21,7,3,0,0,60,17,33,62,64,94,55,8,3,0,338,3,10,15,31,27,18,10,0,0,111,47,61,38,52,41,18,12,3,0,274,53,43,28,31,29,19,11,0,0,216,0,12,21,40,51,34,15,0,0,183,3,7,5,6,10,11,3,0,0,44,0,8,13,19,29,12,3,3,0,81,4,0,5,10,17,11,9,0,0,59,5,17,51,89,95,47,16,3,0,310,3,7,25,9,21,6,7,0,0,78,4,14,35,36,55,44,12,0,0,199,8,22,26,45,45,64,20,0,0,234,4,19,32,43,51,28,9,3,0,189,12,9,4,11,4,9,0,0,0,45,3,13,17,23,28,20,6,3,0,111,6,20,29,32,40,16,3,0,0,138
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031131,0,0,0,4,8,0,0,0,0,14,0,0,30,89,60,20,9,0,0,206,7,25,52,83,87,58,17,0,0,333,0,3,10,17,34,17,0,0,0,86,25,51,89,127,99,71,21,0,0,484,3,13,19,44,31,38,8,0,0,156,49,86,57,59,46,38,12,0,0,349,76,63,45,42,36,15,9,0,0,280,3,21,36,58,86,85,14,0,0,305,5,9,8,22,12,6,0,0,0,64,0,6,24,22,24,12,9,0,0,100,3,4,12,14,12,7,8,0,0,49,3,30,74,128,134,58,29,0,0,456,5,17,20,34,38,16,6,0,0,134,0,14,23,72,86,72,13,3,0,289,7,17,31,81,76,65,20,0,0,305,3,18,45,73,54,43,18,0,0,262,19,18,15,12,11,5,3,0,0,82,3,8,19,34,38,47,15,3,0,170,15,27,39,44,41,50,9,0,0,216
506041132,0,3,12,3,6,3,0,0,0,32,3,8,54,52,19,19,0,0,0,156,11,41,128,137,82,61,18,0,0,482,0,3,12,14,20,9,0,0,0,59,24,75,204,154,124,76,18,0,0,667,0,22,69,49,37,35,6,3,0,215,33,71,123,79,34,27,10,0,0,387,70,64,104,50,18,16,0,0,0,319,5,28,148,127,108,78,27,3,0,525,0,10,21,7,6,3,0,0,0,51,0,5,16,25,11,3,0,0,0,61,0,7,18,21,7,9,3,0,0,60,3,23,97,68,35,14,3,4,0,238,3,26,50,29,29,28,13,0,0,175,3,11,59,67,44,45,21,0,0,238,3,7,46,35,20,13,4,0,0,137,4,20,63,35,38,29,6,0,0,197,3,7,36,20,6,12,3,0,0,87,15,26,60,35,37,38,5,0,0,212,14,44,126,78,64,44,13,3,0,383
506041133,0,4,9,4,9,3,0,0,0,32,0,6,74,109,83,29,7,0,0,308,16,23,98,156,128,68,18,0,0,514,0,5,18,30,33,15,3,0,0,103,29,62,160,196,169,72,15,3,0,702,5,23,50,64,72,46,8,0,0,266,68,100,115,97,90,52,17,0,0,543,136,53,78,54,55,11,9,0,0,395,4,30,113,115,121,76,24,0,0,475,3,6,17,26,14,11,0,0,0,69,0,6,35,54,32,11,0,0,0,144,0,3,8,10,20,15,6,0,0,70,5,23,127,145,102,30,13,0,0,439,3,30,29,37,34,25,5,0,0,164,6,22,63,98,100,71,7,0,0,368,8,21,39,53,61,43,18,0,0,239,5,22,57,83,63,41,7,0,0,280,9,9,19,15,18,7,3,0,0,79,6,21,58,61,62,34,6,0,0,253,21,35,86,80,66,37,8,5,0,340
506041134,0,8,12,7,7,4,3,3,0,43,0,5,49,51,46,29,3,0,0,194,17,35,145,143,99,68,17,0,0,523,0,8,16,15,15,15,3,0,0,67,24,85,196,158,125,81,13,0,0,694,0,22,61,53,56,31,7,0,0,228,36,67,100,71,60,29,12,0,0,378,43,21,48,26,17,13,5,0,0,173,3,25,112,101,114,79,18,0,0,450,7,5,9,6,4,4,0,0,0,43,0,3,14,12,6,3,3,0,0,38,0,3,8,4,6,12,0,0,0,35,4,12,44,51,11,13,9,0,0,142,3,24,35,39,26,21,8,0,0,152,0,17,56,63,50,52,10,0,0,241,0,5,30,17,18,19,17,0,0,108,3,10,45,36,28,52,13,0,0,187,3,3,10,12,3,7,0,0,0,47,6,18,62,54,31,35,4,0,0,214,19,35,103,65,63,31,10,3,0,331
506041135,0,3,7,6,5,3,0,0,0,22,0,12,82,102,58,28,3,0,0,282,12,34,124,135,104,67,12,0,0,487,0,0,27,13,16,18,0,0,0,81,26,89,225,213,142,79,10,0,0,780,3,10,57,87,48,18,10,0,0,235,57,91,104,87,50,30,6,0,0,426,100,47,57,32,24,13,0,0,0,274,6,26,115,107,122,77,25,0,0,480,0,4,4,21,8,4,0,0,0,47,0,0,27,20,10,14,0,0,0,74,0,4,17,8,11,13,4,0,0,59,0,18,84,101,41,28,0,0,0,275,0,10,38,39,33,16,3,0,0,149,5,13,47,80,83,53,9,5,0,288,4,14,22,33,37,41,12,0,0,156,0,12,42,72,48,24,6,0,0,203,5,7,11,14,10,7,0,0,0,66,4,18,54,55,55,33,15,0,0,228,17,29,65,67,84,30,9,0,0,307
506041136,3,3,5,5,9,11,6,0,0,40,0,11,34,47,33,18,0,0,0,130,4,18,97,105,76,38,7,3,0,353,0,3,5,11,12,12,0,0,0,36,9,82,143,121,113,57,12,0,0,541,3,14,39,32,31,18,10,0,0,151,26,51,86,52,24,22,5,0,0,260,43,38,43,15,16,9,3,0,0,172,0,18,87,92,83,75,23,0,0,377,3,0,11,9,4,3,3,0,0,38,0,0,14,13,8,4,3,0,0,43,0,3,8,15,9,5,0,0,0,43,3,5,30,34,11,22,3,0,0,103,5,10,31,27,23,13,7,0,0,109,0,3,39,35,29,33,10,0,0,155,3,7,17,12,28,14,7,0,0,82,0,4,17,26,26,17,8,0,0,105,0,3,8,8,11,8,0,0,0,32,7,28,37,31,40,28,0,0,0,173,10,37,65,62,36,34,11,5,0,269
506041137,0,3,9,7,3,4,0,0,0,28,3,12,67,67,70,32,3,0,0,253,16,44,112,154,130,122,33,0,0,609,0,3,24,21,21,13,3,0,0,84,30,104,217,187,153,123,26,0,0,843,11,18,67,56,55,41,8,0,0,251,61,78,106,46,64,68,16,0,0,446,89,61,61,31,29,20,3,0,0,286,6,30,118,129,137,120,34,4,0,574,4,6,19,18,10,11,3,0,0,72,0,4,38,29,24,12,3,0,0,104,0,8,17,20,16,14,10,0,0,89,3,14,82,77,54,32,14,0,0,284,5,14,43,40,35,36,7,0,0,181,3,12,74,68,87,99,13,4,0,358,3,19,33,49,45,52,13,0,0,221,12,11,53,46,46,40,11,0,0,218,7,13,19,20,17,13,5,0,0,97,17,43,75,71,59,40,5,0,0,298,17,42,100,83,76,44,12,0,0,383
506051138,0,4,13,4,8,9,0,0,0,34,5,15,94,95,64,32,3,0,0,316,12,36,101,123,87,85,20,0,0,463,0,3,6,18,29,16,0,0,0,76,32,79,234,191,131,86,21,0,0,772,3,15,59,62,59,45,15,0,0,252,41,48,74,67,50,34,14,0,0,324,65,49,53,31,17,6,6,0,0,225,13,36,118,162,137,125,31,0,0,613,3,4,9,13,4,7,6,0,0,47,0,5,19,23,10,8,4,0,0,72,3,6,9,17,11,10,3,0,0,56,0,16,63,77,39,21,8,0,0,228,13,13,29,25,30,22,7,0,0,138,0,11,48,62,57,35,11,0,0,227,4,7,25,42,28,25,8,0,0,141,6,16,38,41,35,22,9,0,0,159,0,13,25,10,12,3,5,0,0,72,11,38,59,51,53,30,4,0,0,253,16,28,80,72,60,50,5,3,0,310
506051139,0,3,5,0,3,4,0,0,0,22,0,13,61,74,55,38,3,0,0,247,7,28,64,65,70,32,9,0,0,269,0,0,7,12,7,6,0,0,0,33,29,64,137,112,97,52,4,0,0,497,0,15,29,38,49,18,4,0,0,154,26,40,47,44,35,19,5,0,0,208,51,17,23,13,20,5,0,0,0,124,7,28,92,100,118,77,28,0,0,451,0,0,4,5,6,4,0,0,0,24,0,0,13,9,9,4,0,0,0,33,0,3,9,11,14,5,3,0,0,48,0,7,30,29,21,13,3,0,0,103,0,11,18,26,22,22,6,0,0,110,0,9,29,26,34,29,3,0,0,130,0,3,9,23,14,24,3,0,0,78,4,3,20,12,28,26,3,0,0,100,0,9,10,5,5,4,0,0,0,35,14,33,61,38,28,21,9,0,0,200,11,18,44,42,32,36,4,4,0,195
506051140,6,3,6,3,6,6,8,5,0,41,0,9,32,60,83,43,9,0,0,229,14,22,43,52,63,45,9,0,0,251,0,3,12,12,21,11,3,0,0,59,34,75,104,106,136,93,27,0,0,573,3,16,21,33,42,31,11,3,0,159,36,50,27,35,38,26,23,0,0,246,69,17,19,12,17,11,4,0,0,155,0,16,23,73,84,75,26,0,0,303,3,8,0,14,9,4,3,0,0,36,0,4,7,20,24,14,4,0,0,76,0,3,4,11,19,14,12,3,0,62,0,15,40,54,64,65,28,4,0,264,8,12,14,14,21,19,6,0,0,81,4,3,17,38,67,62,15,3,0,213,11,12,22,46,59,37,12,0,0,195,0,5,19,27,32,33,14,0,0,136,5,7,12,7,9,14,4,4,0,48,11,25,28,34,38,30,9,0,0,174,13,19,24,33,48,52,15,3,0,204
506051141,3,3,4,11,27,14,13,9,0,81,0,5,28,44,68,35,3,0,0,183,9,15,29,49,62,37,17,3,0,225,0,0,7,7,14,4,0,0,0,36,12,39,75,101,92,73,18,5,0,416,10,8,20,19,25,22,9,0,0,111,34,35,23,22,23,18,10,3,0,172,48,24,8,4,12,4,6,0,0,102,3,12,13,45,65,52,11,0,0,206,3,0,3,8,10,0,0,0,0,32,4,0,3,6,15,9,6,0,0,34,0,6,0,13,10,7,3,0,0,45,0,12,25,47,43,33,18,0,0,185,3,10,7,17,21,14,3,0,0,78,3,3,11,42,69,38,10,0,0,188,14,10,18,45,31,33,16,0,0,162,0,5,7,11,27,25,6,5,0,88,8,3,3,4,4,7,0,0,0,31,11,25,31,16,44,27,10,0,0,158,18,8,17,18,34,24,4,0,0,124
506061142,3,3,8,3,5,7,0,0,0,30,0,26,123,98,57,22,5,0,0,327,13,48,146,86,82,57,9,0,0,436,0,3,23,8,13,11,3,0,0,67,42,117,312,171,103,75,8,0,0,819,5,19,61,45,39,12,7,0,0,185,32,47,105,49,32,22,4,0,0,291,47,18,28,22,9,3,0,0,0,128,0,29,146,116,73,70,20,0,0,450,0,3,10,3,0,0,0,0,0,26,0,3,21,17,9,3,0,0,0,44,0,3,22,13,10,4,3,0,0,53,0,8,48,33,37,10,5,0,0,140,0,6,40,20,12,10,0,0,0,87,3,10,72,59,48,19,9,0,0,225,3,3,19,22,24,16,4,0,0,96,0,5,25,34,25,11,3,0,0,114,3,9,12,5,7,3,0,0,0,39,4,37,82,46,37,24,3,0,0,229,9,30,69,68,50,23,7,0,0,260
506061143,10,0,5,13,16,17,8,3,0,75,3,6,26,27,46,8,0,0,0,108,7,26,16,37,58,26,11,0,0,169,0,3,0,10,9,12,3,0,0,33,27,41,66,70,124,49,6,0,0,389,3,10,7,13,11,20,0,0,0,60,28,9,16,6,20,11,3,0,0,95,15,4,4,3,4,0,0,0,0,32,5,3,16,28,47,36,9,0,0,139,3,0,3,5,0,0,0,0,0,11,0,0,3,0,5,0,0,0,0,9,0,3,4,8,6,3,0,0,0,25,0,10,7,12,17,11,0,0,0,67,0,12,8,8,7,8,6,0,0,46,4,3,4,17,36,19,8,0,0,91,0,4,7,8,10,13,3,0,0,44,0,0,3,8,6,11,0,0,0,28,3,7,5,3,7,8,0,0,0,40,4,14,9,16,22,9,5,0,0,88,16,11,13,20,34,17,6,3,0,114
