SA2_MAINCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501031019,20,8,12,5,0,0,58,0,6,16,7,6,0,0,0,44,11,70,57,44,48,24,6,0,254,15,29,40,61,54,34,12,5,248,112,173,148,167,132,62,32,7,829,40,17,15,8,10,0,0,0,87,9,16,8,17,19,15,3,0,84,158,203,166,192,156,71,40,11,1002,0,3,4,3,3,6,3,0,21,71,52,56,78,74,51,71,45,495,252,367,354,397,357,195,132,60,2124
501031020,11,14,19,17,8,0,73,0,10,6,17,22,16,0,0,63,17,58,68,88,100,75,24,0,419,8,25,40,71,97,62,21,3,332,35,72,101,173,161,98,40,9,677,15,5,12,11,13,9,0,0,59,0,0,19,27,28,18,6,0,100,45,84,123,211,192,125,46,9,832,0,0,4,3,6,13,3,0,35,57,62,64,90,118,126,76,13,610,126,250,321,490,553,435,171,25,2372
502011021,13,17,14,13,3,0,86,0,3,26,26,12,4,0,0,79,27,71,111,78,71,58,25,3,431,17,49,94,111,105,87,24,3,492,80,219,240,237,214,174,78,8,1251,22,20,12,5,5,10,0,0,76,11,16,22,25,33,28,4,0,135,110,255,271,271,246,208,79,15,1458,3,4,7,10,4,9,8,0,39,44,41,60,62,73,88,48,0,421,206,439,579,564,522,479,190,21,3003
502011022,23,19,16,11,3,0,86,0,4,23,20,24,13,0,0,80,34,89,152,148,110,76,20,4,628,31,81,109,131,129,105,39,12,637,151,230,231,287,276,219,107,23,1523,24,20,11,16,11,8,6,0,96,13,9,29,34,34,28,17,0,166,192,261,278,344,317,251,126,22,1786,4,3,5,12,4,18,7,3,51,62,52,72,85,89,120,72,34,587,318,500,662,754,692,601,259,68,3859
502011023,25,18,10,12,5,3,80,0,14,13,9,10,10,4,0,63,29,90,76,91,54,32,44,15,438,39,81,70,117,86,74,64,20,541,170,296,246,268,233,161,165,39,1582,39,28,14,17,8,3,0,0,120,9,26,32,26,37,19,18,6,170,216,351,301,317,275,183,189,41,1869,4,8,8,6,10,15,15,3,55,87,84,68,94,96,126,192,58,800,377,634,550,652,540,444,506,142,3844
502011024,53,67,28,39,10,3,225,3,32,39,43,39,25,3,0,189,56,219,305,283,235,148,70,21,1329,71,132,239,294,264,227,123,16,1373,296,447,520,557,439,354,192,50,2847,57,29,20,28,24,25,7,7,192,19,39,62,58,71,64,23,7,350,374,511,603,640,533,444,219,63,3395,5,8,16,28,30,25,26,10,133,134,91,134,145,163,255,198,99,1221,649,1018,1388,1504,1289,1149,662,210,7860
502011025,39,20,17,12,4,0,138,0,17,19,13,34,8,4,0,93,37,168,135,97,88,70,30,12,637,37,93,88,108,126,84,41,13,583,167,230,186,237,243,188,100,31,1394,36,21,22,16,18,14,3,0,129,18,24,22,21,47,31,12,6,182,230,274,233,282,308,232,113,39,1708,0,3,5,13,6,17,12,0,59,119,138,110,144,182,201,182,124,1198,416,738,628,681,760,628,381,186,4419
502011026,9,3,8,10,5,0,48,0,6,15,8,18,6,0,0,52,18,44,41,52,59,35,21,6,276,14,23,44,74,77,77,25,0,336,97,147,173,174,198,153,77,12,1024,21,20,14,6,10,3,0,0,82,5,8,17,20,24,24,8,0,112,127,180,198,202,231,186,84,12,1216,0,0,6,4,7,11,3,0,36,54,29,38,50,82,91,49,9,404,212,287,356,390,480,411,187,32,2356
502011027,60,69,34,23,3,0,244,3,40,57,49,31,17,3,0,198,68,325,362,235,136,69,35,12,1227,76,235,280,299,173,96,52,10,1212,381,758,606,580,391,229,116,35,3105,80,44,29,14,12,9,5,0,196,28,49,66,47,43,39,23,3,299,498,849,701,644,448,277,146,38,3599,8,14,23,18,20,13,11,5,105,122,143,136,130,101,125,93,84,929,772,1663,1606,1432,930,615,345,154,7514
502011028,27,18,13,19,3,4,99,3,12,11,19,21,16,6,0,83,32,99,91,78,88,70,31,7,490,28,71,67,103,136,112,55,18,587,165,260,227,282,269,221,134,24,1586,35,19,22,8,14,10,0,3,106,13,25,31,36,45,42,21,5,222,214,308,277,330,323,274,155,36,1918,5,7,9,12,15,18,13,3,80,88,73,80,118,132,189,210,147,1040,369,580,558,673,726,699,474,212,4290
502011029,8,11,16,6,0,0,55,0,11,12,13,9,9,0,0,56,11,80,101,80,45,44,30,5,402,30,60,68,109,80,61,31,7,458,140,319,320,286,231,150,89,26,1565,40,18,13,18,11,4,0,0,113,6,19,26,27,20,41,5,8,166,193,360,368,330,270,192,101,33,1841,0,4,8,10,7,11,3,0,39,118,94,111,121,130,142,154,43,913,358,630,674,672,557,473,317,94,3763
503011030,114,196,125,60,45,9,577,5,12,36,57,42,17,8,0,176,136,121,286,442,296,154,116,40,1599,10,30,51,130,76,86,66,33,479,22,27,28,70,60,36,35,16,292,5,0,0,0,0,3,3,0,24,5,3,13,12,16,10,12,6,72,37,31,39,82,80,54,53,24,384,0,3,0,11,7,4,8,8,48,27,34,16,55,40,39,50,37,294,224,246,544,977,660,406,347,150,3559
503011031,151,166,115,92,52,21,738,11,41,35,57,46,39,14,6,243,167,476,335,380,299,243,130,76,2104,23,54,55,98,121,107,87,45,592,40,75,47,75,49,38,23,6,355,17,4,0,3,5,3,3,0,35,10,4,13,17,22,30,11,11,122,61,85,55,101,69,71,40,24,506,0,10,10,3,3,14,8,7,63,89,97,86,90,100,115,119,77,774,365,890,717,889,761,679,449,260,5010
503011032,137,181,165,78,31,11,705,3,33,42,62,58,23,6,0,233,118,452,378,419,350,208,75,37,2046,17,46,55,106,130,102,59,18,534,35,64,47,52,51,38,23,10,330,3,3,4,3,7,7,4,0,29,3,11,9,21,17,17,9,6,86,45,77,67,79,73,64,34,16,444,3,4,6,5,8,15,5,7,63,52,74,40,71,67,50,34,27,413,249,779,729,928,846,549,248,112,4437
503011033,191,189,145,59,19,4,670,3,25,62,83,59,30,0,0,271,163,275,456,548,333,150,49,24,1999,13,39,69,151,119,67,48,26,537,32,43,47,90,73,35,27,15,352,6,3,10,7,3,9,0,0,45,0,3,14,21,10,12,5,3,59,37,47,69,116,89,48,39,19,458,3,7,10,13,7,11,4,3,61,33,14,40,46,19,25,25,16,216,263,471,906,1149,774,381,188,87,4216
503011034,198,222,160,77,19,8,848,4,52,57,79,54,27,6,5,284,212,538,453,523,365,258,106,30,2485,24,80,106,162,139,121,64,18,703,36,122,66,93,87,64,39,11,531,16,4,8,10,3,3,3,0,47,3,9,20,29,20,19,10,3,121,58,136,93,138,114,88,54,16,700,0,7,12,14,21,19,8,0,78,66,146,75,120,101,131,120,89,857,370,1114,1000,1257,949,725,371,168,5954
503011035,485,507,416,287,123,30,2325,16,67,102,136,105,71,22,8,522,834,1036,840,924,701,530,226,68,5150,153,88,110,176,199,218,112,39,1106,112,91,78,91,96,72,38,32,615,31,3,10,5,14,12,3,0,79,10,6,14,28,39,40,22,7,178,157,103,102,128,151,117,68,39,869,24,12,15,24,29,31,17,13,161,221,111,96,125,156,202,164,161,1230,1438,1855,1757,2017,1759,1461,725,358,11364
503011036,168,260,151,90,37,17,789,3,28,60,81,65,32,15,3,280,147,299,410,473,386,207,77,31,2033,18,45,93,137,155,125,60,22,640,33,66,54,61,54,48,34,4,348,3,5,3,3,5,0,3,3,30,5,7,14,17,8,26,15,6,103,39,81,70,77,67,71,51,13,482,3,6,5,16,11,16,7,4,70,50,48,74,83,78,51,61,44,494,269,560,883,1124,912,599,314,130,4789
503021037,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,6
503021038,241,162,87,34,6,3,753,4,80,122,93,63,8,0,5,379,174,822,721,439,241,72,28,10,2503,45,184,170,186,124,47,12,3,773,71,227,168,184,117,66,18,11,862,18,11,6,9,11,4,0,0,63,15,18,32,42,24,13,6,0,146,101,259,206,233,148,83,28,12,1069,0,10,5,12,3,9,3,3,53,112,107,92,67,41,52,31,19,522,458,1676,1555,1190,711,303,106,52,6049
503021039,288,234,161,92,21,0,1071,11,134,128,141,109,26,10,4,562,326,1149,847,630,492,210,52,16,3718,139,274,235,252,239,119,57,15,1338,151,350,203,229,207,117,45,17,1314,44,20,24,14,12,8,0,0,118,7,29,24,45,43,29,15,3,194,207,402,253,282,260,152,58,18,1632,5,25,24,23,12,17,6,9,113,191,294,186,146,134,163,134,130,1376,894,2546,1952,1709,1406,777,338,194,9815
503021040,166,129,71,25,10,0,550,6,62,70,75,46,19,3,0,284,140,663,523,342,207,75,26,0,1978,37,145,127,129,112,56,19,5,632,77,189,117,130,105,49,42,17,729,17,9,6,16,4,3,0,0,52,14,14,9,29,17,11,5,4,104,110,216,133,170,122,64,52,20,890,3,9,4,12,6,0,3,5,45,63,107,79,98,96,67,63,49,616,364,1334,1108,959,665,309,171,89,4993
503021041,821,453,280,139,36,5,3145,17,319,197,123,121,33,6,3,816,787,4377,1638,811,643,300,97,23,8676,313,1049,511,447,376,188,52,17,2938,370,903,433,439,330,174,77,13,2740,62,49,29,24,22,13,5,3,207,39,133,71,58,77,38,16,4,428,462,1087,531,528,433,226,94,19,3378,42,121,48,32,29,26,12,0,303,788,2192,1241,1105,866,481,268,120,7060,2465,10489,4980,3491,2742,1395,560,190,26319
503021042,491,401,285,215,61,12,1851,12,122,127,135,127,68,16,3,602,334,1243,852,725,560,384,152,30,4276,43,200,183,197,187,192,111,31,1134,97,176,134,146,115,97,55,15,833,27,6,8,3,9,5,7,8,74,5,28,34,36,36,48,15,8,209,124,205,177,183,160,150,76,28,1111,6,18,13,29,22,17,19,8,131,120,263,202,137,171,191,167,119,1377,666,2399,2051,1799,1515,1223,594,229,10476
503021043,497,257,138,98,22,3,1487,11,130,119,127,89,38,8,10,535,335,1456,1055,633,435,210,72,38,4244,94,323,279,239,231,155,88,34,1449,121,347,216,151,175,110,68,35,1230,16,20,18,13,3,10,3,3,84,13,33,38,45,40,31,14,12,226,154,399,277,210,216,154,83,47,1543,16,36,25,17,20,25,7,5,142,148,353,227,139,148,186,213,161,1573,783,3149,2482,1614,1277,868,497,309,10976
