SA2_MAINCODE_2016,Australia_M,Australia_F,Australia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,TFYROM_M,TFYROM_F,TFYROM_P,Turkey_M,Turkey_F,Turkey_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Zimbabwe_M,Zimbabwe_F,Zimbabwe_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
506051138,5643,5744,11392,0,11,9,94,123,212,3,8,10,6,3,11,4,10,16,25,34,57,3,0,6,19,22,41,375,349,717,40,62,100,12,6,19,4,4,4,39,46,87,28,40,68,4,15,19,9,8,16,3,6,9,88,126,210,3,4,9,23,29,61,401,400,797,26,20,41,188,245,430,23,17,38,65,68,134,102,89,195,34,32,74,9,45,54,0,0,0,6,3,9,657,666,1320,13,18,33,4,14,20,46,58,109,525,524,1052,482,517,1003,70,89,164,9086,9455,18542
506051139,4056,4111,8175,0,10,9,5,16,18,4,3,5,0,0,4,3,0,3,24,22,44,0,0,0,0,4,8,65,60,128,10,23,38,0,3,4,0,0,3,41,31,70,26,26,52,0,6,11,7,4,7,0,0,3,16,36,52,3,3,3,27,23,52,335,306,643,0,4,6,92,104,200,10,3,11,14,21,38,56,73,127,12,13,20,6,27,34,0,0,0,0,0,0,468,521,984,15,12,25,11,15,27,23,25,49,134,143,275,440,425,868,18,28,47,5928,6116,12046
506051140,4625,4793,9418,25,18,45,4,28,28,5,7,18,5,3,8,5,6,4,54,68,127,3,0,3,3,7,10,60,48,103,10,9,17,0,3,5,0,0,0,80,72,154,72,60,135,3,9,19,0,3,6,0,0,0,17,32,50,0,4,3,36,48,81,208,190,403,3,4,5,9,37,50,9,14,23,28,28,55,77,98,173,7,15,19,4,31,36,0,0,0,3,3,8,1113,1157,2275,27,36,64,3,0,3,41,37,79,174,224,396,300,328,629,26,47,75,7052,7466,14525
506051141,3837,3820,7662,14,7,21,3,10,14,4,5,10,0,4,3,3,0,3,31,36,67,0,3,3,3,6,7,27,29,59,6,10,12,0,0,0,0,0,0,34,46,80,80,87,167,0,3,3,0,4,4,5,5,13,19,30,52,0,5,10,46,37,84,142,148,290,0,3,3,8,29,34,3,10,11,12,25,40,70,84,157,9,3,13,6,20,30,0,0,0,0,0,0,681,697,1377,22,18,44,7,3,8,41,33,78,118,166,285,283,264,546,32,45,76,5572,5703,11272
506061142,5171,5382,10554,12,12,26,13,23,37,3,5,8,3,0,4,4,10,13,20,17,39,0,0,6,6,3,8,249,242,491,9,15,22,11,9,15,0,3,3,30,27,54,16,17,30,0,3,3,3,7,10,3,0,3,29,47,78,0,0,0,54,43,92,320,330,656,25,18,48,54,67,120,5,9,10,33,30,62,150,155,309,26,16,36,10,18,26,0,0,0,3,0,4,735,810,1549,18,12,27,3,3,8,67,75,148,224,240,463,381,396,773,47,53,101,7733,8100,15833
506061143,2337,2237,4578,8,10,17,0,7,4,3,0,6,0,0,0,0,0,0,13,11,23,0,0,4,0,3,4,10,8,17,3,3,4,0,0,0,0,0,0,14,10,23,17,10,28,0,3,3,3,0,4,0,0,0,3,7,18,3,0,3,16,24,40,81,79,159,0,0,4,12,21,31,0,3,9,7,11,16,35,36,68,0,0,3,3,8,7,0,0,0,0,0,0,320,355,675,15,7,20,3,4,6,4,11,16,46,53,105,178,163,341,13,14,25,3165,3095,6263
506061144,1613,1328,2939,7,3,11,0,0,0,0,3,5,0,0,0,0,0,0,9,5,14,0,0,0,0,3,3,7,0,7,3,3,8,0,0,0,0,0,0,13,6,17,7,3,9,0,0,6,3,0,0,0,0,0,10,0,9,0,3,5,17,10,33,62,47,109,0,0,0,8,8,13,0,3,3,3,0,4,20,18,31,0,0,3,0,3,4,0,0,0,0,0,0,288,297,583,6,3,7,3,0,3,7,3,6,40,33,74,192,207,400,5,28,28,2325,2037,4359
506071145,3657,4306,7965,15,27,44,117,122,243,13,4,16,20,11,27,8,3,14,22,37,57,14,17,29,34,31,65,150,136,288,76,113,186,78,75,149,18,14,32,85,66,149,46,53,103,21,32,60,54,49,106,5,3,10,133,189,320,0,3,4,21,15,39,150,134,286,19,13,31,27,68,90,28,28,55,52,82,139,113,126,237,30,38,64,17,58,72,0,3,8,11,8,13,531,503,1036,33,47,74,20,38,55,31,52,80,361,404,767,440,499,940,71,107,185,6520,7510,14031
506071146,3265,3100,6364,16,18,34,192,212,400,8,10,20,0,3,5,0,3,4,15,22,37,5,9,13,42,38,80,110,117,223,109,152,260,53,37,84,29,33,61,37,28,64,34,33,74,11,29,39,39,42,86,7,3,11,250,244,490,0,3,3,20,15,37,75,80,157,20,3,29,24,38,65,16,28,42,109,108,218,70,54,132,24,21,43,21,31,53,0,3,4,8,10,15,343,344,686,26,22,49,30,38,71,12,25,33,326,372,701,268,310,582,117,146,260,5736,5792,11528
506071147,4770,4736,9506,24,31,58,124,149,276,8,8,21,16,10,22,9,6,11,35,41,78,13,14,30,32,40,69,173,171,348,51,74,129,77,71,150,7,7,17,95,100,195,79,58,138,32,55,91,42,48,88,3,0,5,154,174,327,0,0,0,22,24,46,189,182,378,12,13,27,19,52,71,20,25,42,70,95,171,124,130,249,28,30,53,12,39,50,7,5,16,4,4,10,777,673,1446,66,51,112,41,56,94,46,40,87,417,426,851,581,581,1169,149,176,326,8350,8403,16750
507011148,5174,5353,10527,13,15,26,215,230,445,17,22,38,3,11,16,4,3,8,24,23,47,0,0,4,34,22,55,263,241,505,51,61,112,37,46,86,4,3,5,58,55,110,47,32,79,7,27,34,44,54,92,8,8,18,158,171,327,0,0,0,21,20,43,283,263,549,15,10,25,82,103,185,18,28,46,99,119,218,172,204,377,38,52,96,8,28,33,0,0,0,0,0,0,757,829,1589,20,17,37,8,19,29,38,46,76,343,365,699,308,321,629,73,153,233,8446,8959,17405
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,2767,2847,5614,9,13,20,14,15,30,97,93,188,0,8,5,3,0,4,22,21,48,0,0,0,0,0,4,25,19,47,6,21,26,8,5,10,0,0,0,20,32,49,121,96,213,0,5,5,3,5,6,5,3,3,15,20,29,0,4,4,11,12,29,99,82,176,0,0,3,91,72,159,14,13,25,14,10,29,43,53,99,0,0,0,0,14,14,0,3,3,0,0,0,401,423,830,18,13,34,9,12,14,11,9,20,189,264,450,191,204,398,12,26,39,4215,4413,8632
507011153,2461,2609,5070,8,15,22,33,39,69,15,19,31,11,7,14,9,0,8,26,30,60,0,3,5,11,9,20,38,43,81,13,22,37,3,4,10,13,16,26,23,13,41,30,24,51,4,15,20,12,13,34,0,0,0,28,39,65,0,0,3,19,22,37,110,95,206,9,5,15,60,67,128,11,11,22,25,40,65,55,46,99,3,6,16,4,14,13,3,0,4,3,3,4,301,335,638,16,25,40,8,8,12,20,20,37,212,243,458,266,266,533,14,32,50,3869,4161,8028
507011154,2804,2929,5732,12,15,24,12,23,36,71,63,130,4,4,4,0,3,5,45,60,107,0,3,3,3,7,11,52,45,100,14,15,33,11,3,13,7,3,7,42,47,80,234,239,468,3,19,22,8,9,16,3,3,7,9,19,31,0,0,3,20,24,42,155,138,287,3,3,5,128,124,255,8,9,17,9,20,31,54,50,102,12,16,22,9,24,33,3,0,3,4,0,5,387,401,791,43,24,70,3,18,19,17,20,42,351,394,746,435,437,869,36,50,81,5006,5269,10272
507011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,10,8,15
507011158,634,704,1339,4,7,11,3,7,15,3,3,5,0,0,0,0,0,0,7,7,13,0,0,0,0,0,0,4,6,11,0,6,6,0,0,0,0,0,0,9,11,22,22,6,26,0,3,3,0,3,3,0,0,3,5,8,18,0,0,0,0,6,6,19,30,48,0,0,0,3,11,16,5,0,3,8,8,17,19,22,36,0,0,0,0,3,7,0,0,0,0,3,3,177,176,355,8,4,10,0,0,3,0,0,0,56,59,116,106,117,223,6,9,20,1117,1224,2339
507011159,3351,3367,6725,12,21,35,94,120,213,15,14,34,0,3,3,0,4,4,23,18,36,0,0,0,15,25,37,105,96,197,41,70,115,14,12,23,4,3,3,22,29,55,38,27,69,3,10,18,24,26,47,5,6,7,97,115,213,0,0,3,17,18,40,202,158,364,15,13,31,134,115,248,23,21,44,43,74,119,72,88,158,18,16,31,13,35,45,0,0,0,3,4,10,472,443,922,14,20,35,15,26,40,15,22,38,319,322,645,316,307,630,53,57,111,5617,5723,11340
507011160,2670,2897,5563,10,12,19,9,18,30,165,178,338,7,5,15,0,5,4,26,21,50,3,4,4,0,5,4,53,52,101,12,11,23,6,9,11,0,0,0,40,24,61,225,188,418,5,3,8,5,3,7,3,0,3,16,19,30,5,3,5,20,14,35,117,126,241,0,0,0,272,270,540,8,13,20,4,9,8,33,35,69,4,5,14,3,18,23,3,3,3,3,3,9,307,325,631,19,22,38,3,18,19,13,17,29,353,399,749,355,424,782,27,40,66,4790,5198,9993
507011161,3852,4018,7875,15,19,34,236,271,514,30,25,54,7,9,16,7,7,13,12,18,27,0,0,0,29,38,59,285,252,528,61,96,152,36,32,66,4,0,3,47,38,84,16,19,35,12,27,42,49,47,97,9,7,11,125,137,258,0,3,3,9,8,23,285,268,549,16,21,37,152,201,356,9,24,33,105,114,210,214,226,439,32,30,65,6,28,37,0,0,0,0,0,0,578,569,1146,32,19,55,14,19,39,42,49,92,375,409,786,383,416,805,87,132,222,7170,7605,14775
507011163,2374,2391,4762,8,14,17,14,26,39,49,42,88,0,0,0,0,0,0,11,17,25,0,0,0,7,4,8,36,19,55,6,12,22,6,0,5,0,0,0,21,11,31,35,45,81,3,5,13,11,19,33,0,0,0,14,20,29,0,0,0,8,9,22,115,111,227,3,0,4,97,105,209,12,12,25,3,3,9,42,53,94,3,6,3,10,26,36,0,0,0,0,0,3,279,250,534,7,8,18,3,5,8,16,6,24,185,225,413,221,243,468,15,23,39,3633,3710,7348
