SA2_MAINCODE_2016,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Turk_Bth_prnts_brn_os,Turk_Father_only_born_os,Turk_Mother_only_born_os,Turk_Bth_prnts_born_Aus,Turk_bp_ns,Turk_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_persns_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
506051141,71,604,502,2733,38,3950,0,0,0,12,0,12,94,6,21,13,0,129,29,10,6,23,0,67,204,42,35,61,6,339,2008,597,469,2048,58,5175,32,0,3,0,0,40,58,3,3,6,0,74,156,40,35,191,11,434,23,9,0,12,0,49,17,3,7,7,0,29,68,11,9,14,0,106,429,111,98,630,11,1278,438,118,71,406,9,1042,0,0,3,0,0,11,16,4,0,0,0,25,7,0,0,3,0,7,12,3,0,0,0,18,34,0,6,4,0,45,121,35,14,6,0,179,52,17,8,33,0,113,30,4,9,7,0,49,442,110,56,550,13,1173,5,0,4,3,0,10,121,22,7,0,0,149,18,3,5,3,0,28,8,3,0,0,0,14,0,0,0,0,0,3,11,0,3,0,0,11,68,6,3,21,0,105,488,59,72,111,7,737,12,10,3,22,453,503,3970,1056,839,4766,568,11196
506061142,205,847,736,3866,68,5716,0,0,0,52,0,53,168,4,16,16,0,203,21,6,3,23,0,52,300,79,85,222,3,691,2547,802,784,2924,78,7132,128,6,14,3,0,152,55,4,0,18,0,80,131,53,41,184,12,419,16,7,7,15,0,41,13,3,0,0,0,16,619,16,9,8,3,658,447,107,89,564,8,1207,131,66,37,260,7,508,14,0,0,0,0,15,10,8,3,8,0,28,7,3,0,5,0,14,3,5,0,16,0,21,171,22,26,3,0,226,161,70,42,18,3,294,41,16,10,29,0,85,4,7,0,9,0,19,455,155,115,520,14,1258,8,0,0,0,0,12,200,24,20,3,4,254,30,3,0,5,0,42,37,6,0,3,0,47,3,0,0,0,0,3,8,0,0,0,0,4,77,12,14,21,3,126,1273,121,80,135,8,1617,64,7,9,73,687,835,5861,1428,1228,6383,831,15738
506061143,63,372,272,1867,40,2617,0,0,0,0,0,5,35,0,3,3,0,41,7,5,3,5,0,29,149,48,39,109,6,338,992,339,286,1244,38,2891,37,0,3,0,0,47,13,3,4,11,0,33,55,21,21,98,3,206,17,0,0,11,0,27,9,0,0,0,0,4,24,3,0,4,0,30,177,46,45,254,3,524,91,35,17,116,4,260,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,28,7,3,3,0,41,51,25,21,6,0,101,17,3,8,13,0,41,4,0,0,4,0,6,167,60,42,252,4,526,7,0,0,0,0,7,41,9,3,0,0,49,18,0,0,3,0,29,9,0,3,0,0,12,0,0,0,0,0,0,14,0,0,0,0,14,23,3,3,6,0,39,217,47,35,43,3,348,15,0,3,23,276,323,1836,599,461,2976,362,6237
506061144,31,205,158,1190,28,1610,0,0,0,0,0,0,9,0,0,0,0,14,8,0,0,5,0,11,82,18,6,43,0,145,733,186,162,732,35,1852,15,3,0,0,0,19,8,0,0,3,0,9,41,7,7,73,4,133,3,3,4,3,0,16,3,0,0,0,0,4,6,0,0,4,0,6,91,28,20,196,4,338,54,20,6,47,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,17,0,3,0,0,25,20,4,10,4,0,39,3,0,0,3,0,12,3,0,0,0,0,3,153,39,27,180,11,404,3,0,0,0,0,3,8,0,0,0,0,13,4,0,0,3,0,12,4,0,5,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,17,0,0,11,0,32,108,29,15,36,3,185,11,8,0,19,605,643,1205,331,258,1859,675,4327
506071145,89,526,476,2600,41,3731,0,0,0,20,0,20,988,31,29,21,3,1071,44,9,11,41,0,102,125,39,25,60,0,253,1624,478,473,2374,45,5002,100,0,23,6,0,124,70,3,3,31,0,108,157,30,32,228,4,448,76,13,11,44,0,142,18,3,0,10,3,34,399,19,12,8,3,438,430,113,100,811,10,1465,280,75,50,262,6,674,117,0,3,0,0,117,15,0,0,8,0,19,13,3,3,8,0,28,11,3,0,4,0,16,28,4,0,0,0,36,81,30,18,5,0,134,126,12,11,31,3,185,40,3,7,7,0,57,425,119,105,610,15,1273,11,0,0,0,0,11,149,6,17,0,0,171,60,8,3,13,0,81,75,3,0,0,0,77,25,8,0,0,0,40,56,3,9,0,0,65,55,15,15,25,0,114,1506,92,119,120,16,1846,50,3,3,33,875,972,5988,934,895,5035,992,13847
506071146,85,427,376,2081,74,3042,0,0,0,46,0,47,1622,28,52,15,19,1729,43,10,3,31,0,96,103,31,13,42,3,187,989,399,323,1615,40,3365,66,6,13,0,0,78,63,3,4,9,0,74,94,28,19,141,3,283,26,3,3,19,0,56,18,0,0,0,0,27,315,5,8,6,0,338,254,98,70,614,4,1043,205,62,40,254,3,569,95,0,7,0,3,103,14,10,0,0,0,24,15,0,3,11,0,24,12,3,0,5,0,19,15,3,3,0,0,25,57,18,15,3,0,96,85,8,13,17,3,127,14,0,0,3,0,21,238,107,80,420,4,847,20,0,0,0,0,18,54,17,3,0,0,73,27,0,0,13,0,46,46,0,3,0,0,51,23,0,0,0,0,23,76,0,0,0,0,79,47,6,10,20,0,88,1443,88,77,85,18,1706,50,3,0,25,582,656,5302,765,650,3795,749,11267
506071147,96,743,562,3009,78,4489,0,0,0,19,0,22,1019,23,35,31,21,1133,57,14,19,65,0,152,141,53,20,54,3,268,2076,654,487,2728,60,6006,85,0,8,3,0,98,100,8,8,39,0,150,190,45,31,257,3,523,78,24,10,46,3,163,24,7,6,3,0,36,486,7,17,7,4,519,591,144,115,946,14,1803,344,111,47,297,9,806,93,0,0,5,0,91,16,3,0,9,0,24,26,3,4,9,0,46,16,7,5,5,0,38,50,0,6,4,0,65,119,44,27,13,0,216,87,21,7,38,3,148,59,3,5,10,0,72,559,135,123,759,13,1592,36,0,5,4,0,46,127,9,10,0,0,152,59,5,3,8,3,82,62,8,4,4,0,76,25,0,0,0,0,33,129,0,4,0,0,137,84,15,12,45,0,150,1592,133,135,160,25,2045,41,12,9,36,1066,1153,6952,1286,980,5939,1268,16423
507011148,187,778,671,3754,64,5459,0,3,0,14,0,18,1392,22,21,20,12,1465,74,15,20,51,0,165,162,44,43,84,0,335,2355,656,620,2516,61,6217,220,0,9,3,0,234,68,4,0,15,0,84,149,60,22,186,8,424,28,3,12,26,0,68,21,4,4,0,0,24,737,11,19,16,0,788,545,109,96,610,8,1373,273,112,79,483,6,960,116,4,0,0,0,121,32,0,3,0,0,35,3,4,0,8,0,13,13,3,3,17,0,33,135,11,13,5,0,164,159,64,28,9,0,258,99,11,9,28,3,152,29,3,9,9,0,47,580,164,124,593,9,1459,50,3,5,4,0,64,267,29,13,7,4,324,60,16,5,3,0,85,93,0,0,3,0,97,8,0,0,4,0,15,51,3,3,3,0,62,87,16,8,29,0,138,1484,134,155,169,22,1953,61,4,9,53,551,675,7884,1332,1150,6101,715,17176
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
