SA2_MAINCODE_2016,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,Percent_Unemployment_M,Percent_Unemployment_F,Percent_Unemployment_P,Pcent_Lab_force_particip_M,Pcent_Lab_force_particip_F,Pcent_Lab_force_particip_P,Pcent_Employmnt_to_pop_M,Pcent_Employmnt_to_pop_F,Pcent_Employmnt_to_pop_P,Non_sc_quals_Postgrad_Deg_M,Non_sc_quals_Postgrad_Deg_F,Non_sc_quals_Postgrad_Deg_P,Non_sc_qua_Gra_Dip_Gra_Cer_M,Non_sc_qua_Gra_Dip_Gra_Cer_F,Non_sc_qua_Gra_Dip_Gra_Cer_P,Non_sc_quals_Bachelor_Deg_M,Non_sc_quals_Bachelor_Deg_F,Non_sc_quals_Bachelor_Deg_P,Non_sc_quals_Adv_Dip_Dip_M,Non_sc_quals_Adv_Dip_Dip_F,Non_sc_quals_Adv_Dip_Dip_P,Non_sc_quals_Cert3a4_Level_M,Non_sc_quals_Cert3a4_Level_F,Non_sc_quals_Cert3a4_Level_P,Non_sc_quals_Cert1a2_Level_M,Non_sc_quals_Cert1a2_Level_F,Non_sc_quals_Cert1a2_Level_P,Non_sc_quals_Certnfd_Level_M,Non_sc_quals_Certnfd_Level_F,Non_sc_quals_Certnfd_Level_P,Non_sc_quals_CertTot_Level_M,Non_sc_quals_CertTot_Level_F,Non_sc_quals_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
505031102,3416,3374,6787,1270,651,1921,463,738,1201,116,110,226,274,219,495,2121,1718,3845,1098,1467,2564,12.9,12.7,12.9,62.1,50.9,56.7,54.1,44.4,49.3,47,47,94,18,37,50,240,299,543,187,253,436,746,380,1122,58,68,129,59,85,140,858,531,1386,3365,3354,6725,649,601,1247,2282,2269,4555,1507,1436,2948
505031103,9133,9785,18916,5147,2778,7920,1220,2935,4155,262,327,589,495,422,913,7120,6460,13579,1705,2979,4679,7,6.5,6.7,78,66,71.8,72.6,61.7,66.9,337,281,613,107,189,291,1289,1695,2984,841,1132,1972,2168,1053,3223,93,150,245,137,251,383,2403,1456,3853,9701,9993,19691,1744,1907,3653,5913,6088,12007,4877,5187,10070
505031104,4127,4335,8467,1767,966,2737,572,1109,1687,146,155,299,269,230,495,2753,2465,5214,1182,1672,2855,9.8,9.3,9.5,66.7,56.9,61.6,60.2,51.4,55.8,58,72,130,28,55,84,322,446,760,269,365,634,951,439,1385,32,67,104,61,108,171,1045,611,1658,4177,4360,8533,559,559,1114,3143,3261,6404,1367,1436,2803
505031105,6875,7353,14225,3490,1845,5332,1014,2356,3371,242,215,460,453,418,867,5191,4836,10027,1409,2151,3558,8.7,8.6,8.6,75.5,65.8,70.5,69,60.1,64.4,196,199,399,98,145,238,636,1092,1731,628,893,1523,2092,911,3001,47,119,167,118,226,338,2253,1259,3510,7002,7092,14093,1341,1448,2792,4208,4299,8502,3871,4026,7896
505031106,3,0,6,0,0,4,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,100,0,66.7,0,0,116.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,3,3,8,0,0,0,0,0,0,3,3,7
505031107,4565,4979,9543,2562,1346,3909,594,1515,2117,157,167,318,238,227,463,3552,3258,6810,873,1565,2434,6.7,7,6.8,77.8,65.4,71.4,72.6,60.8,66.5,117,126,244,53,99,154,493,792,1287,411,606,1018,1402,630,2029,41,86,129,76,149,221,1515,860,2373,5117,5384,10504,747,797,1540,3228,3344,6574,2280,2492,4771
505031108,9546,10199,19748,4999,2659,7653,1212,2909,4118,317,344,666,554,465,1015,7073,6383,13453,2069,3376,5448,7.8,7.3,7.5,74.1,62.6,68.1,68.4,58,63,237,202,440,91,189,282,888,1495,2381,763,1073,1834,2928,1282,4211,99,146,239,144,311,451,3170,1736,4904,9640,10162,19802,1562,1694,3253,6128,6345,12473,4486,4935,9421
505031255,2697,3012,5705,1672,1011,2680,277,855,1132,112,116,234,143,134,278,2200,2117,4321,287,674,962,6.5,6.3,6.4,81.6,70.3,75.7,76.4,65.8,70.9,65,56,126,22,55,84,243,485,727,268,414,682,906,513,1417,40,76,115,47,70,116,987,662,1648,1958,2062,4011,1343,1519,2856,208,215,422,2784,3066,5847
505031256,331,273,610,131,60,189,56,83,143,15,11,22,17,16,27,212,166,384,86,71,160,8,9.6,7,64,60.8,63,61,56.4,58,4,5,8,0,3,7,29,35,60,15,26,41,80,26,114,0,9,10,9,7,13,95,43,137,312,266,578,32,23,48,231,182,420,97,85,184
505031257,1123,1142,2266,431,197,632,120,287,406,47,41,88,72,69,141,673,598,1266,348,451,794,10.7,11.5,11.1,59.9,52.4,55.9,53.3,46,49.7,10,13,25,3,27,29,50,92,143,60,122,189,361,164,529,13,27,44,22,36,49,392,230,623,1039,1015,2050,258,264,521,598,546,1146,616,652,1270
505031258,3014,3395,6407,1415,774,2190,314,819,1134,122,116,243,202,182,383,2056,1896,3952,678,1153,1831,9.8,9.6,9.7,68.2,55.8,61.7,61.4,50.3,55.7,37,41,84,16,48,63,167,331,499,238,387,627,985,502,1490,37,57,102,56,125,183,1083,683,1763,2881,3055,5931,819,857,1681,1125,1090,2207,2246,2519,4765
506011110,6971,7604,14571,2826,1521,4347,708,1465,2173,219,230,451,575,501,1081,4324,3730,8049,2014,3217,5232,13.3,13.4,13.4,62,49.1,55.2,53.8,42.3,47.8,105,133,235,41,56,99,357,614,972,422,624,1041,1743,1021,2761,116,176,300,107,198,309,1966,1403,3363,6469,6737,13206,1515,1779,3295,3716,3847,7566,3725,4172,7894
506011111,3,6,10,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,100,0,30,100,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,9,10,0,0,0,3,0,5,0,0,3
506011112,2159,2203,4366,972,494,1467,251,482,735,59,71,132,161,140,301,1444,1191,2641,591,882,1479,11.1,11.8,11.4,66.9,54.1,60.5,59.4,47.5,53.5,42,39,81,6,30,40,117,208,321,125,211,330,606,287,892,26,29,56,37,61,102,669,385,1051,2066,2109,4169,399,417,812,1320,1314,2637,1026,1095,2118
506011113,6688,7122,13805,4322,2480,6801,798,1956,2757,203,289,490,372,417,785,5696,5133,10833,810,1806,2614,6.5,8.1,7.2,85.2,72.1,78.5,79.6,66.3,72.8,463,449,913,113,189,303,1250,1660,2910,715,867,1583,1631,820,2454,52,109,165,97,156,253,1784,1085,2868,6560,6709,13267,2029,2220,4245,2278,2316,4589,5539,5919,11454
506011114,4126,4257,8378,1732,896,2625,523,992,1514,143,129,266,262,235,495,2649,2244,4895,1156,1657,2813,9.9,10.5,10.1,64.2,52.7,58.4,58.1,47.4,52.6,96,88,181,35,80,108,301,483,784,283,409,695,1072,536,1607,44,85,133,75,126,192,1190,741,1933,3901,3944,7846,655,679,1332,2583,2603,5189,1783,1830,3619
506011115,3207,3321,6527,1472,744,2221,371,898,1270,99,92,193,171,109,282,2110,1848,3960,888,1261,2153,8.1,5.9,7.1,65.8,55.6,60.7,60.6,52.2,56.4,62,72,137,42,58,94,278,416,699,263,353,618,1007,406,1418,31,52,76,61,118,178,1101,575,1674,3181,3240,6422,354,383,738,2201,2201,4399,1234,1338,2570
506011116,2645,2832,5476,1277,688,1964,382,904,1287,91,75,167,134,101,237,1889,1769,3654,655,954,1612,7.1,5.7,6.5,71.4,62.5,66.7,66.2,58.9,62.4,72,89,163,39,85,124,325,482,813,244,368,613,810,327,1131,19,44,63,56,74,133,884,445,1327,2841,2936,5771,278,293,577,2037,2104,4141,981,1023,2001
506011117,3615,3768,7387,1936,924,2858,423,1031,1455,120,117,240,239,224,464,2722,2290,5013,709,1290,1993,8.8,9.8,9.3,75.3,60.8,67.9,68.6,55,61.6,47,74,119,13,34,45,245,344,584,274,387,657,1042,639,1680,49,84,137,81,86,166,1175,809,1984,3862,3846,7709,754,769,1521,2288,2309,4590,1959,1977,3942
506021118,6162,5977,12142,2747,1686,4428,736,1250,1987,235,179,410,359,254,618,4080,3364,7443,1369,2013,3383,8.8,7.6,8.3,66.2,56.3,61.3,60.3,52.1,56.2,221,218,437,65,132,195,721,951,1676,523,546,1069,1367,575,1943,45,61,106,96,140,234,1513,775,2285,5043,4921,9964,1261,1174,2436,3021,3050,6073,2978,2760,5741
506021119,6837,6829,13669,3062,2108,5170,985,1644,2630,176,226,400,447,337,783,4669,4312,8985,1492,1895,3390,9.6,7.8,8.7,68.3,63.1,65.7,61.8,58.3,60,451,470,928,119,249,371,1307,1710,3018,583,650,1233,1157,512,1668,56,66,121,87,139,222,1297,712,2008,5463,5624,11092,1637,1571,3205,3138,3240,6386,3645,3591,7236
506021120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021121,25,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506021122,10519,10263,20781,4642,2770,7413,1427,2101,3527,292,284,572,666,529,1195,7025,5677,12706,2377,3520,5903,9.5,9.3,9.4,66.8,55.3,61.1,60.5,50.2,55.4,493,446,941,142,190,334,1486,1898,3381,910,913,1827,2110,903,3010,79,115,197,139,209,343,2331,1228,3558,8252,8197,16444,2654,2471,5127,4758,4944,9707,5683,5244,10931
506021123,6576,6117,12693,3135,1964,5098,1010,1463,2473,170,198,372,381,316,697,4700,3934,8633,1182,1636,2814,8.1,8,8.1,71.5,64.3,68,65.6,59.3,62.6,508,488,992,151,189,341,1398,1500,2893,659,699,1356,1017,454,1469,58,68,127,72,96,168,1143,622,1764,4799,4600,9404,1699,1637,3337,2598,2499,5094,3743,3557,7300
506031124,8805,8710,17513,2751,1659,4408,1529,1769,3296,226,226,454,763,540,1303,5265,4197,9461,2780,3742,6525,14.5,12.9,13.8,59.8,48.2,54,51.2,42,46.6,627,488,1116,120,197,314,1584,1776,3359,778,730,1506,1185,534,1720,73,70,145,103,156,258,1363,762,2127,6228,6382,12609,2668,2245,4913,3158,3553,6713,5413,4761,10170
506031125,3762,4141,7904,1893,1165,3056,573,1248,1827,102,109,211,268,217,484,2841,2741,5577,837,1301,2142,9.4,7.9,8.7,75.5,66.2,70.6,68.3,60.9,64.4,228,200,426,70,113,180,683,783,1467,350,452,801,782,364,1143,47,59,105,37,95,132,863,520,1382,3941,4271,8214,524,592,1114,2802,3094,5900,1560,1620,3180
506031126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031127,7357,7092,14455,3136,1779,4911,1335,1607,2939,237,204,438,541,500,1042,5243,4092,9336,1607,2531,4138,10.3,12.2,11.2,71.3,57.7,64.6,64,50.6,57.3,485,477,962,87,136,224,1328,1583,2910,768,663,1431,1209,554,1762,79,80,156,90,139,235,1375,777,2153,6010,5807,11816,2174,2058,4228,2995,2957,5951,4713,4436,9154
506031128,5502,5703,11201,2478,1406,3876,792,1434,2228,144,176,324,373,279,652,3790,3288,7079,1495,2216,3706,9.8,8.5,9.2,68.9,57.7,63.2,62.1,52.9,57.4,251,242,490,80,145,224,854,1004,1857,454,557,1013,1274,575,1847,49,81,128,79,132,212,1400,786,2190,5316,5398,10717,899,929,1825,3717,3824,7537,2263,2256,4515
506031129,5076,5650,10727,2108,1164,3274,843,1523,2366,127,134,263,312,255,570,3392,3078,6466,1571,2397,3968,9.2,8.3,8.8,66.8,54.5,60.3,60.6,49.9,55,512,400,908,111,187,295,1187,1368,2555,461,581,1039,802,316,1119,30,48,73,71,141,219,899,513,1408,4920,5380,10294,1086,1072,2153,3189,3571,6759,2690,2738,5424
506031130,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506031131,6872,7252,14128,3098,1696,4797,1066,2085,3148,172,177,349,459,409,874,4799,4369,9169,1945,2735,4678,9.6,9.4,9.5,69.8,60.2,64.9,63.1,54.6,58.7,601,479,1087,136,227,363,1530,1717,3248,651,790,1439,1132,471,1601,52,80,133,72,158,234,1261,711,1966,7145,7433,14573,1266,1273,2541,4984,5210,10198,3214,3299,6515
506041132,7694,7232,14930,3281,1676,4961,1156,1650,2801,250,203,452,585,441,1026,5277,3965,9241,2058,2921,4978,11.1,11.1,11.1,68.6,54.8,61.9,60.9,48.8,55,281,296,572,58,99,155,846,1110,1963,553,626,1178,1694,714,2408,77,105,185,122,176,294,1887,1001,2889,7178,6756,13934,1668,1518,3186,4669,4450,9115,3774,3424,7196
506041133,9204,8594,17801,4404,2386,6788,1133,2386,3522,255,274,525,506,470,973,6295,5520,11816,2613,2790,5399,8,8.5,8.2,68.4,64.2,66.4,62.9,58.7,60.9,591,503,1094,103,160,262,1446,1806,3256,732,823,1554,1596,739,2329,75,115,184,94,195,294,1760,1045,2805,8636,8789,17427,1513,1594,3104,5595,5629,11227,4032,4210,8246
506041134,7664,8110,15775,3232,1662,4887,815,1585,2402,231,199,432,606,467,1074,4881,3911,8794,2206,3583,5789,12.4,11.9,12.2,63.7,48.2,55.7,55.8,42.5,48.9,158,148,306,46,64,112,460,730,1188,465,660,1126,1939,975,2918,108,178,287,99,193,289,2147,1353,3493,7345,7486,14823,1394,1452,2846,4708,4778,9488,3576,3755,7327
506041135,6857,7114,13972,3766,1987,5757,916,1980,2897,223,217,441,426,382,812,5334,4572,9907,1322,2330,3654,8,8.4,8.2,77.8,64.3,70.9,71.5,58.8,65.1,303,283,590,64,132,199,849,1152,1997,583,755,1336,1758,785,2543,75,124,201,102,162,271,1938,1074,3015,7326,7314,14639,1400,1449,2846,4185,4149,8329,4047,4106,8156
506041136,5512,5301,10811,2345,1037,3376,691,1092,1785,175,162,343,442,313,755,3648,2607,6256,1480,2322,3796,12.1,12,12.1,66.2,49.2,57.9,58.3,43.2,50.9,121,137,253,23,53,74,415,545,962,418,460,876,1330,541,1866,75,98,168,77,142,222,1481,778,2260,5188,4910,10094,1076,1089,2161,3261,3165,6426,2643,2487,5131
506041137,9034,9270,18299,4170,2239,6413,1229,2390,3627,264,250,516,632,448,1082,6301,5329,11634,2361,3597,5959,10,8.4,9.3,69.7,57.5,63.6,62.7,52.6,57.7,267,235,499,92,181,269,924,1249,2178,737,891,1630,2325,983,3308,105,155,259,139,244,381,2567,1385,3946,9118,9395,18513,1360,1371,2737,6435,6644,13082,3622,3662,7284
506051138,7056,7422,14476,3754,2012,5768,814,1865,2680,224,250,477,407,345,746,5199,4476,9672,1503,2536,4040,7.8,7.7,7.7,73.7,60.3,66.8,67.9,55.6,61.7,208,192,401,59,107,167,625,998,1623,544,729,1270,2013,863,2876,75,133,208,115,205,323,2198,1207,3407,7163,7423,14582,1142,1193,2333,4434,4606,9040,3420,3607,7029
506051139,4649,4866,9512,2427,1371,3800,482,1195,1680,155,138,293,280,236,516,3340,2946,6282,990,1612,2605,8.4,8,8.2,71.8,60.5,66,65.9,55.6,60.7,52,57,113,41,76,115,291,517,807,281,471,758,1419,660,2076,44,79,123,71,118,191,1526,860,2393,4578,4742,9323,755,789,1544,3136,3202,6344,1934,2096,4025
506051140,5754,6218,11974,2608,1321,3927,733,1749,2483,171,155,321,265,214,473,3776,3435,7209,1734,2525,4259,7,6.2,6.6,65.6,55.2,60.2,61,51.9,56.2,230,220,450,119,178,299,835,1003,1836,543,783,1329,1507,611,2119,27,102,130,100,174,274,1635,893,2530,5836,6219,12052,703,681,1389,4315,4492,8812,2079,2253,4331
506051141,4378,4574,8956,1933,970,2906,596,1293,1888,116,137,252,183,158,341,2838,2558,5393,1314,1800,3118,6.4,6.2,6.3,64.8,55.9,60.2,60.4,52.5,56.3,167,139,306,88,159,243,538,750,1291,396,548,942,1165,467,1632,36,66,97,55,146,206,1261,675,1937,4606,4715,9318,492,567,1061,3373,3448,6815,1592,1739,3330
506061142,5463,5950,11413,3299,1707,5010,576,1652,2226,190,200,393,280,321,599,4342,3884,8228,884,1810,2696,6.4,8.3,7.3,79.5,65.3,72.1,74.4,59.8,66.8,96,115,216,43,92,136,366,641,1008,398,716,1114,1903,999,2906,59,136,195,83,161,245,2042,1299,3344,5506,5645,11154,1531,1713,3245,2335,2350,4683,4107,4482,8595
506061143,2481,2469,4952,1302,641,1946,287,758,1045,84,60,143,116,117,231,1786,1574,3356,570,788,1356,6.5,7.4,6.9,72,63.8,67.8,67.4,59.1,63.3,28,41,69,17,49,67,136,280,415,164,215,371,788,333,1121,24,63,81,23,82,114,833,480,1317,2535,2465,5005,359,402,766,1865,1782,3642,922,986,1908
506061144,1906,1630,3536,718,370,1088,156,428,582,55,51,102,89,60,151,1016,912,1928,768,584,1351,8.8,6.6,7.8,53.3,56,54.5,48.7,52.1,50.1,16,18,38,9,24,41,99,183,278,118,150,272,518,211,728,6,35,44,23,55,83,557,296,852,1625,1626,3249,183,177,365,1112,1090,2199,615,637,1251
506071145,5561,6520,12082,2690,2006,4691,776,1512,2286,138,160,298,309,247,555,3908,3930,7833,1265,2134,3404,7.9,6.3,7.1,70.3,60.3,64.8,64.8,56.4,60.2,525,494,1023,135,277,417,1479,1714,3192,486,640,1123,818,404,1223,31,62,96,76,115,196,930,587,1514,4463,5147,9605,1328,1518,2850,2516,3005,5523,3120,3556,6676
506071146,4594,4824,9414,1713,952,2665,719,1204,1924,127,128,249,283,220,497,2832,2502,5334,1537,1976,3511,10,8.8,9.3,61.6,51.9,56.7,55.7,47.3,51.4,456,319,773,120,169,289,991,1087,2079,381,441,821,540,280,814,21,47,68,58,95,158,615,424,1036,4236,4278,8513,976,929,1904,2570,2814,5386,2497,2278,4775
506071147,6901,7021,13923,3235,1991,5227,1013,1768,2776,194,209,397,324,256,582,4759,4225,8983,1645,2316,3962,6.8,6.1,6.5,69,60.2,64.5,64.4,56.5,60.3,731,653,1382,212,302,506,1835,1907,3746,606,690,1301,811,403,1210,37,62,98,91,152,247,940,615,1552,5867,5930,11795,1507,1487,2992,3492,3663,7158,3730,3606,7338
507011148,5979,6574,12549,3575,1918,5488,740,2144,2879,185,235,423,345,269,618,4842,4561,9406,941,1764,2709,7.1,5.9,6.6,81,69.4,75,75.3,65.4,70,327,278,601,109,183,295,963,1336,2300,547,756,1305,1523,736,2265,71,114,179,82,183,266,1679,1032,2706,6438,6812,13244,1374,1434,2812,3954,4196,8143,3353,3539,6890
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,3434,3583,7023,1769,891,2665,373,1096,1467,105,121,227,180,109,297,2429,2222,4648,872,1217,2089,7.4,4.9,6.4,70.7,62,66.2,65.4,58.8,62.1,70,80,153,33,76,109,334,516,852,289,369,658,1074,400,1470,18,57,78,57,99,155,1150,554,1697,3407,3515,6920,494,564,1056,2227,2290,4518,1531,1627,3159
507011153,3192,3387,6579,1365,795,2167,453,880,1335,93,116,212,218,182,402,2137,1976,4107,851,1216,2069,10.2,9.2,9.8,66.9,58.3,62.4,59.9,52.9,56.5,115,119,241,47,90,135,376,580,956,220,334,553,782,343,1127,33,49,81,55,93,151,873,490,1360,2928,3165,6091,555,603,1153,2028,2172,4198,1354,1439,2792
507011154,4151,4423,8574,1610,981,2589,538,1040,1580,126,141,272,275,221,495,2543,2386,4928,1250,1635,2884,10.8,9.3,10,61.3,53.9,57.5,54.8,48.9,51.8,119,184,305,73,113,184,436,696,1140,308,421,731,992,398,1394,31,71,101,74,95,164,1099,563,1664,3656,3878,7535,765,814,1579,2418,2550,4969,1868,1961,3824
507011155,8,8,16,3,0,3,0,0,3,0,0,0,0,0,0,3,0,7,0,4,5,0,0,0,37.5,0,43.8,37.5,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,7,4,0,0
507011158,939,1029,1970,513,309,825,110,293,401,31,35,70,40,36,77,699,672,1363,159,262,414,5.7,5.4,5.6,74.4,65.3,69.2,69.6,61.9,65.8,62,55,115,12,36,52,173,231,400,110,138,245,216,94,306,3,14,14,18,12,27,237,116,350,694,759,1446,265,295,555,158,162,319,787,880,1665
507011159,4590,4757,9343,2229,1352,3587,599,1205,1803,140,140,282,322,243,563,3290,2940,6232,1051,1573,2630,9.8,8.3,9,71.7,61.8,66.7,64.7,56.7,60.7,155,167,323,53,130,180,553,792,1343,352,419,772,1157,505,1665,51,74,122,65,125,195,1273,701,1976,4335,4412,8742,762,803,1562,2929,3065,5995,2017,2008,4021
507011160,3970,4382,8351,1761,973,2733,411,1020,1432,142,130,267,219,165,387,2532,2289,4817,1164,1735,2901,8.6,7.2,8,63.8,52.2,57.7,58.3,48.4,53.1,67,97,170,31,87,117,301,508,804,276,375,659,1154,486,1638,41,71,110,75,110,187,1270,665,1940,3480,3716,7194,812,919,1733,2417,2584,5003,1707,1868,3572
507011161,5207,5667,10874,3129,1790,4917,615,1553,2166,172,234,402,276,305,578,4190,3877,8069,746,1487,2231,6.6,7.9,7.2,80.5,68.4,74.2,75.2,63.1,68.8,271,282,558,63,158,223,822,1168,1987,497,660,1158,1304,619,1923,42,112,152,75,146,225,1429,874,2302,5151,5471,10627,1286,1361,2639,2786,2874,5659,3147,3454,6599
507011163,2855,2942,5793,1513,778,2289,321,838,1161,80,105,185,183,149,330,2097,1875,3966,584,894,1473,8.7,7.9,8.3,73.5,63.7,68.5,67,58.5,62.7,59,57,113,34,69,100,230,384,612,197,277,477,905,370,1270,27,55,83,40,81,120,970,508,1470,2920,2961,5879,348,364,710,1980,1939,3918,1126,1223,2345
507011259,2984,3206,6188,1677,944,2618,337,955,1294,107,125,230,185,143,325,2313,2166,4472,516,882,1402,8,6.6,7.3,77.5,67.6,72.3,71.1,63.1,66.9,87,94,181,38,68,107,324,530,850,241,345,586,864,401,1258,20,70,93,59,77,137,942,546,1487,2975,3077,6046,663,703,1364,1772,1800,3567,1653,1802,3456
507011260,1069,1035,2107,479,275,752,144,306,447,33,24,62,48,32,87,708,638,1344,321,354,682,6.8,5,6.5,66.2,61.6,63.8,61.4,58.5,59.8,40,28,68,18,33,56,158,197,353,99,129,226,234,103,335,4,14,21,17,22,39,251,139,391,1073,1013,2079,131,135,264,721,727,1450,445,396,843
507021164,2790,3096,5884,1316,803,2116,413,942,1355,88,86,171,132,94,227,1939,1926,3868,670,957,1625,6.8,4.9,5.9,69.5,62.2,65.7,65.1,59.1,61.9,252,231,480,98,166,264,707,869,1576,254,367,624,420,181,605,15,28,45,40,72,112,478,285,765,2659,2891,5547,477,557,1033,1766,1965,3727,1286,1413,2700
507021165,6417,6995,13407,2598,1860,4454,877,1684,2559,175,214,390,329,223,543,3974,3985,7956,1564,2105,3671,8.3,5.6,6.8,61.9,57,59.3,56.9,53.7,55.2,560,621,1182,167,359,531,1324,1769,3096,569,616,1177,975,406,1386,29,53,85,90,105,197,1101,571,1665,4869,5387,10257,1263,1370,2626,2958,3254,6208,3058,3374,6431
507021166,5567,6220,11786,2283,1458,3742,823,1689,2507,179,203,381,317,229,548,3599,3578,7178,1577,2225,3803,8.8,6.4,7.6,64.6,57.5,60.9,59,53.9,56.3,355,426,776,114,258,366,937,1429,2365,473,553,1027,1099,444,1547,46,53,97,84,135,222,1236,636,1872,5082,5609,10690,991,1035,2030,3404,3733,7136,2452,2682,5141
507021167,9,0,10,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,33.3,0,30,33.3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,0,0,6,0,8
507031169,4793,5147,9936,2812,1585,4395,562,1334,1892,145,213,358,347,387,737,3870,3520,7384,700,1388,2087,9,11,10,80.7,68.4,74.3,73.4,60.9,66.9,231,212,441,61,128,183,647,978,1630,448,547,996,1207,711,1922,59,99,155,60,112,180,1327,922,2255,4632,4730,9363,1532,1652,3192,1941,1928,3876,3710,3936,7648
507031170,2849,3048,5899,1094,553,1648,305,612,913,83,75,155,260,199,458,1742,1440,3177,869,1365,2232,14.9,13.8,14.4,61.1,47.2,53.9,52,40.7,46,29,42,69,14,37,53,150,244,392,154,221,376,759,383,1143,45,83,126,46,87,138,846,554,1400,2735,2842,5576,549,562,1117,1740,1843,3581,1285,1384,2668
507031172,30,32,64,13,5,22,0,10,8,3,0,3,0,0,0,14,15,32,12,14,24,0,0,0,46.7,46.9,50,53.3,46.9,51.6,0,0,0,0,0,0,0,3,3,0,0,3,13,4,18,0,0,0,0,0,0,17,6,18,26,27,55,3,3,6,22,24,43,10,7,18
507031173,17,15,27,0,0,5,0,4,4,0,0,0,0,0,0,4,6,13,3,0,8,0,0,0,23.5,40,48.1,0,26.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,5,0,0,0,8,3,7,5,5,10,3,0,5,7,7,13,0,0,0
507031174,4205,4274,8475,1654,828,2488,409,922,1337,159,127,285,342,285,624,2568,2165,4729,1213,1718,2935,13.3,13.2,13.2,61.1,50.7,55.8,52.8,43.9,48.5,40,54,95,20,50,74,198,301,498,223,304,527,1051,538,1585,51,102,155,67,131,194,1165,767,1933,3937,4011,7954,683,713,1403,2633,2664,5293,1746,1836,3578
