SA2_MAINCODE_2016,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,Percent_Unemployment_M,Percent_Unemployment_F,Percent_Unemployment_P,Pcent_Lab_force_particip_M,Pcent_Lab_force_particip_F,Pcent_Lab_force_particip_P,Pcent_Employmnt_to_pop_M,Pcent_Employmnt_to_pop_F,Pcent_Employmnt_to_pop_P,Non_sc_quals_Postgrad_Deg_M,Non_sc_quals_Postgrad_Deg_F,Non_sc_quals_Postgrad_Deg_P,Non_sc_qua_Gra_Dip_Gra_Cer_M,Non_sc_qua_Gra_Dip_Gra_Cer_F,Non_sc_qua_Gra_Dip_Gra_Cer_P,Non_sc_quals_Bachelor_Deg_M,Non_sc_quals_Bachelor_Deg_F,Non_sc_quals_Bachelor_Deg_P,Non_sc_quals_Adv_Dip_Dip_M,Non_sc_quals_Adv_Dip_Dip_F,Non_sc_quals_Adv_Dip_Dip_P,Non_sc_quals_Cert3a4_Level_M,Non_sc_quals_Cert3a4_Level_F,Non_sc_quals_Cert3a4_Level_P,Non_sc_quals_Cert1a2_Level_M,Non_sc_quals_Cert1a2_Level_F,Non_sc_quals_Cert1a2_Level_P,Non_sc_quals_Certnfd_Level_M,Non_sc_quals_Certnfd_Level_F,Non_sc_quals_Certnfd_Level_P,Non_sc_quals_CertTot_Level_M,Non_sc_quals_CertTot_Level_F,Non_sc_quals_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
505011072,5635,6092,11724,2795,1326,4122,813,2032,2840,154,182,335,263,206,470,4024,3742,7768,1476,2168,3637,6.5,5.5,6.1,71.4,61.4,66.3,66.8,58.1,62.2,396,272,663,143,274,422,1209,1407,2613,604,742,1342,1194,462,1662,28,82,109,67,197,265,1297,741,2033,6089,6354,12442,836,815,1656,4535,4746,9280,2162,2225,4390
505011073,5165,5343,10510,2453,1305,3755,698,1574,2269,164,184,346,287,201,484,3601,3261,6861,1398,1906,3308,8,6.2,7.1,69.7,61,65.3,64.2,57.3,60.6,171,176,346,89,185,272,732,1021,1754,506,568,1080,1421,548,1967,49,87,132,96,164,261,1563,798,2358,5326,5455,10776,710,719,1432,3909,4017,7930,1885,1917,3803
505011074,4062,4184,8247,2088,1127,3215,567,1298,1868,158,160,311,223,185,414,3031,2770,5810,878,1262,2141,7.4,6.7,7.1,74.6,66.2,70.4,69.3,61.8,65.4,131,99,229,53,103,150,438,659,1097,355,550,909,1272,534,1812,27,62,90,74,119,194,1378,717,2094,4052,4090,8142,592,631,1223,2792,2861,5654,1667,1729,3400
505011075,4144,4366,8510,2053,1030,3083,651,1468,2116,105,119,225,228,148,375,3039,2771,5806,1004,1491,2495,7.5,5.3,6.5,73.3,63.5,68.2,67.8,59.9,63.7,242,163,406,74,147,219,812,971,1783,456,557,1006,960,307,1270,21,49,66,72,123,198,1055,480,1537,4276,4483,8760,623,650,1273,3068,3172,6242,1730,1816,3548
505011076,3168,3419,6586,1870,917,2790,442,1286,1722,88,92,181,182,139,316,2574,2437,5011,557,944,1500,7.1,5.7,6.3,81.3,71.3,76.1,75.8,67.1,71.3,179,120,298,71,101,165,510,708,1219,372,428,799,848,323,1171,25,45,65,40,99,138,906,466,1376,3304,3533,6834,638,623,1264,1817,1943,3758,2003,2097,4098
505011077,5604,5988,11588,2543,1550,4101,795,1649,2444,172,211,379,407,307,709,3912,3714,7628,1395,1929,3319,10.4,8.3,9.3,69.8,62,65.8,62.6,56.9,59.8,254,241,493,90,172,258,791,1014,1803,561,728,1288,1390,625,2018,75,86,160,84,143,225,1545,862,2402,4908,5171,10077,1188,1231,2415,3065,3283,6347,2847,2967,5816
505011078,4911,5447,10365,2419,1233,3653,632,1671,2303,153,159,313,236,176,410,3444,3238,6681,1324,2049,3370,6.9,5.4,6.1,70.1,59.4,64.5,65.2,56.2,60.5,175,156,327,101,143,239,731,985,1717,532,595,1125,1327,520,1848,34,77,107,68,182,246,1430,774,2198,5101,5514,10621,653,698,1354,3904,4167,8079,1670,1894,3563
505011079,4095,4551,8642,1994,1065,3059,603,1435,2038,124,137,262,186,170,358,2905,2812,5721,1022,1514,2536,6.4,6,6.3,70.9,61.8,66.2,66.4,57.9,62,194,160,352,75,160,234,635,921,1562,431,553,980,1105,402,1507,28,52,76,55,144,201,1195,600,1792,4245,4503,8750,580,645,1224,3027,3227,6254,1674,1809,3486
505011080,3042,3196,6238,1510,834,2349,467,1030,1494,95,76,169,169,133,304,2244,2074,4318,704,1024,1729,7.5,6.4,7,73.8,64.9,69.2,68.1,60.7,64.3,127,109,237,62,77,137,452,614,1070,319,387,701,815,294,1103,23,37,61,58,101,159,892,428,1321,3135,3202,6336,413,442,860,2285,2369,4654,1213,1220,2429
505011081,3103,3195,6298,1626,884,2512,391,971,1361,95,118,214,179,123,302,2296,2095,4387,713,1007,1717,7.8,5.9,6.9,74,65.6,69.7,68.1,61.8,64.9,100,92,196,45,111,157,412,660,1075,258,356,617,980,372,1348,20,49,70,40,91,126,1036,509,1548,3267,3286,6555,410,423,828,2337,2341,4679,1181,1198,2376
