SA2_MAINCODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Total_NofB_1,Se_d_r_or_t_h_t_Total_NofB_2,Se_d_r_or_t_h_t_Total_NofB_3,Se_d_r_or_t_h_t_Total_NofB_4,Se_d_r_or_t_h_t_Total_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NofB_0_ib,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NofB_0_ib,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_or_m_s_b_NofB_0_ib,Fl_a_4_or_m_s_b_NofB_1,Fl_a_4_or_m_s_b_NofB_2,Fl_a_4_or_m_s_b_NofB_3,Fl_a_4_or_m_s_b_NofB_4,Fl_a_4_or_m_s_b_NofB_5,Fl_a_4_or_m_s_b_NofB_6_m,Fl_a_4_or_m_s_b_NofB_NS,Fl_a_4_or_m_s_b_Total,Fl_a_At_to_a_h_NofB_0_ib,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NofB_0_i_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NofB_0_i_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
501031020,15,79,335,820,490,78,26,209,2053,0,0,21,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,5,37,0,3,3,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,10,6,23,12,5,4,0,0,17,78,3,3,5,6,7,0,3,8,27,29,110,381,837,500,78,30,234,2204
502011021,0,14,87,668,1373,138,18,134,2433,0,15,42,17,0,0,0,7,83,0,0,0,16,0,0,0,0,22,0,15,42,27,4,0,0,10,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,3,0,0,9,35,0,0,0,0,0,0,0,0,0,0,0,17,15,3,0,0,10,37,9,31,20,4,0,0,0,19,83,0,3,0,0,0,0,0,0,8,4,64,170,710,1378,140,18,175,2666
502011022,3,30,228,1118,1419,154,18,179,3154,0,14,26,95,29,0,0,15,172,0,0,6,75,17,3,0,6,114,0,14,38,172,48,3,0,20,285,0,0,0,3,0,0,0,0,3,0,0,3,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,13,12,34,15,0,3,0,0,15,75,0,3,0,3,6,0,0,0,9,17,79,275,1303,1477,160,23,218,3541
502011023,5,30,196,1227,1425,137,24,185,3233,0,38,369,218,15,0,0,61,696,0,8,16,22,0,0,0,4,56,0,45,385,238,19,0,0,63,754,0,0,0,22,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,24,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,79,579,1485,1447,139,24,253,4017
502011024,7,12,96,1444,3607,328,47,295,5840,3,81,344,244,4,0,0,89,771,0,0,45,128,12,0,0,17,207,0,83,388,374,21,3,0,110,980,3,74,75,84,0,0,0,43,283,0,0,18,23,0,0,0,0,41,0,0,6,22,0,0,0,11,35,0,0,0,0,0,0,0,0,0,3,74,98,126,0,0,0,52,360,0,4,0,3,0,0,0,3,13,0,0,0,8,0,0,0,0,13,10,176,586,1951,3635,332,47,462,7197
502011025,7,31,323,1186,520,66,12,208,2350,7,134,368,460,13,0,0,103,1086,0,34,93,213,27,3,0,39,415,7,166,466,673,47,10,0,142,1501,0,33,76,26,3,0,0,24,161,3,0,29,59,4,0,0,5,103,0,5,64,115,5,0,0,12,202,0,0,0,0,0,0,0,0,0,3,39,172,195,15,0,0,42,473,10,36,33,0,0,0,0,61,151,0,0,5,3,0,0,0,0,15,22,272,1002,2064,582,74,12,457,4484
502011026,5,28,112,680,966,108,23,119,2033,6,38,100,16,0,0,0,10,165,0,0,5,3,3,0,0,0,10,6,38,106,19,4,0,0,11,176,0,0,0,10,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,16,11,52,29,0,0,0,0,35,130,0,0,0,3,0,0,0,0,5,21,114,251,710,970,108,23,165,2364
502011027,6,61,268,1160,3647,271,33,260,5706,0,3,14,134,17,0,0,15,179,0,0,7,37,5,0,0,6,58,0,6,17,165,23,0,0,22,240,3,16,220,27,0,0,0,35,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,220,27,0,0,0,35,297,0,0,0,0,0,0,0,3,9,0,0,4,0,5,0,0,3,10,7,79,508,1350,3675,277,33,326,6256
502011028,4,27,248,1389,1538,129,20,264,3620,0,38,93,140,14,0,0,35,314,0,4,36,102,16,0,0,6,167,0,36,131,241,23,0,0,43,478,0,65,64,31,0,0,0,23,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,64,31,0,0,0,23,177,0,3,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,8,3,134,443,1665,1559,129,20,328,4294
502011029,3,36,362,1014,1465,151,39,238,3303,0,22,109,37,0,0,0,53,225,0,0,0,0,0,0,0,0,0,0,22,109,37,0,0,0,53,220,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,12,41,28,7,3,0,0,85,169,0,0,5,0,3,0,0,0,11,18,109,506,1059,1470,155,39,367,3716
503011030,0,9,42,410,950,405,72,77,1972,0,0,10,20,0,0,0,5,41,0,0,6,47,25,0,0,3,81,0,0,20,66,24,0,0,9,117,0,48,117,21,9,0,0,22,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,117,21,9,0,0,22,216,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,59,183,500,977,405,77,110,2311
503011031,0,13,175,617,538,136,25,73,1583,0,11,131,281,33,0,0,35,491,0,8,68,210,59,10,0,42,397,0,21,203,493,91,11,0,72,887,0,42,177,8,0,0,0,37,273,0,127,89,22,0,0,0,83,328,0,48,273,81,3,0,0,71,482,0,0,0,0,0,0,0,0,0,0,220,541,117,9,0,0,189,1079,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,7,22,0,254,924,1233,634,148,29,346,3568
503011032,0,23,211,701,643,206,37,100,1912,0,11,56,61,8,0,0,17,156,0,0,56,171,41,3,0,26,297,0,11,115,236,50,5,0,40,452,0,21,80,32,0,0,0,19,155,14,72,145,28,3,0,0,31,295,0,14,55,17,0,0,0,6,87,0,0,0,0,0,0,0,0,0,13,108,284,75,5,0,0,58,542,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,137,603,1007,695,209,40,198,2910
503011033,0,8,157,840,1058,295,57,71,2481,0,0,4,21,0,0,0,0,32,0,3,7,34,10,3,0,0,53,0,3,14,53,10,4,0,0,85,0,0,0,0,0,0,0,0,0,0,3,16,23,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,23,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,187,912,1071,296,57,78,2614
503011034,0,7,189,825,964,340,60,113,2508,0,52,133,101,4,0,0,31,322,3,9,77,152,25,0,0,34,305,3,58,217,253,32,0,0,66,626,0,23,61,10,3,0,0,8,110,5,228,130,5,0,0,0,77,451,0,88,259,14,0,0,0,58,418,0,0,0,0,0,0,0,0,0,5,338,447,29,3,0,0,143,972,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,6,407,859,1109,999,344,60,332,4115
503011035,3,22,294,1063,1719,744,180,145,4160,3,13,160,134,14,0,0,10,339,0,44,163,298,48,3,0,30,584,3,59,324,431,66,6,0,44,923,0,153,255,90,0,0,0,33,536,13,121,138,36,3,0,0,25,349,0,15,112,151,11,3,0,43,336,0,0,0,0,0,0,0,0,0,14,292,511,278,21,7,3,101,1221,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,14,19,372,1131,1765,1804,749,184,294,6312
503011036,0,13,157,787,930,300,45,93,2326,0,31,53,52,14,3,0,16,157,0,9,47,152,94,15,0,12,321,0,34,93,201,106,20,0,25,486,0,46,94,9,0,0,0,14,160,0,6,33,5,0,0,0,3,52,0,3,23,0,0,0,0,31,56,0,0,0,0,0,0,0,0,0,0,57,153,12,0,0,0,48,271,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,3,9,0,104,402,1008,1043,316,50,166,3092
503021037,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,8
503021038,0,24,547,1370,664,95,13,133,2835,3,43,121,182,23,0,0,30,402,0,31,154,297,40,3,0,35,570,3,80,277,474,67,6,0,64,967,0,23,117,10,0,0,0,11,162,0,52,105,12,0,0,0,26,194,0,18,22,0,0,0,0,8,43,0,0,0,0,0,0,0,0,0,0,90,238,25,0,0,0,45,394,0,9,24,3,0,0,0,3,37,0,0,0,5,3,0,0,0,5,6,199,1083,1872,729,100,13,242,4245
503021039,3,26,521,1610,1141,271,43,200,3804,0,21,287,168,12,4,0,59,549,0,25,205,409,66,3,0,59,768,0,40,494,580,80,5,0,117,1318,4,179,409,26,3,0,0,117,745,3,202,329,11,0,0,0,99,643,14,174,191,9,0,0,0,68,451,0,0,0,0,0,0,0,0,3,22,556,935,42,3,0,0,282,1840,0,0,7,4,6,0,0,11,24,0,0,0,4,3,0,0,0,8,23,632,1950,2240,1228,271,40,612,6993
503021040,0,25,378,1201,564,78,15,144,2397,0,40,103,114,6,0,0,27,294,0,17,76,267,55,6,0,24,443,0,57,179,386,58,8,3,49,733,3,77,39,57,0,0,0,22,203,0,31,77,3,0,0,0,14,121,0,84,8,0,0,0,0,9,101,0,0,0,0,0,0,0,0,3,3,195,126,60,0,0,0,50,428,0,0,0,3,3,0,0,8,11,0,0,3,8,3,0,0,0,11,5,275,683,1649,623,81,16,246,3584
503021041,3,44,339,579,186,43,17,154,1358,0,70,218,146,35,3,0,69,541,3,73,279,490,130,14,0,111,1103,3,136,502,640,166,20,3,180,1643,11,256,401,128,0,0,3,248,1049,43,640,1008,282,4,0,3,362,2342,117,2181,4228,1156,42,11,4,1411,9159,0,0,0,0,0,0,0,3,6,176,3072,5636,1568,52,15,12,2028,12553,6,14,14,8,0,0,0,263,313,7,19,39,16,3,0,0,21,97,193,3287,6519,2809,400,81,33,2646,15978
503021042,4,41,547,1468,860,185,28,131,3270,0,32,130,121,11,0,0,14,322,6,74,341,555,79,0,3,86,1149,8,112,474,680,95,0,3,105,1469,10,232,374,63,6,0,0,86,758,28,304,341,58,3,0,0,95,827,3,267,489,92,3,0,0,148,994,0,0,0,0,0,0,0,0,0,41,801,1198,213,10,0,0,325,2583,0,3,0,0,0,0,0,8,9,0,3,6,5,0,0,0,7,20,52,955,2226,2363,970,184,33,568,7355
503021043,0,30,372,1410,1074,209,21,228,3342,0,28,217,208,32,4,0,41,529,0,68,276,470,54,3,0,86,962,0,100,492,683,83,4,0,132,1494,0,167,519,71,9,0,0,112,876,3,265,706,76,0,0,0,123,1174,0,275,227,21,0,0,0,94,619,0,0,0,0,0,0,0,0,3,10,702,1451,169,5,0,0,327,2671,0,0,3,0,0,0,0,7,17,0,0,3,9,0,0,0,4,14,10,834,2324,2273,1169,216,23,700,7537
504011044,4,49,542,2338,1426,206,44,248,4849,0,72,256,477,27,3,0,74,918,0,18,22,63,27,0,0,10,131,0,88,279,543,56,3,0,85,1050,0,23,87,65,0,0,0,12,185,0,7,19,0,0,0,0,0,31,0,6,21,3,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,32,127,68,0,0,0,15,251,0,0,0,0,0,0,0,3,7,0,0,0,7,0,0,0,0,12,4,174,947,2958,1481,210,49,347,6172
504011045,6,49,960,3810,1894,258,32,407,7421,8,187,480,473,93,3,0,108,1350,0,7,14,61,31,5,0,11,134,8,189,498,538,125,9,3,119,1488,0,14,105,9,0,0,0,17,148,0,3,71,0,0,0,0,8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,176,9,0,0,0,26,234,0,0,0,3,0,0,0,8,15,0,0,4,12,5,0,0,3,29,11,254,1643,4369,2028,269,40,559,9176
504011046,5,26,265,884,458,70,14,97,1821,0,29,286,272,17,3,0,70,674,5,161,483,619,52,3,0,109,1426,5,186,767,893,64,4,0,178,2101,5,155,618,172,4,0,0,100,1048,0,106,292,48,0,0,0,47,493,0,246,239,19,0,0,0,102,610,0,0,0,0,0,0,0,0,3,9,506,1152,231,4,0,0,254,2157,0,0,0,0,0,0,0,9,13,0,4,6,6,7,0,0,3,25,10,729,2187,2020,535,76,11,544,6115
