SA2_MAINCODE_2016,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_yr_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_0_14_yr,Tot_15_24_yr,Tot_25_34_yr,Tot_35_44_yr,Tot_45_54_yr,Tot_55_64_yr,Tot_65_74_yr,Tot_75_84_yr,Tot_85_yr_over,Tot_Tot
506041135,4647,2427,2953,3051,2338,1603,917,298,83,18317,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,10,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42,64,66,37,24,29,24,11,9,299,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,44,68,74,40,28,35,34,11,8,339,48,70,79,40,31,30,34,11,8,345,10,13,24,13,23,101,40,4,0,230,4704,2513,3049,3098,2399,1737,990,316,89,18894
506041136,2614,1722,2085,1799,1531,1407,1046,632,278,13108,3,8,3,4,0,3,3,3,0,20,0,0,0,3,0,4,0,0,0,8,0,3,0,0,0,4,0,0,0,11,0,0,3,3,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,49,55,63,52,40,31,15,8,3,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,55,65,58,40,38,20,8,3,347,53,62,62,62,40,38,29,13,3,370,6,12,13,4,18,41,18,3,0,115,2676,1793,2164,1861,1587,1492,1091,645,278,13594
506041137,4396,2889,3205,3019,2880,2767,1940,917,260,22271,5,0,3,5,0,3,3,0,0,23,0,8,0,0,3,0,3,0,0,11,0,0,3,0,0,4,3,0,0,9,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,3,0,0,0,3,78,86,93,41,53,40,25,14,8,431,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,81,90,93,45,60,52,33,16,8,481,84,92,96,49,62,58,38,19,8,509,15,33,42,18,25,90,40,4,0,266,4498,3015,3339,3088,2961,2916,2022,939,267,23036
506051138,3832,2214,2833,2745,2167,1870,1280,644,206,17785,4,4,3,0,3,0,7,3,0,21,0,0,0,3,3,4,3,0,0,22,0,0,6,3,3,22,9,3,0,46,0,0,3,3,0,5,14,3,0,32,0,0,0,3,0,13,7,0,0,25,65,76,69,56,54,50,35,19,5,436,4,0,3,0,4,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,79,86,72,67,95,70,27,5,568,77,77,90,72,68,93,78,27,3,592,9,19,12,6,26,57,25,10,0,164,3908,2313,2931,2823,2262,2024,1386,679,214,18542
506051139,2419,1475,1796,1611,1580,1256,931,489,121,11674,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,61,64,44,54,24,32,9,5,0,284,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,44,56,28,36,14,5,0,317,62,62,44,56,29,36,14,5,0,314,3,13,12,3,9,9,3,3,0,47,2482,1544,1856,1672,1619,1302,951,493,123,12046
506051140,2448,1703,1128,1647,2118,1952,1803,1018,304,14118,0,0,0,0,7,0,0,7,0,11,0,0,4,0,3,4,0,0,0,9,3,0,0,4,0,3,6,0,0,16,0,0,4,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,28,59,49,34,35,22,25,9,9,265,0,0,0,0,4,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,58,59,38,42,40,33,14,14,317,31,59,59,38,48,40,33,15,10,332,9,13,7,11,6,7,5,13,0,75,2487,1779,1192,1687,2171,2001,1850,1047,314,14525
506051141,2195,1521,789,1247,1683,1412,1223,622,240,10931,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,11,0,3,0,0,0,0,5,4,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,45,55,47,20,20,27,13,10,4,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,54,19,16,26,26,12,4,255,49,56,55,19,16,32,25,12,4,265,9,23,12,5,10,5,9,0,4,76,2250,1602,855,1274,1705,1443,1260,643,243,11272
506061142,4270,2008,3225,2166,1599,1136,635,259,93,15397,3,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,3,0,3,0,8,0,0,0,0,0,3,4,0,0,9,0,0,0,0,0,0,3,0,0,4,40,71,69,36,22,25,18,14,7,292,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,79,71,34,30,33,23,13,7,329,50,79,72,35,30,33,28,13,7,343,3,18,6,3,14,37,15,3,0,101,4325,2100,3301,2207,1642,1207,679,276,97,15833
506061143,1256,908,541,784,1119,775,464,171,47,6058,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,27,35,23,20,16,22,12,3,3,152,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,27,20,18,27,15,5,8,170,31,38,23,18,19,27,15,5,8,181,3,6,0,3,3,3,7,0,0,25,1290,950,569,807,1134,803,485,172,49,6263
506061144,778,427,420,579,784,567,422,196,40,4206,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,17,12,8,20,12,9,3,7,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,12,8,18,13,17,3,7,112,17,24,12,9,26,15,17,3,7,117,4,3,3,3,3,3,3,3,0,28,794,446,436,599,809,587,442,207,44,4359
