SA2_MAINCODE_2016,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6_Fam_hh,Nu_pn_pre_Ce_Ngt_6_No_fam_hh,Num_pns_pres_Cen_Ngt_6_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
511021277,41,826,870,404,1664,2064,174,132,302,201,123,320,74,33,107,57,32,87,947,2811,3758
511031278,46,845,890,604,281,882,362,62,422,312,34,348,159,17,179,106,7,111,1586,1247,2838
511031279,123,1383,1510,1209,339,1550,702,113,810,666,69,735,341,31,372,216,21,238,3257,1954,5210
511031280,86,693,779,783,139,927,488,62,553,542,58,600,225,17,241,105,3,112,2238,976,3221
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,40,720,761,415,184,599,204,28,236,170,28,197,93,4,102,54,0,51,982,975,1949
511031283,19,433,457,201,158,356,116,24,140,83,19,97,91,9,100,142,3,149,651,646,1295
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,126,1892,2016,1384,420,1806,518,81,604,440,47,493,163,18,187,124,7,133,2756,2468,5227
511041286,86,512,600,708,130,840,425,36,468,409,36,436,206,18,219,122,9,128,1954,735,2690
511041287,111,483,594,902,160,1061,440,23,462,414,32,445,203,21,221,78,6,82,2147,725,2873
511041288,115,736,850,1076,161,1239,582,60,643,549,33,578,259,20,280,109,3,112,2693,1008,3696
511041289,49,428,477,522,129,654,183,25,204,133,6,140,74,4,80,31,3,30,987,603,1587
511041290,9,411,425,178,197,375,54,39,96,55,26,83,40,10,47,53,5,63,381,697,1075
511041291,42,554,592,504,173,679,170,30,198,141,14,155,80,8,82,42,7,44,972,776,1747
511041292,73,708,775,791,652,1441,255,59,314,260,53,314,104,16,122,55,8,68,1543,1499,3040
597979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
