SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,INA_DS_Separate_house,INA_DS_SemD_ro_tr_h_th,INA_DS_Flat_or_Apart,INA_DS_Other_dwelling,INA_DS_Not_stated,INA_Total,INS_DS_Separate_house,INS_DS_SemD_ro_tr_h_th,INS_DS_Flat_or_Apart,INS_DS_Other_dwelling,INS_DS_Not_stated,INS_DS_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
505011074,3115,272,13,0,3,3401,211,67,6,4,0,287,62,7,0,0,0,70,3386,344,21,4,3,3758
505011075,3090,295,41,0,4,3435,121,40,12,0,0,173,42,11,0,0,3,58,3258,348,57,0,9,3671
505011076,2452,74,0,28,3,2566,52,0,0,24,0,69,29,0,0,4,0,35,2536,75,0,54,5,2668
505011077,3167,656,557,7,11,4404,200,112,83,0,3,401,62,30,23,3,0,117,3428,797,665,15,23,4923
505011078,3698,333,47,47,0,4127,266,86,21,37,0,412,60,8,7,3,0,83,4025,431,80,89,0,4622
505011079,3234,191,25,0,3,3449,189,61,28,0,0,277,54,9,0,0,0,66,3478,259,51,0,6,3795
505011080,2320,62,17,3,0,2403,121,8,14,0,0,144,34,0,0,0,0,36,2476,65,33,3,3,2578
505011081,2551,164,0,0,0,2713,217,48,0,0,0,263,44,11,0,0,3,54,2808,218,0,0,3,3032
505011082,2580,406,89,0,3,3082,141,60,65,0,0,257,32,7,11,0,0,54,2752,465,170,0,3,3392
505011083,2696,196,0,3,3,2901,131,81,0,0,0,208,23,3,0,0,0,27,2851,284,0,3,3,3144
505021084,3155,1736,7,0,3,4903,633,381,3,0,0,1022,76,58,0,0,0,132,3861,2175,12,0,9,6058
505021085,3310,1794,88,0,17,5204,790,547,21,0,0,1362,127,118,3,0,0,256,4232,2457,113,0,18,6819
505021086,5547,1903,174,5,9,7642,717,447,143,0,0,1314,128,77,21,0,4,228,6394,2427,343,5,11,9182
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,3053,2541,140,0,7,5746,386,387,95,0,3,866,81,86,13,0,0,171,3520,3009,242,0,7,6787
505021089,5426,796,30,25,9,6278,319,162,28,6,3,521,73,25,3,0,3,106,5818,982,61,27,12,6907
505021090,2007,3617,45,0,21,5689,503,604,10,0,4,1128,70,128,3,0,3,204,2582,4345,59,0,33,7021
