SA2_MAINCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
509011226,104,170,106,91,60,63,3,601,48,79,85,99,73,45,0,432,9,12,19,26,30,16,0,110,3,4,3,4,12,11,0,42,568,690,431,415,354,251,20,2727
509011227,102,229,122,60,66,21,0,596,55,135,93,90,80,20,0,471,19,58,36,48,55,33,3,249,4,13,7,3,21,13,0,67,723,1071,557,442,518,230,12,3558
509011228,143,320,183,92,123,103,10,966,81,232,183,155,142,97,11,899,37,82,56,72,89,56,0,397,17,25,10,7,34,30,0,120,812,1380,768,571,675,537,22,4766
509011229,78,114,60,59,75,65,0,453,37,53,28,40,47,40,0,245,8,15,8,7,33,22,0,100,3,4,3,0,3,10,0,25,437,539,252,296,371,322,17,2235
509011230,95,145,79,69,132,84,3,603,31,51,67,61,109,65,7,386,24,30,33,29,76,55,0,248,5,14,3,8,42,21,0,87,665,756,416,359,828,560,32,3616
509011231,100,182,89,67,98,61,0,597,61,63,58,82,87,58,3,417,11,43,31,39,50,43,0,222,8,17,6,10,15,31,0,81,586,777,406,427,537,433,22,3181
509011232,91,195,106,66,68,55,0,571,36,99,89,80,70,35,0,403,13,45,27,28,25,26,0,168,3,10,3,6,15,3,0,40,488,737,410,337,361,583,16,2935
509011233,201,379,183,137,225,89,14,1227,116,218,147,162,207,116,3,967,46,72,62,75,113,70,3,440,15,20,14,16,39,29,0,129,1651,2141,991,967,1513,648,38,7950
509011234,106,240,133,128,99,85,0,791,48,141,109,121,118,87,3,641,34,40,35,45,77,58,0,297,3,10,6,6,38,21,0,96,715,1049,592,563,610,578,21,4117
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,93,230,133,103,132,69,3,769,44,119,102,118,100,56,0,538,22,50,28,40,52,43,0,235,7,12,4,6,12,5,0,40,732,1143,592,604,729,420,17,4242
509021237,95,141,81,68,123,75,0,583,46,76,61,79,98,71,0,434,39,41,27,32,82,60,0,279,9,17,3,4,41,26,0,102,624,734,373,421,705,457,13,3320
509021238,112,180,98,83,106,47,0,631,55,84,72,89,120,50,0,472,20,31,28,36,63,38,0,213,12,12,5,4,39,16,0,94,574,739,413,477,605,314,13,3130
509021239,208,400,220,192,241,148,14,1422,137,273,233,245,290,134,5,1316,49,83,82,77,149,104,0,538,19,23,8,13,26,27,0,106,1186,1811,941,952,1381,800,249,7321
509021240,113,190,119,76,156,60,3,718,60,100,74,89,126,74,4,526,23,42,24,52,87,54,0,268,20,18,11,10,39,19,0,117,788,1001,483,477,885,430,74,4132
509021241,103,178,93,78,150,69,8,673,64,104,51,75,122,57,0,468,28,30,35,30,70,34,9,241,8,9,6,3,36,12,0,80,775,916,437,446,783,446,48,3858
509021242,87,138,68,50,175,116,4,642,49,52,47,43,93,48,4,333,25,24,22,23,39,41,0,176,7,8,5,0,14,19,0,59,592,692,328,306,803,616,45,3385
509021243,228,433,249,177,311,198,7,1612,119,220,204,209,285,164,3,1205,57,99,77,84,148,90,0,561,18,20,19,19,105,30,0,199,1499,2053,1073,1067,1811,1480,37,9010
509021244,114,223,154,141,125,79,4,836,84,156,132,145,137,93,0,745,25,37,40,56,63,49,0,268,8,9,3,0,14,8,0,37,606,895,566,592,623,420,9,3713
509021245,113,276,139,138,145,106,4,922,78,176,129,189,174,127,0,874,32,59,53,82,99,77,0,403,6,14,7,8,50,23,0,124,629,1060,582,684,794,576,29,4350
509031246,76,148,66,74,127,69,3,564,48,102,45,77,119,56,0,447,18,43,35,34,73,61,0,277,11,10,12,3,28,33,0,101,474,717,371,377,590,401,10,2937
509031247,138,155,89,71,129,74,3,659,55,90,49,59,118,60,7,438,18,46,28,35,58,39,0,222,15,4,5,4,18,11,0,61,736,867,437,448,626,408,43,3565
509031248,71,123,59,47,76,37,4,413,20,61,39,42,45,42,0,248,4,19,7,18,34,23,0,107,0,4,0,8,5,3,0,20,491,654,302,288,474,301,11,2517
509031249,113,177,94,77,102,84,3,638,49,94,58,73,109,56,3,442,25,47,34,43,66,54,0,260,12,6,19,6,60,29,0,132,753,900,437,411,744,500,17,3767
509031250,144,192,135,121,120,99,4,816,57,143,109,107,111,82,0,603,24,50,32,41,70,52,0,267,18,16,7,3,38,19,0,106,734,938,528,534,590,489,28,3840
510011262,468,816,326,171,669,420,59,2928,332,548,320,195,687,369,37,2489,94,126,85,37,216,102,9,676,13,7,4,0,48,23,0,90,3044,4091,1609,1019,3346,2443,562,16114
510011263,254,314,151,93,313,157,20,1308,114,194,94,65,244,116,27,852,20,33,14,4,73,30,7,187,6,7,4,3,26,4,0,55,1487,1640,792,700,1584,1203,167,7569
510011264,117,92,31,16,111,70,7,441,75,56,21,17,109,29,7,313,7,3,6,3,27,11,0,60,0,0,0,0,3,3,0,12,861,488,164,89,645,689,132,3069
510011265,335,416,144,82,412,239,37,1655,168,232,110,86,355,208,26,1183,32,27,17,17,102,55,3,244,7,0,0,0,11,8,0,27,1971,1892,692,479,2003,1426,339,8797
510011266,135,166,99,43,145,88,14,693,104,123,85,78,184,94,3,673,17,24,19,12,34,28,4,130,3,0,0,3,10,0,0,11,767,695,339,194,663,415,76,3139
510021267,164,208,84,40,632,433,12,1563,55,90,40,21,185,128,4,521,12,14,8,3,18,18,0,70,0,0,0,0,0,0,0,3,1763,1957,546,317,4566,3382,97,12632
510021268,70,131,26,28,124,150,5,544,15,21,7,7,32,21,5,118,0,8,0,0,10,3,0,14,0,3,0,0,0,0,0,3,819,1047,328,280,881,1235,52,4638
510021269,128,154,31,36,204,133,9,694,39,48,22,23,79,54,9,276,8,6,4,3,21,12,3,61,0,0,0,0,3,0,0,9,1126,1140,311,301,1141,825,82,4931
510021270,146,226,80,53,221,227,26,980,41,59,28,19,109,89,11,360,11,14,6,0,43,20,0,92,4,0,0,3,13,11,0,27,1524,1762,617,552,1830,1730,99,8115
510031271,306,392,149,98,1501,727,77,3253,77,116,51,48,247,151,16,702,14,20,11,14,33,37,0,134,0,0,0,0,4,0,0,5,2833,2875,905,827,10526,5182,511,23659
510031272,292,393,160,95,314,252,37,1545,86,124,51,50,151,81,21,571,18,24,18,5,31,28,4,127,3,0,0,0,6,3,0,16,3027,3369,1251,1121,2469,2205,207,13656
510031273,105,173,74,43,252,166,7,818,57,80,41,53,132,78,9,460,13,21,0,5,19,15,3,79,4,3,0,0,8,3,0,15,964,1261,435,434,1627,1482,62,6267
511011274,274,424,206,165,269,192,12,1531,141,259,206,167,282,206,6,1255,56,94,89,88,170,118,0,606,18,31,16,14,117,40,0,237,1942,2392,1160,954,1783,1340,51,9625
511011275,88,124,72,52,112,119,0,561,38,65,61,54,100,95,0,413,9,14,18,24,34,35,0,136,3,0,3,4,3,6,0,25,571,636,355,378,648,578,17,3183
511021276,150,254,124,73,239,172,6,1009,117,197,136,96,316,224,7,1100,49,83,49,42,119,87,3,428,8,11,8,8,27,26,0,94,847,1197,597,422,1242,1019,103,5424
511021277,287,516,239,148,421,215,45,1870,279,471,311,202,573,212,23,2078,72,116,66,60,150,95,3,555,13,15,5,4,26,19,0,79,1505,2079,1000,721,1773,1050,429,8558
511031278,129,220,81,53,209,154,3,847,46,87,62,55,113,112,5,478,17,18,13,6,36,22,0,124,3,4,3,7,7,10,0,34,1056,1282,546,512,1225,933,29,5588
511031279,260,390,187,114,353,267,26,1593,72,145,96,76,238,133,11,771,22,41,26,30,126,58,3,307,3,3,5,0,61,27,0,97,2399,2773,1097,927,2516,1583,89,11385
511031280,140,244,110,71,175,88,11,838,35,98,57,42,83,33,4,361,22,25,11,18,46,26,0,149,5,5,0,3,11,8,0,28,1536,1820,691,639,1204,600,51,6554
511031281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
511031282,115,152,63,78,240,186,3,843,57,99,62,48,138,150,0,545,12,18,5,16,43,30,0,121,0,0,0,0,7,3,0,18,810,933,390,427,1321,1131,43,5060
511031283,145,182,51,41,302,248,10,969,42,61,28,14,95,88,4,332,5,4,3,5,21,23,0,61,4,0,0,0,10,3,0,16,1267,1248,421,278,1995,1957,61,7234
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,268,416,244,164,361,214,27,1694,136,271,185,178,350,163,11,1301,85,145,116,121,277,185,4,928,21,51,25,31,192,105,0,431,1854,2391,1140,978,2269,1437,144,10215
511041286,128,217,120,117,158,101,6,856,66,115,78,98,151,66,0,573,17,34,24,45,57,51,0,231,4,6,3,3,13,13,0,53,1069,1378,676,672,1169,928,24,5917
511041287,127,259,141,120,130,44,6,824,61,139,128,129,154,46,3,658,23,59,33,43,68,45,0,272,11,5,4,3,29,10,0,68,1193,1620,832,717,944,421,27,5752
511041288,186,369,208,122,183,99,12,1180,67,186,116,109,150,75,11,714,38,54,45,53,85,56,4,337,4,12,11,3,36,13,0,83,1607,2178,934,843,1387,570,53,7573
511041289,86,159,126,74,125,45,3,615,55,130,122,135,107,70,0,612,23,47,56,51,62,47,0,280,7,11,5,10,34,16,0,83,502,745,460,492,533,320,12,3069
511041290,110,145,53,48,268,212,11,838,61,78,48,30,140,115,4,487,9,18,11,10,27,19,0,95,4,3,0,3,4,5,0,15,804,818,293,215,1572,1436,67,5206
511041291,147,200,109,92,172,94,0,820,63,87,101,84,133,61,0,530,27,27,19,30,62,47,0,211,6,8,5,5,26,12,0,62,707,864,459,429,881,487,54,3883
511041292,188,337,181,193,237,191,16,1334,150,280,156,215,295,227,5,1327,49,107,56,80,120,114,4,542,18,17,4,7,36,30,0,106,973,1464,764,850,1086,922,182,6240
597979799,34,44,20,20,283,158,53,619,11,26,4,7,75,63,17,205,0,3,3,0,25,14,0,55,0,0,0,0,3,0,0,11,314,342,112,90,1804,953,440,4045
